variable,tipo_variable,n_categorias_train,n_nan_train,freq_categoria_menor,pct_categoria_menor,categorias_menor_10,categorias_menor_50,categorias_menor_100
IRPYUD5HER,Binaria,2,0,95,0.25106371732868205,0,0,1
IRPYUD5INH,Binaria,2,0,56,0.14799545442532835,0,0,1
IRPYUD5MRJ,Binaria,2,0,3840,10.148259732022517,0,0,0
IRPYUD5MTH,Binaria,2,0,300,0.792832791564259,0,0,0
IRSEVPNRMIS,Categórica con pocas categorías,4,0,63,0.1664948862284944,0,0,1
IRSEVPNRUNM2,Categórica con pocas categorías,4,0,15,0.039641639578212956,0,2,2
IRSEVSEDMIS,Categórica con pocas categorías,4,0,10,0.026427759718808636,0,3,3
IRSEVSEDUNM,Categórica con pocas categorías,4,0,10,0.026427759718808636,0,2,3
IRSEVSTMMIS,Categórica con pocas categorías,4,0,44,0.11628214276275799,0,2,3
IRSEVSTMUNM,Categórica con pocas categorías,4,0,18,0.047569967493855544,0,2,2
IRSEVTRQMIS,Categórica con pocas categorías,4,0,28,0.07399772721266418,0,2,3
IRSEVTRQUNM,Categórica con pocas categorías,4,0,11,0.029070535690689497,0,2,2
IRSEX,Binaria,2,0,16952,44.8003382753244,0,0,0
IRSYNMRJREC,Categórica con pocas categorías,4,0,56,0.14799545442532835,0,0,2
IRSYNSTMREC,Categórica con pocas categorías,4,0,16,0.04228441555009382,0,2,3
IRUD5PNRMIS,Binaria,2,0,303,0.8007611194799017,0,0,0
IRUD5PNRUNM2,Binaria,2,0,334,0.8826871746082086,0,0,0
IRUD5SEDMIS,Binaria,2,0,41,0.10835381484711543,0,1,1
IRUD5SEDUNM,Binaria,2,0,91,0.2404926134411586,0,0,1
IRUD5STMMIS,Binaria,2,0,141,0.3726314120352018,0,0,0
IRUD5STMUNM,Binaria,2,0,223,0.5893390417294326,0,0,0
IRUD5TRQMIS,Binaria,2,0,132,0.348846428288274,0,0,0
IRUD5TRQUNM,Binaria,2,0,145,0.38320251592272525,0,0,0
IRWRKSTAT,Categórica con pocas categorías,4,0,2489,6.577869394011469,0,0,0
IRWRKSTAT18,Categórica con pocas categorías,4,0,2489,6.577869394011469,0,0,0
KETMINFLAG,Binaria,2,0,960,2.537064933005629,0,0,0
KETMINMON,Binaria,2,0,55,0.14535267845344751,0,0,1
KETMINYR,Binaria,2,0,200,0.5285551943761727,0,0,0
KIDNYDSEV2,Categórica con pocas categorías,6,0,9,0.023784983746927772,1,1,1
KRATEVER,Categórica con pocas categorías,6,0,2,0.005285551943761728,1,1,2
KRATOMFLAG,Binaria,2,0,930,2.457781653849203,0,0,0
KRATOMMON,Binaria,2,0,156,0.41227305161341476,0,0,0
KRATOMYR,Binaria,2,0,301,0.79547556753614,0,0,0
KRATREC,Categórica con pocas categorías,7,0,2,0.005285551943761728,1,2,2
LGASEVER2,Binaria,3,1,1,0.002642775971880864,1,1,1
LSDFLAG,Binaria,2,0,4126,10.904093659980443,0,0,0
LSDMLU,Categórica con número moderado de categorías,19,0,7,0.018499431803166044,1,15,16
LSDMON,Binaria,2,0,50,0.13213879859404318,0,0,1
LSDYR,Binaria,2,0,305,0.8060466714236634,0,0,0
LVLDIFCARE2,Categórica con pocas categorías,7,0,30,0.07928327915642591,0,1,2
LVLDIFCOMM2,Categórica con pocas categorías,7,0,30,0.07928327915642591,0,1,2
LVLDIFHEAR2,Categórica con pocas categorías,7,0,30,0.07928327915642591,0,1,2
LVLDIFMEM2,Categórica con pocas categorías,7,0,30,0.07928327915642591,0,1,2
LVLDIFSEE2,Categórica con pocas categorías,7,0,30,0.07928327915642591,0,1,2
LVLDIFWALK2,Categórica con pocas categorías,7,0,30,0.07928327915642591,0,1,2
MEDICARE,Categórica con pocas categorías,5,0,48,0.12685324665028147,0,1,1
MESCEVER,Binaria,3,16,16,0.04228441555009382,0,1,1
METHAMFLAG,Binaria,2,0,2090,5.523401781231005,0,0,0
METHAMMON,Binaria,2,0,255,0.6739078728296202,0,0,0
METHAMYR,Binaria,2,0,426,1.1258225640212478,0,0,0
METHMOLST,Categórica con número moderado de categorías,19,0,10,0.026427759718808636,0,15,16
METHNDAYPM,Categórica con pocas categorías,5,0,24,0.06342662332514074,0,2,3
METHNDAYYR,Categórica con pocas categorías,6,0,50,0.13213879859404318,0,0,3
MILSTAT,Categórica con pocas categorías,7,0,1,0.002642775971880864,3,4,4
MILTCHLDR,Categórica con pocas categorías,7,0,50,0.13213879859404318,0,0,1
MILTFAMLY,Categórica con pocas categorías,6,0,58,0.1532810063690901,0,0,1
MILTPARNT,Categórica con pocas categorías,7,0,70,0.18499431803166044,0,0,1
MILTSIBLN,Categórica con pocas categorías,7,0,28,0.07399772721266418,0,1,1
MILTSPPAR,Categórica con pocas categorías,7,0,30,0.07928327915642591,0,1,1
MJCMOTHMON,Binaria,2,0,719,1.9001559237823409,0,0,0
MJCMOTHYR,Binaria,2,0,1469,3.8822379026929887,0,0,0
MJDABMON,Binaria,2,0,1242,3.2823277570760325,0,0,0
MJDABYR,Binaria,2,0,1990,5.259124184042919,0,0,0
MJEATMON,Binaria,2,0,2913,7.6984064060889565,0,0,0
MJEATYR,Binaria,2,0,5442,14.38198683897566,0,0,0
MJMTHMON,Binaria,2,0,277,0.7320489442109992,0,0,0
MJMTHYR,Binaria,2,0,570,1.5063823039720923,0,0,0
MJONLYFLAG2,Binaria,2,0,9539,25.20943999577156,0,0,0
MJONLYMON2,Binaria,2,0,6431,16.995692275165833,0,0,0
MJONLYYR2,Binaria,2,0,7764,20.518512645683025,0,0,0
MJOTHYR,Binaria,2,0,75,0.19820819789106475,0,0,1
MJPLLMON,Binaria,2,0,111,0.29334813287877587,0,0,0
MJPLLYR,Binaria,2,0,260,0.6871217526890245,0,0,0
MJSKNMON,Binaria,2,0,421,1.1126086841618437,0,0,0
MJSKNYR,Binaria,2,0,875,2.3124289753957554,0,0,0
MJSMKMON,Binaria,2,0,5609,14.823330426279766,0,0,0
MJSMKYR,Binaria,2,0,8135,21.498982531250828,0,0,0
MJVAPFLAG,Binaria,2,0,9877,26.10269827426729,0,0,0
MJVAPMON,Binaria,2,0,3040,8.034038954517825,0,0,0
MJVAPYR,Binaria,2,0,4650,12.288908269246015,0,0,0
MOVSINPYR2,Categórica con pocas categorías,8,0,30,0.07928327915642591,0,1,1
MRJFLAG,Binaria,2,0,17945,47.4246148154021,0,0,0
MRJMDAYS,Categórica con pocas categorías,5,0,980,2.5899204524432466,0,0,0
MRJMLU,Categórica con número moderado de categorías,19,0,65,0.17178043817225613,0,0,2
MRJMON,Binaria,2,0,7353,19.43233172123999,0,0,0
MRJMONVAP2,Categórica con pocas categorías,3,0,3040,8.034038954517825,0,0,0
MRJYDAYS,Categórica con pocas categorías,6,0,886,2.341499511086445,0,0,0
MRJYR,Binaria,2,0,10633,28.100636909009225,0,0,0
MRJYRBFR,Categórica con pocas categorías,7,0,2,0.005285551943761728,1,2,3
MTHNEDEVER,Binaria,3,17,17,0.044927191521974684,0,1,1
MXMJPNLT,Categórica con pocas categorías,10,0,71,0.18763709400354134,0,0,1
NDSSDEPND,Categórica con pocas categorías,4,100,100,0.26427759718808636,0,0,0
NEWRACE2,Categórica con pocas categorías,7,0,188,0.49684188271360236,0,0,0
NICVAPFLAG,Binaria,2,0,13018,34.403657601945085,0,0,0
NICVAPMON,Binaria,2,0,5449,14.400486270778826,0,0,0
NICVAPYR,Binaria,2,0,7441,19.664896006765506,0,0,0
NICVPMDAYS,Categórica con pocas categorías,5,0,582,1.5380956156346626,0,0,0
NITOXIEVER2,Binaria,3,8,8,0.02114220777504691,1,1,1
NMVSOEST,Categórica con número moderado de categorías,13,0,17,0.044927191521974684,0,6,10
NOBOOKY2,Categórica con pocas categorías,9,0,2,0.005285551943761728,1,2,5
NOMARR2,Categórica con pocas categorías,5,0,20,0.05285551943761727,0,2,2
NONABOVEV2,Categórica con pocas categorías,6,0,8,0.02114220777504691,1,1,1
NOOPPRANYYR,Binaria,2,0,791,2.0904357937577633,0,0,0
NOOPPRNMYR,Binaria,2,0,50,0.13213879859404318,0,0,1
NPCOLDFLAG,Binaria,2,0,1644,4.34472369777214,0,0,0
NPCOLDMON,Binaria,2,0,119,0.31449034065382275,0,0,0
NPCOLDYR,Binaria,2,0,344,0.9091149343270171,0,0,0
OPIANYYR2,Binaria,2,0,7616,20.127381801844656,0,0,0
OPIIMFNMMN2,Binaria,2,0,360,0.951399349877111,0,0,0
OPIIMFNMYR2,Binaria,2,0,1209,3.195116150003964,0,0,0
OPINMMON2,Binaria,2,0,332,0.8774016226644468,0,0,0
OPINMYR2,Binaria,2,0,1177,3.1105473189037767,0,0,0
OTHAEREVER2,Binaria,3,3,3,0.007928327915642592,1,1,1
OTHINS,Binaria,2,0,7520,19.873675308544094,0,0,0
OTHRPNRANY2,Binaria,3,386,386,1.0201115251460133,0,0,0
OTHRPNRMIS,Binaria,3,53,53,0.14006712650968578,0,0,2
OTHRSEDANY,Binaria,3,23,23,0.06078384735325986,0,1,1
OTHRSEDMIS2,Binaria,3,12,12,0.03171331166257037,0,2,2
OTHRSTMANY,Binaria,3,24,24,0.06342662332514074,0,1,1
OTHRSTMMIS,Binaria,3,10,3,0.007928327915642592,1,2,2
OTHRTRQANY,Binaria,3,45,45,0.11892491873463887,0,1,1
OTHRTRQMIS,Binaria,3,17,13,0.03435608763445123,0,2,2
OXYCNANYYR2,Binaria,2,0,1018,2.690345939374719,0,0,0
OXYCNNMYR,Binaria,2,0,150,0.3964163957821295,0,0,0
PAROL,Binaria,3,507,268,0.7082639604640715,0,0,0
PAROLREL,Categórica con pocas categorías,6,0,6,0.015856655831285184,1,3,3
PCPFLAG,Binaria,2,0,647,1.7098760538069186,0,0,0
PCPMLU,Categórica con número moderado de categorías,17,0,1,0.002642775971880864,12,14,14
PCPMON,Binaria,2,0,5,0.013213879859404318,1,1,1
PCPYR,Binaria,2,0,28,0.07399772721266418,0,1,1
PEYOTEEVER,Binaria,3,10,10,0.026427759718808636,0,1,1
PIPFLAG,Binaria,2,0,3216,8.499167525568858,0,0,0
PIPMON,Binaria,2,0,295,0.7796189117048549,0,0,0
PMNICDEP,Categórica con pocas categorías,4,195,195,0.5153413145167685,0,0,0
PNRANYFLAG2,Binaria,2,0,18300,48.3628002854198,0,0,0
PNRANYYR2,Binaria,2,0,8388,22.167604852136684,0,0,0
PNRMAINRSN,Categórica con pocas categorías,11,185,9,0.023784983746927772,1,6,7
PNRNDAYPM,Categórica con pocas categorías,5,0,61,0.1612093342847327,0,0,3
PNRNMFLAG,Binaria,2,0,3392,8.96429609661989,0,0,0
PNRNMMON,Binaria,2,0,314,0.8298316551705912,0,0,0
PNRNMYR,Binaria,2,0,1182,3.123761198763181,0,0,0
POVERTY3,Categórica con pocas categorías,4,114,114,0.30127646079441844,0,0,0
PREGAGE2,Categórica con pocas categorías,3,0,11338,29.963793969185232,0,0,0
PREGST,Categórica con pocas categorías,4,301,301,0.79547556753614,0,0,0
PREGSTAT,Categórica con pocas categorías,7,0,9,0.023784983746927772,1,3,3
PROB,Binaria,3,504,504,1.3319590898279552,0,0,0
PROBATON,Categórica con pocas categorías,6,0,3,0.007928327915642592,1,3,3
PRVHLTIN,Categórica con pocas categorías,5,0,61,0.1612093342847327,0,0,1
PSILCYFLAG,Binaria,2,0,5305,14.01992653082798,0,0,0
PSILCYMON,Binaria,2,0,315,0.8324744311424721,0,0,0
PSILCYYR,Binaria,2,0,1444,3.816168503395967,0,0,0
PSYANYFLAG2,Binaria,2,0,15930,42.099421232062156,0,0,0
PSYANYYR2,Binaria,2,0,12527,33.10605459975158,0,0,0
PSYCHFLAG,Binaria,2,0,4699,12.418404291868178,0,0,0
PSYCHMON,Binaria,2,0,615,1.6253072227067313,0,0,0
PSYCHYR,Binaria,2,0,2071,5.473189037765269,0,0,0
RCVYMHPRB,Binaria,3,1343,1343,3.5492481302359997,0,0,0
RCVYSUBPRB,Binaria,3,1276,1276,3.3721821401199823,0,0,0
RKFQDBLT,Categórica con pocas categorías,9,0,1,0.002642775971880864,1,3,3
RKFQPBLT,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,3,3
RSKBNGDLY,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,2,2
RSKBNGWK,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,2,2
RSKCIGPKD,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,2,2
RSKCOCMON,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,1,2
RSKCOCWK,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,1,2
RSKHERTRY,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,1,2
RSKHERWK,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,2,2
RSKLSDTRY,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,1,2
RSKLSDWK,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,1,2
RSKMRJMON,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,2,2
RSKMRJWK,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,2,2
RSKYFQDGR,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,1,2
RSKYFQTES,Categórica con pocas categorías,8,0,1,0.002642775971880864,1,2,3
RXALPRANY,Binaria,3,30,30,0.07928327915642591,0,1,1
RXALPRMIS,Binaria,3,5,5,0.013213879859404318,1,1,1
RXAMMEANY,Binaria,3,12,12,0.03171331166257037,0,1,1
RXAMMEMIS,Binaria,3,3,3,0.007928327915642592,1,1,1
RXAMPHANY,Binaria,3,15,15,0.039641639578212956,0,1,1
RXAMPHMIS,Binaria,3,3,3,0.007928327915642592,1,1,1
RXANORANY,Binaria,3,18,18,0.047569967493855544,0,1,1
RXANORMIS,Binaria,3,1,1,0.002642775971880864,1,2,2
RXBARBANY,Binaria,3,20,20,0.05285551943761727,0,1,2
RXBARBMIS,Binaria,3,2,2,0.005285551943761728,2,2,2
RXBUPRANY2,Binaria,3,71,71,0.18763709400354134,0,0,1
RXBUPRMIS,Binaria,3,11,11,0.029070535690689497,0,1,1
RXBZOSANY,Binaria,3,14,14,0.03699886360633209,0,1,1
RXBZOSMIS,Binaria,3,1,1,0.002642775971880864,1,2,2
RXBZOTANY,Binaria,3,22,22,0.05814107138137899,0,1,1
RXBZOTMIS,Binaria,3,5,5,0.013213879859404318,1,1,1
RXCLONANY,Binaria,3,32,32,0.08456883110018765,0,1,1
RXCLONMIS,Binaria,3,6,6,0.015856655831285184,1,1,1
RXCODEANY2,Binaria,3,72,72,0.19027986997542218,0,0,1
RXCODEMIS,Binaria,3,16,16,0.04228441555009382,0,1,1
RXCYCLANY,Binaria,3,41,41,0.10835381484711543,0,1,1
RXCYCLMIS,Binaria,3,9,9,0.023784983746927772,1,1,2
RXDEMEANY2,Binaria,3,82,79,0.20877930177858822,0,0,2
RXDEMEMIS,Binaria,3,9,7,0.018499431803166044,2,2,2
RXDIAZANY,Binaria,3,34,34,0.08985438304394937,0,1,1
RXDIAZMIS,Binaria,3,6,6,0.015856655831285184,1,1,2
RXESZOANY,Binaria,3,19,19,0.05021274346573641,0,1,1
RXESZOMIS,Binaria,3,1,1,0.002642775971880864,1,2,2
RXFLURANY,Binaria,3,14,9,0.023784983746927772,1,2,2
RXHYDCANY2,Binaria,3,66,66,0.174423214144137,0,0,1
RXHYDCMIS,Binaria,3,10,10,0.026427759718808636,0,1,1
RXHYDMANY2,Binaria,3,82,82,0.21670762969423085,0,0,1
RXHYDMMIS,Binaria,3,9,9,0.023784983746927772,1,2,2
RXLORAANY,Binaria,3,32,32,0.08456883110018765,0,1,1
RXLORAMIS,Binaria,3,6,6,0.015856655831285184,1,1,1
RXMORPANY2,Binaria,3,84,84,0.22199318163799256,0,0,1
RXMORPMIS,Binaria,3,10,10,0.026427759718808636,0,1,2
RXMRLXANY,Binaria,3,41,41,0.10835381484711543,0,1,1
RXMRLXMIS,Binaria,3,11,11,0.029070535690689497,0,1,2
RXMTDNANY2,Binaria,3,82,82,0.21670762969423085,0,0,1
RXMTDNMIS,Binaria,3,10,10,0.026427759718808636,0,2,2
RXMTHPANY,Binaria,3,16,16,0.04228441555009382,0,1,1
RXMTHPMIS,Binaria,3,2,2,0.005285551943761728,1,1,1
RXOPPRNMMON,Binaria,2,0,292,0.7716905837892122,0,0,0
RXOXCOANY2,Binaria,3,72,72,0.19027986997542218,0,0,1
RXOXCOMIS,Binaria,3,16,16,0.04228441555009382,0,1,1
RXOXYMANY2,Binaria,3,76,76,0.20085097386294565,0,0,1
RXOXYMMIS,Binaria,3,9,9,0.023784983746927772,1,2,2
RXPROVANY,Binaria,3,19,19,0.05021274346573641,0,1,2
RXPROVMIS,Binaria,3,1,1,0.002642775971880864,1,2,2
RXSOMAANY,Binaria,3,41,41,0.10835381484711543,0,1,2
RXSOMAMIS,Binaria,3,8,8,0.02114220777504691,1,2,2
RXTEMAANY,Binaria,3,14,14,0.03699886360633209,0,1,2
RXTRAMANY2,Binaria,3,78,78,0.20613652580670738,0,0,1
RXTRAMMIS,Binaria,3,16,16,0.04228441555009382,0,1,1
RXTRIAANY,Binaria,3,14,14,0.03699886360633209,0,1,2
RXZALEANY,Binaria,3,19,19,0.05021274346573641,0,2,2
RXZOHYANY2,Binaria,3,67,66,0.174423214144137,0,0,2
RXZOHYMIS,Binaria,3,8,5,0.013213879859404318,2,2,2
RXZOLPANY,Binaria,3,19,19,0.05021274346573641,0,1,1
RXZOLPMIS,Binaria,2,0,70,0.18499431803166044,0,0,1
SALVIAFLAG,Binaria,2,0,914,2.4154972382991096,0,0,0
SALVIAMON,Binaria,2,0,6,0.015856655831285184,1,1,1
SALVIAYR,Binaria,2,0,14,0.03699886360633209,0,1,1
SEDANYFLAG,Binaria,2,0,3964,10.475963952535745,0,0,0
SEDANYYR,Binaria,2,0,1621,4.28393985041888,0,0,0
SEDMAINRSN,Categórica con pocas categorías,8,200,1,0.002642775971880864,4,5,6
SEDNDAYPM,Categórica con pocas categorías,5,0,2,0.005285551943761728,2,4,4
SEDNMFLAG,Binaria,2,0,795,2.1010068976452865,0,0,0
SEDNMMON,Binaria,2,0,39,0.10306826290335369,0,1,1
SEDNMYR,Binaria,2,0,121,0.31977589259758454,0,0,0
SERVICE,Categórica con pocas categorías,5,0,1,0.002642775971880864,2,3,3
SEVYROPPRANY,Categórica con pocas categorías,4,0,104,0.2748487010756098,0,0,0
SEVYRPNRANY2,Categórica con pocas categorías,4,0,107,0.2827770289912524,0,0,0
SEVYRSEDANY,Categórica con pocas categorías,4,0,25,0.06606939929702159,0,2,3
SEVYRSTMANY,Categórica con pocas categorías,4,0,63,0.1664948862284944,0,0,2
SEVYRTRQANY,Categórica con pocas categorías,4,0,54,0.14270990248156665,0,0,2
SEXAGE,Categórica con pocas categorías,3,0,5318,14.054282618462432,0,0,0
SEXRACE,Categórica con pocas categorías,7,0,1894,5.005417690742356,0,0,0
SMKLSMDAYS,Categórica con pocas categorías,5,0,147,0.38848806786648693,0,0,0
SMKLSSFLAG,Binaria,2,0,5340,14.112423689843812,0,0,0
SMKLSSMON,Binaria,2,0,1134,2.9969079521128994,0,0,0
SMKLSSYR,Binaria,2,0,1605,4.241655434868786,0,0,0
SMKMOLAST,Categórica con número moderado de categorías,19,0,16,0.04228441555009382,0,10,15
SNAFLMJTRY,Categórica con pocas categorías,9,0,17,0.044927191521974684,0,1,1
SNRLDCSN,Categórica con pocas categorías,8,0,17,0.044927191521974684,0,1,1
SNRLFRND,Categórica con pocas categorías,8,0,17,0.044927191521974684,0,1,1
SNRLGIMP,Categórica con pocas categorías,8,0,17,0.044927191521974684,0,1,1
SNYATTAK,Categórica con pocas categorías,9,0,15,0.039641639578212956,0,5,6
SNYSELL,Categórica con pocas categorías,9,0,17,0.044927191521974684,0,3,5
SNYSTOLE,Categórica con pocas categorías,9,0,17,0.044927191521974684,0,3,6
SOLVENEVER2,Binaria,3,4,4,0.010571103887523456,1,1,1
SPAINTEVER2,Binaria,3,3,3,0.007928327915642592,1,1,1
SPEAKENGL,Categórica con pocas categorías,8,0,30,0.07928327915642591,0,2,3
SRCCLFRPNR,Categórica con pocas categorías,4,37503,15,0.039641639578212956,0,2,2
SRCCLFRSED,Binaria,3,37796,4,0.010571103887523456,1,2,2
SRCCLFRSTM,Categórica con pocas categorías,4,37493,11,0.029070535690689497,0,2,2
SRCCLFRTRQ,Categórica con pocas categorías,4,37596,13,0.03435608763445123,0,2,2
SRCFRPNRNM,Categórica con pocas categorías,9,37503,1,0.002642775971880864,5,7,7
SRCFRSEDNM,Categórica con pocas categorías,4,37796,1,0.002642775971880864,2,3,3
SRCFRSTMNM,Categórica con pocas categorías,7,37493,2,0.005285551943761728,4,5,5
SRCFRTRQNM,Categórica con pocas categorías,9,37596,1,0.002642775971880864,5,7,7
SRCPNRNM2,Categórica con pocas categorías,9,36727,17,0.044927191521974684,0,3,5
SRCSEDNM2,Categórica con pocas categorías,8,37723,3,0.007928327915642592,5,6,7
SRCSTMNM2,Categórica con pocas categorías,9,37173,2,0.005285551943761728,1,5,6
SRCTRQNM2,Categórica con pocas categorías,9,37245,3,0.007928327915642592,1,4,6
STMANYFLAG,Binaria,2,0,5565,14.707048283517008,0,0,0
STMANYYR,Binaria,2,0,3316,8.763445122756943,0,0,0
STMMAINRSN,Categórica con pocas categorías,11,170,5,0.013213879859404318,2,5,7
STMNDAYPM,Categórica con pocas categorías,5,0,19,0.05021274346573641,0,3,4
STMNMFLAG,Binaria,2,0,1860,4.915563307698406,0,0,0
STMNMMON,Binaria,2,0,200,0.5285551943761727,0,0,0
STMNMYR,Binaria,2,0,684,1.8076587647665108,0,0,0
SVYRCNSANY,Categórica con pocas categorías,4,0,149,0.39377361981024867,0,0,0
SVYRCNSMIS,Categórica con pocas categorías,4,0,122,0.3224186685694654,0,0,0
SVYRCNSUNM,Categórica con pocas categorías,4,0,15,0.039641639578212956,0,2,2
SVYRDUDANY,Categórica con pocas categorías,4,0,1128,2.9810512962816142,0,0,0
SVYROPIANY2,Categórica con pocas categorías,4,0,105,0.27749147704749066,0,0,0
SVYROPIMIS,Categórica con pocas categorías,4,0,65,0.17178043817225613,0,0,1
SVYROPIUNM,Categórica con pocas categorías,4,0,13,0.03435608763445123,0,2,2
SVYRPSYANY,Categórica con pocas categorías,4,0,203,0.5364835222918154,0,0,0
SVYRSUDANY,Categórica con pocas categorías,4,0,1880,4.9684188271360235,0,0,0
SVYRTQSDANY,Categórica con pocas categorías,4,0,68,0.17970876608789874,0,0,2
SVYRTQSDMIS,Categórica con pocas categorías,4,0,35,0.09249715901583022,0,1,3
SVYRTQSDUNM,Categórica con pocas categorías,4,0,16,0.04228441555009382,0,2,2
SYNMRJEVR,Categórica con pocas categorías,6,0,2,0.005285551943761728,1,1,2
SYNMRJFLAG,Binaria,2,0,1189,3.1422606305663465,0,0,0
SYNMRJMON,Binaria,2,0,56,0.14799545442532835,0,0,1
SYNMRJREC,Categórica con pocas categorías,7,0,2,0.005285551943761728,2,2,4
SYNMRJYR,Binaria,2,0,131,0.34620365231639316,0,0,0
SYNSTMEVR,Categórica con pocas categorías,6,0,2,0.005285551943761728,1,1,3
SYNSTMFLAG,Binaria,2,0,132,0.348846428288274,0,0,0
SYNSTMMON,Binaria,2,0,17,0.044927191521974684,0,1,1
SYNSTMREC,Categórica con pocas categorías,7,0,1,0.002642775971880864,2,4,5
SYNSTMYR,Binaria,2,0,33,0.0872116070720685,0,1,1
TELEAPTYR,Categórica con pocas categorías,6,0,7,0.018499431803166044,1,1,3
TELEAPTYR2,Binaria,3,824,824,2.177647400829832,0,0,0
TOBALCFLG,Binaria,2,0,5536,14.63040778033246,0,0,0
TOBALCMN,Binaria,2,0,15957,42.17077618330294,0,0,0
TOBALCYR,Binaria,2,0,10420,27.5377256269986,0,0,0
TOBCIGONL,Categórica con pocas categorías,4,0,1031,2.72470202700917,0,0,0
TOBCIGVAP2,Categórica con pocas categorías,4,0,443,1.1707497555432225,0,0,0
TOBFLAG,Binaria,2,0,15991,42.26063056634689,0,0,0
TOBMON,Binaria,2,0,6810,17.997304368508683,0,0,0
TOBVAPONL2,Categórica con pocas categorías,4,0,2334,6.168239118369936,0,0,0
TOBVNICFLAG,Binaria,2,0,13784,36.42802399640582,0,0,0
TOBVNICMON,Binaria,2,0,9925,26.22955152091757,0,0,0
TOBVNICYR,Binaria,2,0,12288,32.474431142472056,0,0,0
TOBYR,Binaria,2,0,9111,24.07833187980655,0,0,0
TQSDANYFLG,Binaria,2,0,8749,23.121646977985677,0,0,0
TQSDANYYR,Binaria,2,0,5059,13.369803641745289,0,0,0
TQSDNMFLAG,Binaria,2,0,1835,4.849493908401384,0,0,0
TQSDNMMON,Binaria,2,0,215,0.5681968339543857,0,0,0
TQSDNMYR,Binaria,2,0,706,1.8657998361478898,0,0,0
TRQANYFLAG,Binaria,2,0,7225,19.09405639683924,0,0,0
TRQANYYR,Binaria,2,0,4157,10.98601971510875,0,0,0
TRQMAINRSN,Categórica con pocas categorías,10,139,3,0.007928327915642592,1,4,5
TRQNDAYPM,Categórica con pocas categorías,5,0,14,0.03699886360633209,0,3,4
TRQNMFLAG,Binaria,2,0,1524,4.027590581146436,0,0,0
TRQNMMON,Binaria,2,0,185,0.4889135547979598,0,0,0
TRQNMYR,Binaria,2,0,623,1.6464494304817783,0,0,0
UADBAR,Binaria,3,36824,120,0.31713311662570365,0,0,0
UADBUND,Categórica con pocas categorías,4,88,1,0.002642775971880864,1,2,3
UADBWHO,Categórica con pocas categorías,4,88,15,0.039641639578212956,0,1,2
UADCAG,Categórica con pocas categorías,6,94,14,0.03699886360633209,0,3,4
UADCAR,Binaria,3,36824,34,0.08985438304394937,0,1,1
UADEVNT,Binaria,3,36824,35,0.09249715901583022,0,1,1
UADFRD,Categórica con pocas categorías,4,119,22,0.05814107138137899,0,1,1
UADFWHO,Categórica con pocas categorías,9,119,15,0.039641639578212956,0,2,5
UADHOME,Binaria,3,36824,477,1.260604138587172,0,0,0
UADMONY,Categórica con pocas categorías,4,88,88,0.23256428552551597,0,0,1
UADOTHM,Binaria,3,36824,394,1.0412537329210603,0,0,0
UADOTSP2,Categórica con pocas categorías,7,98,2,0.005285551943761728,4,5,6
UADPAID,Categórica con pocas categorías,4,84,84,0.22199318163799256,0,0,1
UADPEOP,Categórica con pocas categorías,5,77,77,0.20349374983482652,0,0,2
UADPLACE,Categórica con pocas categorías,5,90,3,0.007928327915642592,1,2,4
UADPUBL,Binaria,3,36824,34,0.08985438304394937,0,1,1
UADROTH,Binaria,3,36838,50,0.13213879859404318,0,0,1
UADSCHL,Binaria,3,36824,14,0.03699886360633209,0,1,1
UD5ALNILANY,Binaria,2,0,3067,8.105393905758609,0,0,0
UD5CNSANY,Binaria,2,0,807,2.1327202093078568,0,0,0
UD5CNSGRP,Categórica con pocas categorías,3,0,209,0.5523401781231005,0,0,0
UD5HROPANY,Categórica con pocas categorías,4,0,44,0.11628214276275799,0,1,2
UD5IEMANY,Binaria,2,0,1566,4.138587171965432,0,0,0
UD5ILAALANY,Binaria,2,0,1476,3.900737334496155,0,0,0
UD5ILALANY,Binaria,2,0,7960,21.036496736171674,0,0,0
UD5ILLANY,Binaria,2,0,4893,12.931102830413066,0,0,0
UD5ILNALANY,Binaria,2,0,3417,9.03036549591691,0,0,0
UD5OPIANY2,Binaria,2,0,660,1.7442321414413702,0,0,0
UD5OPIGRP,Categórica con pocas categorías,3,0,303,0.8007611194799017,0,0,0
UD5PSYANY,Binaria,2,0,1131,2.9889796241972566,0,0,0
UD5TRQSDANY,Binaria,2,0,364,0.9619704537646344,0,0,0
UD5TRQSDGRP,Categórica con pocas categorías,3,0,158,0.41755860355717644,0,0,0
UDYR5OPPRANY,Binaria,2,0,609,1.609450566875446,0,0,0
