fold,accuracy,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,tn,fp,fn,tp,target,modelo,f2
3,0.7597780126849895,0.8181674807911183,0.3219450173379228,0.7269503546099291,0.197685631629701,0.310841546626232,0.7446859140268378,0.7624214734437464,5340,1664,154,410,IRSUICTHNK,XGBoost,0.4734411085450346
4,0.7542283298097252,0.818051683458783,0.2948104723619925,0.7495559502664298,0.1971041569360112,0.3121301775147929,0.7520799023280758,0.7546038543897217,5286,1719,141,422,IRSUICTHNK,XGBoost,0.4803095834281812
5,0.7552530725518699,0.8169825311697048,0.2913940986422935,0.7513321492007105,0.1981264637002341,0.3135656041512231,0.7534501979584363,0.7555682467161622,5292,1712,140,423,IRSUICTHNK,XGBoost,0.4821062229313881
1,0.7843551797040169,0.8611482177005961,0.1708275515502205,0.8148148148148148,0.0879497430039977,0.1587628865979381,0.7991949124893969,0.7835750101639789,5782,1597,35,154,IRSUIPLANYR,Regresión Logística,0.30714000797766255
2,0.7904334038054969,0.8412770116252972,0.1584128183850797,0.746031746031746,0.0839785586658725,0.1509635974304068,0.7688012097823725,0.791570673532999,5841,1538,48,141,IRSUIPLANYR,Regresión Logística,0.2895277207392196
3,0.7917547568710359,0.8418542252395078,0.1579592211084386,0.7566137566137566,0.0854751942618051,0.1535982814178303,0.7746342939458537,0.7926548312779509,5849,1530,46,143,IRSUIPLANYR,Regresión Logística,0.29435981885549606
4,0.7953224101479915,0.8198495070057084,0.1390102473025783,0.7074468085106383,0.0817455439459127,0.1465564738292011,0.7525038920601972,0.7975609756097561,5886,1494,55,133,IRSUIPLANYR,Regresión Logística,0.27952921395544345
5,0.788952028544998,0.8462644133870415,0.1630730310053103,0.7606382978723404,0.0843657817109144,0.1518852894317578,0.7751558476758369,0.7896733974793333,5827,1552,45,143,IRSUIPLANYR,Regresión Logística,0.29219452390682454
1,0.7846194503171248,0.8551616879303557,0.1599211764252663,0.8253968253968254,0.0889903023388477,0.160659114315139,0.8044859177804021,0.7835750101639789,5782,1597,33,156,IRSUIPLANYR,XGBoost,0.31088082901554404
2,0.7848837209302325,0.8419987079019469,0.143731971181606,0.7566137566137566,0.0828985507246376,0.1494252873563218,0.7711107812747602,0.7856078059357636,5797,1582,46,143,IRSUIPLANYR,XGBoost,0.28819024586860115
3,0.7917547568710359,0.8474618017238968,0.1713945916079585,0.7619047619047619,0.0859701492537313,0.1545064377682403,0.7772120367322969,0.7925193115598319,5848,1531,45,144,IRSUIPLANYR,XGBoost,0.2961744138214725
4,0.7905655391120507,0.8146882027330912,0.1460489168098489,0.7021276595744681,0.0794701986754966,0.1427798810167658,0.747473043879375,0.7928184281842818,5851,1529,56,132,IRSUIPLANYR,XGBoost,0.2735184417737255
5,0.789216334082199,0.8444940068567212,0.1860848088127155,0.7553191489361702,0.0839739798935541,0.1511442256519425,0.7726995527849303,0.7900799566336902,5830,1549,46,142,IRSUIPLANYR,XGBoost,0.29062627916496103
1,0.8027219873150105,0.8516438242854598,0.1073446566777977,0.7380952380952381,0.04044357469015,0.0766852195423624,0.7707712962255988,0.8034473543559594,6013,1471,22,62,IRSUITRYYR,Regresión Logística,0.165864098448368
2,0.8019291754756871,0.8512230854394136,0.0899724349768565,0.8095238095238095,0.0438426821405544,0.0831804281345565,0.8056838716245451,0.8018439337252806,6001,1483,16,68,IRSUITRYYR,Regresión Logística,0.18018018018017992
3,0.8081395348837209,0.8136683655290016,0.11621982966043,0.6547619047619048,0.037212449255751,0.0704225352112676,0.7323114708202896,0.8098610368786745,6061,1423,29,55,IRSUITRYYR,Regresión Logística,0.15159867695700108
4,0.816992600422833,0.8212257578071315,0.0737461784440017,0.6666666666666666,0.0396319886765746,0.074816299265197,0.7426732585070372,0.8186798503474078,6127,1357,28,56,IRSUITRYYR,Regresión Logística,0.16009148084619762
5,0.8112858464384829,0.8557166084394469,0.1102602700407562,0.7619047619047619,0.0434782608695652,0.0822622107969151,0.7868724664795759,0.81184017105439,6075,1408,20,64,IRSUITRYYR,Regresión Logística,0.17699115044247782
1,0.8258456659619451,0.853212249624596,0.108247382667805,0.6904761904761905,0.0429629629629629,0.0808926080892608,0.7589206179532209,0.8273650454302512,6192,1292,26,58,IRSUITRYYR,XGBoost,0.17200474495848142
2,0.8217494714587738,0.842304058181263,0.1012380938809829,0.7142857142857143,0.0433212996389891,0.0816882232811436,0.7686206764907995,0.8229556386958845,6159,1325,24,60,IRSUITRYYR,XGBoost,0.17431725740848322
3,0.8255813953488372,0.7864181682828129,0.0818573666546822,0.5952380952380952,0.0374251497005988,0.0704225352112676,0.7117024254918429,0.8281667557455906,6198,1286,34,50,IRSUITRYYR,XGBoost,0.14952153110047844
4,0.8298097251585623,0.8123393397979182,0.0757097319642533,0.6428571428571429,0.0411585365853658,0.0773638968481375,0.7373826067038254,0.8319080705505077,6226,1258,30,54,IRSUITRYYR,XGBoost,0.1638349514563105
5,0.8301836923483547,0.8444458232310699,0.111639423626021,0.7261904761904762,0.0461073318216175,0.0867093105899076,0.7787707692993007,0.8313510624081251,6221,1262,23,61,IRSUITRYYR,XGBoost,0.18384569017480396
1,0.788715644820296,0.8899566842194666,0.5171335427439782,0.8452380952380952,0.3258375401560349,0.4703544219940377,0.8134484174169073,0.7816587395957194,5259,1469,130,710,IRAMDEYR,Stacking RL+XGB,0.6409099115363786
2,0.7941331923890064,0.8945672137761168,0.5260831937788942,0.8726190476190476,0.3356227106227106,0.4847883597883597,0.8284765868297379,0.7843341260404281,5277,1451,107,733,IRAMDEYR,Stacking RL+XGB,0.661075036075036
3,0.8014006342494715,0.9003606994224562,0.5261907581849403,0.8738095238095238,0.344439230408259,0.4941097273645237,0.833084904592039,0.792360285374554,5331,1397,106,734,IRAMDEYR,Stacking RL+XGB,0.6683664177745402
4,0.7999471458773785,0.8939503000962573,0.5104727010177281,0.8607142857142858,0.3410377358490566,0.4885135135135135,0.82653728554442,0.792360285374554,5331,1397,117,723,IRAMDEYR,Stacking RL+XGB,0.6596715328467154
5,0.7956918197436236,0.888184985381215,0.515549284008716,0.8390941597139452,0.3328605200945626,0.4766418415707515,0.8146867944824185,0.7902794292508918,5317,1411,135,704,IRAMDEYR,Stacking RL+XGB,0.6433924328276367
1,0.7513213530655392,0.81765700754584,0.305079824453871,0.7464539007092199,0.1949074074074074,0.3091042584434655,0.7490836036955579,0.7517133066818961,5265,1739,143,421,IRSUICTHNK,Stacking RL+XGB,0.4766757246376811
2,0.7547568710359408,0.811517532028304,0.3427214183945336,0.7429078014184397,0.1967136150234741,0.3110616184112843,0.7493094118457133,0.7557110222729868,5293,1711,145,419,IRSUICTHNK,Stacking RL+XGB,0.47765617875056987
3,0.7522463002114165,0.8208351560000161,0.3237368432374052,0.7411347517730497,0.1946902654867256,0.3083732939874585,0.7471379070115962,0.7531410622501428,5275,1729,146,418,IRSUICTHNK,Stacking RL+XGB,0.47467635702929817
4,0.7472251585623678,0.8219449948843949,0.3010115639905066,0.7495559502664298,0.1923427529626253,0.3061298512876315,0.7482968901938859,0.747037830121342,5233,1772,141,422,IRSUICTHNK,Stacking RL+XGB,0.47458389563652714
5,0.7483811285846439,0.8204992985485076,0.2986677412231801,0.7548845470692718,0.1939753537197626,0.3086419753086419,0.7513714568584509,0.74785836664763,5238,1766,138,425,IRSUICTHNK,Stacking RL+XGB,0.47828044114337154
1,0.7667811839323467,0.8603250608942437,0.1700962113527157,0.8359788359788359,0.0835095137420718,0.1518500720807304,0.8004938223802569,0.7650088087816778,5645,1734,31,158,IRSUIPLANYR,Stacking RL+XGB,0.29833836858006024
2,0.7694238900634249,0.8434682722526603,0.1463982788209533,0.7671957671957672,0.0785482123510292,0.1425061425061425,0.7683383633376857,0.7694809594796043,5678,1701,44,145,IRSUIPLANYR,Stacking RL+XGB,0.27863182167563394
3,0.7756342494714588,0.846332112221799,0.1710844738090738,0.7777777777777778,0.08153078202995,0.1475903614457831,0.7766785622863682,0.7755793467949587,5723,1656,42,147,IRSUIPLANYR,Stacking RL+XGB,0.2872215709261428
4,0.7764270613107822,0.8191420890272733,0.1449929116647429,0.7340425531914894,0.0775280898876404,0.1402439024390244,0.75577466412962,0.7775067750677507,5738,1642,50,138,IRSUIPLANYR,Stacking RL+XGB,0.27251184834123204
5,0.7692612660235232,0.8472173765112612,0.1808889109769333,0.776595744680851,0.0789189189189189,0.1432777232580961,0.7728350725030492,0.7690744003252473,5675,1704,42,146,IRSUIPLANYR,Stacking RL+XGB,0.28055342044581083
1,0.7773520084566596,0.8541364434603345,0.1191019096667908,0.7857142857142857,0.0380842469705712,0.0726472206934507,0.7814862182179125,0.7772581507215393,5817,1667,18,66,IRSUITRYYR,Stacking RL+XGB,0.15949734171097127
2,0.7707452431289641,0.851215927311598,0.1083317612138907,0.8333333333333334,0.0390843104410943,0.0746666666666666,0.801688045608409,0.7700427578834848,5763,1721,14,70,IRSUITRYYR,Stacking RL+XGB,0.16455101081335188
3,0.7795983086680761,0.8090664846911506,0.1044824682490787,0.6428571428571429,0.0319148936170212,0.0608108108108108,0.7119951133847446,0.7811330839123464,5846,1638,30,54,IRSUITRYYR,Stacking RL+XGB,0.13313609467455595
4,0.7899048625792812,0.8216353617876868,0.0769295734890521,0.6904761904761905,0.0357583230579531,0.0679953106682297,0.7407485174721946,0.7910208444681989,5920,1564,26,58,IRSUITRYYR,Stacking RL+XGB,0.14811031664964233
5,0.7748116823047443,0.8564635395786004,0.1172254607390782,0.7976190476190477,0.0381984036488027,0.0729053318824809,0.7860873535569514,0.774555659494855,5796,1687,17,67,IRSUITRYYR,Stacking RL+XGB,0.16028708133971278
