variable_original,puntuacion_media,puntuacion_max,targets_2_metodos,targets_3_metodos,targets_puntuacion_090,targets_puntuacion_095
FUCIG21,0.5527880278802788,0.6170561705617056,0,0,0,0
SNYSTOLE,0.49436244362443627,0.6166461664616646,0,0,0,0
CIGFNSMK,0.5628331283312833,0.6158261582615826,0,0,0,0
CIGMLU,0.5505330053300533,0.6150061500615006,0,0,0,0
CGRFLAG,0.4225092250922509,0.6145961459614596,0,0,0,0
DIFGETCOC,0.5555555555555556,0.6145961459614596,0,0,0,0
CIGREGNM,0.5678044280442804,0.6135711357113571,0,0,0,0
GRSKBNGDLY,0.4974887248872489,0.6133661336613366,0,0,0,0
OPINMYR2,0.5322878228782288,0.6117261172611727,0,0,0,0
MILTSIBLN,0.4680709307093071,0.611521115211152,0,0,0,0
CIGSVLHR,0.5675481754817548,0.6090610906109061,0,0,0,0
NITOXIEVER2,0.41082410824108245,0.6088560885608857,0,0,0,0
OTHINS,0.44259942599425994,0.6088560885608856,0,0,0,0
KRATOMFLAG,0.5227552275522755,0.6080360803608037,0,0,0,0
PSILCYYR,0.490979909799098,0.6068060680606806,0,0,0,0
IRFAMSVC,0.5087125871258713,0.6047560475604756,0,0,0,0
RXMTHPANY,0.5239852398523985,0.6047560475604756,0,0,0,0
PNRNMYR,0.5386428864288643,0.6039360393603935,0,0,0,0
SYNMRJFLAG,0.5461254612546126,0.6031160311603115,0,0,0,0
METHMOLST,0.5825133251332514,0.6025010250102502,0,0,0,0
CIGINCTL,0.5773882738827388,0.6020910209102092,0,0,0,0
RXALPRANY,0.4480319803198032,0.6014760147601476,0,0,0,0
CIGSATIS,0.5880483804838048,0.6010660106601066,0,0,0,0
CIGLOTMR,0.5627306273062731,0.6006560065600656,0,0,0,0
CIGDLMLU,0.526650266502665,0.5990159901599016,0,0,0,0
MXMJPNLT,0.5181426814268142,0.5981959819598196,0,0,0,0
IROTHHLT,0.4581283312833128,0.5975809758097581,0,0,0,0
CIGAVOID,0.54920049200492,0.5961459614596146,0,0,0,0
IRSEVSTMUNM,0.4646371463714637,0.5940959409594097,0,0,0,0
CIGNMCHG,0.5499179991799918,0.5932759327593277,0,0,0,0
NOBOOKY2,0.5091225912259123,0.5920459204592046,0,0,0,0
UD5TRQSDANY,0.5116851168511685,0.5916359163591636,0,0,0,0
UADPEOP,0.5350553505535056,0.5908159081590816,0,0,0,0
CIGPLANE,0.552480524805248,0.5904059040590406,0,0,0,0
MJCMOTHYR,0.5123001230012301,0.5904059040590406,0,0,0,0
CIGWAKE,0.5410004100041,0.5891758917589176,0,0,0,0
BOOKED,0.5074313243132431,0.586510865108651,0,0,0,0
SEVYRSEDANY,0.4593070930709307,0.5863058630586306,0,0,0,0
SYNMRJYR,0.37587125871258714,0.5863058630586306,0,0,0,0
UADPAID,0.5317753177531775,0.5863058630586305,0,0,0,0
IRFAMSSI,0.4638171381713817,0.5842558425584256,0,0,0,0
UADHOME,0.5341328413284133,0.5840508405084051,0,0,0,0
UADSCHL,0.5418716687166871,0.5838458384583846,0,0,0,0
HLTINNOS,0.43414309143091434,0.5836408364083642,0,0,0,0
KRATEVER,0.5426916769167691,0.5826158261582616,0,0,0,0
CIGNOINF,0.523780237802378,0.5822058220582206,0,0,0,0
MILTFAMLY,0.4572058220582206,0.5815908159081591,0,0,0,0
UDYR5PNRANY2,0.4900574005740057,0.5809758097580976,0,0,0,0
FUCD218,0.5063550635506355,0.5797457974579746,0,0,0,0
SMKMOLAST,0.527060270602706,0.5797457974579746,0,0,0,0
IMFEVER,0.42240672406724067,0.579540795407954,0,0,0,0
TQSDNMYR,0.5369003690036901,0.5789257892578926,0,0,0,0
DRVINALCO2,0.3724887248872489,0.5785157851578516,0,0,0,0
SEDNMFLAG,0.5132226322263223,0.5776957769577695,0,0,0,0
HTINCHE2,0.46330463304633046,0.5760557605576057,0,0,0,0
RXCLONANY,0.4553095530955309,0.5752357523575236,0,0,0,0
HLCLAST,0.46494464944649444,0.5744157441574416,0,0,0,0
NPCOLDFLAG,0.5087125871258713,0.5719557195571956,0,0,0,0
STMMAINRSN,0.5264452644526445,0.5719557195571956,0,0,0,0
UADEVNT,0.5429479294792948,0.5703157031570316,0,0,0,0
UADROTH,0.54920049200492,0.5694956949569496,0,0,0,0
METHAMFLAG,0.5343378433784338,0.5678556785567855,0,0,0,0
SVYRCNSUNM,0.44710947109471094,0.5662156621566216,0,0,0,0
UADPUBL,0.5463304633046331,0.5637556375563756,0,0,0,0
SYNSTMYR,0.3278495284952849,0.5633456334563346,0,0,0,0
SRCSTMNM2,0.5248052480524805,0.5608856088560885,0,0,0,0
UADCAR,0.5353628536285363,0.560270602706027,0,0,0,0
KETMINFLAG,0.4476219762197622,0.5600656006560065,0,0,0,0
SRCTRQNM2,0.542230422304223,0.5596555965559655,0,0,0,0
TOBFLAG,0.4219967199671997,0.5580155801558015,0,0,0,0
ACTDEVER,0.3428659286592866,0.5576055760557606,0,0,0,0
DIFGETCRK,0.49425994259942596,0.5563755637556375,0,0,0,0
NEWRACE2,0.5125051250512505,0.5563755637556375,0,0,0,0
FUCOC18,0.4879048790487905,0.5555555555555555,0,0,0,0
ILTOBALCFG,0.36121361213612135,0.5551455514555146,0,0,0,0
SVYRTQSDMIS,0.4763222632226322,0.5551455514555146,0,0,0,0
DIFGETHER,0.517630176301763,0.5535055350553505,0,0,0,0
RXTRAMANY2,0.45356703567035667,0.5522755227552275,0,0,0,0
CIGFLAG,0.44306068060680603,0.551250512505125,0,0,0,0
UADBAR,0.537259122591226,0.5508405084050841,0,0,0,0
METHNDAYPM,0.4472119721197212,0.5502255022550225,0,0,0,0
FUMETHAM21,0.4751947519475195,0.5473554735547356,0,0,0,0
RXCODEANY2,0.4465969659696597,0.5473554735547356,0,0,0,0
NONABOVEV2,0.36628741287412875,0.5469454694546946,0,0,0,0
CGRYR,0.5101476014760148,0.5457154571545716,0,0,0,0
IMFFLAG,0.4037515375153752,0.5453054530545306,0,0,0,0
CDCGMO,0.48739237392373924,0.5444854448544486,0,0,0,0
TOBALCFLG,0.32913079130791306,0.5440754407544075,0,0,0,0
RSKBNGWK,0.500410004100041,0.541820418204182,0,0,0,0
UADOTHM,0.5223452234522346,0.540590405904059,0,0,0,0
BNGDRMDAYS,0.4726322263222632,0.5399753997539976,0,0,0,0
MJONLYFLAG2,0.40641656416564165,0.5366953669536695,0,0,0,0
SYNSTMFLAG,0.3040180401804018,0.5362853628536286,0,0,0,0
SRCSEDNM2,0.38970889708897083,0.5350553505535055,0,0,0,0
UD5ALNILANY,0.41635916359163594,0.5350553505535055,0,0,0,0
COCYDAYS,0.5006150061500615,0.5338253382533825,0,0,0,0
TOBALCMN,0.3873513735137351,0.5338253382533825,0,0,0,0
IRPYSEV5MTH,0.46176711767117673,0.5334153341533415,0,0,0,0
SEDMAINRSN,0.3602911029110291,0.5334153341533415,0,0,0,0
WRKRSNNOT,0.4361418614186142,0.5330053300533005,0,0,0,0
ALCMON,0.41471914719147196,0.532390323903239,0,0,0,0
CRKMLU,0.4616646166461665,0.532390323903239,0,0,0,0
FLVVAPMON,0.4517220172201722,0.5301353013530136,0,0,0,0
UDYR5TRQANY,0.46094710947109474,0.5301353013530136,0,0,0,0
FPIMFNMYR,0.3643911439114391,0.5260352603526035,0,0,0,0
DIFOBTHER,0.48134481344813446,0.5256252562525625,0,0,0,0
CDUFLAG,0.446289462894629,0.5252152521525216,0,0,0,0
DIFOBTCRK,0.4933374333743337,0.5252152521525215,0,0,0,0
IRHHSIZ2,0.45059450594505945,0.5252152521525215,0,0,0,0
RXOXCOANY2,0.4809348093480935,0.5248052480524805,0,0,0,0
FUSMKLSS21,0.4272242722427224,0.5243952439524394,0,0,0,0
DAMTFXFLAG,0.4358343583435834,0.5239852398523985,0,0,0,0
HERMLU,0.4661746617466175,0.5200902009020091,0,0,0,0
GRSKBNGWK,0.4177941779417794,0.5188601886018861,0,0,0,0
AMYLNIEVER2,0.40518655186551866,0.5182451824518245,0,0,0,0
RXHYDCANY2,0.46740467404674046,0.5182451824518245,0,0,0,0
IRPYSEV5COC,0.4360393603936039,0.5166051660516605,0,0,0,0
FUMETHAM18,0.45187576875768753,0.51640016400164,0,0,0,0
DRVINHERN,0.44177941779417795,0.5161951619516195,0,0,0,0
IRSEVSTMMIS,0.4357318573185732,0.5161951619516195,0,0,0,0
TRQNMYR,0.4816010660106601,0.5157851578515785,0,0,0,0
BNGDRKMON,0.37997129971299715,0.5149651496514965,0,0,0,0
IRKI17_2,0.39186141861418616,0.5133251332513326,0,0,0,0
HLLOSRSN,0.4411644116441164,0.51230012300123,0,0,0,0
IRSEVSEDMIS,0.3949364493644937,0.5116851168511686,0,0,0,0
ANYNEDYR,0.38038130381303814,0.5063550635506355,0,0,0,0
ALCMDAYS,0.42384173841738415,0.506150061500615,0,0,0,0
SRCCLFRTRQ,0.3736162361623616,0.505740057400574,0,0,0,0
PROB,0.3890938909389094,0.5047150471504714,0,0,0,0
SVYRTQSDUNM,0.42794177941779415,0.5034850348503485,0,0,0,0
IRPYSEV5HAL,0.3817138171381713,0.5014350143501435,0,0,0,0
UADFWHO,0.48390733907339073,0.5006150061500615,0,0,0,0
STMNMYR,0.44188191881918815,0.49979499794997945,0,0,0,0
FUCRK21,0.41518040180401805,0.499589995899959,0,0,0,0
METHAMYR,0.4272242722427224,0.49938499384993856,0,0,0,0
PROBATON,0.3791512915129151,0.4973349733497335,0,0,0,0
UDYR5STMANY,0.4780647806478065,0.49446494464944646,0,0,0,0
SERVICE,0.3236982369823698,0.49323493234932353,0,0,0,0
BMI2,0.4666871668716687,0.4932349323493235,0,0,0,0
INHNDAYYR2,0.4599220992209922,0.4932349323493235,0,0,0,0
MILSTAT,0.3421484214842148,0.4911849118491185,0,0,0,0
IMFYR,0.33845838458384586,0.49077490774907745,0,0,0,0
IRFAMSOC,0.4001640016400164,0.48872488724887253,0,0,0,0
OTHRTRQANY,0.3804838048380484,0.4883148831488315,0,0,0,0
UADFRD,0.48031980319803197,0.4883148831488315,0,0,0,0
IRUD5PNRMIS,0.3779212792127921,0.48749487494874955,0,0,0,0
SMKLSSFLAG,0.4244567445674457,0.4866748667486675,0,0,0,0
DRVINDROTMJ,0.4185116851168512,0.48421484214842153,0,0,0,0
RXAMMEMIS,0.4194341943419434,0.48134481344813446,0,0,0,0
SALVIAFLAG,0.2908979089790898,0.48093480934809346,0,0,0,0
CIGPDAY,0.42599425994259943,0.4797047970479705,0,0,0,0
HALLNDAYPM,0.45018450184501846,0.4797047970479705,0,0,0,0
RXAMPHMIS,0.4030340303403034,0.4797047970479705,0,0,0,0
MJSKNYR,0.3850963509635097,0.4784747847478475,0,0,0,0
ANYHLTI2,0.36690241902419024,0.4766297662976629,0,0,0,0
FUHER21,0.3220582205822058,0.47642476424764246,0,0,0,0
SMKLSMDAYS,0.3279007790077901,0.47642476424764246,0,0,0,0
SYNSTMEVR,0.31621566215662156,0.47293972939729406,0,0,0,0
IRSEVTRQUNM,0.4143091430914309,0.4715047150471505,0,0,0,0
COCYR,0.44218942189421895,0.4702747027470275,0,0,0,0
FUECSTMO18,0.4276342763427634,0.4702747027470275,0,0,0,0
BZONMYR,0.44526445264452646,0.4690446904469045,0,0,0,0
OXYCNANYYR2,0.40457154571545717,0.4686346863468635,0,0,0,0
SYNMRJMON,0.27357523575235754,0.4674046740467405,0,0,0,0
COMBATPY,0.31324313243132434,0.461459614596146,0,0,0,0
UDYR5SEDANY,0.35977859778597787,0.46043460434604344,0,0,0,0
RXBZOTMIS,0.42650676506765073,0.45879458794587946,0,0,0,0
HIGHBPMED,0.31288437884378845,0.4571545715457154,0,0,0,0
CGRMDAYS,0.39801148011480114,0.4559245592455925,0,0,0,0
KRATOMYR,0.37464124641246416,0.4555145551455515,0,0,0,0
CIG1PACK,0.4170766707667077,0.45551455514555145,0,0,0,0
RXOXCOMIS,0.3727962279622796,0.45387453874538747,0,0,0,0
IRINSUR4,0.37684501845018453,0.4528495284952849,0,0,0,0
IRSEVTRQMIS,0.3970889708897089,0.4526445264452645,0,0,0,0
CNSNMMON,0.43316933169331695,0.4522345223452234,0,0,0,0
PSYCHMON,0.39719147191471915,0.4518245182451825,0,0,0,0
CELLNOTCL,0.3979089790897909,0.4497744977449775,0,0,0,0
CHMNDLREC,0.4229192291922919,0.44895448954489553,0,0,0,0
PNRNDAYPM,0.3892988929889299,0.4481344813448134,0,0,0,0
OTHRSEDMIS2,0.28228782287822873,0.4473144731447314,0,0,0,0
IRSEVPNRUNM2,0.3675686756867569,0.44280442804428044,0,0,0,0
SVYROPIUNM,0.36203362033620334,0.44280442804428044,0,0,0,0
WTPOUND2,0.41912669126691265,0.44280442804428044,0,0,0,0
RXMRLXANY,0.2610188601886019,0.44198441984419845,0,0,0,0
METHAMMON,0.34993849938499383,0.4407544075440754,0,0,0,0
ANYNEDFLAG,0.36285362853628533,0.43911439114391143,0,0,0,0
IRUD5SEDMIS,0.30637556375563757,0.4346043460434605,0,0,0,0
SEDNDAYPM,0.27050020500205,0.4341943419434194,0,0,0,0
OPIIMFNMMN2,0.3845838458384584,0.4325543255432554,0,0,0,0
CRKFLAG,0.3763837638376384,0.4317343173431734,0,0,0,0
KRATOMMON,0.3182656826568266,0.43050430504305043,0,0,0,0
OTHRPNRANY2,0.3159081590815908,0.4296842968429684,0,0,0,0
RXBUPRANY2,0.32503075030750306,0.4272242722427224,0,0,0,0
SRCFRSTMNM,0.3048380483804838,0.4268142681426814,0,0,0,0
ANYNDLREC,0.4002665026650266,0.4259942599425994,0,0,0,0
FUSMKLSS18,0.36059860598605986,0.4251742517425174,0,0,0,0
PIPFLAG,0.36931119311193117,0.42476424764247644,0,0,0,0
INHALYR2,0.36285362853628533,0.4235342353423534,0,0,0,0
SRCCLFRSTM,0.2960229602296023,0.42107421074210744,0,0,0,0
SYNSTMMON,0.2377511275112751,0.42107421074210744,0,0,0,0
IRPYUD5COC,0.34399343993439935,0.41984419844198445,0,0,0,0
MJCMOTHMON,0.3808938089380894,0.41943419434194346,0,0,0,0
IMFMON,0.25512505125051255,0.41902419024190246,0,0,0,0
IRPYUD5MTH,0.3665436654366544,0.4128741287412874,0,0,0,0
CLEFLUEVER2,0.34286592865928656,0.4108241082410824,0,0,0,0
IRPYSEV5INH,0.3010455104551045,0.4108241082410824,0,0,0,0
CAPROSTEST,0.25968634686346864,0.4104141041410414,0,0,0,0
HERFLAG,0.3878638786387864,0.4095940959409594,0,0,0,0
RXMORPANY2,0.38940139401394014,0.4087740877408774,0,0,0,0
ECSTMOYR,0.32574825748257485,0.40836408364083643,0,0,0,0
GLUEEVER2,0.32902829028290287,0.4050840508405084,0,0,0,0
AIRDUSEVER2,0.3590610906109061,0.4046740467404674,0,0,0,0
RXCYCLANY,0.23908364083640837,0.3981139811398114,0,0,0,0
HTANSWER,0.29079540795407954,0.3972939729397294,0,0,0,0
HERSMOEVER,0.3337433374333743,0.39647396473964736,0,0,0,0
MJMTHYR,0.3750512505125051,0.3960639606396064,0,0,0,0
RXBUPRMIS,0.28136531365313655,0.39565395653956537,0,0,0,0
INHNDAYPM2,0.34973349733497333,0.39524395243952437,0,0,0,0
SPAINTEVER2,0.3300533005330053,0.39524395243952437,0,0,0,0
CGRMON,0.32964329643296436,0.3923739237392374,0,0,0,0
RXALPRMIS,0.36223862238622384,0.39196391963919636,0,0,0,0
SMKLSSYR,0.34255842558425587,0.3915539155391554,0,0,0,0
HLNVCOST,0.2792640426404264,0.39032390323903243,0,0,0,0
FUHER18,0.3005330053300533,0.3890938909389094,0,0,0,0
DCIGMON,0.3491184911849119,0.3870438704387044,0,0,0,0
SPEAKENGL,0.3292332923329233,0.3870438704387043,0,0,0,0
HERYDAYS,0.2743952439524395,0.3866338663386634,0,0,0,0
SRCFRTRQNM,0.3428659286592866,0.3847888478884789,0,0,0,0
HALLUCMON,0.3393808938089381,0.3817138171381713,0,0,0,0
SRCCLFRPNR,0.3256970069700697,0.3788437884378844,0,0,0,0
HLNVREF,0.28961664616646166,0.3751537515375154,0,0,0,0
OTHRTRQMIS,0.1822468224682247,0.3735137351373514,0,0,0,0
GASEVER2,0.3282082820828208,0.3722837228372284,0,0,0,0
WTANSWER,0.21432964329643298,0.3718737187371874,0,0,0,0
IRUD5STMMIS,0.34460844608446084,0.3702337023370233,0,0,0,0
HLNVOFFR,0.2893091430914309,0.3698236982369824,0,0,0,0
TRQNDAYPM,0.30965559655596553,0.3690036900369003,0,0,0,0
NPCOLDYR,0.21730217302173022,0.3681836818368183,0,0,0,0
SEDNMYR,0.28280032800328003,0.36736367363673644,0,0,0,0
IRUD5STMUNM,0.3464534645346453,0.36736367363673633,0,0,0,0
HLNVSOR,0.2836715867158672,0.36613366133661335,0,0,0,0
PCPMLU,0.331129561295613,0.36613366133661335,0,0,0,0
ACTDPRIV,0.26419639196391964,0.36551865518655186,0,0,0,0
SRCFRPNRNM,0.3353321033210332,0.3628536285362854,0,0,0,0
UADMONY,0.32441574415744157,0.36203362033620334,0,0,0,0
OPINMMON2,0.3044280442804428,0.36080360803608036,0,0,0,0
IRPYUD5HAL,0.2767527675276753,0.35793357933579334,0,0,0,0
RXFLURANY,0.1738929889298893,0.35670356703567035,0,0,0,0
FUCRK18,0.31970069700697007,0.3546535465354654,0,0,0,0
HVYDRKMON,0.29141041410414104,0.3546535465354654,0,0,0,0
STMNDAYPM,0.3012505125051251,0.3542435424354244,0,0,0,0
PAROL,0.2751640016400164,0.3538335383353834,0,0,0,0
RXDIAZANY,0.31560065600656007,0.3538335383353834,0,0,0,0
CRKYDAYS,0.28198031980319804,0.3530135301353014,0,0,0,0
LGASEVER2,0.2773677736777368,0.34850348503485035,0,0,0,0
OTHAEREVER2,0.28182656826568264,0.34829848298482985,0,0,0,0
FUPCP21,0.2761377613776138,0.34686346863468637,0,0,0,0
HRTCONDYR,0.3107318573185732,0.34665846658466587,0,0,0,0
LSDYR,0.27706027060270605,0.3456334563345633,0,0,0,0
IRFAMPMT,0.31232062320623205,0.34522345223452233,0,0,0,0
DIABETEVR2,0.29387043870438706,0.34481344813448134,0,0,0,0
HLNVNEED,0.2855678556785568,0.34399343993439935,0,0,0,0
PNRNMMON,0.30781057810578105,0.34235342353423537,0,0,0,0
IRUD5TRQUNM,0.2997129971299713,0.3419434194341944,0,0,0,0
HERSNIEVER,0.29745797457974577,0.3415334153341533,0,0,0,0
IRUD5TRQMIS,0.3009430094300943,0.34030340303403034,0,0,0,0
RXHYDCMIS,0.2878228782287823,0.33784337843378437,0,0,0,0
MTHNEDEVER,0.27460024600246,0.3366133661336613,0,0,0,0
HIGHBPEVR2,0.28828413284132837,0.3353833538335383,0,0,0,0
RXOPPRNMMON,0.268040180401804,0.3353833538335383,0,0,0,0
PSILCYMON,0.2620951209512095,0.3345633456334563,0,0,0,0
HLCALL99,0.18091430914309142,0.3341533415334153,0,0,0,0
IRSEVSEDUNM,0.2814678146781468,0.3329233292332923,0,0,0,0
RXZOHYMIS,0.10414104141041411,0.33210332103321033,0,0,0,0
IRPYSEV5HER,0.26650266502665027,0.32882328823288237,0,0,0,0
ACTD7590,0.24738622386223863,0.32595325953259535,0,0,0,0
RXHYDMANY2,0.2836715867158672,0.32595325953259535,0,0,0,0
OTHRSTMMIS,0.18931939319393193,0.3245182451824518,0,0,0,0
ACTD2001,0.2679376793767938,0.32287822878228783,0,0,0,0
RXBZOSANY,0.236879868798688,0.32226322263222634,0,0,0,0
IMFNEDFLAG,0.23134481344813448,0.3202132021320213,0,0,0,0
PAROLREL,0.2629663796637966,0.31980319803198026,0,0,0,0
SOLVENEVER2,0.2692189421894219,0.31324313243132434,0,0,0,0
OXYCNNMYR,0.26496514965149653,0.31283312833128335,0,0,0,0
IRUD5PNRUNM2,0.27398523985239853,0.31201312013120136,0,0,0,0
EDUSKPEST,0.27321648216482164,0.3107831078310783,0,0,0,0
OTHRSTMANY,0.27121771217712176,0.3083230832308323,0,0,0,0
OTHRPNRMIS,0.19936449364493647,0.3079130791307913,0,0,0,0
CDNOCGMO,0.24425994259942602,0.3070930709307093,0,0,0,0
LSDMON,0.19608446084460845,0.3070930709307093,0,0,0,0
IRGHBREC,0.27121771217712176,0.3058630586305863,0,0,0,0
RXLORAMIS,0.2138171381713817,0.30545305453054533,0,0,0,0
UADCAG,0.2702952029520295,0.30545305453054533,0,0,0,0
UADOTSP2,0.20489954899548996,0.30422304223042235,0,0,0,0
ACTD9001,0.24513120131201313,0.30381303813038135,0,0,0,0
CABREAST,0.2185321853218532,0.30299302993029925,0,0,0,0
HRTCONDEV2,0.28018655186551866,0.3007380073800738,0,0,0,0
MJSKNMON,0.253690036900369,0.2997129971299713,0,0,0,0
RXOXYMANY2,0.18357933579335792,0.2964329643296433,0,0,0,0
FUPCP18,0.2197621976219762,0.29438294382943825,0,0,0,0
FUSTMNM21,0.21166461664616645,0.2935629356293563,0,0,0,0
CADRKHALL2,0.18450184501845018,0.2923329233292333,0,0,0,0
ACTDVIET,0.2277060270602706,0.2919229192291923,0,0,0,0
COCMDAYS,0.27829028290282903,0.2919229192291923,0,0,0,0
RXTRIAANY,0.1479089790897909,0.2911029110291103,0,0,0,0
HEPBCEVER2,0.23031980319803197,0.2894628946289463,0,0,0,0
RXPROVMIS,0.12115621156211563,0.2894628946289463,0,0,0,0
CAMELANOM,0.2279110291102911,0.28823288232882327,0,0,0,0
CELLWRKNG,0.23349733497334973,0.2874128741287413,0,0,0,0
CALARYLUNG,0.2222222222222222,0.2874128741287412,0,0,0,0
CACOLNRECT,0.2326260762607626,0.28618286182861824,0,0,0,0
TQSDNMMON,0.23636736367363673,0.2857728577285773,0,0,0,0
RXZOHYANY2,0.11326363263632637,0.2847478474784748,0,0,0,0
RXZOLPANY,0.2050020500205002,0.28454284542845426,0,0,0,0
RXANORMIS,0.12899753997539976,0.2824928249282493,0,0,0,0
TRQNMMON,0.19505945059450597,0.2816728167281673,0,0,0,0
PCPYR,0.1776342763427634,0.28167281672816724,0,0,0,0
NMVSOEST,0.253280032800328,0.2808528085280853,0,0,0,0
CANCERYR,0.21412464124641248,0.2794177941779418,0,0,0,0
SEDNMMON,0.16328413284132842,0.27921279212792127,0,0,0,0
RXCLONMIS,0.21894218942189425,0.2763427634276343,0,0,0,0
CASKINOTH,0.21022960229602297,0.27511275112751127,0,0,0,0
INHALMON2,0.24559245592455922,0.2742927429274293,0,0,0,0
SMKLSSMON,0.20346453464534645,0.27183271832718325,0,0,0,0
CABLADDER,0.2105371053710537,0.2697826978269782,0,0,0,0
KETMINYR,0.16523165231652315,0.2697826978269782,0,0,0,0
IRCHMPUS,0.24005740057400576,0.2693726937269373,0,0,0,0
UADPLACE,0.20817958179581797,0.26650266502665027,0,0,0,0
RXCODEMIS,0.19874948749487495,0.2648626486264863,0,0,0,0
UADBWHO,0.233189831898319,0.2648626486264863,0,0,0,0
EDUSCKEST,0.2556888068880689,0.2638376383763838,0,0,0,0
CAGALLIVPAN,0.22063345633456335,0.26240262402624026,0,0,0,0
STMNMMON,0.1953669536695367,0.2607626076260763,0,0,0,0
CHAMPUS,0.24067240672406726,0.26035260352603523,0,0,0,0
MJMTHMON,0.2019270192701927,0.25789257892578926,0,0,0,0
RXBARBANY,0.13150881508815088,0.2568675686756868,0,0,0,0
CAOTHER2,0.2268860188601886,0.2566625666256663,0,0,0,0
FUPNRNM21,0.19013940139401395,0.2566625666256663,0,0,0,0
CAOVARY,0.20848708487084872,0.2562525625256253,0,0,0,0
NOOPPRANYYR,0.17517425174251744,0.2562525625256253,0,0,0,0
FUPNRNM18,0.15103526035260353,0.2554325543255433,0,0,0,0
COPDEVER2,0.2404161541615416,0.2525625256252562,0,0,0,0
PCPFLAG,0.22150471504715047,0.2521525215252152,0,0,0,0
CATHYROID,0.22068470684706848,0.25174251742517423,0,0,0,0
PIPMON,0.20305453054530548,0.25092250922509224,0,0,0,0
HIVAIDSEV2,0.20751332513325133,0.25010250102501025,0,0,0,0
CABLOLEULYM,0.21842968429684295,0.24928249282492823,0,0,0,0
CAMOUTTHRO,0.21612341123411233,0.2484624846248462,0,0,0,0
CAUTERUS,0.20305453054530545,0.24723247232472326,0,0,0,0
MJPLLYR,0.22375973759737597,0.24518245182451825,0,0,0,0
CIRROSEVR2,0.19921074210742107,0.24436244362443624,0,0,0,0
CASKINDK,0.22903854038540383,0.2435424354243542,0,0,0,0
CAESOPSTOM,0.22637351373513734,0.24067240672406723,0,0,0,0
RXESZOANY,0.15713407134071342,0.23944239442394424,0,0,0,0
RXPROVANY,0.13222632226322262,0.23944239442394424,0,0,0,0
CACERVIX,0.22283722837228373,0.23821238212382123,0,0,0,0
IRUD5SEDUNM,0.17609676096760968,0.23780237802378024,0,0,0,0
NOOPPRNMYR,0.12904879048790488,0.23780237802378024,0,0,0,0
GHBFLAG,0.18234932349323493,0.23534235342353424,0,0,0,0
RXTRAMMIS,0.20899958999589996,0.23452234522345225,0,0,0,0
IRPYUD5INH,0.1877818778187782,0.23370233702337026,0,0,0,0
ETHEREVER2,0.18491184911849118,0.23165231652316523,0,0,0,0
HERNEDEVER,0.17947929479294794,0.22878228782287824,0,0,0,0
KIDNYDSEV2,0.21120336203362036,0.22878228782287824,0,0,0,0
CAKIDNEY,0.2140221402214022,0.2244772447724477,0,0,0,0
RXTEMAANY,0.17953054530545304,0.22386223862238622,0,0,0,0
HERYR,0.1643091430914309,0.2201722017220172,0,0,0,0
HERMDAYS,0.18127306273062732,0.21894218942189425,0,0,0,0
GHBMON,0.10403854038540386,0.21812218122181223,0,0,0,0
CRKYR,0.18029930299302996,0.21648216482164825,0,0,0,0
COCMON,0.19075440754407544,0.21443214432144322,0,0,0,0
CANCEREVR2,0.20018450184501846,0.21197211972119723,0,0,0,0
UADBUND,0.1863468634686347,0.21197211972119723,0,0,0,0
CRKMDAYS,0.1734829848298483,0.21074210742107422,0,0,0,0
RXMTHPMIS,0.19116441164411643,0.20992209922099223,0,0,0,0
RXMORPMIS,0.16471914719147193,0.20869208692086924,0,0,0,0
RXBARBMIS,0.12294997949979498,0.2056170561705617,0,0,0,0
SRCCLFRSED,0.14227142271422713,0.2045920459204592,0,0,0,0
MESCEVER,0.1474989749897499,0.2033620336203362,0,0,0,0
RXMTDNANY2,0.1483189831898319,0.2029520295202952,0,0,0,0
PEYOTEEVER,0.14196391963919638,0.20110701107011067,0,0,0,0
RXMRLXMIS,0.13371258712587125,0.20090200902009017,0,0,0,0
RXDEMEANY2,0.1456539565395654,0.1992619926199262,0,0,0,0
SRCFRSEDNM,0.14042640426404263,0.19762197621976219,0,0,0,0
COCNEDEVER,0.1544690446904469,0.1951619516195162,0,0,0,0
MJOTHYR,0.13130381303813038,0.19188191881918817,0,0,0,0
CADRKMETH2,0.10629356293562936,0.1877818778187782,0,0,0,0
RXHYDMMIS,0.10706232062320623,0.18081180811808117,0,0,0,0
RXANORANY,0.14421894218942188,0.17097170971709716,0,0,0,0
IRPYUD5HER,0.14985649856498565,0.16933169331693318,0,0,0,0
RXZOLPMIS,0.10485854858548585,0.16687166871668715,0,0,0,0
RXDIAZMIS,0.1350451004510045,0.16502665026650268,0,0,0,0
FUTRQNM21,0.14391143911439114,0.16031160311603118,0,0,0,0
RXCYCLMIS,0.1080360803608036,0.16031160311603115,0,0,0,0
SALVIAYR,0.09086715867158672,0.15805658056580565,0,0,0,0
RXBZOSMIS,0.11080360803608036,0.15334153341533416,0,0,0,0
MJPLLMON,0.11992619926199262,0.14801148011480114,0,0,0,0
RXSOMAANY,0.10116851168511685,0.14719147191471915,0,0,0,0
RXESZOMIS,0.09542845428454284,0.14493644936449365,0,0,0,0
HERMON,0.07369823698236982,0.13735137351373514,0,0,0,0
RXMTDNMIS,0.06380688806888068,0.13222632226322262,0,0,0,0
