variable_original,puntuacion_media,puntuacion_max,targets_2_metodos,targets_3_metodos,targets_puntuacion_090,targets_puntuacion_095
MRJMDAYS,0.8661336613366133,0.9081590815908159,2,0,1,0
TOBVAPONL2,0.8358958589585896,0.8864288642886429,2,0,0,0
ILLMON,0.8412259122591226,0.8847888478884789,2,0,0,0
WRKSICKMO,0.8028392783927839,0.8733087330873307,2,0,0,0
MRJMONVAP2,0.7997129971299712,0.8154981549815498,2,0,0,0
ALCYLU,0.7689626896268963,0.8068880688806889,2,0,0,0
SMKYRLAST,0.7190446904469044,0.7716277162771629,2,0,0,0
ILLFLAG,0.7391348913489134,0.9290692906929069,1,0,1,0
MRJMLU,0.7569188191881919,0.9255842558425584,1,0,1,0
CASURCVR,0.8638786387863879,0.924559245592456,1,0,1,0
NICVPMDAYS,0.8586510865108651,0.924559245592456,1,0,1,0
MRJFLAG,0.707359573595736,0.923329233292333,1,0,1,0
DRVINMARJ,0.7894116441164412,0.9227142271422714,1,0,1,0
NMVSOPT2,0.7494874948749488,0.9216892168921689,1,0,1,0
PRVHLTIN,0.7023370233702337,0.9216892168921689,1,0,1,0
MRJYRBFR,0.7578413284132841,0.9202542025420254,1,0,1,0
MJSMKYR,0.8894013940139401,0.9196391963919638,1,0,1,0
IRMCDCHP,0.7924354243542435,0.918819188191882,1,0,1,0
STMANYFLAG,0.7578925789257893,0.917179171791718,1,0,1,0
FUNICVAP18,0.8825338253382533,0.9163591635916358,1,0,3,0
CASUPROB,0.8602911029110292,0.914309143091431,1,0,1,0
POVERTY3,0.7767527675276753,0.9130791307913079,1,0,1,0
HLTINMNT,0.7136121361213612,0.906109061090611,1,0,1,0
INHLYRLST,0.864749897498975,0.9018040180401803,1,0,1,0
DRVINHALL,0.8163181631816319,0.8989339893398934,1,0,0,0
EDUHIGHCAT,0.8138581385813858,0.8946289462894629,1,0,0,0
IREDUHIGHST2,0.820520705207052,0.8921689216892169,1,0,0,0
CATAG3,0.8162156621566216,0.8905289052890529,1,0,0,0
HALLMOLST,0.800840508405084,0.8669536695366954,1,0,0,0
HERYLU,0.7444649446494465,0.8640836408364083,1,0,0,0
METHYRLST,0.7884378843788438,0.8513735137351374,1,0,0,0
NRCH17_2,0.7255022550225503,0.7806478064780649,1,0,0,0
IRPYUD5MRJ,0.8984214842148421,0.920459204592046,0,0,2,0
TRQANYFLAG,0.6660516605166051,0.9171791717917178,0,0,1,0
CASUPROB2,0.8649036490364903,0.9155391553915538,0,0,1,0
NICVAPMON,0.85250102501025,0.9122591225912259,0,0,1,0
ILLEMYR2,0.8913489134891348,0.9085690856908569,0,0,3,0
HLTINALC,0.6957769577695778,0.901189011890119,0,0,1,0
GRPHLTIN,0.6856293562935629,0.8999589995899959,0,0,0,0
SVYRCNSANY,0.7461049610496104,0.8987289872898728,0,0,0,0
UD5IEMANY,0.8418409184091842,0.8983189831898319,0,0,0,0
PSYCHFLAG,0.8490159901599016,0.8946289462894629,0,0,0,0
HLTINDRG,0.6980319803198032,0.8942189421894219,0,0,0,0
CAIDCHIP,0.7407749077490775,0.8938089380893809,0,0,0,0
PREGAGE2,0.8397908979089791,0.8913489134891349,0,0,0,0
SVYRPSYANY,0.7809553095530956,0.8901189011890119,0,0,0,0
MJVAPYR,0.8257482574825747,0.8897088970889708,0,0,0,0
UD5ILNALANY,0.8585485854858549,0.8880688806888068,0,0,0,0
CNSANYYR,0.8511685116851169,0.8856088560885609,0,0,0,0
RKFQPBLT,0.7260147601476015,0.8847888478884789,0,0,0,0
GRSKLSDTRY,0.7790077900779008,0.8839688396883969,0,0,0,0
LVLDIFSEE2,0.8163181631816319,0.8839688396883968,0,0,0,0
HEALTH,0.845018450184502,0.881918819188192,0,0,0,0
TQSDANYYR,0.7266297662976631,0.8802788027880278,0,0,0,0
MJEATYR,0.7305248052480525,0.8786387863878639,0,0,0,0
