target,descripcion,positivos_total,positivos_train,positivos_test,prev_total_pct,prev_train_pct,prev_test_pct,diferencia_pp
IRAMDEYR,Episodio depresivo mayor,5205,4199,1006,11.004460982261781,11.097016305927747,10.634249471458773,0.46276683446897365
IRSUICTHNK,Ideación suicida,3489,2818,671,7.3764773039599145,7.447342688760274,7.093023255813953,0.3543194329463206
IRSUIPLANYR,Planificación suicida,1170,943,227,2.473625235205818,2.4921377414836545,2.3995771670190273,0.09256057446462712
IRSUITRYYR,Intento suicida,525,420,105,1.1099600414385082,1.1099659081899627,1.1099365750528543,2.9333137108525364e-05
