variable_original,puntuacion_media,puntuacion_max,targets_f,targets_l1,targets_rf,targets_regla_final,targets_regla_detalle
IRPYSEV5MRJ,0.9000615006150061,0.9290692906929069,4,2,0,2,"IRSUICTHNK, IRSUIPLANYR"
ENRLCOLLFT2,0.8774087740877409,0.9198441984419844,2,2,2,2,"IRSUICTHNK, IRSUITRYYR"
HEALTH2,0.8989339893398933,0.9179991799917998,4,0,2,2,"IRAMDEYR, IRSUIPLANYR"
FUMJ21,0.8006355063550635,0.9134891348913489,2,3,0,2,"IRAMDEYR, IRSUICTHNK"
MRJYR,0.8596760967609676,0.9102091020910209,3,2,0,2,"IRAMDEYR, IRSUICTHNK"
MRJMDAYS,0.8661336613366133,0.9081590815908159,3,2,0,2,"IRSUICTHNK, IRSUIPLANYR"
TOBVAPONL2,0.8358958589585896,0.8864288642886429,2,2,0,2,"IRSUIPLANYR, IRSUITRYYR"
ILLMON,0.8412259122591226,0.8847888478884789,3,2,0,2,"IRSUICTHNK, IRSUIPLANYR"
MRJMONVAP2,0.7997129971299712,0.8154981549815498,3,2,0,2,"IRSUICTHNK, IRSUIPLANYR"
NMNGTHS2,0.890221402214022,0.9852398523985239,1,4,4,1,IRSUITRYYR
INHLAGLST,0.9193829438294383,0.9477244772447723,1,4,4,1,IRAMDEYR
MRJYLU,0.8643911439114391,0.9475194751947519,1,4,4,1,IRAMDEYR
RKFQDBLT,0.8140631406314063,0.941369413694137,1,2,1,1,IRSUITRYYR
NICVAPYR,0.8916564165641656,0.938089380893809,4,1,1,1,IRSUIPLANYR
ILIMFOTHFG,0.7890528905289053,0.9343993439934399,2,1,1,1,IRAMDEYR
IRMARIT,0.905289052890529,0.9343993439934399,2,1,2,1,IRSUICTHNK
INHOSPYR,0.7216072160721607,0.93029930299303,1,1,1,1,IRSUITRYYR
ILLFLAG,0.7391348913489134,0.9290692906929069,2,1,0,1,IRAMDEYR
TQSDANYFLG,0.7144321443214432,0.9290692906929069,1,1,1,1,IRAMDEYR
MRJMLU,0.7569188191881919,0.9255842558425584,1,2,0,1,IRAMDEYR
CASURCVR,0.8638786387863879,0.924559245592456,2,1,0,1,IRAMDEYR
