variable_1,variable_2,v_cramer,nombre_1,nombre_2,n_categorias_1,n_categorias_2,tipo_relacion,relacion
DRVINMARJ,MRJFLAG,0.9994453890142366,DROVE UNDER INFLUENCE OF MARIJUANA PST 12 MOS,RC-MARIJUANA - EVER USED,7,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
MRJFLAG,MRJMLU,0.9994450197035732,RC-MARIJUANA - EVER USED,MONTH OF LAST MARIJUANA/CANNABIS USE - RECODE,2,19,"Relación alta, pero no exacta","Relación alta, pero no exacta"
DRVINMARJ,MRJYR,0.9981565885786489,DROVE UNDER INFLUENCE OF MARIJUANA PST 12 MOS,RC-MARIJUANA - PAST YEAR USE,7,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
HPDRGTALK,ILLFLAG,0.9677453099885419,HEALTH PROF DISCUSSED MY DRUG USE WITH ME,RC-ANY ILLICIT DRUG - EVER USED,9,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
HPDRGTALK,MRJYR,0.9600281025822534,HEALTH PROF DISCUSSED MY DRUG USE WITH ME,RC-MARIJUANA - PAST YEAR USE,9,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILLMON,MRJMONVAP2,0.9548424838777069,RC-ANY ILLICIT DRUG - PAST MONTH USE,"RC-MRJ VAPE, MRJ USE BUT NOT VAPE, OR NO MRJ USE - PAST MON",2,3,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILLMON,MRJMDAYS,0.9548424838777069,RC-ANY ILLICIT DRUG - PAST MONTH USE,RC-# OF DAYS USED MARIJUANA IN PAST MONTH,2,5,"Relación alta, pero no exacta","Relación alta, pero no exacta"
HPDRGTALK,ILLYR,0.9481320535163007,HEALTH PROF DISCUSSED MY DRUG USE WITH ME,RC-ANY ILLICIT DRUG - PAST YEAR USE,9,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
HPDRGTALK,MRJFLAG,0.9469755048000159,HEALTH PROF DISCUSSED MY DRUG USE WITH ME,RC-MARIJUANA - EVER USED,9,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILLYR,MRJYDAYS,0.9267976137397161,RC-ANY ILLICIT DRUG - PAST YEAR USE,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,2,6,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILLYR,MRJYR,0.9267342026539358,RC-ANY ILLICIT DRUG - PAST YEAR USE,RC-MARIJUANA - PAST YEAR USE,2,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
DRVINMARJ,ILLYR,0.9261298634407102,DROVE UNDER INFLUENCE OF MARIJUANA PST 12 MOS,RC-ANY ILLICIT DRUG - PAST YEAR USE,7,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILLFLAG,MRJFLAG,0.9223763050869137,RC-ANY ILLICIT DRUG - EVER USED,RC-MARIJUANA - EVER USED,2,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILLFLAG,MRJYRBFR,0.9219528635050397,RC-ANY ILLICIT DRUG - EVER USED,USE MJ/CANNABIS EVEN ONCE YR BEFORE LAST,2,7,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILLFLAG,MRJMLU,0.9219293884097428,RC-ANY ILLICIT DRUG - EVER USED,MONTH OF LAST MARIJUANA/CANNABIS USE - RECODE,2,19,"Relación alta, pero no exacta","Relación alta, pero no exacta"
DRVINMARJ,ILLFLAG,0.9219254168041995,DROVE UNDER INFLUENCE OF MARIJUANA PST 12 MOS,RC-ANY ILLICIT DRUG - EVER USED,7,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILIMFOTHMN,ILLMON,0.912775909661762,"RC-ILLICIT DRUG, IMF, OR OTHER SUB - PAST MONTH USE",RC-ANY ILLICIT DRUG - PAST MONTH USE,2,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
ILIMFOTHFG,ILLFLAG,0.9124222329466211,"RC-ILLICIT DRUG, IMF, OR OTHER SUB - EVER USED",RC-ANY ILLICIT DRUG - EVER USED,2,2,"Relación alta, pero no exacta","Relación alta, pero no exacta"
