target,modelo,fold,fit_time_s,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,accuracy,roc_auc_train,average_precision_train,recall_train,precision_train,f1_train,balanced_accuracy_train,specificity_train,accuracy_train
IRAMDEYR,Modelo de referencia,1,0.235060453414917,0.5,0.1109936575052854,0.0,0.0,0.0,0.5,1.0,0.8890063424947146,0.5,0.1109642892537412,0.0,0.0,0.0,0.5,1.0,0.8890357107462588
IRAMDEYR,Modelo de referencia,2,0.20875167846679688,0.5,0.1109936575052854,0.0,0.0,0.0,0.5,1.0,0.8890063424947146,0.5,0.1109642892537412,0.0,0.0,0.0,0.5,1.0,0.8890357107462588
IRAMDEYR,Modelo de referencia,3,0.2209920883178711,0.5,0.1109936575052854,0.0,0.0,0.0,0.5,1.0,0.8890063424947146,0.5,0.1109642892537412,0.0,0.0,0.0,0.5,1.0,0.8890357107462588
IRAMDEYR,Modelo de referencia,4,0.23023295402526855,0.5,0.1109936575052854,0.0,0.0,0.0,0.5,1.0,0.8890063424947146,0.5,0.1109642892537412,0.0,0.0,0.0,0.5,1.0,0.8890357107462588
IRAMDEYR,Modelo de referencia,5,0.24145293235778809,0.5,0.11087617285582133,0.0,0.0,0.0,0.5,1.0,0.8891238271441787,0.5,0.1109936575052854,0.0,0.0,0.0,0.5,1.0,0.8890063424947146
IRAMDEYR,Regresión Logística,1,1.8577792644500732,0.8880123400430328,0.5064129664143385,0.8369047619047619,0.32835123773937414,0.4716538074471654,0.8115855557442954,0.7862663495838288,0.7918868921775899,0.8986073029881564,0.5264555948747398,0.8627567728490623,0.34806629834254144,0.49602053915275995,0.8305311807170401,0.7983055885850179,0.8054573684384394
IRAMDEYR,Regresión Logística,2,1.5601997375488281,0.891062581394032,0.5093000960877355,0.8559523809523809,0.3435260391782131,0.49028298670303444,0.8258656078364759,0.7957788347205708,0.8024577167019028,0.8976025783836634,0.5229251058069205,0.8538255433164632,0.34208015267175573,0.48846121093417355,0.824430607567863,0.7950356718192628,0.8015592481252684
IRAMDEYR,Regresión Logística,3,3.399338722229004,0.8946328598323989,0.510754339588763,0.8595238095238096,0.34446564885496184,0.49182561307901906,0.8276513221221902,0.7957788347205708,0.8028541226215645,0.8961501141714151,0.5206516401205161,0.8565049121762429,0.341443152148113,0.4882477725922783,0.8251571826041737,0.7938094530321046,0.8007664100954709
IRAMDEYR,Regresión Logística,4,1.994551420211792,0.8895796175188269,0.49670012702365074,0.8476190476190476,0.3474865788189361,0.4929041190723434,0.8244486439046487,0.8012782401902497,0.80642177589852,0.8977686284987286,0.5292406546753565,0.8579934504316761,0.3458538341533661,0.4929866575436196,0.8277222008400948,0.7974509512485137,0.8041690066400184
IRAMDEYR,Regresión Logística,5,2.0272443294525146,0.885715363825629,0.5082895957193275,0.8271752085816448,0.33754863813229574,0.479447322970639,0.8123688171326773,0.7975624256837098,0.8008457777190432,0.8991576325926476,0.5256290980707531,0.8639880952380953,0.3467510750119446,0.49488578247528126,0.8303850999377158,0.7967821046373365,0.8042415433403806
IRAMDEYR,Árbol de Decisión,1,0.8748373985290527,0.8126488979955836,0.39044101456970814,0.7738095238095238,0.317227916056613,0.4499826929733472,0.7829362720117774,0.792063020214031,0.7900369978858351,0.9206733505013772,0.6181310552243968,0.8972908603751116,0.3739918103983124,0.5279383429672447,0.8549140092600885,0.8125371581450654,0.8219417924746457
IRAMDEYR,Árbol de Decisión,2,0.8687279224395752,0.8113762315270936,0.417833538192049,0.8095238095238095,0.3008849557522124,0.43870967741935485,0.787342166355246,0.7651605231866825,0.7700845665961945,0.922322595798322,0.6159431211890447,0.9285501637392081,0.35250904159132007,0.5110182682067667,0.8578355753297705,0.7871209869203329,0.8028145750057811
IRAMDEYR,Árbol de Decisión,3,0.8907668590545654,0.7963930057754374,0.4083611449004837,0.7880952380952381,0.3138928402086297,0.4489657511020685,0.7865119472283563,0.7849286563614745,0.7852801268498943,0.9206222096545069,0.6071880145290262,0.9157487347424829,0.355565830539822,0.5122398001665279,0.8542960380014435,0.7928433412604042,0.8064814508935946
IRAMDEYR,Árbol de Decisión,4,0.8464241027832031,0.8147156871071852,0.4059548155564534,0.8083333333333333,0.3228720874940561,0.46143391097519537,0.7983402695204123,0.7883472057074911,0.7905655391120507,0.920910846249043,0.6211322445885153,0.9121762429294433,0.3554112051966129,0.5115191986644407,0.8528442154005124,0.7935121878715814,0.8066796604010439
IRAMDEYR,Árbol de Decisión,5,0.9212512969970703,0.821825498618904,0.3978712147749061,0.8021454112038141,0.3185044959772835,0.4559620596205962,0.7940572478135599,0.7859690844233056,0.7877626536275935,0.9246863399138638,0.6212688739011458,0.9196428571428571,0.36473087818696887,0.5223123732251521,0.8598288602004416,0.8000148632580262,0.8132928118393234
IRAMDEYR,Random Forest,1,1.1488821506500244,0.8801953279825605,0.47804220182114754,0.8047619047619048,0.3330049261083744,0.4710801393728223,0.8017566955438538,0.7987514863258026,0.7994186046511628,0.9242512296370268,0.6801702522235357,0.8746650788925275,0.3746971049611019,0.5246428571428572,0.8462393468184397,0.817813614744352,0.8241220970565888
IRAMDEYR,Random Forest,2,1.173851728439331,0.8797827841005607,0.4887686788449862,0.8238095238095238,0.34325396825396826,0.484593837535014,0.8135099937715871,0.8032104637336505,0.8054968287526427,0.9250049735939332,0.6744611252184662,0.8746650788925275,0.3696527428283845,0.5196780755284337,0.844251386057441,0.8138376932223543,0.8205873608404083
IRAMDEYR,Random Forest,3,1.1467010974884033,0.889614740813091,0.47420546134700414,0.8166666666666667,0.35197537198563367,0.49193259232699893,0.8144718588981371,0.8122770511296076,0.8127642706131079,0.9233159871132588,0.6704922704587045,0.8779398630544805,0.37385902636916835,0.5244065084022406,0.8472078922882391,0.8164759215219977,0.823296224108883
IRAMDEYR,Random Forest,4,1.1603267192840576,0.8816652865069928,0.44452463738047326,0.8107142857142857,0.3478038815117467,0.4867762687634024,0.8104552403601155,0.8101961950059453,0.8102536997885835,0.9236263555255921,0.6790648025796414,0.8707948794284013,0.373420145538108,0.5226947819871337,0.8442113517237131,0.817627824019025,0.8235274685342407
