variable,rol_base,etiqueta_codebook,modulo,tipo_version,n_unicos,pct_nan
CADRKMETH2,Predictor principal,RC-USED METHAMPHETAMINE WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,0.055
CIGFLAG,Predictor principal,RC-CIGARETTES - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
CIGYR,Predictor principal,RC-CIGARETTES - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
CIGMON,Predictor principal,RC-CIGARETTES - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
CGRFLAG,Predictor principal,RC-CIGARS - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
CGRYR,Predictor principal,RC-CIGARS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
CGRMON,Predictor principal,RC-CIGARS - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
PIPFLAG,Predictor principal,RC-PIPES - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
PIPMON,Predictor principal,RC-PIPES - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
SMKLSSFLAG,Predictor principal,RC-SMOKELESS TOBACCO - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
SMKLSSYR,Predictor principal,RC-SMOKELESS TOBACCO - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
SMKLSSMON,Predictor principal,RC-SMOKELESS TOBACCO - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
TOBCIGONL,Predictor principal,RC-CIGARETTE/NONCIGARETTE TOBACCO ONLY - PAST MONTH USE,RECODED DRUG USE,Recodificada,4,0.0
TOBFLAG,Predictor principal,RC-ANY TOBACCO - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
TOBYR,Predictor principal,RC-ANY TOBACCO - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
TOBMON,Predictor principal,RC-ANY TOBACCO - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
NICVAPFLAG,Predictor principal,RC-NICOTINE VAPING - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
NICVAPYR,Predictor principal,RC-NICOTINE VAPING - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
NICVAPMON,Predictor principal,RC-NICOTINE VAPING - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
TOBVNICFLAG,Predictor principal,RC-ANY TOBACCO PRODUCTS OR NICOTINE VAPING - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
TOBVNICYR,Predictor principal,RC-ANY TOBACCO PRODUCTS OR NICOTINE VAPING - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
TOBVNICMON,Predictor principal,RC-ANY TOBACCO PRODUCTS OR NICOTINE VAPING - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
TOBVAPONL2,Predictor principal,RC-NIC VAPING / TOBACCO PRODUCTS ONLY - PAST MONTH USE,RECODED DRUG USE,Recodificada,4,0.0
TOBCIGVAP2,Predictor principal,RC-NIC VAPING AND CIG/NONCIG TOBACCO COMBINATIONS-PM USE,RECODED DRUG USE,Recodificada,4,0.0
ALCFLAG,Predictor principal,RC-ALCOHOL - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
ALCYR,Predictor principal,RC-ALCOHOL - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
ALCMON,Predictor principal,RC-ALCOHOL - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
CBDHMPFLAG,Predictor principal,RC-CBD OR HEMP - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
CBDHMPYR,Predictor principal,RC-CBD OR HEMP - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
CBDHMPMON,Predictor principal,RC-CBD OR HEMP - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MRJFLAG,Predictor principal,RC-MARIJUANA - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
MRJYR,Predictor principal,RC-MARIJUANA - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MRJMON,Predictor principal,RC-MARIJUANA - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MJSMKYR,Predictor principal,RC-MARIJUANA SMOKING - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MJVAPFLAG,Predictor principal,RC-MARIJUANA VAPING - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
MJVAPYR,Predictor principal,RC-MARIJUANA VAPING - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MJDABYR,Predictor principal,"RC-MARIJUANA DABBING WAXES, SHATTER, OR CONC - PAST YEAR USE",RECODED DRUG USE,Recodificada,2,0.0
MJEATYR,Predictor principal,RC-MARIJUANA EATING OR DRINKING - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MJMTHYR,Predictor principal,RC-MARIJUANA DRPS/STRPS/LZNGS/SPRYS IN MOUTH - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MJSKNYR,Predictor principal,RC-MARIJUANA LOTION/CREAM/PATCH TO SKIN - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MJPLLYR,Predictor principal,RC-MARIJUANA PILLS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MJOTHYR,Predictor principal,RC-MARIJUANA USE - SOME OTHER MODE - PAST YEAR,RECODED DRUG USE,Recodificada,2,0.0
MJCMOTHYR,Predictor principal,RC-COMBINED OTHER MARIJUANA MODES - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MJSMKMON,Predictor principal,RC-MARIJUANA SMOKING - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MJVAPMON,Predictor principal,RC-MARIJUANA VAPING - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MRJMONVAP2,Predictor principal,"RC-MRJ VAPE, MRJ USE BUT NOT VAPE, OR NO MRJ USE - PAST MON",RECODED DRUG USE,Recodificada,3,0.0
MJDABMON,Predictor principal,"RC-MARIJUANA DABBING WAXES, SHATTER, OR CONC-PAST MONTH USE",RECODED DRUG USE,Recodificada,2,0.0
MJEATMON,Predictor principal,RC-MARIJUANA EATING OR DRINKING - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MJMTHMON,Predictor principal,RC-MARIJUANA DRPS/STRPS/LZNGS/SPRYS IN MOUTH-PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MJSKNMON,Predictor principal,RC-MARIJUANA LOTION/CREAM/PATCH TO SKIN - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MJPLLMON,Predictor principal,RC-MARIJUANA PILLS - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MJCMOTHMON,Predictor principal,RC-COMBINED OTHER MARIJUANA MODES - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
COCFLAG,Predictor principal,RC-COCAINE - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
COCYR,Predictor principal,RC-COCAINE - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
COCMON,Predictor principal,RC-COCAINE - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
CRKFLAG,Predictor principal,"RC-""CRACK"" - EVER USED",RECODED DRUG USE,Recodificada,2,0.0
CRKYR,Predictor principal,"RC-""CRACK"" - PAST YEAR USE",RECODED DRUG USE,Recodificada,2,0.0
CRKMON,Predictor principal,"RC-""CRACK"" - PAST MONTH USE",RECODED DRUG USE,Recodificada,2,0.0
HERFLAG,Predictor principal,RC-HEROIN - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
HERYR,Predictor principal,RC-HEROIN - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
HERMON,Predictor principal,RC-HEROIN - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
HALLUCFLAG,Predictor principal,RC-HALLUCINOGENS - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
HALLUCYR,Predictor principal,RC-HALLUCINOGENS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
HALLUCMON,Predictor principal,RC-HALLUCINOGENS - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
LSDFLAG,Predictor principal,RC-LSD - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
LSDYR,Predictor principal,RC-LSD - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
LSDMON,Predictor principal,RC-LSD - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
PCPFLAG,Predictor principal,RC-PCP - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
PCPYR,Predictor principal,RC-PCP - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
PCPMON,Predictor principal,RC-PCP - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
PSILCYFLAG,Predictor principal,RC-PSILOCYBIN - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
PSILCYYR,Predictor principal,RC-PSILOCYBIN - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
PSILCYMON,Predictor principal,RC-PSILOCYBIN - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
ECSTMOFLAG,Predictor principal,RC-ECSTASY - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
ECSTMOYR,Predictor principal,RC-ECSTASY - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
ECSTMOMON,Predictor principal,RC-ECSTASY - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
DAMTFXFLAG,Predictor principal,RC-DMT/AMT/FOXY - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
DAMTFXYR,Predictor principal,RC-DMT/AMT/FOXY - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
DAMTFXMON,Predictor principal,RC-DMT/AMT/FOXY - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
KETMINFLAG,Predictor principal,RC-KETAMINE - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
KETMINYR,Predictor principal,RC-KETAMINE - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
KETMINMON,Predictor principal,RC-KETAMINE - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
SALVIAFLAG,Predictor principal,RC-SALVIA - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
SALVIAYR,Predictor principal,RC-SALVIA - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
SALVIAMON,Predictor principal,RC-SALVIA - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
INHALFLAG2,Predictor principal,RC-INHALANTS - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
INHALYR2,Predictor principal,RC-INHALANTS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
INHALMON2,Predictor principal,RC-INHALANTS - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
METHAMFLAG,Predictor principal,RC-METHAMPHETAMINE - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
METHAMYR,Predictor principal,RC-METHAMPHETAMINE - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
METHAMMON,Predictor principal,RC-METHAMPHETAMINE - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
PNRANYFLAG2,Predictor principal,RC-ANY PAIN RELIEVER - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
PNRANYYR2,Predictor principal,RC-ANY PAIN RELIEVER - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
OXYCNANYYR2,Predictor principal,RC-OXYCONTIN - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
TRQANYFLAG,Predictor principal,RC-ANY TRANQUILIZERS - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
TRQANYYR,Predictor principal,RC-ANY TRANQUILIZERS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
STMANYFLAG,Predictor principal,RC-ANY STIMULANTS - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
STMANYYR,Predictor principal,RC-ANY STIMULANTS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
SEDANYFLAG,Predictor principal,RC-ANY SEDATIVES - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
SEDANYYR,Predictor principal,RC-ANY SEDATIVES - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
TQSDANYFLG,Predictor principal,RC-ANY TRANQUILIZERS OR SEDATIVES - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
TQSDANYYR,Predictor principal,RC-ANY TRANQUILIZERS OR SEDATIVES - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
BZOANYYR,Predictor principal,RC - ANY BENZODIAZEPINES - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.101
PSYANYFLAG2,Predictor principal,RC-ANY PSYCHOTHERAPEUTICS - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
PSYANYYR2,Predictor principal,RC-ANY PSYCHOTHERAPEUTICS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
OPIANYYR2,Predictor principal,RC-ANY OPIOIDS (RX OPIOIDS OR HEROIN) - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
CNSANYYR,Predictor principal,RC-ANY CENTRAL NERVOUS SYSTEM STIMULANTS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
PNRNMFLAG,Predictor principal,RC-PAIN RELIEVERS - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0
PNRNMYR,Predictor principal,RC-PAIN RELIEVERS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
PNRNMMON,Predictor principal,RC-PAIN RELIEVERS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
OXYCNNMYR,Predictor principal,RC-OXYCONTIN - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
TRQNMFLAG,Predictor principal,RC-TRANQUILIZERS - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0
TRQNMYR,Predictor principal,RC-TRANQUILIZERS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
TRQNMMON,Predictor principal,RC-TRANQUILIZERS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
STMNMFLAG,Predictor principal,RC-STIMULANTS - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0
STMNMYR,Predictor principal,RC-STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
STMNMMON,Predictor principal,RC-STIMULANTS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
SEDNMFLAG,Predictor principal,RC-SEDATIVES - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0
SEDNMYR,Predictor principal,RC-SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
SEDNMMON,Predictor principal,RC-SEDATIVES - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
TQSDNMFLAG,Predictor principal,RC-TRANQUILIZERS OR SEDATIVES - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0
TQSDNMYR,Predictor principal,RC-TRANQUILIZERS OR SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
TQSDNMMON,Predictor principal,RC-TRANQUILIZERS OR SEDATIVES - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
BZONMYR,Predictor principal,RC - ANY BENZODIAZEPINES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.017
PSYCHFLAG,Predictor principal,RC-ANY PSYCHOTHERAPEUTICS - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0
PSYCHYR,Predictor principal,RC-ANY PSYCHOTHERAPEUTICS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
PSYCHMON,Predictor principal,RC-ANY PSYCHOTHERAPEUTICS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
OPINMYR2,Predictor principal,RC-OPIOIDS (RX OPIOIDS OR HEROIN) - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
OPINMMON2,Predictor principal,RC-OPIOIDS (RX OPIOIDS OR HEROIN) - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
HERRXOPYR,Predictor principal,RC-HEROIN USE AND/OR RX OPIOID MISUSE - PAST YEAR,RECODED DRUG USE,Recodificada,4,0.0
CNSNMYR,Predictor principal,RC-CENTRAL NERVOUS SYSTEM STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
CNSNMMON,Predictor principal,RC-CENTRAL NERVOUS SYSTEM STIMULANTS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
ILLFLAG,Predictor principal,RC-ANY ILLICIT DRUG - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
ILLYR,Predictor principal,RC-ANY ILLICIT DRUG - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
ILLMON,Predictor principal,RC-ANY ILLICIT DRUG - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
MJONLYFLAG2,Predictor principal,RC-MARIJUANA ONLY - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
MJONLYYR2,Predictor principal,RC-MARIJUANA ONLY - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
MJONLYMON2,Predictor principal,RC-MARIJUANA ONLY - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
ILLEMFLAG2,Predictor principal,RC-ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
ILLEMYR2,Predictor principal,RC-ILLICIT DRUG OTHER THAN MARIJUANA - PAST YEAR,RECODED DRUG USE,Recodificada,2,0.0
ILLEMMON2,Predictor principal,RC-ILLICIT DRUG OTHER THAN MARIJUANA-PAST MONTH,RECODED DRUG USE,Recodificada,2,0.0
CDUFLAG,Predictor principal,RC-CIGARETTES DAILY - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
DCIGMON,Predictor principal,RC-PAST MONTH DAILY CIGARETTE USE,RECODED DRUG USE,Recodificada,2,0.0
CDCGMO,Predictor principal,RC-EVER USED CIG DAILY AND PAST MONTH CIG USE,RECODED DRUG USE,Recodificada,2,0.0
CDNOCGMO,Predictor principal,RC-EVER USED CIG DAILY AND NO PAST MONTH CIG USE,RECODED DRUG USE,Recodificada,2,0.0
BNGDRKMON,Predictor principal,RC-BINGE ALCOHOL USE PAST 30 DAYS,RECODED DRUG USE,Recodificada,2,0.0
HVYDRKMON,Predictor principal,RC-HEAVY ALCOHOL USE PAST 30 DAYS,RECODED DRUG USE,Recodificada,2,0.0
ILTOBALCFG,Predictor principal,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALCOHOL - EVER USED",RECODED DRUG USE,Recodificada,2,0.0
ILTOBALCYR,Predictor principal,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALCOHOL - PAST YEAR USE",RECODED DRUG USE,Recodificada,2,0.0
ILTOBALCMN,Predictor principal,"RC-ILLICIT DRUG, TOBACCO PRD, OR ALC - PAST MONTH USE",RECODED DRUG USE,Recodificada,2,0.0
ILTOBVAPALC,Predictor principal,"RC-TOBACCO, NICOTINE VAPING, ALCOHOL, ILLICIT DRUG - PST MON",RECODED DRUG USE,Recodificada,2,0.0
ILLALCMON,Predictor principal,RC-ILLICIT DRUG OR ALCOHOL - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
TOBALCFLG,Predictor principal,RC-TOBACCO PRODUCT OR ALCOHOL - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
TOBALCYR,Predictor principal,RC-TOBACCO PRODUCT OR ALCOHOL - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
TOBALCMN,Predictor principal,RC-TOBACCO PRODUCT OR ALCOHOL - PAST MONTH USE,RECODED DRUG USE,Recodificada,2,0.0
ILLANDALC,Predictor principal,RC-ILLICIT DRUG AND ALCOHOL USE - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
ILLORALC,Predictor principal,RC-ILLICIT DRUG OR ALCOHOL USE - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
ILLALCFLG,Predictor principal,RC-ILLICIT DRUG OR ALCOHOL - EVER USED,RECODED DRUG USE,Recodificada,2,0.0
PEYOTEEVER,Predictor principal,RC-EVER USED PEYOTE,RECODED DRUG USE,Recodificada,2,0.027
MESCEVER,Predictor principal,RC-EVER USED MESCALINE,RECODED DRUG USE,Recodificada,2,0.042
AMYLNIEVER2,Predictor principal,"RC-EVER INHALED AMYL NITRITE, ""POPPERS"", RUSH, ETC.",RECODED DRUG USE,Recodificada,2,0.032
CLEFLUEVER2,Predictor principal,"RC-EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",RECODED DRUG USE,Recodificada,2,0.011
GASEVER2,Predictor principal,RC-EVER INHALED GASOLINE OR LIGHTER FLUID,RECODED DRUG USE,Recodificada,2,0.004
GLUEEVER2,Predictor principal,"RC-EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",RECODED DRUG USE,Recodificada,2,0.006
ETHEREVER2,Predictor principal,"RC-EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",RECODED DRUG USE,Recodificada,2,0.015
SOLVENEVER2,Predictor principal,"RC-EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",RECODED DRUG USE,Recodificada,2,0.013
LGASEVER2,Predictor principal,"RC-EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",RECODED DRUG USE,Recodificada,2,0.008
NITOXIEVER2,Predictor principal,"RC-EVER INHALED NITROUS OXIDE OR ""WHIPPITS""",RECODED DRUG USE,Recodificada,2,0.023
FLTMRKEVER2,Predictor principal,RC-EVER USED FELT-TIP PENS/MARKERS TO GET HIGH,RECODED DRUG USE,Recodificada,2,0.015
SPAINTEVER2,Predictor principal,RC-EVER INHALED SPRAY PAINTS,RECODED DRUG USE,Recodificada,2,0.008
AIRDUSEVER2,Predictor principal,RC-EVER USED COMPUTER CLEANER/AIR DUSTER TO GET HIGH,RECODED DRUG USE,Recodificada,2,0.006
OTHAEREVER2,Predictor principal,RC-EVER USED OTHER AEROSOL SPRAY,RECODED DRUG USE,Recodificada,2,0.013
RXHYDCANY2,Predictor principal,RC-HYDROCODONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.167
RXZOHYANY2,Predictor principal,RC-ZOHYDRO ER - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.169
RXOXCOANY2,Predictor principal,RC-OXYCODONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.178
RXTRAMANY2,Predictor principal,RC-TRAMADOL PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.201
RXCODEANY2,Predictor principal,RC-CODEINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.173
RXMORPANY2,Predictor principal,RC-MORPHINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.199
RXBUPRANY2,Predictor principal,RC-BUPRENORPHINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.173
RXOXYMANY2,Predictor principal,RC-OXYMORPHONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.18
RXDEMEANY2,Predictor principal,RC-DEMEROL PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.197
RXHYDMANY2,Predictor principal,RC-HYDROMORPHONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.197
RXMTDNANY2,Predictor principal,RC-METHADONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.197
OTHRPNRANY2,Predictor principal,RC-OTHER PAIN RELIEVER PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,1.0
RXBZOTANY,Predictor principal,RC-BENZODIAZEPINE TRANQUILIZERS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.051
RXALPRANY,Predictor principal,RC-ALPRAZOLEM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.072
RXLORAANY,Predictor principal,RC-LORAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.078
RXCLONANY,Predictor principal,RC-CLONAZEP AM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.078
RXDIAZANY,Predictor principal,RC-DIAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.082
RXMRLXANY,Predictor principal,RC-MUSCLE RELAXANTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.097
RXCYCLANY,Predictor principal,RC-CYCLOBENZAPRINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.097
RXSOMAANY,Predictor principal,RC-SOMA PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.097
OTHRTRQANY,Predictor principal,RC-OTHER TRANQUILIZER- ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.104
RXAMMEANY,Predictor principal,RC-AMPHETAMINE OR METHYLPHENIDATE PRODS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036
RXAMPHANY,Predictor principal,RC-AMPHETAMINE - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.044
RXMTHPANY,Predictor principal,RC-METHYLPHENIDATE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.049
RXANORANY,Predictor principal,RC-ANORECTIC STIMULANTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.053
RXPROVANY,Predictor principal,RC-PROVIGIL PRODUCTS- ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.053
OTHRSTMANY,Predictor principal,RC-OTHER STIMULANT - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.068
RXZOLPANY,Predictor principal,RC-ZOLPIDEM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.044
RXESZOANY,Predictor principal,RC-ESZOPICLONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.049
RXZALEANY,Predictor principal,RC-ZALEPLON PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.049
RXBZOSANY,Predictor principal,RC-BENZODIAZEPINE SEDATIVES - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036
RXTRIAANY,Predictor principal,RC-TRIAZOLAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036
RXTEMAANY,Predictor principal,RC-TEMAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036
RXFLURANY,Predictor principal,RC-FLURAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.036
RXBARBANY,Predictor principal,RC-BARBITUATES - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.051
OTHRSEDANY,Predictor principal,RC-OTHER SEDATIVE - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.057
RXHYDCMIS,Predictor principal,RC-HYDROCODONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.025
