variable,n_valores_valid,pct_valores_valid,n_valores_valid_unicos,n_codigos_especiales,codigos_especiales,n_nan_train,tipos_fuera_rango
MRJAGLST,11901,31.45167684135416,82,7,"985, 989, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
MRJYLU,3824,10.105975316472422,3,7,"9985, 9989, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
NMERTMT2,36686,96.95287930442137,26,5,"31, 985, 994, 997, 998",0,Asignación lógica | Categoría analítica | No respuesta o ausencia
NMNGTHS2,2659,7.027141309231216,30,6,"31, 985, 994, 997, 998, 999",0,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable
NMVSOPT2,35468,93.73397817067047,16,8,"16, 17, 18, 19, 985, 994, 997, 998",0,Asignación lógica | Categoría analítica | No respuesta o ausencia
NRCH17_2,34105,90.13187452099686,3,1,3.0,1378,Categoría analítica | No respuesta o ausencia
PCPAGLST,522,1.3795290573218109,41,6,"985, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
PCPYLU,21,0.05549829540949814,3,6,"9985, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
SMKAGLAST,3784,10.00026427759719,71,7,"985, 989, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
SMKYRLAST,595,1.5724517032691139,3,7,"9985, 9989, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
WRKDHRSWK2,20399,53.90998705039773,60,6,"61, 985, 994, 997, 998, 999",0,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable
WRKLASTYR2,10904,28.816829197388937,39,7,"1985, 9985, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable
WRKNJBWKS,3303,8.729089035122492,52,5,"85, 94, 97, 98, 99",0,Asignación lógica | No respuesta o ausencia | Salto legítimo o no aplicable
WRKSICKMO,6514,17.215042680831946,30,6,"0, 85, 94, 97, 98, 99",0,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable
WRKSKIPMO,3314,8.75815957081318,27,6,"0, 85, 94, 97, 98, 99",0,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable
WTPOUND2,36334,96.02262216231931,221,4,"9985, 9994, 9997, 9998",0,Asignación lógica | No respuesta o ausencia
