target,modelo,average_precision,average_precision_std,roc_auc,roc_auc_std,recall,precision,f1,balanced_accuracy,specificity,parametros,gap_average_precision,gap_roc_auc,objetivo,referencia_individual
IRAMDEYR,Regresión Logística,0.5142735259021217,0.006394410065908088,0.892205568298303,0.0048686330858610655,0.8580566433963336,0.33767895480948684,0.4846148149145343,0.8239599507112464,0.7898632580261593,"C=0.05, L1",0.0045894274778123245,0.002766323020037653,Episodio depresivo mayor,
IRAMDEYR,XGBoost,0.5179862442317168,0.008394689361767935,0.8931100926642606,0.004664029590475891,0.8635359555025823,0.33007056452808714,0.47757050724257794,0.8223446721627061,0.7811533888228299,"lr=0.05, depth=3, n=150, sub=0.8, col=0.8",0.02879917472711202,0.00820887716416907,Episodio depresivo mayor,Sí
IRSUICTHNK,Regresión Logística,0.307614329977815,0.014993705105193794,0.8177677282236905,0.004230849127964966,0.7306627363541313,0.20074909283844686,0.3149535944598821,0.7482873562104154,0.7659119760666995,"C=0.05, L1",0.007981861431677895,0.006980366055925669,Ideación suicida,Sí
IRSUICTHNK,XGBoost,0.3104630154964425,0.020787310262111912,0.815378381377889,0.0037987228631799325,0.7388301021629315,0.19728912801086435,0.3114111445147798,0.7484733805524197,0.7581166589419077,"lr=0.03, depth=3, n=125, sub=0.8, col=0.8",0.027871586661494807,0.011258629614038784,Ideación suicida,
IRSUIPLANYR,Regresión Logística,0.15785657387032553,0.0117362862154871,0.8420786749916302,0.014798621694556329,0.7571090847686592,0.08470296431770051,0.15235330574142686,0.7740580311907315,0.7910069776128037,"C=0.02, L1",0.004354192510850202,0.013329732115101356,Planificación suicida,Sí
IRSUIPLANYR,XGBoost,0.1614362929674791,0.0177427941587316,0.8407608814292024,0.015391057264726643,0.7602724304851964,0.0842606361772535,0.1517029892216819,0.774596266490353,0.7889201024955093,"lr=0.04, depth=2, n=225, sub=0.8, col=0.8",0.02945674166460238,0.023449758871660564,Planificación suicida,
IRSUITRYYR,Regresión Logística,0.09950867395996846,0.01739905311674194,0.8386955283000906,0.019658757484651516,0.7261904761904762,0.04092179112651908,0.07747333859005975,0.7676624727314094,0.8091344692723424,"C=0.02, L1",0.005385866259422292,0.032850623285494374,Intento suicida,Sí
IRSUITRYYR,XGBoost,0.0957383997587489,0.016073226671574146,0.827743927823532,0.02777006416745033,0.6738095238095239,0.04219505614190686,0.07941531480394344,0.7510794191877979,0.8283493145660719,"lr=0.03, depth=3, n=150, sub=0.8, col=0.8",0.1022491777469332,0.06669776215562517,Intento suicida,
