target,objetivo,modelo_seleccionado,parametros,average_precision,average_precision_std,roc_auc,roc_auc_std,recall,recall_std,recall_min,precision,precision_std,f1,f2,f2_std,balanced_accuracy,balanced_accuracy_std,specificity,gap_average_precision,gap_roc_auc,motivo
IRAMDEYR,Episodio depresivo mayor,XGBoost,"lr=0.05, depth=3, n=150, sub=0.8, col=0.8",0.5179862442317168,0.008394689361767935,0.8931100926642606,0.004664029590475891,0.8635359555025823,0.014872815453559144,0.8464285714285714,0.33007056452808714,0.008029304993665897,0.47757050724257794,0.6525571275019851,0.012199332293129316,0.8223446721627061,0.008888115243193925,0.7811533888228299,0.02879917472711202,0.00820887716416907,"Mayor Recall medio y mínimo, con Average Precision y ROC-AUC próximos al máximo."
IRSUICTHNK,Ideación suicida,Stacking RL+XGB,"meta: C=0.01, L2",0.3142434782598993,0.01872683064118344,0.8184907978014125,0.004206637904408302,0.7469873902472821,0.005480502250085456,0.7411347517730497,0.194525878919999,0.0015833424400873365,0.30866219948769635,0.4763745194394896,0.0016923358027846804,0.7490398539210409,0.0015556626338538823,0.7510923175947994,0.017564745188655806,0.008670991222516022,Mayor Recall medio y mínimo y menor variabilidad; la reducción de F2 es mínima.
IRSUIPLANYR,Planificación suicida,Stacking RL+XGB,"meta: C=0.01, L2",0.1626921573248838,0.01608669177558038,0.8432969821814474,0.014983534081537058,0.7783181357649442,0.03678331572114115,0.7340425531914894,0.08000710338592207,0.0024518610953575683,0.1450936403459553,0.28345140599377594,0.009837891460215254,0.774824096927396,0.016365174112022228,0.7713300580898477,0.017968526711332505,0.017911246831033845,Mayor Recall medio y mínimo; se prioriza la detección ante la reducción de Precision y F2.
IRSUITRYYR,Intento suicida,Regresión Logística,"C=0.02, L1",0.09950867395996842,0.01739905311674193,0.8386955283000906,0.019658757484651516,0.7261904761904762,0.06520506636966265,0.6547619047619048,0.040921791126519044,0.002771219961366843,0.07747333859005973,0.1669451173748449,0.011829453040417555,0.7676624727314094,0.030407522016703062,0.8091344692723424,0.005385866259422292,0.032850623285494374,"Mejor equilibrio entre Recall, estabilidad, Precision, F2 y Balanced Accuracy."
