tipo_variable,variables,mediana_nan_pct,max_nan_pct
Binaria,136,0.07135495124078332,99.88636063320912
Categórica con pocas categorías,32,0.5021274346573641,99.88636063320912
Numérica con rango documentado,4,28.498374692777293,86.19942387483813
