variable,n_estados_train,n_nan_train,pct_nan_train,pct_mas_frecuente_train,modulo,tipo_variable
AGE3,8,0,0.0,27.106953143582018,DEMOGRAPHICS,Categórica con pocas categorías
SERVICE,5,0,0.0,94.9311556859325,DEMOGRAPHICS,Categórica con pocas categorías
MILSTAT,7,0,0.0,94.9311556859325,DEMOGRAPHICS,Categórica con pocas categorías
ACTDEVER,6,0,0.0,94.9311556859325,DEMOGRAPHICS,Categórica con pocas categorías
ACTD2001,7,0,0.0,96.14154708105393,DEMOGRAPHICS,Categórica con pocas categorías
ACTD9001,7,0,0.0,96.14154708105393,DEMOGRAPHICS,Categórica con pocas categorías
ACTD7590,7,0,0.0,96.14154708105393,DEMOGRAPHICS,Categórica con pocas categorías
ACTDVIET,7,0,0.0,96.14154708105393,DEMOGRAPHICS,Categórica con pocas categorías
ACTDPRIV,7,0,0.0,96.14154708105393,DEMOGRAPHICS,Categórica con pocas categorías
COMBATPY,7,0,0.0,96.14154708105393,DEMOGRAPHICS,Categórica con pocas categorías
NOMARR2,5,0,0.0,47.213192737651624,DEMOGRAPHICS,Categórica con pocas categorías
HEALTH,7,0,0.0,36.25095800628981,DEMOGRAPHICS,Categórica con pocas categorías
MOVSINPYR2,8,0,0.0,73.0146145511245,DEMOGRAPHICS,Categórica con pocas categorías
SPEAKENGL,8,0,0.0,86.16506778720367,DEMOGRAPHICS,Categórica con pocas categorías
LVLDIFSEE2,7,0,0.0,71.24659742593622,DEMOGRAPHICS,Categórica con pocas categorías
LVLDIFHEAR2,7,0,0.0,83.34258304923492,DEMOGRAPHICS,Categórica con pocas categorías
LVLDIFWALK2,7,0,0.0,82.96466608525596,DEMOGRAPHICS,Categórica con pocas categorías
LVLDIFMEM2,7,0,0.0,64.40445043473665,DEMOGRAPHICS,Categórica con pocas categorías
LVLDIFCARE2,7,0,0.0,88.94526810962235,DEMOGRAPHICS,Categórica con pocas categorías
LVLDIFCOMM2,7,0,0.0,86.22585163455693,DEMOGRAPHICS,Categórica con pocas categorías
IRSEX,2,0,0.0,55.1996617246756,IMPUTED DEMOGRAPHICS,Binaria
IRMARIT,4,0,0.0,47.26076270514549,IMPUTED DEMOGRAPHICS,Categórica con pocas categorías
IREDUHIGHST2,11,0,0.0,33.70596474536853,IMPUTED DEMOGRAPHICS,Categórica con número moderado de categorías
CATAGE,3,0,0.0,49.83482650175745,RECODED DEMOGRAPHICS,Categórica con pocas categorías
CATAG2,2,0,0.0,70.03620603081477,RECODED DEMOGRAPHICS,Binaria
CATAG3,4,0,0.0,29.963793969185232,RECODED DEMOGRAPHICS,Categórica con pocas categorías
CATAG6,5,0,0.0,29.963793969185232,RECODED DEMOGRAPHICS,Categórica con pocas categorías
CATAG7,4,0,0.0,49.83482650175745,RECODED DEMOGRAPHICS,Categórica con pocas categorías
PREGAGE2,3,0,0.0,39.31657813367161,RECODED DEMOGRAPHICS,Categórica con pocas categorías
DRVINAGE,2,0,0.0,70.03620603081477,RECODED DEMOGRAPHICS,Binaria
DRVINDETAG,3,0,0.0,70.03620603081477,RECODED DEMOGRAPHICS,Categórica con pocas categorías
SEXAGE,3,0,0.0,70.03620603081477,RECODED DEMOGRAPHICS,Categórica con pocas categorías
NEWRACE2,7,0,0.0,58.23356854039483,RECODED DEMOGRAPHICS,Categórica con pocas categorías
SEXRACE,7,0,0.0,32.001374243505374,RECODED DEMOGRAPHICS,Categórica con pocas categorías
EDUHIGHCAT,4,0,0.0,33.70596474536853,RECODED DEMOGRAPHICS,Categórica con pocas categorías
HEALTH2,5,20,0.05285551943761727,36.25095800628981,RECODED DEMOGRAPHICS,Categórica con pocas categorías
EDUSCHLGO,7,0,0.0,80.54916884695685,EDUCATION,Categórica con pocas categorías
EDUSCHGRD2,13,0,0.0,80.54916884695685,EDUCATION,Categórica con número moderado de categorías
EDUFULPAR,7,0,0.0,80.54916884695685,EDUCATION,Categórica con pocas categorías
EDUSCKMON,29,0,0.0,84.90974920056027,EDUCATION,Numérica con rango documentado
EDUSCKEST,10,0,0.0,94.76730357567588,EDUCATION,Categórica con pocas categorías
EDUSCKCOM,28,0,0.0,84.90974920056027,EDUCATION,Numérica con rango documentado
EDUSKPMON,24,0,0.0,85.96157403736885,EDUCATION,Numérica con rango documentado
EDUSKPEST,9,0,0.0,94.77258912761965,EDUCATION,Categórica con pocas categorías
EDUSKPCOM,24,0,0.0,85.96157403736885,EDUCATION,Numérica con rango documentado
MILTFAMLY,6,0,0.0,88.34007241206163,EDUCATION,Categórica con pocas categorías
MILTSPPAR,7,0,0.0,88.34007241206163,EDUCATION,Categórica con pocas categorías
MILTPARNT,7,0,0.0,88.34007241206163,EDUCATION,Categórica con pocas categorías
MILTCHLDR,7,0,0.0,88.34007241206163,EDUCATION,Categórica con pocas categorías
MILTSIBLN,7,0,0.0,88.34007241206163,EDUCATION,Categórica con pocas categorías
ENRLCOLLFT2,3,0,0.0,82.69510293612412,RECODED EDUCATION,Categórica con pocas categorías
ENRLCOLLST2,5,0,0.0,82.69510293612412,RECODED EDUCATION,Categórica con pocas categorías
WRKSTATWK2,10,0,0.0,43.169745500673905,EMPLOYMENT,Categórica con pocas categorías
WRKDPSTWK,7,0,0.0,55.60664922434525,EMPLOYMENT,Categórica con pocas categorías
WRKHADJOB,8,0,0.0,55.60664922434525,EMPLOYMENT,Categórica con pocas categorías
