variable_original,puntuacion_media,puntuacion_max,targets_f,targets_l1,targets_rf,targets_regla_final,targets_regla_detalle,modulo,tipo_variable
IRMARIT,0.905289052890529,0.9343993439934399,2,1,2,1,IRSUICTHNK,IMPUTED DEMOGRAPHICS,Categórica con pocas categorías
INHOSPYR,0.7216072160721607,0.93029930299303,1,1,1,1,IRSUITRYYR,HEALTH,Categórica con pocas categorías
ILLFLAG,0.7391348913489134,0.9290692906929069,2,1,0,1,IRAMDEYR,RECODED DRUG USE,Binaria
TQSDANYFLG,0.7144321443214432,0.9290692906929069,1,1,1,1,IRAMDEYR,RECODED DRUG USE,Binaria
MRJMLU,0.7569188191881919,0.9255842558425584,1,2,0,1,IRAMDEYR,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías
CASURCVR,0.8638786387863879,0.924559245592456,2,1,0,1,IRAMDEYR,EMERGING ISSUES,Categórica con pocas categorías
NICVPMDAYS,0.8586510865108651,0.924559245592456,2,1,0,1,IRSUIPLANYR,RECODED DRUG USE,Categórica con pocas categorías
MRJFLAG,0.707359573595736,0.923329233292333,1,1,0,1,IRAMDEYR,RECODED DRUG USE,Binaria
DRVINMARJ,0.7894116441164412,0.9227142271422714,1,2,0,1,IRAMDEYR,SPECIAL TOPICS,Categórica con pocas categorías
MRJYRBFR,0.7578413284132841,0.9202542025420254,1,2,0,1,IRAMDEYR,PRIOR SUBSTANCE USE,Categórica con pocas categorías
MJSMKYR,0.8894013940139401,0.9196391963919638,3,1,0,1,IRSUICTHNK,RECODED DRUG USE,Binaria
IRPRVHLT,0.7068470684706847,0.9192291922919229,1,1,1,1,IRSUITRYYR,IMPUTED HEALTH INSURANCE,Binaria
IRMCDCHP,0.7924354243542435,0.918819188191882,1,1,0,1,IRSUITRYYR,IMPUTED HEALTH INSURANCE,Binaria
ENRLCOLLST2,0.8765887658876589,0.9186141861418614,2,2,1,1,IRSUITRYYR,RECODED EDUCATION,Categórica con pocas categorías
STMANYFLAG,0.7578925789257893,0.917179171791718,1,0,1,1,IRAMDEYR,RECODED DRUG USE,Binaria
FUNICVAP18,0.8825338253382533,0.9163591635916358,3,1,0,1,IRSUITRYYR,RECODED DRUG USE,Binaria
CASUPROB,0.8602911029110292,0.914309143091431,2,1,0,1,IRAMDEYR,EMERGING ISSUES,Categórica con pocas categorías
PREGST,0.6671791717917179,0.9093890938909389,1,1,1,1,IRAMDEYR,RECODED HEALTH,Categórica con pocas categorías
INHLYRLST,0.864749897498975,0.9018040180401803,1,0,4,1,IRAMDEYR,PRIOR SUBSTANCE USE,Numérica con rango documentado
DRVINHALL,0.8163181631816319,0.8989339893398934,2,1,0,1,IRAMDEYR,SPECIAL TOPICS,Categórica con pocas categorías
HALLMOLST,0.800840508405084,0.8669536695366954,2,1,0,1,IRAMDEYR,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías
