variable,tipo_variable,valor_mas_frecuente,freq_valor_mas_frecuente,freq_resto,pct_valor_mas_frecuente
IRSEVSTMMIS,Categórica con pocas categorías,9.0,37698,141,99.6273685879648
CADRKHALL2,Binaria,0.0,37696,143,99.62208303602104
LGASEVER2,Binaria,0.0,37696,143,99.62208303602104
IMFNEDFLAG,Binaria,0.0,37695,144,99.61944026004915
IRUD5TRQUNM,Binaria,0.0,37694,145,99.61679748407728
IRSEVTRQUNM,Categórica con pocas categorías,9.0,37694,145,99.61679748407728
OXYCNNMYR,Binaria,0.0,37689,150,99.60358360421787
RXCLONMIS,Binaria,0.0,37684,155,99.59036972435847
KRATOMMON,Binaria,0.0,37683,156,99.58772694838659
SVYRTQSDMIS,Categórica con pocas categorías,4.0,37681,158,99.58244139644282
FPIMFNMYR,Binaria,0.0,37681,158,99.58244139644282
RXDEMEANY2,Binaria,0.0,37678,161,99.57451306852718
RXESZOANY,Binaria,0.0,37676,163,99.56922751658341
FUHER18,Binaria,2.0,37674,165,99.56394196463965
ETHEREVER2,Binaria,0.0,37665,174,99.54015698089272
RXTRAMMIS,Binaria,0.0,37660,179,99.52694310103332
INHALMON2,Binaria,0.0,37659,180,99.52430032506145
INHNDAYPM2,Categórica con pocas categorías,5.0,37659,180,99.52430032506145
TRQNMMON,Binaria,0.0,37654,185,99.51108644520204
TRQNDAYPM,Categórica con pocas categorías,5.0,37654,185,99.51108644520204
KETMINYR,Binaria,0.0,37639,200,99.47144480562383
STMNMMON,Binaria,0.0,37639,200,99.47144480562383
STMNDAYPM,Categórica con pocas categorías,5.0,37639,200,99.47144480562383
SVYRTQSDUNM,Categórica con pocas categorías,4.0,37633,206,99.45558814979253
RXBZOSANY,Binaria,0.0,37630,209,99.4476598218769
SVYRCNSUNM,Categórica con pocas categorías,4.0,37630,209,99.4476598218769
TQSDNMMON,Binaria,0.0,37624,215,99.43180316604561
RXOXYMANY2,Binaria,0.0,37621,218,99.42387483812996
IRGHBREC,Categórica con pocas categorías,9.0,37621,218,99.42387483812996
GHBFLAG,Binaria,0.0,37621,218,99.42387483812996
IRUD5STMUNM,Binaria,0.0,37616,223,99.41066095827057
IRSEVSTMUNM,Categórica con pocas categorías,9.0,37616,223,99.41066095827057
IRPYUD5COC,Binaria,0.0,37615,224,99.40801818229869
IRPYSEV5COC,Categórica con pocas categorías,9.0,37615,224,99.40801818229869
UADPLACE,Categórica con pocas categorías,4.0,37606,233,99.38423319855177
FUCRK18,Binaria,2.0,37605,234,99.38159042257988
SOLVENEVER2,Binaria,0.0,37601,238,99.37101931869236
FUPCP18,Binaria,2.0,37596,243,99.35780543883294
SRCFRTRQNM,Categórica con pocas categorías,,37596,243,99.35780543883294
SRCCLFRTRQ,Categórica con pocas categorías,,37596,243,99.35780543883294
