target,estrategia,average_precision,roc_auc,recall,precision,f1,balanced_accuracy,specificity,objetivo
IRSUIPLANYR,Ponderación,0.15785657387032553,0.8420786749916302,0.7571090847686592,0.08470296431770051,0.15235330574142686,0.7740580311907315,0.7910069776128037,Planificación suicida
IRSUIPLANYR,Sobremuestreo 0.25,0.1617984320688915,0.841821875237596,0.3902172689406732,0.16991360442353481,0.23668214608352073,0.6707563966872188,0.9512955244337645,Planificación suicida
IRSUIPLANYR,Sobremuestreo 1:1,0.15614384607070664,0.8407575002582266,0.7464989305414838,0.08504341733290395,0.15268354759027242,0.7706637361948578,0.7948285418482318,Planificación suicida
IRSUITRYYR,Ponderación,0.09950867395996846,0.8386955283000906,0.7261904761904762,0.04092179112651908,0.07747333859005975,0.7676624727314094,0.8091344692723424,Intento suicida
IRSUITRYYR,Sobremuestreo 0.25,0.10374678618741526,0.8386905281862017,0.37857142857142856,0.08939313366349574,0.14456131610433232,0.6675053924116471,0.9564393562518656,Intento suicida
IRSUITRYYR,Sobremuestreo 1:1,0.09793115750005611,0.8372117665422161,0.7095238095238094,0.04141388284230135,0.0782530210019855,0.7626696865409924,0.8158155635581753,Intento suicida
