variable_1,variable_2,v_cramer,nombre_1,nombre_2,n_categorias_1,n_categorias_2,tipo_relacion,relacion,puntuacion_max_1,targets_regla_final_1,targets_regla_detalle_1,puntuacion_max_2,targets_regla_final_2,targets_regla_detalle_2,variable_determinante,variable_determinada,nombre_determinante,nombre_determinada,revision
CATAG2,SEXAGE,1.0,RC-AGE CATEGORY RECODE (3 LEVELS),RC-COMBINED SEX BY AGE CATEGORY INDICATOR,2,3,Variable 2 determina variable 1,RC-COMBINED SEX BY AGE CATEGORY INDICATOR determina RC-AGE CATEGORY RECODE (3 LEVELS),0.940139401394014,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.939729397293973,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",SEXAGE,CATAG2,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,RC-AGE CATEGORY RECODE (3 LEVELS),Revisar posible retirada de la variable determinada
CATAG2,DRVINDETAG,1.0,RC-AGE CATEGORY RECODE (3 LEVELS),RC-DUI DETAILED AGE CATEGORY RECODE,2,3,Variable 2 determina variable 1,RC-DUI DETAILED AGE CATEGORY RECODE determina RC-AGE CATEGORY RECODE (3 LEVELS),0.940139401394014,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.951209512095121,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",DRVINDETAG,CATAG2,RC-DUI DETAILED AGE CATEGORY RECODE,RC-AGE CATEGORY RECODE (3 LEVELS),Revisar posible retirada de la variable determinada
CATAG2,CATAG3,1.0,RC-AGE CATEGORY RECODE (3 LEVELS),RC-AGE CATEGORY RECODE (5 LEVELS),2,4,Variable 2 determina variable 1,RC-AGE CATEGORY RECODE (5 LEVELS) determina RC-AGE CATEGORY RECODE (3 LEVELS),0.940139401394014,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.8905289052890529,1,IRSUICTHNK,CATAG3,CATAG2,RC-AGE CATEGORY RECODE (5 LEVELS),RC-AGE CATEGORY RECODE (3 LEVELS),Revisar posible retirada de la variable determinada
CATAG2,CATAG7,1.0,RC-AGE CATEGORY RECODE (3 LEVELS),RC-AGE CATEGORY RECODE (7 LEVELS),2,4,Variable 2 determina variable 1,RC-AGE CATEGORY RECODE (7 LEVELS) determina RC-AGE CATEGORY RECODE (3 LEVELS),0.940139401394014,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.940139401394014,2,"IRSUICTHNK, IRSUIPLANYR",CATAG7,CATAG2,RC-AGE CATEGORY RECODE (7 LEVELS),RC-AGE CATEGORY RECODE (3 LEVELS),Revisar posible retirada de la variable determinada
CATAG2,CATAGE,1.0,RC-AGE CATEGORY RECODE (3 LEVELS),RC-AGE CATEGORY,2,3,Variable 2 determina variable 1,RC-AGE CATEGORY determina RC-AGE CATEGORY RECODE (3 LEVELS),0.940139401394014,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.938089380893809,2,"IRSUICTHNK, IRSUIPLANYR",CATAGE,CATAG2,RC-AGE CATEGORY,RC-AGE CATEGORY RECODE (3 LEVELS),Revisar posible retirada de la variable determinada
SVYRDUDANY,UD5ILLANY,1.0,"RC-DRUG USE DISORDER SEVERITY, PY USERS",RC-DRUG USE DISORDER - PAST YEAR USERS,4,2,Variable 1 determina variable 2,"RC-DRUG USE DISORDER SEVERITY, PY USERS determina RC-DRUG USE DISORDER - PAST YEAR USERS",0.9684296842968431,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.972939729397294,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",SVYRDUDANY,UD5ILLANY,"RC-DRUG USE DISORDER SEVERITY, PY USERS",RC-DRUG USE DISORDER - PAST YEAR USERS,Revisar posible retirada de la variable determinada
DRVINAGE,DRVINDETAG,1.0,RC-DUI AGE CATEGORY RECODE,RC-DUI DETAILED AGE CATEGORY RECODE,2,3,Variable 2 determina variable 1,RC-DUI DETAILED AGE CATEGORY RECODE determina RC-DUI AGE CATEGORY RECODE,0.938089380893809,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.951209512095121,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",DRVINDETAG,DRVINAGE,RC-DUI DETAILED AGE CATEGORY RECODE,RC-DUI AGE CATEGORY RECODE,Revisar posible retirada de la variable determinada
SVYRSUDANY,UD5ILALANY,1.0,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS",RC-DRUG OR ALCOHOL USE DISORDER - PAST YEAR USERS,4,2,Variable 1 determina variable 2,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS determina RC-DRUG OR ALCOHOL USE DISORDER - PAST YEAR USERS",0.9536695366953669,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.9729397293972939,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",SVYRSUDANY,UD5ILALANY,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS",RC-DRUG OR ALCOHOL USE DISORDER - PAST YEAR USERS,Revisar posible retirada de la variable determinada
CAMHPROB,CAMHPROB2,0.9999999999999999,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,6,3,Variable 1 determina variable 2,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH determina RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,0.9860598605986061,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.985649856498565,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",CAMHPROB,CAMHPROB2,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,Revisar posible retirada de la variable determinada
CATAG2,DRVINAGE,0.9999370332989961,RC-AGE CATEGORY RECODE (3 LEVELS),RC-DUI AGE CATEGORY RECODE,2,2,Equivalencia bidireccional,Equivalencia bidireccional,0.940139401394014,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.938089380893809,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",,,,,Elegir una de las dos
