variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
COCAGLST,WRKLASTYR2,1378,-0.19801671485566052,0.19801671485566052
ALCAGLST,LSDAGLST,1210,0.19648941904842043,0.19648941904842043
ASTHMAAGE,CIGAGLST,1595,0.19475437294238257,0.19475437294238257
EDUSCKCOM,WRKSICKMO,546,0.1926091085312179,0.1926091085312179
CIGDLLST,LSDAGLST,1589,0.19132379190991136,0.19132379190991136
ASTHMAAGE,NMVSOPT2,3986,0.19041232581113315,0.19041232581113315
CIGDLLST,CIGDLYLU,959,0.18778157501644446,0.18778157501644446
HTINCHE2,PCPAGLST,515,0.18723720290712526,0.18723720290712526
WRKDHRSWK2,WRKNJBWKS,2765,-0.18230460507740803,0.18230460507740803
KIDNYDSAG,NMVSOPT2,585,0.18147779975709602,0.18147779975709602
HIGHBPAGE,WRKLASTYR2,1850,-0.18118557416540937,0.18118557416540937
CIGAVGM,HALLAGLST,1689,0.18097151941524442,0.18097151941524442
EDUSKPCOM,MRJAGLST,847,-0.1763964983136312,0.1763964983136312
CIGAGLST,EDUSKPCOM,677,-0.17152852071266564,0.17152852071266564
CIGDLLST,INHLAGLST,1215,0.16619890901444384,0.16619890901444384
CIGAVGM,LSDAGLST,1065,0.16379067698776345,0.16379067698776345
CIGAVGM,METHAGLST,719,0.16316496033224684,0.16316496033224684
CIGDLLST,NRCH17_2,6252,-0.16029108613750148,0.16029108613750148
WRKDHRSWK2,WTPOUND2,20094,0.15983588155675063,0.15983588155675063
CIGAVGM,ECSTMOAGL,980,0.15929589506217073,0.15929589506217073
ALCNUMDKPM,HTINCHE2,17594,0.15743818078106916,0.15743818078106916
ASTHMAAGE,MRJAGLST,1576,0.1573768819221637,0.1573768819221637
CIGAGLST,HIGHBPAGE,1944,0.15684377495248142,0.15684377495248142
NMERTMT2,WRKSICKMO,6453,0.15617490511957097,0.15617490511957097
CIGAVGM,SMKAGLAST,962,0.15552656529945158,0.15552656529945158
ALCAGLST,EDUSKPCOM,854,-0.15399116253395798,0.15399116253395798
NMNGTHS2,NMVSOPT2,2206,0.15359638897650094,0.15359638897650094
HTINCHE2,WRKDHRSWK2,20128,0.15082699827659418,0.15082699827659418
ALCAGLST,WRKDHRSWK2,5810,0.1497191236115281,0.1497191236115281
HALLAGLST,WRKLASTYR2,1759,-0.14935401094241008,0.14935401094241008
ASTHMAAGE,COCAGLST,603,0.14769996925619472,0.14769996925619472
CIGDLLST,NMVSOPT2,6462,0.14640933166119538,0.14640933166119538
ALCNUMDKPM,INHLAGLST,2057,0.1429859172590716,0.1429859172590716
ALCAGLST,BMI2,11316,0.1422707378869594,0.1422707378869594
ASTHMAAGE,CIGAVGM,600,0.14060612633847633,0.14060612633847633
METHAGLST,NRCH17_2,1467,-0.13950320170897623,0.13950320170897623
EDUSKPCOM,WRKDHRSWK2,1620,-0.13938382709014824,0.13938382709014824
EDUSCKCOM,WRKDHRSWK2,1620,-0.13655665522816288,0.13655665522816288
ASTHMAAGE,HTINCHE2,4188,-0.13655352174670785,0.13655352174670785
CGRAGLST,WTPOUND2,8965,0.13582595617838364,0.13582595617838364
METHAGLST,WRKLASTYR2,600,-0.13548868363620836,0.13548868363620836
EDUSCKCOM,NMERTMT2,3324,0.13465257235315545,0.13465257235315545
EDUSCKCOM,MRJAGLST,848,-0.13452942266878937,0.13452942266878937
BMI2,COPDAGE,855,-0.13360828324706947,0.13360828324706947
ECSTMOAGL,WRKLASTYR2,783,-0.13210810819199684,0.13210810819199684
COPDAGE,NMVSOPT2,771,0.13055063725858318,0.13055063725858318
COCAGLST,HIGHBPAGE,594,0.1294122713056395,0.1294122713056395
CIGAGLST,EDUSCKCOM,676,-0.12902918816155787,0.12902918816155787
NRCH17_2,WRKLASTYR2,10220,0.12779279445189137,0.12779279445189137
EDUSCKMON,NMERTMT2,939,0.1269052344129159,0.1269052344129159
