comprobacion,resultado
Cada objetivo contiene las 15 variables principales,True
Las posiciones comienzan en 1,True
La posición máxima mostrada es 15,True
Las importancias mostradas son finitas y no negativas,True
Cada objetivo conserva la familia seleccionada,True
