target,familia,tiempo_registro_s,100_registros_min
IRAMDEYR,ML,0.5750133045003167,0.9583555075005279
IRSUICTHNK,DL,4.152844201498738,6.921407002497896
IRSUIPLANYR,DL,4.231073341998126,7.05178890333021
IRSUITRYYR,DL,4.401361023999925,7.335601706666542
