target,descripcion,registros,negativos,positivos
IRAMDEYR,Episodio depresivo mayor,100,50,50
IRSUICTHNK,Ideación suicida,100,50,50
IRSUIPLANYR,Planificación suicida,100,50,50
IRSUITRYYR,Intento suicida,100,50,50
