comprobacion,resultado
La tabla corresponde exclusivamente a TRAIN,True
La tabla contiene 302.712 predicciones,True
Existen dos familias y cuatro variables objetivo,True
Cada familia y objetivo contiene 37.839 registros,True
"No existen duplicados por identificador, familia y objetivo",True
Las clases reales coinciden con TRAIN,True
Las probabilidades son finitas,True
"Las probabilidades pertenecen al intervalo [0, 1]",True
Las clasificaciones coinciden con los umbrales fijados,True
