familia,modelo,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,tn,fp,fn,tp
ML,XGBoost,IRAMDEYR,Episodio depresivo mayor,0.5,0.5417390347093929,0.8998936882373046,0.8716361038342463,0.3351341452247963,0.48412698412698413,0.6602446152180972,0.8278959353891802,0.7841557669441142,0.7938634741932926,26379,7261,539,3660
DL,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRAMDEYR,Episodio depresivo mayor,0.435,0.5455098541430732,0.90810144196611,0.7396999285544177,0.4282956425813569,0.542485372456554,0.645791749833666,0.8082268965007522,0.8767538644470868,0.8615449668331615,29494,4146,1093,3106
ML,Stacking RL+XGB,IRSUICTHNK,Ideación suicida,0.5,0.3292025448704639,0.8262399348386507,0.7597586941092974,0.19905169207883971,0.3154560188595845,0.4859723987652079,0.7568817170612162,0.754004740013135,0.7544332566928301,26406,8615,677,2141
DL,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUICTHNK,Ideación suicida,0.509,0.34636670680392284,0.8550932200489095,0.7512420156139106,0.23454464879237757,0.3574805808848362,0.521479948763425,0.7769801922962617,0.8027183689786128,0.7988847485398662,28112,6909,701,2117
ML,Stacking RL+XGB,IRSUIPLANYR,Planificación suicida,0.5,0.17766192178277768,0.8589777353604733,0.7974549310710498,0.08300220750551876,0.15035489353194043,0.29301745635910226,0.7861407352666611,0.7748265394622723,0.7753904701498454,28588,8308,191,752
DL,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUIPLANYR,Planificación suicida,0.536,0.19937857783938875,0.8941092856571311,0.8186638388123012,0.101126539166885,0.18001632272356302,0.338418376293179,0.8163408092587092,0.8140177797051171,0.8141335658976189,30034,6862,171,772
ML,Regresión Logística,IRSUITRYYR,Intento suicida,0.5,0.10449600904693612,0.8697467800289896,0.780952380952381,0.04402684563758389,0.08335451080050826,0.1796276013143483,0.795310632871765,0.8096688847911488,0.8093501413885145,30297,7122,92,328
DL,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUITRYYR,Intento suicida,0.502,0.12664601732445585,0.9032871001362944,0.8785714285714286,0.04105930788917325,0.07845221643457,0.17296334489547202,0.8241303119500025,0.7696891953285764,0.7708977509976479,28801,8618,51,369
