target,descripcion,familia,registros_explicados,variables_originales,n_evaluaciones_shap,tiempo_total_s,tiempo_registro_s,diferencia_reconstruccion,forma_valores,diferencia_media_reconstruccion,diferencia_p95_reconstruccion,registros_superan_tolerancia
IRAMDEYR,Episodio depresivo mayor,ML,100,59,119,11.282028372999775,0.11279819551995388,0.044327437877654974,100 × 59,0.004436817616224302,0.03309496827423573,13
IRSUICTHNK,Ideación suicida,DL,100,813,1627,537.1993712200001,5.371967409200015,0.0002291649580001831,100 × 813,5.844525992870331e-05,0.00013565421104431142,0
IRSUIPLANYR,Planificación suicida,DL,100,813,1627,603.3430514399997,6.033405319959993,0.0003239363431930542,100 × 813,7.604833692312269e-05,0.0001967877149581909,0
IRSUITRYYR,Intento suicida,DL,100,813,1627,603.9956177040003,6.039924944069998,0.0003354400396347046,100 × 813,8.461758494377136e-05,0.00021375976502895351,0
