familia,modelo,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,tn,fp,fn,tp,brier_score
ML,XGBoost,IRAMDEYR,Episodio depresivo mayor,0.5,0.5146779192141497,0.8964533123003168,0.8548707753479126,0.3323029366306028,0.4785754034501948,0.6503327283726558,0.8252352457293146,0.7955997161107168,0.8019027484143764,6726,1728,146,860,0.13044249173528066
DL,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUICTHNK,Ideación suicida,0.509,0.32231878053095675,0.8348764094937123,0.7078986587183308,0.2201112140871177,0.335807705903146,0.49049979347377115,0.7582046485081015,0.8085106382978723,0.8013742071881607,7106,1683,196,475,0.1868312860538964
DL,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUIPLANYR,Planificación suicida,0.536,0.17115894040739804,0.8572998309549494,0.762114537444934,0.09484649122807018,0.16869819600195027,0.3166178623718887,0.7916497088827616,0.8211848803205892,0.8197674418604651,7582,1651,54,173,0.19363639624540108
DL,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUITRYYR,Intento suicida,0.502,0.09443827229270611,0.8461062329795628,0.7714285714285715,0.037003197807217905,0.07061900610287707,0.1552318896128785,0.7730472627319234,0.7746659540352753,0.774630021141649,7247,2108,24,81,0.1974957423723936
