variable,modulo,rol_provisional,n_unicos,pct_nan,uso_provisional,motivo_uso
MKMBGHTPILL,MARKET INFORMATION FOR MARIJUANA,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MKMBGHTOTH,MARKET INFORMATION FOR MARIJUANA,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MKMLOOGMCOM2,MARKET INFORMATION FOR MARIJUANA,Predictor candidato,12,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MKMLOOOUNCE,MARKET INFORMATION FOR MARIJUANA,Predictor candidato,13,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MKMSELLMRJ,MARKET INFORMATION FOR MARIJUANA,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNTEVER,BLUNTS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNTAGE,BLUNTS,Predictor candidato,74,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNTYFU,BLUNTS,Predictor candidato,11,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNTMFU,BLUNTS,Predictor candidato,20,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNTREC,BLUNTS,Predictor candidato,11,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLRECFL2,BLUNTS,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNT30DY,BLUNTS,Predictor candidato,35,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNT30C1,BLUNTS,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNT30C2,BLUNTS,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
RSNOMRJ,BLUNTS,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
RSNMRJMO,BLUNTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
BLNTNOMJ,BLUNTS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COCEVER,COCAINE,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COCAGE,COCAINE,Predictor candidato,60,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COCYFU,COCAINE,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COCMFU,COCAINE,Predictor candidato,19,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COCREC,COCAINE,Predictor candidato,11,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COCYRTOT,COCAINE,Predictor candidato,77,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CCTOTFG,COCAINE,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CCFQFLG,COCAINE,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CCBSTWAY,COCAINE,Predictor candidato,13,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CCDAYPYR,COCAINE,Predictor candidato,44,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CCDAYPMO,COCAINE,Predictor candidato,26,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CCDAYPWK,COCAINE,Predictor candidato,15,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COCUS30A,COCAINE,Predictor candidato,31,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CC30EST,COCAINE,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRKEVER,CRACK,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRKAGE,CRACK,Predictor candidato,54,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRKYFU,CRACK,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRKMFU,CRACK,Predictor candidato,18,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRAKREC,CRACK,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRKYRTOT,CRACK,Predictor candidato,54,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRTOTFG,CRACK,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRFQFLG,CRACK,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRBSTWAY,CRACK,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRDAYPYR,CRACK,Predictor candidato,29,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRDAYPMO,CRACK,Predictor candidato,24,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRDAYPWK,CRACK,Predictor candidato,13,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CRKUS30A,CRACK,Predictor candidato,23,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CR30EST,CRACK,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HEREVER,HEROIN,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HERAGE,HEROIN,Predictor candidato,53,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HERYFU,HEROIN,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HERMFU,HEROIN,Predictor candidato,15,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HERREC,HEROIN,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HERYRTOT,HEROIN,Predictor candidato,48,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HRTOTFG,HEROIN,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HRFQFLG,HEROIN,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HRBSTWAY,HEROIN,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HRDAYPYR,HEROIN,Predictor candidato,26,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HRDAYPMO,HEROIN,Predictor candidato,21,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HRDAYPWK,HEROIN,Predictor candidato,14,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HER30USE,HEROIN,Predictor candidato,21,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HR30EST,HEROIN,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LSD,HALLUCINOGENS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PCP,HALLUCINOGENS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PEYOTE,HALLUCINOGENS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MESC,HALLUCINOGENS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PSILCY,HALLUCINOGENS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ECSTMOLLY,HALLUCINOGENS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
KETMINESK,HALLUCINOGENS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
DMTAMTFXY,HALLUCINOGENS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SALVIADIV,HALLUCINOGENS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCOTH,HALLUCINOGENS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCOT1,HALLUCINOGENS,Predictor candidato,125,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCOT2,HALLUCINOGENS,Predictor candidato,65,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCOT3,HALLUCINOGENS,Predictor candidato,39,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCOT4,HALLUCINOGENS,Predictor candidato,21,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCOT5,HALLUCINOGENS,Predictor candidato,17,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCEVR,HALLUCINOGENS,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCAGE,HALLUCINOGENS,Predictor candidato,70,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCYFU,HALLUCINOGENS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCMFU,HALLUCINOGENS,Predictor candidato,19,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCREC,HALLUCINOGENS,Predictor candidato,11,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUCYFQ,HALLUCINOGENS,Predictor candidato,70,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALTOTFG,HALLUCINOGENS,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALFQFLG,HALLUCINOGENS,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLEASWY,HALLUCINOGENS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLDYSYR,HALLUCINOGENS,Predictor candidato,40,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLDYPMO,HALLUCINOGENS,Predictor candidato,24,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLDYPWK,HALLUCINOGENS,Predictor candidato,14,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUC30N,HALLUCINOGENS,Predictor candidato,24,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HALLUC30E,HALLUCINOGENS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LSDAGE,HALLUCINOGENS,Predictor candidato,55,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LSDYFU,HALLUCINOGENS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LSDMFU,HALLUCINOGENS,Predictor candidato,19,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LSDREC,HALLUCINOGENS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PCPAGE,HALLUCINOGENS,Predictor candidato,43,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PCPYFU,HALLUCINOGENS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PCPMFU,HALLUCINOGENS,Predictor candidato,12,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PCPREC,HALLUCINOGENS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PSILCYREC,HALLUCINOGENS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ECSTMOAGE,HALLUCINOGENS,Predictor candidato,57,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ECSTMOYFU,HALLUCINOGENS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ECSTMOMFU,HALLUCINOGENS,Predictor candidato,19,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ECSTMOREC,HALLUCINOGENS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
