variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
IIFAMSVC,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION INDICATOR,,0,True,Imputada
IRWELMOS,int64,47299,13,0,0.0,IMPUTED INCOME,,Predictor candidato,NO OF MONTHS ON WELFARE - IMPUTATION REVISED,"IRFAMPMT, IRFAMSVC",2,True,Imputada
IIWELMOS,int64,47299,3,0,0.0,IMPUTED INCOME,,Predictor candidato,NO OF MONTHS ON WELFARE - IMPUTATION INDICATOR,,0,True,Imputada
IRPINC3,int64,47299,7,0,0.0,IMPUTED INCOME,,Predictor candidato,RECODE -RESP TOT INCOME - IMPUTATION REVISED,,0,True,Imputada
IRFAMIN3,int64,47299,7,0,0.0,IMPUTED INCOME,,Predictor candidato,RECODE - TOT FAM INCOME - IMPUTATION REVISED,,0,True,Imputada
IIPINC3,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,RECODE - RESP TOT INCOME - IMPUTATION INDICATOR,,0,True,Imputada
IIFAMIN3,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,RECODE - TOT FAM INCOME - IMPUTATION INDICATOR,,0,True,Imputada
GOVTPROG,int64,47299,2,0,0.0,RECODED INCOME,,Predictor candidato,RC-PARTICIPATED IN ONE OR MORE GOVT ASSIST PROGRAMS,"IRFAMPMT, IRFAMSSI, IRFAMSVC, IRFSTAMP",4,True,Recodificada
INCOME,int64,47299,4,0,0.0,RECODED INCOME,,Predictor candidato,RC-TOTAL FAMILY INCOME RECODE,,0,True,Recodificada
POVERTY3,float64,47163,3,136,0.288,RECODED INCOME,,Predictor candidato,RC-POVERTY LEVEL (% OF US CENSUS POVERTY THRESHOLD),,0,True,Recodificada
BOOKED,int64,47299,7,0,0.0,SPECIAL TOPICS,,Predictor candidato,EVER ARRESTED AND BOOKED FOR BREAKING THE LAW,SP01,1,True,Original u otra
