variable,modulo,tipo_version,tipo_variable,n_unicos,n_nan,pct_nan,pct_dominante,n_ausencia_documental,tipos_ausencia,pct_ausencia_documental,tramo_nan,tramo_dominante,rango_documentado,frecuencia_fuera_rango,tipos_fuera_rango,pct_fuera_rango
HLCNOTMO,HEALTH INSURANCE,Original u otra,Numérica con rango documentado,16,0,0.0,90.15,2161,No respuesta o ausencia,4.569,Sin valores físicamente ausentes,90-95 %,1 - 12,44801,No respuesta o ausencia | Salto legítimo o no aplicable,94.719
HRTCONDAG,HEALTH,Original u otra,Numérica con rango documentado,96,0,0.0,89.613,1390,No respuesta o ausencia,2.939,Sin valores físicamente ausentes,80-90 %,1 - 92,43790,Asignación lógica | No respuesta o ausencia | Salto legítimo o no aplicable,92.581
HTINCHE2,HEALTH,Original u otra,Numérica con rango documentado,25,0,0.0,8.385,1689,No respuesta o ausencia,3.571,Sin valores físicamente ausentes,<80 %,55 - 75,1849,Asignación lógica | No respuesta o ausencia,3.909
INHLAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,74,0,0.0,88.742,423,No respuesta o ausencia,0.894,Sin valores físicamente ausentes,80-90 %,1 - 75,43011,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,90.934
INHLYRLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,88.742,819,No respuesta o ausencia,1.732,Sin valores físicamente ausentes,80-90 %,2022 - 2024,46849,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,99.049
IRWELMOS,IMPUTED INCOME,Imputada,Numérica con rango documentado,13,0,0.0,95.972,0,Sin ausencia documental observada,0.0,Sin valores físicamente ausentes,95-99 %,1 - 12,45394,Salto legítimo o no aplicable,95.972
KIDNYDSAG,HEALTH,Original u otra,Numérica con rango documentado,91,0,0.0,95.416,1343,No respuesta o ausencia,2.839,Sin valores físicamente ausentes,95-99 %,1 - 89,46484,Asignación lógica | No respuesta o ausencia | Salto legítimo o no aplicable,98.277
LSDAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,63,0,0.0,89.061,330,No respuesta o ausencia,0.698,Sin valores físicamente ausentes,80-90 %,1 - 84,42749,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,90.38
LSDYLU,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,89.061,564,No respuesta o ausencia,1.192,Sin valores físicamente ausentes,80-90 %,2022 - 2024,46866,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,99.085
METHAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,67,0,0.0,94.444,149,No respuesta o ausencia,0.315,Sin valores físicamente ausentes,90-95 %,5 - 77,45284,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,95.74
METHYRLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,94.444,312,No respuesta o ausencia,0.66,Sin valores físicamente ausentes,90-95 %,2022 - 2024,47028,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,99.427
MRJAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,91,0,0.0,47.289,594,No respuesta o ausencia,1.256,Sin valores físicamente ausentes,<80 %,2 - 94,32393,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,68.486
MRJYLU,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,47.289,954,No respuesta o ausencia,2.017,Sin valores físicamente ausentes,<80 %,2022 - 2024,42543,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,89.945
NMERTMT2,HEALTH,Original u otra,Numérica con rango documentado,31,0,0.0,74.517,1413,No respuesta o ausencia,2.987,Sin valores físicamente ausentes,<80 %,0 - 30,1441,Asignación lógica | Categoría analítica | No respuesta o ausencia,3.047
NMNGTHS2,HEALTH,Original u otra,Numérica con rango documentado,36,0,0.0,90.668,1017,No respuesta o ausencia,2.15,Sin valores físicamente ausentes,90-95 %,1 - 30,43987,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable,92.998
NMVSOPT2,HEALTH,Original u otra,Numérica con rango documentado,24,0,0.0,23.662,1598,No respuesta o ausencia,3.379,Sin valores físicamente ausentes,<80 %,0 - 15,2970,Asignación lógica | Categoría analítica | No respuesta o ausencia,6.279
NRCH17_2,HOUSEHOLD COMPOSITION (ROSTER),Original u otra,Numérica con rango documentado,4,1699,3.592,68.45,1699,No respuesta o ausencia,3.592,1-10 %,<80 %,0 - 2,4585,Categoría analítica | No respuesta o ausencia,9.694
PCPAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,51,0,0.0,98.26,82,No respuesta o ausencia,0.173,Sin valores físicamente ausentes,95-99 %,8 - 57,46645,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,98.617
PCPYLU,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,98.26,161,No respuesta o ausencia,0.34,Sin valores físicamente ausentes,95-99 %,2022 - 2024,47275,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,99.949
SMKAGLAST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,79,0,0.0,85.998,229,No respuesta o ausencia,0.484,Sin valores físicamente ausentes,80-90 %,2 - 80,42605,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,90.076
SMKYRLAST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,85.998,530,No respuesta o ausencia,1.121,Sin valores físicamente ausentes,80-90 %,2022 - 2024,46550,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,98.416
WRKDHRSWK2,EMPLOYMENT,Original u otra,Numérica con rango documentado,66,0,0.0,40.147,1988,No respuesta o ausencia,4.203,Sin valores físicamente ausentes,<80 %,1 - 60,21607,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable,45.682
WRKLASTYR2,EMPLOYMENT,Original u otra,Numérica con rango documentado,46,0,0.0,61.462,2551,No respuesta o ausencia,5.393,Sin valores físicamente ausentes,<80 %,1986 - 2024,33855,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable,71.577
WRKNJBWKS,EMPLOYMENT,Original u otra,Numérica con rango documentado,57,0,0.0,86.674,2125,No respuesta o ausencia,4.493,Sin valores físicamente ausentes,80-90 %,1 - 52,43143,Asignación lógica | No respuesta o ausencia | Salto legítimo o no aplicable,91.213
WRKSICKMO,EMPLOYMENT,Original u otra,Numérica con rango documentado,36,0,0.0,43.542,2178,No respuesta o ausencia,4.605,Sin valores físicamente ausentes,<80 %,1 - 30,39154,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable,82.78
WRKSKIPMO,EMPLOYMENT,Original u otra,Numérica con rango documentado,34,0,0.0,52.041,2192,No respuesta o ausencia,4.634,Sin valores físicamente ausentes,<80 %,1 - 30,43161,Asignación lógica | Categoría analítica | No respuesta o ausencia | Salto legítimo o no aplicable,91.251
WTPOUND2,HEALTH,Original u otra,Numérica con rango documentado,225,0,0.0,3.951,1712,No respuesta o ausencia,3.62,Sin valores físicamente ausentes,<80 %,75 - 295,1872,Asignación lógica | No respuesta o ausencia,3.958
