modulo,variables,predictores,pct_nan_medio,pct_nan_mediana,pct_nan_max,vars_sin_nan,vars_nan_90,mediana_valores_unicos,tipo_modulo,revision_objetivos
IMPUTED HOUSEHOLD COMPOSITION (ROSTER),6,6,0.0,0.0,0.0,6,0,2.5,Imputado,False
RECODED HEALTH INSURANCE,6,6,0.0,0.0,0.0,6,0,2.0,Recodificado,False
IMPUTED DEMOGRAPHICS,5,5,0.0,0.0,0.0,5,0,2.0,Imputado,False
IMPUTED SPECIAL DRUGS,4,4,0.0,0.0,0.0,4,0,3.5,Imputado,False
PAIN RELIEVERS SCREENER,4,4,0.048,0.0,0.192,3,0,7.0,Original u otro,False
RECODED HEALTH,3,3,2.579,2.171,4.757,0,0,3.0,Recodificado,False
RECODED INCOME,3,3,0.096,0.0,0.288,2,0,3.0,Recodificado,False
SAMPLE WEIGHTING AND ESTIMATION VARS,3,0,0.0,0.0,0.0,3,0,50.0,Original u otro,False
SEDATIVES SCREENER,3,3,0.157,0.0,0.471,2,0,6.0,Original u otro,False
TRANQUILIZERS SCREENER,3,3,0.096,0.0,0.288,2,0,6.0,Original u otro,False
COUNTY,2,2,0.0,0.0,0.0,2,0,3.0,Original u otro,False
HOUSEHOLD COMPOSITION (ROSTER),2,2,1.796,1.796,3.592,1,0,3.5,Original u otro,False
IMPUTED NICOTINE DEPENDENCE,2,2,0.0,0.0,0.0,2,0,2.5,Imputado,False
INCOME,2,2,0.0,0.0,0.0,2,0,6.0,Original u otro,False
INTERVIEW INFORMATION,2,2,49.752,49.752,99.505,1,1,2.0,Original u otro,False
PROXY INFORMATION,2,2,0.0,0.0,0.0,2,0,5.5,Original u otro,False
RECODED EDUCATION,2,2,0.0,0.0,0.0,2,0,4.0,Recodificado,False
STIMULANTS SCREENER,2,2,0.0,0.0,0.0,2,0,6.0,Original u otro,False
BLOCK,1,1,0.0,0.0,0.0,1,0,2.0,Original u otro,False
IDENTIFICATION,1,0,0.0,0.0,0.0,1,0,47299.0,Original u otro,False
SEGMENT,1,1,0.0,0.0,0.0,1,0,2.0,Original u otro,False
