variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
INHLAGLST,NMVSOPT2,4064,0.024,0.024
ALCNUMDKPM,HIGHBPAGE,2364,-0.024,0.024
ALCAGLST,ALCYLU,8789,-0.024,0.024
ALCYLU,NRCH17_2,8022,-0.024,0.024
ALCNUMDKPM,WRKNJBWKS,1998,-0.024,0.024
NMVSOPT2,SMKAGLAST,4524,0.024,0.024
CIGYLU,NRCH17_2,2415,-0.023,0.023
LSDAGLST,WRKSKIPMO,576,-0.023,0.023
CRKAGLST,HTINCHE2,1306,0.023,0.023
NMNGTHS2,WRKDHRSWK2,1190,-0.023,0.023
BMI2,PCPAGLST,645,-0.022,0.022
CGRAGLST,NMERTMT2,11226,-0.022,0.022
CIGDLLST,CIGYLU,989,0.022,0.022
HALLYRLST,NMVSOPT2,1905,0.022,0.022
ALCYLU,HTINCHE2,8609,0.022,0.022
CIGDLLST,HTINCHE2,8396,-0.021,0.021
CGRAGLST,NRCH17_2,10356,0.021,0.021
HTINCHE2,WRKSKIPMO,4064,-0.021,0.021
INHLAGLST,WRKSICKMO,913,0.021,0.021
BMI2,METHAGLST,1978,0.021,0.021
MRJYLU,WTPOUND2,4687,-0.02,0.02
ALCYLU,CGRAGLST,1798,-0.02,0.02
BMI2,EDUSCKMON,1155,-0.02,0.02
ECSTMOAGL,NMERTMT2,3846,-0.02,0.02
COCYLU,WTPOUND2,799,0.02,0.02
MRJYLU,WRKDHRSWK2,2928,-0.02,0.02
CIGARYLU,MRJAGLST,953,0.02,0.02
COCAGLST,NMNGTHS2,532,0.02,0.02
NRCH17_2,WRKSICKMO,7581,-0.019,0.019
ALCYLU,CIGDLLST,1627,-0.019,0.019
ALCYLU,ASTHMAAGE,1117,-0.019,0.019
MRJYLU,SMKAGLAST,619,0.019,0.019
HLCNOTMO,NMERTMT2,2452,0.019,0.019
HTINCHE2,MRJAGLST,14724,0.019,0.019
CIGDLLST,WRKSKIPMO,752,-0.019,0.019
CIGAGLST,HTINCHE2,16479,0.019,0.019
EDUSCKCOM,WRKLASTYR2,1238,0.019,0.019
NMVSOPT2,SMKYRLAST,716,-0.019,0.019
HTINCHE2,IRWELMOS,1817,-0.019,0.019
ALCYLU,NMERTMT2,8694,-0.019,0.019
BMI2,MRJYLU,4668,-0.018,0.018
BMI2,CIGARYLU,2230,-0.018,0.018
ASTHMAAGE,WTPOUND2,5228,0.018,0.018
ALCAGLST,HLCNOTMO,868,0.018,0.018
ALCAGLST,WRKSICKMO,2421,-0.018,0.018
IRWELMOS,NMERTMT2,1834,0.018,0.018
HALLYRLST,WRKSICKMO,527,-0.018,0.018
COCAGLST,WRKDHRSWK2,3395,0.018,0.018
ALCYLU,NMVSOPT2,8326,-0.018,0.018
ECSTMOAGL,WRKDHRSWK2,2501,0.017,0.017
HALLYRLST,MRJAGLST,572,0.017,0.017
MRJAGLST,NMERTMT2,14756,-0.017,0.017
ECSTMOAGL,WRKSICKMO,934,0.017,0.017
ASTHMAAGE,WRKSKIPMO,579,-0.017,0.017
ASTHMAAGE,SMKAGLAST,547,0.017,0.017
CRKAGLST,WTPOUND2,1303,0.017,0.017
CIGARYLU,WTPOUND2,2236,-0.017,0.017
WRKLASTYR2,WTPOUND2,13175,-0.017,0.017
INHLAGLST,WTPOUND2,4239,0.016,0.016
ALCYLU,BMI2,8538,-0.016,0.016
EDUSKPCOM,HTINCHE2,4121,-0.015,0.015
MRJYLU,NMERTMT2,4706,0.015,0.015
CIGAGLST,WRKSICKMO,3074,-0.015,0.015
CIGYLU,HALLAGLST,886,0.015,0.015
HTINCHE2,MRJYLU,4697,-0.015,0.015
DIABETEAG,HTINCHE2,3581,0.014,0.014
DIABETEAG,WRKSICKMO,529,0.014,0.014
NRCH17_2,WRKSKIPMO,3849,0.014,0.014
WRKSICKMO,WTPOUND2,8008,0.014,0.014
ALCNUMDKPM,MRJYLU,2968,0.014,0.014
HRTCONDAG,NMERTMT2,3492,-0.014,0.014
CIGAGLST,NRCH17_2,15235,-0.014,0.014
BMI2,WRKSICKMO,7972,0.014,0.014
NMERTMT2,NRCH17_2,42031,0.014,0.014
COPDAGE,HTINCHE2,1093,0.014,0.014
EDUSCKCOM,WTPOUND2,4096,-0.013,0.013
LSDAGLST,MRJYLU,728,0.013,0.013
NMERTMT2,SMKYRLAST,736,0.013,0.013
BMI2,CRKAGLST,1297,0.013,0.013
COCAGLST,MRJYLU,880,-0.013,0.013
CGRAGLST,MRJYLU,1654,0.013,0.013
NMVSOPT2,WRKSKIPMO,3964,0.012,0.012
CIGAGLST,WRKSKIPMO,1507,-0.012,0.012
ASTHMAAGE,EDUSCKCOM,518,-0.012,0.012
MRJYLU,NRCH17_2,4415,-0.012,0.012
BMI2,WRKSKIPMO,4042,0.012,0.012
DIABETEAG,NMNGTHS2,531,-0.012,0.012
CIGARYLU,CIGDLLST,556,0.012,0.012
ALCYLU,NMNGTHS2,786,-0.012,0.012
HALLAGLST,WRKSKIPMO,973,-0.011,0.011
HTINCHE2,NMNGTHS2,3243,0.011,0.011
COCYLU,HTINCHE2,799,0.011,0.011
CIGAVGM,HLCNOTMO,513,-0.011,0.011
ALCYLU,WRKDHRSWK2,4811,0.011,0.011
ASTHMAAGE,EDUSKPCOM,519,0.011,0.011
ASTHMAAGE,NRCH17_2,4879,0.011,0.011
BMI2,HLCNOTMO,2428,0.011,0.011
NMVSOPT2,NRCH17_2,40629,-0.011,0.011
NRCH17_2,SMKAGLAST,4221,-0.01,0.01
ALCNUMDKPM,CRKAGLST,594,0.01,0.01
CGRAGLST,CIGYLU,1170,0.01,0.01
CIGYLU,WRKDHRSWK2,1629,-0.01,0.01
CIGAGLST,NMERTMT2,16553,0.01,0.01
HALLYRLST,INHLAGLST,560,-0.01,0.01
CIGYLU,COCAGLST,648,-0.01,0.01
ALCYLU,CIGAGLST,3097,-0.01,0.01
MRJYLU,WRKNJBWKS,604,0.01,0.01
MRJYLU,NMVSOPT2,4520,-0.009,0.009
ALCYLU,SMKAGLAST,766,-0.009,0.009
CIGDLLST,WRKDHRSWK2,4441,0.009,0.009
ALCNUMDKPM,HALLYRLST,1418,0.009,0.009
MRJAGLST,MRJYLU,4756,0.009,0.009
LSDAGLST,NRCH17_2,4269,-0.009,0.009
CIGDLLST,WRKSICKMO,1508,-0.008,0.008
EDUSKPMON,HTINCHE2,1012,-0.008,0.008
CIGAVGM,MRJYLU,786,-0.008,0.008
HTINCHE2,SMKYRLAST,735,-0.008,0.008
COCAGLST,NMERTMT2,5693,0.008,0.008
MRJYLU,WRKSICKMO,1074,0.007,0.007
NMERTMT2,SMKAGLAST,4649,0.007,0.007
ASTHMAAGE,WRKDHRSWK2,3033,0.007,0.007
BMI2,IRWELMOS,1796,0.007,0.007
CIGARYLU,HTINCHE2,2242,-0.007,0.007
ALCYLU,HRTCONDAG,661,-0.007,0.007
CIGYLU,NMVSOPT2,2477,0.007,0.007
ALCAGLST,CIGYLU,674,-0.007,0.007
WRKNJBWKS,WRKSICKMO,1360,0.006,0.006
NMERTMT2,WRKLASTYR2,13284,0.006,0.006
ALCYLU,WRKNJBWKS,890,-0.006,0.006
HTINCHE2,WRKSICKMO,8017,0.006,0.006
CIGAGLST,CIGARYLU,1147,0.006,0.006
HIGHBPAGE,NMVSOPT2,4593,0.005,0.005
HERAGLST,NMERTMT2,931,-0.005,0.005
EDUSKPMON,NMVSOPT2,989,0.005,0.005
ALCYLU,MRJAGLST,3092,-0.005,0.005
ALCYLU,WTPOUND2,8593,-0.005,0.005
ALCAGLST,NRCH17_2,13287,-0.005,0.005
CIGDLLST,NMERTMT2,8437,-0.005,0.005
IRWELMOS,WTPOUND2,1811,-0.004,0.004
CIGAGLST,MRJYLU,2142,-0.004,0.004
ASTHMAAGE,MRJYLU,682,0.004,0.004
INHLAGLST,NMERTMT2,4258,-0.004,0.004
CGRAGLST,HALLYRLST,906,-0.004,0.004
HERAGLST,WTPOUND2,921,0.004,0.004
CIGYLU,SMKAGLAST,548,-0.004,0.004
HALLAGLST,NMVSOPT2,7578,0.004,0.004
COCYLU,NMVSOPT2,779,0.003,0.003
ALCNUMDKPM,CIGDLLST,4665,0.003,0.003
LSDAGLST,WRKSICKMO,990,0.003,0.003
CGRAGLST,WRKSKIPMO,1119,-0.003,0.003
METHAGLST,WRKDHRSWK2,1044,-0.003,0.003
ALCNUMDKPM,IRWELMOS,635,-0.003,0.003
CGRAGLST,WRKSICKMO,2219,-0.003,0.003
CIGYLU,WTPOUND2,2542,-0.003,0.003
ALCYLU,EDUSKPCOM,839,0.003,0.003
WRKSKIPMO,WTPOUND2,4064,0.003,0.003
ECSTMOAGL,HALLYRLST,866,-0.002,0.002
BMI2,CIGYLU,2533,-0.002,0.002
HLCNOTMO,WRKLASTYR2,679,-0.002,0.002
HALLYRLST,WTPOUND2,1963,-0.002,0.002
BMI2,EDUSCKCOM,4075,0.002,0.002
ALCNUMDKPM,HRTCONDAG,1587,0.002,0.002
CIGARYLU,NRCH17_2,2110,0.002,0.002
ALCNUMDKPM,NMERTMT2,22066,0.002,0.002
CRKAGLST,WRKDHRSWK2,633,0.001,0.001
NRCH17_2,PCPAGLST,610,-0.001,0.001
SMKAGLAST,WRKSICKMO,881,0.001,0.001
CIGYLU,HTINCHE2,2546,0.001,0.001
HALLAGLST,WRKSICKMO,1759,-0.001,0.001
CGRAGLST,HLCNOTMO,562,-0.001,0.001
ALCAGLST,NMERTMT2,14382,0.001,0.001
ALCYLU,WRKSKIPMO,770,0.001,0.001
CIGYLU,WRKSICKMO,595,0.0,0.0
ALCNUMDKPM,SMKYRLAST,505,-0.0,0.0
