variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
CIGAGLST,LSDAGLST,2676,0.277,0.277
NMERTMT2,NMVSOPT2,44110,0.276,0.276
CIGAGLST,DIABETEAG,1559,0.275,0.275
INHLAGLST,MRJAGLST,2007,0.272,0.272
ASTHMAAGE,CIGDLLST,1042,0.271,0.271
CRKAGLST,NRCH17_2,1220,-0.27,0.27
CIGDLLST,HIGHBPAGE,1503,0.268,0.268
CIGAGLST,HRTCONDAG,1647,0.263,0.263
HIGHBPAGE,WTPOUND2,4857,-0.262,0.262
CGRAGLST,DIABETEAG,966,0.258,0.258
HRTCONDAG,NRCH17_2,3322,-0.255,0.255
HRTCONDAG,MRJAGLST,1279,0.255,0.255
MRJAGLST,SMKAGLAST,2209,0.255,0.255
COPDAGE,WRKLASTYR2,638,-0.254,0.254
CIGAVGM,CIGDLYLU,741,0.253,0.253
BMI2,HIGHBPAGE,4840,-0.253,0.253
COPDAGE,NRCH17_2,1055,-0.248,0.248
SMKAGLAST,WRKLASTYR2,1211,-0.247,0.247
ALCAGLST,CIGAVGM,2195,0.239,0.239
EDUSCKMON,EDUSKPCOM,1186,0.238,0.238
CIGAGLST,INHLAGLST,2291,0.23,0.23
CIGAVGM,WRKLASTYR2,2355,-0.229,0.229
CGRAGLST,INHLAGLST,2093,0.229,0.229
DIABETEAG,MRJAGLST,1236,0.228,0.228
CRKAGLST,WRKLASTYR2,524,-0.228,0.228
NMERTMT2,NMNGTHS2,3300,0.222,0.222
IRWELMOS,WRKLASTYR2,770,-0.218,0.218
CIGAVGM,MRJAGLST,2266,0.21,0.21
CIGAVGM,COCAGLST,1829,0.209,0.209
NMVSOPT2,WRKLASTYR2,12631,-0.207,0.207
INHLAGLST,SMKAGLAST,1083,0.207,0.207
CGRAGLST,HIGHBPAGE,1536,0.206,0.206
CIGDLLST,LSDAGLST,1973,0.203,0.203
ALCAGLST,LSDAGLST,1514,0.203,0.203
ALCAGLST,NMVSOPT2,13745,0.202,0.202
COCAGLST,WRKLASTYR2,1709,-0.198,0.198
ASTHMAAGE,CIGAGLST,1997,0.196,0.196
HRTCONDAG,NMVSOPT2,3180,0.195,0.195
CIGAVGM,DIABETEAG,549,0.188,0.188
ASTHMAAGE,NMVSOPT2,4994,0.188,0.188
CIGDLLST,CIGDLYLU,1167,0.187,0.187
KIDNYDSAG,NMVSOPT2,697,0.187,0.187
NMNGTHS2,WRKSICKMO,595,0.185,0.185
CIGAVGM,HALLAGLST,2136,0.184,0.184
ASTHMAAGE,ECSTMOAGL,549,0.18,0.18
CIGAVGM,ECSTMOAGL,1234,0.178,0.178
EDUSKPCOM,MRJAGLST,1032,-0.177,0.177
ASTHMAAGE,CIGAVGM,748,0.175,0.175
CGRAGLST,EDUSKPCOM,566,-0.174,0.174
HIGHBPAGE,WRKLASTYR2,2268,-0.173,0.173
WRKDHRSWK2,WRKNJBWKS,3482,-0.172,0.172
CIGAVGM,SMKAGLAST,1190,0.17,0.17
HIGHBPAGE,SMKAGLAST,605,0.169,0.169
ASTHMAAGE,MRJAGLST,1984,0.168,0.168
ALCAGLST,EDUSKPCOM,1067,-0.165,0.165
CIGAVGM,LSDAGLST,1368,0.163,0.163
CIGAVGM,HRTCONDAG,512,0.162,0.162
CIGAGLST,HIGHBPAGE,2392,0.162,0.162
HTINCHE2,PCPAGLST,646,0.159,0.159
CIGDLLST,NRCH17_2,7785,-0.159,0.159
EDUSCKCOM,WRKSICKMO,697,0.159,0.159
WRKDHRSWK2,WTPOUND2,25313,0.158,0.158
NMERTMT2,WRKSICKMO,8068,0.155,0.155
CGRAGLST,EDUSCKCOM,568,-0.154,0.154
ALCNUMDKPM,HTINCHE2,21981,0.153,0.153
NMNGTHS2,NMVSOPT2,2756,0.15,0.15
CIGAVGM,METHAGLST,895,0.15,0.15
HTINCHE2,WRKDHRSWK2,25359,0.149,0.149
HALLAGLST,WRKLASTYR2,2172,-0.147,0.147
ALCAGLST,WRKDHRSWK2,7322,0.146,0.146
ALCNUMDKPM,INHLAGLST,2568,0.146,0.146
CIGAGLST,EDUSKPCOM,833,-0.144,0.144
EDUSKPCOM,WRKDHRSWK2,2022,-0.144,0.144
METHAGLST,NRCH17_2,1819,-0.142,0.142
ASTHMAAGE,HTINCHE2,5248,-0.14,0.14
CGRAGLST,WTPOUND2,11170,0.14,0.14
ALCAGLST,BMI2,14148,0.14,0.14
ECSTMOAGL,WRKLASTYR2,945,-0.139,0.139
EDUSCKCOM,NMERTMT2,4139,0.139,0.139
EDUSCKCOM,WRKDHRSWK2,2022,-0.138,0.138
CIGDLLST,INHLAGLST,1504,0.138,0.138
CIGDLLST,NMVSOPT2,8048,0.136,0.136
HIGHBPAGE,WRKDHRSWK2,2095,-0.136,0.136
BMI2,COPDAGE,1086,-0.135,0.135
HIGHBPAGE,MRJAGLST,1942,0.134,0.134
ASTHMAAGE,COCAGLST,751,0.133,0.133
CIGAGLST,EDUSCKCOM,831,-0.132,0.132
EDUSCKCOM,MRJAGLST,1034,-0.132,0.132
ALCAGLST,EDUSCKCOM,1067,-0.13,0.13
METHAGLST,WRKLASTYR2,744,-0.13,0.13
CIGYLU,WRKLASTYR2,621,0.13,0.13
COPDAGE,NMVSOPT2,980,0.126,0.126
HTINCHE2,INHLAGLST,4244,0.125,0.125
HTINCHE2,LSDAGLST,4500,0.125,0.125
NRCH17_2,WRKLASTYR2,12608,0.123,0.123
CGRAGLST,WRKDHRSWK2,7241,0.123,0.123
ASTHMAAGE,CGRAGLST,1431,0.122,0.122
BMI2,CGRAGLST,11145,0.122,0.122
EDUSCKMON,NMERTMT2,1173,0.122,0.122
DIABETEAG,NMERTMT2,3612,-0.121,0.121
CIGDLLST,NMNGTHS2,839,0.12,0.12
NMERTMT2,WRKSKIPMO,4097,0.117,0.117
HLCNOTMO,WRKNJBWKS,559,0.115,0.115
COPDAGE,WTPOUND2,1094,-0.115,0.115
HTINCHE2,NMVSOPT2,43531,-0.115,0.115
HLCNOTMO,NMVSOPT2,2367,-0.111,0.111
CIGAGLST,NMNGTHS2,1279,0.11,0.11
INHLAGLST,WRKLASTYR2,1087,-0.11,0.11
COCAGLST,HIGHBPAGE,737,0.11,0.11
LSDAGLST,WRKLASTYR2,1339,-0.108,0.108
CIGAVGM,CRKAGLST,649,0.103,0.103
ALCAGLST,WRKSKIPMO,1110,-0.103,0.103
ALCAGLST,WTPOUND2,14246,0.103,0.103
CIGAVGM,WRKSKIPMO,718,0.102,0.102
ALCNUMDKPM,COCAGLST,3540,0.102,0.102
BMI2,CIGAGLST,16388,0.1,0.1
BMI2,WRKDHRSWK2,25204,0.1,0.1
CGRAGLST,NMNGTHS2,807,0.1,0.1
LSDAGLST,WTPOUND2,4498,0.099,0.099
ALCNUMDKPM,CIGAGLST,10061,0.099,0.099
COCYLU,HALLAGLST,531,0.097,0.097
HALLAGLST,HRTCONDAG,633,0.096,0.096
COCAGLST,COCYLU,813,0.096,0.096
NRCH17_2,WRKDHRSWK2,23854,0.095,0.095
ALCNUMDKPM,EDUSKPCOM,1662,0.095,0.095
MRJAGLST,NMVSOPT2,14166,0.095,0.095
HIGHBPAGE,NMERTMT2,4896,-0.095,0.095
CIGAGLST,NMVSOPT2,15891,0.095,0.095
CGRAGLST,NMVSOPT2,10782,0.095,0.095
CIGAGLST,WTPOUND2,16444,0.094,0.094
ALCYLU,CIGAVGM,1175,-0.093,0.093
WRKDHRSWK2,WRKSKIPMO,3583,-0.091,0.091
ASTHMAAGE,INHLAGLST,689,0.091,0.091
ALCYLU,ECSTMOAGL,678,-0.09,0.09
CIGDLYLU,WTPOUND2,1131,-0.09,0.09
EDUSCKCOM,NMVSOPT2,4047,0.09,0.09
ALCNUMDKPM,SMKAGLAST,2982,0.09,0.09
NMVSOPT2,WRKNJBWKS,3994,0.089,0.089
ASTHMAAGE,BMI2,5209,0.088,0.088
SMKAGLAST,WTPOUND2,4627,0.087,0.087
ALCNUMDKPM,MRJAGLST,8765,0.086,0.086
