variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
FLVVAPREC,TIME SINCE LAST VAPED ONLY FLAVORING,EMERGING ISSUES,Original u otra,96.759,Predictor principal
IMFEVER,EVER USED ILLEGALLY MADE FENTANYL,EMERGING ISSUES,Original u otra,96.863,Predictor principal
IMFNDLEVER,EVER INJECTED ILLEGALLY MADE FENTANYL WITH NEEDLE,EMERGING ISSUES,Original u otra,96.856,Predictor principal
KRATEVER,EVER USED KRATOM,EMERGING ISSUES,Original u otra,96.755,Predictor principal
KRATREC,TIME SINCE LAST USED KRATOM,EMERGING ISSUES,Original u otra,96.755,Predictor principal
SYNMRJEVR,EVER USED SYNTHETIC MARIJUANA,EMERGING ISSUES,Original u otra,96.82,Predictor principal
SYNMRJREC,TIME SINCE LAST USED SYNTHETIC MARIJUANA,EMERGING ISSUES,Original u otra,96.805,Predictor principal
SYNSTMEVR,EVER USED SYNTHETIC STIMULANTS,EMERGING ISSUES,Original u otra,96.886,Predictor principal
SYNSTMREC,TIME SINCE LAST USED SYNTHETIC STIMULANTS,EMERGING ISSUES,Original u otra,96.882,Predictor principal
WRK35WKUS,USUALLY WORK 35 OR MORE HRS PER WEEK,EMPLOYMENT,Original u otra,61.325,Predictor principal
WRKDHRSWK2,HOW MANY HOURS WORKED LAST WEEK,EMPLOYMENT,Original u otra,55.642,Predictor principal
WRKDPSTWK,WORK AT JOB LAST WEEK,EMPLOYMENT,Original u otra,96.03,Predictor principal
WRKDPSTYR,"PAST 12 MOS, WORKED AT ANY JOB",EMPLOYMENT,Original u otra,34.646,Predictor principal
WRKEFFORT,"PAST 30 DAYS, MAKE EFFORT TO FIND WORK",EMPLOYMENT,Original u otra,6.827,Predictor principal
WRKHADJOB,DID YOU HAVE A JOB OR BUSINESS,EMPLOYMENT,Original u otra,39.895,Predictor principal
WRKLASTYR2,WHAT YEAR LAST WORKED,EMPLOYMENT,Original u otra,33.047,Predictor principal
WRKNJBPYR,"PAST 12 MOS, TIME WITH NO JOB",EMPLOYMENT,Original u otra,61.257,Predictor principal
WRKNJBWKS,HOW MANY WKS W/O JOB IN PAST 12 MOS,EMPLOYMENT,Original u otra,8.787,Predictor principal
WRKNUMJOB2,"PAST 12 MOS, HOW MANY EMPLOYERS",EMPLOYMENT,Original u otra,70.259,Predictor principal
WRKRSNJOB,REASON FOR NOT HAVING A JOB - PAST WK,EMPLOYMENT,Original u otra,34.119,Predictor principal
WRKRSNNOT,REASON FOR NOT WORKING AT JOB - PAST WK,EMPLOYMENT,Original u otra,5.376,Predictor principal
WRKSELFEM,"PAST 12 MOS, SELF EMPLOYED",EMPLOYMENT,Original u otra,70.114,Predictor principal
WRKSICKMO,# DAYS MISSED WORK FOR INJURY/ILLNESS PAST 30 DAYS,EMPLOYMENT,Original u otra,60.762,Predictor principal
WRKSKIPMO,# DAYS SKIPPED WORK PAST 30 DAYS,EMPLOYMENT,Original u otra,60.79,Predictor principal
WRKSTATWK2,WORK SITUATION IN PAST WEEK - RECODE,EMPLOYMENT,Original u otra,96.044,Predictor principal
ASTHMAAGE,AGE ASTHMA 1ST DIAGNOSED,HEALTH,Original u otra,11.224,Predictor principal
ASTHMAEVR2,EVER TOLD HAD ASTHMA,HEALTH,Original u otra,97.175,Predictor principal
ASTHMANOW,STILL HAVE ASTHMA,HEALTH,Original u otra,11.472,Predictor principal
CABLADDER,TYPE OF CANCER: BLADDER,HEALTH,Original u otra,4.123,Predictor principal
CABLOLEULYM,TYPE OF CANCER: BLOOD/LEUKEMIA/LYMPHOMA,HEALTH,Original u otra,4.123,Predictor principal
CABREAST,TYPE OF CANCER: BREAST,HEALTH,Original u otra,4.123,Predictor principal
CACERVIX,TYPE OF CANCER: CERVIX (FEMALES ONLY),HEALTH,Original u otra,2.421,Predictor principal
CACOLNRECT,TYPE OF CANCER: COLON/RECTUM,HEALTH,Original u otra,4.123,Predictor principal
CAESOPSTOM,TYPE OF CANCER: ESOPHAGUS/STOMACH,HEALTH,Original u otra,4.123,Predictor principal
CAGALLIVPAN,TYPE OF CANCER: GALLBLADDER/LIVER/PANCREAS,HEALTH,Original u otra,4.123,Predictor principal
CAKIDNEY,TYPE OF CANCER: KIDNEY,HEALTH,Original u otra,4.123,Predictor principal
CALARYLUNG,TYPE OF CANCER: LARYNX/WINDPIPE/LUNG,HEALTH,Original u otra,4.123,Predictor principal
CAMELANOM,TYPE OF CANCER: MELANOMA,HEALTH,Original u otra,4.123,Predictor principal
CAMOUTTHRO,TYPE OF CANCER: MOUTH/TONGUE/LIP/THROAT/PHARYNX,HEALTH,Original u otra,4.123,Predictor principal
CANCEREVR2,EVER TOLD HAD CANCER,HEALTH,Original u otra,97.175,Predictor principal
CANCERYR,HAD ANY CANCER PAST 12 MONTHS,HEALTH,Original u otra,3.886,Predictor principal
CAOTHER2,TYPE OF CANCER: OTHER,HEALTH,Original u otra,4.123,Predictor principal
CAOVARY,TYPE OF CANCER: OVARY (FEMALES ONLY),HEALTH,Original u otra,2.421,Predictor principal
CAPROSTEST,TYPE OF CANCER: PROSTATE/TESTIS (MALES ONLY),HEALTH,Original u otra,1.702,Predictor principal
CASKINDK,TYPE OF CANCER: SKIN DON'T KNOW WHICH KIND,HEALTH,Original u otra,4.123,Predictor principal
CASKINOTH,TYPE OF CANCER: SKIN (NOT MELANOMA),HEALTH,Original u otra,4.123,Predictor principal
CATHYROID,TYPE OF CANCER: THYROID,HEALTH,Original u otra,4.123,Predictor principal
CAUTERUS,TYPE OF CANCER: UTERUS (FEMALES ONLY),HEALTH,Original u otra,2.421,Predictor principal
CIRROSAGE,AGE CIRRHOSIS 1ST DIAGNOSED,HEALTH,Original u otra,0.243,Predictor principal
CIRROSEVR2,EVER TOLD HAD CIRRHOSIS OF THE LIVER,HEALTH,Original u otra,97.175,Predictor principal
COPDAGE,AGE COPD 1ST DIAGNOSED,HEALTH,Original u otra,2.349,Predictor principal
COPDEVER2,EVER TOLD HAD CHRONIC BRONCHITIS OR COPD,HEALTH,Original u otra,97.175,Predictor principal
