variable,etiqueta_codebook,modulo,tipo_version,codigo_doc,etiqueta_codigo,tipo_codigo_doc,codigo_especial,frecuencia_codebook,pct_codebook,frecuencia_adultos,pct_adultos,presente_adultos
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,2,No,Categoría analítica,False,573,0.98,571,1.207,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,21,0.04,21,0.044,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,2,0.00,2,0.004,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56253,95.94,44921,94.972,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,73,0.12,73,0.154,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1698,2.90,1698,3.59,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,25,0.04,25,0.053,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92,45492,96.18,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,487,0.83,487,1.03,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1286,2.19,1286,2.719,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,21,0.04,21,0.044,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,7,0.01,7,0.015,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92,45492,96.18,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,1589,2.71,1589,3.359,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,5,0.01,5,0.011,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,2893,4.93,2893,6.116,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01,6,0.013,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03,17,0.036,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70,1582,3.345,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61,41207,87.12,True
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,1,Yes,Categoría analítica,False,14777,25.20,14777,31.242,True
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,2,No,Categoría analítica,False,1235,2.11,1235,2.611,True
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,6,0.01,6,0.013,True
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,9,0.02,9,0.019,True
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,4,0.01,4,0.008,True
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1320,2.25,1320,2.791,True
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,41282,70.41,29948,63.316,True
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,1,Yes,Categoría analítica,False,13649,23.28,13649,28.857,True
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,2,No,Categoría analítica,False,2366,4.04,2366,5.002,True
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,6,0.01,6,0.013,True
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,8,0.01,8,0.017,True
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,1,0.00,1,0.002,True
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1321,2.25,1321,2.793,True
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,41282,70.41,29948,63.316,True
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,1,Yes,Categoría analítica,False,1483,2.53,1483,3.135,True
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,2,No,Categoría analítica,False,1278,2.18,1278,2.702,True
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,5,0.01,5,0.011,True
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,2,0.00,2,0.004,True
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1350,2.30,1350,2.854,True
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,54515,92.98,43181,91.294,True
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,2389,4.07,2389,5.051,True
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,2098,3.58,2098,4.436,True
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01,6,0.013,True
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03,17,0.036,True
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70,1582,3.345,True
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61,41207,87.12,True
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,209,0.36,209,0.442,True
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,1,0.00,1,0.002,True
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,4277,7.29,4277,9.042,True
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01,6,0.013,True
