variable,etiqueta_codebook,modulo,tipo_version,codigo_doc,etiqueta_codigo,tipo_codigo_doc,codigo_especial,frecuencia_codebook,pct_codebook,frecuencia_adultos,pct_adultos,presente_adultos
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,12,December,Categoría analítica,False,84,0.14,82,0.173,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,2,February,Categoría analítica,False,71,0.12,70,0.148,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,3,March,Categoría analítica,False,62,0.11,61,0.129,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,4,April,Categoría analítica,False,62,0.11,60,0.127,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,5,May,Categoría analítica,False,62,0.11,59,0.125,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,6,June,Categoría analítica,False,67,0.11,64,0.135,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,7,July,Categoría analítica,False,65,0.11,65,0.137,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,8,August,Categoría analítica,False,67,0.11,65,0.137,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,29,0.05,27,0.057,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,89,LEGITIMATE SKIP Logically assigned,Asignación lógica,True,52,0.09,50,0.106,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,9,September,Categoría analítica,False,48,0.08,48,0.101,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,91,NEVER USED COCAINE,Ausencia de exposición,True,51888,88.50,40611,85.86,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,148,0.25,146,0.309,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,97,REFUSED,No respuesta o ausencia,True,43,0.07,41,0.087,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,501,0.85,482,1.019,True
COCMLU,MONTH OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,5188,8.85,5177,10.945,True
COCMON,RC-COCAINE - PAST MONTH USE,RECODED DRUG USE,Recodificada,0,"Did not use in the past month (IRCOCRC = 2-3,9)",Ausencia de exposición,True,58280,99.40,46956,99.275,True
COCMON,RC-COCAINE - PAST MONTH USE,RECODED DRUG USE,Recodificada,1,Used within the past month (IRCOCRC = 1),Categoría analítica,False,353,0.60,343,0.725,True
COCNEDEVER,RC-EVER USED A NEEDLE TO INJECT COCAINE,RECODED SPECIAL DRUGS,Recodificada,.,Unknown (Otherwise),Salto legítimo o no aplicable,True,44,0.08,44,0.093,True
COCNEDEVER,RC-EVER USED A NEEDLE TO INJECT COCAINE,RECODED SPECIAL DRUGS,Recodificada,0,"No (COCNEEDL=2,91 or (COCNEEDL^=1,3 & COCFLAG=0))",Categoría analítica,False,58131,99.14,46798,98.941,True
COCNEDEVER,RC-EVER USED A NEEDLE TO INJECT COCAINE,RECODED SPECIAL DRUGS,Recodificada,1,"Yes (COCNEEDL=1,3)",Categoría analítica,False,458,0.78,457,0.966,True
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,1,Yes,Categoría analítica,False,452,0.77,451,0.954,True
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,2,No,Categoría analítica,False,6222,10.61,6178,13.062,True
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,3,Yes LOGICALLY ASSIGNED,Asignación lógica,True,6,0.01,6,0.013,True
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,2,0.00,2,0.004,True
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,91,NEVER USED COCAINE,Ausencia de exposición,True,51886,88.49,40609,85.856,True
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,2,0.00,2,0.004,True
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,97,REFUSED,No respuesta o ausencia,True,9,0.02,9,0.019,True
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,54,0.09,42,0.089,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,1,Within the past 30 days,Categoría analítica,False,327,0.56,320,0.677,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,11,Used in the past 30 days LOGICALLY ASSIGNED,Asignación lógica,True,18,0.03,17,0.036,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,12,Used >30 days ago but within pst 12 mos LOG ASSN,Categoría analítica,False,18,0.03,18,0.038,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,2,More than 30 days ago but within the past 12 mos,Categoría analítica,False,610,1.04,593,1.254,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,3,More than 12 months ago,Categoría analítica,False,5710,9.74,5696,12.043,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,8,Used at some point in the past 12 mos LOG ASSN,Categoría analítica,False,7,0.01,7,0.015,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,2,0.00,2,0.004,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,9,Used at some point in the lifetime LOG ASSN,Categoría analítica,False,28,0.05,22,0.047,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,91,NEVER USED COCAINE,Ausencia de exposición,True,51888,88.50,40611,85.86,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,97,REFUSED,No respuesta o ausencia,True,9,0.02,9,0.019,True
COCREC,TIME SINCE LAST USED COCAINE,COCAINE,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,16,0.03,4,0.008,True
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,1,0.00,1,0.002,True
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,91,NEVER USED COCAINE,Ausencia de exposición,True,51888,88.50,40611,85.86,True
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,93,DID NOT USE COCAINE IN THE PAST 30 DAYS,Ausencia de exposición,True,6338,10.81,6307,13.334,True
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00,1,0.002,True
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,97,REFUSED,No respuesta o ausencia,True,11,0.02,11,0.023,True
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,70,0.12,51,0.108,True
COCUS30A,# DAYS USED COCAINE PAST 30 DAYS,COCAINE,Original u otra,RANGE,1 - 30,Rango válido,False,324,0.55,317,0.67,True
COCYDAYS,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,1,1-11 Days (IRCOCFY=1-11),Categoría analítica,False,537,0.92,517,1.093,True
COCYDAYS,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,2,12-49 Days (IRCOCFY=12-49),Categoría analítica,False,209,0.36,205,0.433,True
COCYDAYS,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,3,50-99 Days (IRCOCFY=50-99),Categoría analítica,False,105,0.18,104,0.22,True
COCYDAYS,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,4,100-299 Days (IRCOCFY=100-299),Categoría analítica,False,117,0.20,112,0.237,True
COCYDAYS,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,5,300-365 Days (IRCOCFY=300-365),Categoría analítica,False,23,0.04,23,0.049,True
COCYDAYS,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,6,"Non User or No Past Year Use (IRCOCFY=991,993)",Ausencia de exposición,True,57642,98.31,46338,97.968,True
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,9985,BAD DATA Logically assigned,Asignación lógica,True,23,0.04,17,0.036,True
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,9989,LEGITIMATE SKIP Logically assigned,Asignación lógica,True,19,0.03,18,0.038,True
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,9991,NEVER USED COCAINE,Ausencia de exposición,True,51888,88.50,40611,85.86,True
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,9994,DON'T KNOW,No respuesta o ausencia,True,27,0.05,24,0.051,True
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,9997,REFUSED,No respuesta o ausencia,True,15,0.03,15,0.032,True
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,9998,BLANK (NO ANSWER),No respuesta o ausencia,True,19,0.03,7,0.015,True
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,9999,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,6418,10.95,6406,13.544,True
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,COCAINE,Original u otra,RANGE,2022 - 2024,Rango válido,False,224,0.38,201,0.425,True
COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,9985,BAD DATA Logically assigned,Asignación lógica,True,18,0.03,17,0.036,True
COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,9989,LEGITIMATE SKIP Logically assigned,Asignación lógica,True,52,0.09,50,0.106,True
COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,9991,NEVER USED COCAINE,Ausencia de exposición,True,51888,88.50,40611,85.86,True
COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,9994,DON'T KNOW,No respuesta o ausencia,True,112,0.19,112,0.237,True
COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,9997,REFUSED,No respuesta o ausencia,True,39,0.07,37,0.078,True
COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,9998,BLANK (NO ANSWER),No respuesta o ausencia,True,500,0.85,482,1.019,True
COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,9999,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,5188,8.85,5177,10.945,True
COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,Original u otra,RANGE,2022 - 2024,Rango válido,False,836,1.43,813,1.719,True
COCYR,RC-COCAINE - PAST YEAR USE,RECODED DRUG USE,Recodificada,0,"Did not use in the past year (IRCOCRC = 3,9)",Ausencia de exposición,True,57642,98.31,46338,97.968,True
COCYR,RC-COCAINE - PAST YEAR USE,RECODED DRUG USE,Recodificada,1,"Used within the past year (IRCOCRC = 1,2)",Categoría analítica,False,991,1.69,961,2.032,True
COCYRBFR,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,1,Yes,Categoría analítica,False,1095,1.87,1081,2.285,True
COCYRBFR,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,2,No,Categoría analítica,False,5458,9.31,5430,11.48,True
COCYRBFR,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,3,0.01,3,0.006,True
COCYRBFR,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,91,NEVER USED COCAINE,Ausencia de exposición,True,51888,88.50,40611,85.86,True
COCYRBFR,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,36,0.06,34,0.072,True
COCYRBFR,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,97,REFUSED,No respuesta o ausencia,True,26,0.04,25,0.053,True
COCYRBFR,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,PRIOR SUBSTANCE USE,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,127,0.22,115,0.243,True
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,COCAINE,Original u otra,985,BAD DATA Logically assigned,Asignación lógica,True,9,0.02,9,0.019,True
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,COCAINE,Original u otra,991,NEVER USED COCAINE,Ausencia de exposición,True,51888,88.50,40611,85.86,True
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,COCAINE,Original u otra,993,DID NOT USE COCAINE IN THE PAST 12 MOS,Ausencia de exposición,True,5710,9.74,5696,12.043,True
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,COCAINE,Original u otra,994,DON'T KNOW,No respuesta o ausencia,True,2,0.00,1,0.002,True
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,COCAINE,Original u otra,997,REFUSED,No respuesta o ausencia,True,11,0.02,11,0.023,True
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,COCAINE,Original u otra,998,BLANK (NO ANSWER),No respuesta o ausencia,True,69,0.12,51,0.108,True
COCYRTOT,TOTAL # OF DAYS USED COCAINE IN PAST 12 MONTHS,COCAINE,Original u otra,RANGE,1 - 365,Rango válido,False,944,1.61,920,1.945,True
COLDMEDS,TAKEN A NONPRESCRIPTION COUGH MED TO GET HIGH,SPECIAL DRUGS,Original u otra,1,Yes,Categoría analítica,False,2326,3.97,2098,4.436,True
COLDMEDS,TAKEN A NONPRESCRIPTION COUGH MED TO GET HIGH,SPECIAL DRUGS,Original u otra,2,No,Categoría analítica,False,55979,95.47,44937,95.006,True
COLDMEDS,TAKEN A NONPRESCRIPTION COUGH MED TO GET HIGH,SPECIAL DRUGS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,75,0.13,28,0.059,True
COLDMEDS,TAKEN A NONPRESCRIPTION COUGH MED TO GET HIGH,SPECIAL DRUGS,Original u otra,97,REFUSED,No respuesta o ausencia,True,37,0.06,21,0.044,True
COLDMEDS,TAKEN A NONPRESCRIPTION COUGH MED TO GET HIGH,SPECIAL DRUGS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,216,0.37,215,0.455,True
COLDREC,TIME SINCE LAST USED COUGH/COLD MED,SPECIAL DRUGS,Original u otra,1,Within the past 30 days,Categoría analítica,False,195,0.33,162,0.343,True
COLDREC,TIME SINCE LAST USED COUGH/COLD MED,SPECIAL DRUGS,Original u otra,2,More than 30 days ago but within the past 12 mos,Categoría analítica,False,409,0.70,333,0.704,True
COLDREC,TIME SINCE LAST USED COUGH/COLD MED,SPECIAL DRUGS,Original u otra,3,More than 12 months ago,Categoría analítica,False,1662,2.83,1558,3.294,True
COLDREC,TIME SINCE LAST USED COUGH/COLD MED,SPECIAL DRUGS,Original u otra,9,At some point in the lifetime LOG ASSN,Categoría analítica,False,60,0.10,45,0.095,True
COLDREC,TIME SINCE LAST USED COUGH/COLD MED,SPECIAL DRUGS,Original u otra,91,NEVER USED COUGH/COLD MED,Ausencia de exposición,True,55979,95.47,44937,95.006,True
COLDREC,TIME SINCE LAST USED COUGH/COLD MED,SPECIAL DRUGS,Original u otra,97,REFUSED,No respuesta o ausencia,True,37,0.06,21,0.044,True
COLDREC,TIME SINCE LAST USED COUGH/COLD MED,SPECIAL DRUGS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,291,0.50,243,0.514,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,1001.0,"Benadryl, Diphenhydramine, no other info <OTC>",Categoría analítica,False,16,0.03,8,0.017,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,130.0,"Phenergan, Promethazine",Categoría analítica,False,3,0.01,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,171.0,"NyQuil, no other information <OTC>",Categoría analítica,False,125,0.21,109,0.23,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,3007.0,Nasal inhalant,Categoría analítica,False,1,0.00,0,0.0,False
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,3017.0,"Dayquil medication, no other information <OTC>",Categoría analítica,False,39,0.07,34,0.072,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,3047.0,"Sudafed, no other information <OTC>",Categoría analítica,False,5,0.01,5,0.011,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,344.0,Bennies,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,377.0,"Albuterol, Proventil, Ventolin",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,4031.0,Cough medicine with Codeine <OTC>,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,4076.0,OTC Pain reliever; not otherwise specified <OTC>,Salto legítimo o no aplicable,True,1,0.00,0,0.0,False
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,4114.0,"Phenergan w/Codeine, Promethazine w/Codeine",Categoría analítica,False,2,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,415.0,Codeine,Categoría analítica,False,8,0.01,5,0.011,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,422.0,"Motrin, no other information <OTC>",Categoría analítica,False,2,0.00,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,425.0,"Advil, no other information <OTC>",Categoría analítica,False,4,0.01,4,0.008,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,435.0,Tylenol/Children's Tylenol; otherwise unspcfd<OTC>,Salto legítimo o no aplicable,True,22,0.04,16,0.034,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,442.0,Ibuprofen,Categoría analítica,False,3,0.01,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,450.0,"Acetaminophen, incl. non-Tylenol brands <OTC>",Categoría analítica,False,9,0.02,7,0.015,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,468.0,Excedrin; no other information <OTC>,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,499.0,Aleve <OTC>,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,5056.0,Eucalyptus oil,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,6029.0,DXM <OTC>,Categoría analítica,False,2,0.00,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,6083.0,"CCC, ""Triple C,"" C3 <OTC>",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8010.0,"Zyrtec, Cetirizine <OTC>",Categoría analítica,False,1,0.00,0,0.0,False
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8012.0,"Coriciden, no other information <OTC>",Categoría analítica,False,2,0.00,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8012.4,Coricidin HBP Cough & Cold <OTC>,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8012.5,"Coricidin HBP, no other information<OTC>",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8014.0,Throat spray; type unspecified <OTC>,Categoría analítica,False,1,0.00,0,0.0,False
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8019.0,"Azithromycin, Z-pack, Zithromax",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8025.0,"Alavert, Claritin, Loratadine, no other info <OTC>",Categoría analítica,False,4,0.01,4,0.008,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8042.0,"Alka Seltzer, no other information <OTC>",Categoría analítica,False,2,0.00,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8042.4,Alka-Seltzer Plus; no other information,Categoría analítica,False,2,0.00,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8042.6,Alka-Seltzer Plus Cold and Flu <OTC>,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8056.0,"Vicks, no other information <OTC>",Categoría analítica,False,2,0.00,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8056.8,"Vicks cold medication, no other information <OTC>",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8065.0,"Tylenol Cold medication, no other info <OTC>",Categoría analítica,False,3,0.01,3,0.006,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8110.0,Over-the-counter drug/pills; type unspecified<OTC>,Categoría analítica,False,18,0.03,10,0.021,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8136.0,"Montekulast, Singulair",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8146.0,Tabcin <OTC>,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8147.0,"Tylenol Flu medication, no other info <OTC>",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8169.0,TheraFlu <OTC>,Categoría analítica,False,7,0.01,7,0.015,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8192.0,Delsym <OTC>,Categoría analítica,False,7,0.01,4,0.008,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8200.0,"Tylenol Cold and Flu medication,no othr info <OTC>",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8201.2,Tylenol Cough and Cold medication; no other info,Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8202.0,"Tussin, no other information",Categoría analítica,False,3,0.01,3,0.006,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8202.6,"Tussin DM, no other information <OTC>",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8204.0,"Flu medication, no other information <OTC>",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8205.0,"Mucinex, no other information <OTC>",Categoría analítica,False,32,0.05,31,0.066,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8205.1,Mucinex DM <OTC>,Categoría analítica,False,2,0.00,2,0.004,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8205.5,"Mucinex Max, no other information <OTC>",Categoría analítica,False,1,0.00,1,0.002,True
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,8206.2,"Advil Sinus, no other information <OTC>",Categoría analítica,False,1,0.00,1,0.002,True
