variable,n_nan_adultos,pct_nan_adultos,codigo_nan_doc,etiqueta_nan_doc,interpretacion_nan
RXCLONANY,37,0.078,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXDIAZANY,39,0.082,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXMRLXANY,46,0.097,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXCYCLANY,46,0.097,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXSOMAANY,46,0.097,.,Unknown (Otherwise),Salto legítimo o no aplicable
OTHRTRQANY,49,0.104,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXAMMEANY,17,0.036,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXAMPHANY,21,0.044,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXMTHPANY,23,0.049,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXANORANY,25,0.053,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXPROVANY,25,0.053,.,Unknown (Otherwise),Salto legítimo o no aplicable
OTHRSTMANY,32,0.068,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXZOLPANY,21,0.044,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXESZOANY,23,0.049,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXZALEANY,23,0.049,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXBZOSANY,17,0.036,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXTRIAANY,17,0.036,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXTEMAANY,17,0.036,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXFLURANY,17,0.036,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXBARBANY,24,0.051,.,Unknown (Otherwise),Salto legítimo o no aplicable
OTHRSEDANY,27,0.057,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXHYDCMIS,12,0.025,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXZOHYMIS,10,0.021,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXOXCOMIS,18,0.038,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXTRAMMIS,22,0.047,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXCODEMIS,19,0.04,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXMORPMIS,13,0.027,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXBUPRMIS,14,0.03,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXOXYMMIS,11,0.023,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXDEMEMIS,12,0.025,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXHYDMMIS,12,0.025,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXMTDNMIS,13,0.027,.,Unknown (Otherwise),Salto legítimo o no aplicable
OTHRPNRMIS,61,0.129,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXBZOTMIS,5,0.011,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXALPRMIS,5,0.011,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXLORAMIS,6,0.013,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXCLONMIS,6,0.013,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXDIAZMIS,6,0.013,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXMRLXMIS,11,0.023,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXCYCLMIS,9,0.019,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXSOMAMIS,8,0.017,.,Unknown (Otherwise),Salto legítimo o no aplicable
OTHRTRQMIS,20,0.042,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXAMMEMIS,3,0.006,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXAMPHMIS,4,0.008,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXMTHPMIS,2,0.004,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXANORMIS,1,0.002,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXPROVMIS,1,0.002,.,Unknown (Otherwise),Salto legítimo o no aplicable
OTHRSTMMIS,12,0.025,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXESZOMIS,1,0.002,.,Unknown (Otherwise),Salto legítimo o no aplicable
OTHRSEDMIS2,16,0.034,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXBZOSMIS,1,0.002,.,Unknown (Otherwise),Salto legítimo o no aplicable
