variable_objetivo,variable_vinculada,tipo_vinculo,nivel,modulo,rol_provisional,n_unicos,pct_nan,etiqueta_codebook,presente_eda,predictor_candidato
IRAMDEYR,LMMIPY,Variable derivada,4,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP LMMI IND (1/0) BASED ON PREDICTED SMI PROB PY,True,True
IRAMDEYR,LMMISUD5ANY,Variable derivada,5,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP LMMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,True,True
IRSUICTHNK,SUICTHNK,Variable de origen,1,ADULT MENTAL HEALTH,Predictor candidato,6.0,0.0,SERIOUSLY THINK ABOUT KILLING SELF PST 12 MOS,True,True
IRSUICTHNK,SUI01,Variable de origen,2,,,,,,False,False
IRSUICTHNK,ADSUITPACOM,Variable derivada,1,RECODED ADULT MENTAL HEALTH,Predictor candidato,8.0,0.0,RC-ADULT PY SUICIDE THOUGHTS/PLANS/ATTEMPTS COMBINATIONS,True,True
IRSUICTHNK,ADSUITPAYR,Variable derivada,1,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,"RC-ADULT THOUGHT ABOUT, PLANNED, OR ATTEMPTED SUICIDE - PY",True,True
IRSUICTHNK,SMIPPPY,Variable derivada,1,RECODED ADULT MENTAL HEALTH,Predictor candidato,4185.0,0.0,RC-IMP PREDICTED SERIOUS MENTAL ILLNESS PROB PY,True,True
IRSUICTHNK,AMIPY,Variable derivada,2,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP AMI IND (1/0) BASED ON PREDICTED SMI PROB PY,True,True
IRSUICTHNK,SMIPY,Variable derivada,2,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP SMI IND (1/0) BASED ON PREDICTED SMI PROB PY,True,True
IRSUICTHNK,SMMIPY,Variable derivada,2,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP SMMI IND (1/0) BASED ON PREDICTED SMI PROB PY,True,True
IRSUICTHNK,AMIRSUD5ANY,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP AMI OR SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,True,True
IRSUICTHNK,AMISUD5ANY,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP AMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,True,True
IRSUICTHNK,AMISUD5ANYO,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,4.0,0.0,"RC-ONLY IMP AMI, ONLY SUD, BOTH, OR NEITHER - PY-DSM-5-ANY",True,True
IRSUICTHNK,LMIPY,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP MILD MI IND (1/0) BASED ON PRED SMI PROB PY,True,True
IRSUICTHNK,MICATPY,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,4.0,0.0,RC-IMP CATEGORICAL MI INDICATOR PY,True,True
IRSUICTHNK,MMIPY,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP MOD MI IND (1/0) BASED ON PRED SMI PROB PY,True,True
IRSUICTHNK,SMIRSUD5ANY,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP SMI OR SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,True,True
