variable,modulo,rango_documentado,limite_inferior,limite_superior,n_validos,pct_validos,n_unicos_validos,minimo_valido,maximo_valido,mediana,media,q1,q3,iqr,limite_iqr_inf,limite_iqr_sup,n_alejados_iqr,pct_alejados_iqr,tramo_valores_validos
HLCNOTMO,HEALTH INSURANCE,1 - 12,1.0,12.0,2498,5.281,12,1.0,12.0,3.0,4.2489991993594876,1.0,6.0,5.0,-6.5,13.5,0,0.0,5-25 %
HRTCONDAG,HEALTH,1 - 92,1.0,92.0,3509,7.419,91,1.0,92.0,42.0,40.28669136506127,21.0,60.0,39.0,-37.5,118.5,0,0.0,5-25 %
HTINCHE2,HEALTH,55 - 75,55.0,75.0,45450,96.091,21,55.0,75.0,67.0,66.80719471947195,64.0,70.0,6.0,55.0,79.0,0,0.0,≥75 %
INHLAGLST,PRIOR SUBSTANCE USE,1 - 75,1.0,75.0,4288,9.066,68,1.0,75.0,19.0,20.40088619402985,15.0,23.0,8.0,3.0,35.0,254,5.924,5-25 %
INHLYRLST,PRIOR SUBSTANCE USE,2022 - 2024,2022.0,2024.0,450,0.951,3,2022.0,2024.0,2023.0,2023.3577777777778,2023.0,2024.0,1.0,2021.5,2025.5,0,0.0,<1 %
IRWELMOS,IMPUTED INCOME,1 - 12,1.0,12.0,1905,4.028,12,1.0,12.0,12.0,8.450918635170604,4.0,12.0,8.0,-8.0,24.0,0,0.0,1-5 %
KIDNYDSAG,HEALTH,1 - 89,1.0,89.0,815,1.723,86,1.0,89.0,50.0,45.69693251533742,28.0,65.0,37.0,-27.5,120.5,0,0.0,1-5 %
LSDAGLST,PRIOR SUBSTANCE USE,1 - 84,1.0,84.0,4550,9.62,56,1.0,84.0,22.0,23.520879120879123,19.0,26.0,7.0,8.5,36.5,274,6.022,5-25 %
LSDYLU,PRIOR SUBSTANCE USE,2022 - 2024,2022.0,2024.0,433,0.915,3,2022.0,2024.0,2023.0,2023.1247113163972,2023.0,2024.0,1.0,2021.5,2025.5,0,0.0,<1 %
METHAGLST,PRIOR SUBSTANCE USE,5 - 77,5.0,77.0,2015,4.26,61,6.0,77.0,27.0,29.277915632754343,21.0,35.0,14.0,0.0,56.0,34,1.687,1-5 %
METHYRLST,PRIOR SUBSTANCE USE,2022 - 2024,2022.0,2024.0,271,0.573,3,2022.0,2024.0,2023.0,2023.3579335793358,2023.0,2024.0,1.0,2021.5,2025.5,0,0.0,<1 %
MRJAGLST,PRIOR SUBSTANCE USE,2 - 94,2.0,94.0,14906,31.514,84,2.0,94.0,25.0,29.506440359586744,21.0,35.0,14.0,0.0,56.0,801,5.374,25-75 %
MRJYLU,PRIOR SUBSTANCE USE,2022 - 2024,2022.0,2024.0,4756,10.055,3,2022.0,2024.0,2023.0,2023.374684608915,2023.0,2024.0,1.0,2021.5,2025.5,0,0.0,5-25 %
NMERTMT2,HEALTH,0 - 30,0.0,30.0,45858,96.953,26,0.0,30.0,0.0,0.4451131754546644,0.0,0.0,0.0,,,0,0.0,≥75 %
NMNGTHS2,HEALTH,1 - 30,1.0,30.0,3312,7.002,30,1.0,30.0,3.0,4.175724637681159,1.0,5.0,4.0,-5.0,11.0,245,7.397,5-25 %
NMVSOPT2,HEALTH,0 - 15,0.0,15.0,44329,93.721,16,0.0,15.0,2.0,2.6382277967019334,0.0,4.0,4.0,-6.0,10.0,1384,3.122,≥75 %
