variable,modulo,tipo_variable,n_unicos,pct_nan,pct_dominante,n_categorias_observadas,n_categorias_minoritarias_1,n_categorias_minoritarias_01,pct_acum_minoritarias_1,pct_acum_minoritarias_01
IRFLVVAPREC,IMPUTED EMERGING ISSUES,Categórica con pocas categorías,4,0.0,91.182,4,0,0,0.0,0.0
IRFSTAMP,IMPUTED INCOME,Binaria,2,0.0,82.093,2,0,0,0.0,0.0
IRGHBREC,IMPUTED SPECIAL DRUGS,Categórica con pocas categorías,4,0.0,99.436,4,3,2,0.565,0.085
IRHH65_2,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Categórica con pocas categorías,3,0.0,80.234,3,0,0,0.0,0.0
IRHHSIZ2,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Categórica con pocas categorías,6,0.0,29.324,6,0,0,0.0,0.0
IRIMFREC,IMPUTED EMERGING ISSUES,Categórica con pocas categorías,4,0.0,99.148,4,3,0,0.851,0.0
IRINSUR4,RECODED HEALTH INSURANCE,Binaria,2,0.0,88.869,2,0,0,0.0,0.0
IRKI17_2,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Categórica con pocas categorías,4,0.0,61.572,4,0,0,0.0,0.0
IRKRATREC,IMPUTED EMERGING ISSUES,Categórica con pocas categorías,4,0.0,97.562,4,2,0,0.801,0.0
IRMARIT,IMPUTED DEMOGRAPHICS,Categórica con pocas categorías,4,0.0,47.32,4,0,0,0.0,0.0
IRMCDCHP,IMPUTED HEALTH INSURANCE,Binaria,2,0.0,77.348,2,0,0,0.0,0.0
IRMEDICR,IMPUTED HEALTH INSURANCE,Binaria,2,0.0,85.78,2,0,0,0.0,0.0
IRNPCOLDREC,IMPUTED SPECIAL DRUGS,Categórica con pocas categorías,4,0.0,95.698,4,2,0,0.898,0.0
IROTHHLT,IMPUTED HEALTH INSURANCE,Categórica con pocas categorías,3,0.0,86.266,3,0,0,0.0,0.0
IRPINC3,IMPUTED INCOME,Categórica con pocas categorías,7,0.0,23.383,7,0,0,0.0,0.0
IRPMNICDEP,IMPUTED NICOTINE DEPENDENCE,Binaria,2,0.0,92.059,2,0,0,0.0,0.0
IRPRVHLT,IMPUTED HEALTH INSURANCE,Binaria,2,0.0,58.999,2,0,0,0.0,0.0
IRPYSEV5ALC,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,87.909,4,0,0,0.0,0.0
IRPYSEV5COC,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.408,4,3,0,0.592,0.0
IRPYSEV5HAL,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.763,4,3,2,0.237,0.093
IRPYSEV5HER,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.751,4,3,2,0.249,0.059
IRPYSEV5INH,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.854,4,3,3,0.146,0.146
IRPYSEV5MRJ,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,89.905,4,0,0,0.0,0.0
IRPYSEV5MTH,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.218,4,3,0,0.782,0.0
IRPYUD5ALC,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,87.909,2,0,0,0.0,0.0
IRPYUD5COC,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.408,2,1,0,0.592,0.0
IRPYUD5HAL,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.763,2,1,0,0.237,0.0
IRPYUD5HER,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.751,2,1,0,0.249,0.0
IRPYUD5INH,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.854,2,1,0,0.146,0.0
IRPYUD5MRJ,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,89.905,2,0,0,0.0,0.0
IRPYUD5MTH,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.218,2,1,0,0.782,0.0
IRSEVPNRMIS,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.209,4,3,0,0.79,0.0
IRSEVPNRUNM2,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.133,4,3,1,0.867,0.042
IRSEVSEDMIS,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.899,4,3,3,0.101,0.101
IRSEVSEDUNM,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.763,4,3,2,0.237,0.07
IRSEVSTMMIS,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.624,4,3,0,0.376,0.0
IRSEVSTMUNM,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.431,4,3,2,0.569,0.114
IRSEVTRQMIS,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.668,4,3,1,0.333,0.068
IRSEVTRQUNM,IMPUTED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.63,4,3,2,0.37,0.093
IRSEX,IMPUTED DEMOGRAPHICS,Binaria,2,0.0,55.101,2,0,0,0.0,0.0
IRSYNMRJREC,IMPUTED EMERGING ISSUES,Categórica con pocas categorías,4,0.0,96.871,4,2,0,0.341,0.0
IRSYNSTMREC,IMPUTED EMERGING ISSUES,Categórica con pocas categorías,4,0.0,99.655,4,3,2,0.344,0.082
IRUD5PNRMIS,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.209,2,1,0,0.791,0.0
IRUD5PNRUNM2,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.133,2,1,0,0.867,0.0
IRUD5SEDMIS,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.899,2,1,0,0.101,0.0
IRUD5SEDUNM,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.763,2,1,0,0.237,0.0
IRUD5STMMIS,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.624,2,1,0,0.376,0.0
IRUD5STMUNM,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.431,2,1,0,0.569,0.0
IRUD5TRQMIS,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.668,2,1,0,0.332,0.0
IRUD5TRQUNM,IMPUTED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.63,2,1,0,0.37,0.0
IRWRKSTAT,IMPUTED EMPLOYMENT,Categórica con pocas categorías,4,0.0,48.418,4,0,0,0.0,0.0
IRWRKSTAT18,IMPUTED EMPLOYMENT,Categórica con pocas categorías,4,0.0,48.418,4,0,0,0.0,0.0
KETMINFLAG,RECODED DRUG USE,Binaria,2,0.0,97.469,2,0,0,0.0,0.0
KETMINMON,RECODED DRUG USE,Binaria,2,0.0,99.86,2,1,0,0.14,0.0
KETMINYR,RECODED DRUG USE,Binaria,2,0.0,99.476,2,1,0,0.524,0.0
KIDNYDSEV2,HEALTH,Categórica con pocas categorías,6,0.0,95.416,6,3,1,0.983,0.021
KRATEVER,EMERGING ISSUES,Categórica con pocas categorías,6,0.0,94.429,6,3,1,0.556,0.008
KRATOMFLAG,RECODED EMERGING ISSUES,Binaria,2,0.0,97.562,2,0,0,0.0,0.0
KRATOMMON,RECODED EMERGING ISSUES,Binaria,2,0.0,99.588,2,1,0,0.412,0.0
KRATOMYR,RECODED EMERGING ISSUES,Binaria,2,0.0,99.199,2,1,0,0.801,0.0
KRATREC,EMERGING ISSUES,Categórica con pocas categorías,7,0.0,94.429,7,4,2,0.788,0.04
LGASEVER2,RECODED DRUG USE,Binaria,2,0.008,99.63,3,2,1,0.37,0.008
LSDFLAG,RECODED DRUG USE,Binaria,2,0.0,89.093,2,0,0,0.0,0.0
LSDMLU,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,89.061,19,17,15,2.185,1.026
LSDMON,RECODED DRUG USE,Binaria,2,0.0,99.858,2,1,0,0.142,0.0
LSDYR,RECODED DRUG USE,Binaria,2,0.0,99.207,2,1,0,0.793,0.0
LVLDIFCARE2,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,88.932,7,3,1,0.511,0.082
LVLDIFCOMM2,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,86.41,7,3,1,0.507,0.082
LVLDIFHEAR2,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,83.503,7,3,1,0.627,0.082
LVLDIFMEM2,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,64.653,7,3,1,0.518,0.082
LVLDIFSEE2,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,71.469,7,3,1,0.562,0.082
LVLDIFWALK2,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,83.146,7,3,1,0.511,0.082
MEDICARE,HEALTH INSURANCE,Categórica con pocas categorías,5,0.0,82.433,5,2,0,0.409,0.0
MESCEVER,RECODED DRUG USE,Binaria,2,0.042,98.186,3,1,1,0.042,0.042
METHAMFLAG,RECODED DRUG USE,Binaria,2,0.0,94.509,2,0,0,0.0,0.0
METHAMMON,RECODED DRUG USE,Binaria,2,0.0,99.336,2,1,0,0.664,0.0
METHAMYR,RECODED DRUG USE,Binaria,2,0.0,98.882,2,0,0,0.0,0.0
METHMOLST,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,94.444,19,17,15,1.282,0.656
METHNDAYPM,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,99.336,5,4,2,0.664,0.125
METHNDAYYR,RECODED DRUG USE,Categórica con pocas categorías,6,0.0,98.882,6,5,0,1.118,0.0
MILSTAT,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,94.972,7,5,4,0.395,0.059
MILTCHLDR,EDUCATION,Categórica con pocas categorías,7,0.0,88.416,7,3,0,1.405,0.0
MILTFAMLY,EDUCATION,Categórica con pocas categorías,6,0.0,88.416,6,3,0,1.214,0.0
MILTPARNT,EDUCATION,Categórica con pocas categorías,7,0.0,88.416,7,3,0,1.445,0.0
MILTSIBLN,EDUCATION,Categórica con pocas categorías,7,0.0,88.416,7,3,1,1.342,0.072
MILTSPPAR,EDUCATION,Categórica con pocas categorías,7,0.0,88.416,7,3,1,1.35,0.08
MJCMOTHMON,RECODED DRUG USE,Binaria,2,0.0,98.133,2,0,0,0.0,0.0
MJCMOTHYR,RECODED DRUG USE,Binaria,2,0.0,96.152,2,0,0,0.0,0.0
MJDABMON,RECODED DRUG USE,Binaria,2,0.0,96.702,2,0,0,0.0,0.0
MJDABYR,RECODED DRUG USE,Binaria,2,0.0,94.734,2,0,0,0.0,0.0
MJEATMON,RECODED DRUG USE,Binaria,2,0.0,92.264,2,0,0,0.0,0.0
MJEATYR,RECODED DRUG USE,Binaria,2,0.0,85.564,2,0,0,0.0,0.0
MJMTHMON,RECODED DRUG USE,Binaria,2,0.0,99.288,2,1,0,0.712,0.0
MJMTHYR,RECODED DRUG USE,Binaria,2,0.0,98.516,2,0,0,0.0,0.0
MJONLYFLAG2,RECODED DRUG USE,Binaria,2,0.0,74.659,2,0,0,0.0,0.0
MJONLYMON2,RECODED DRUG USE,Binaria,2,0.0,82.985,2,0,0,0.0,0.0
MJONLYYR2,RECODED DRUG USE,Binaria,2,0.0,79.564,2,0,0,0.0,0.0
MJOTHYR,RECODED DRUG USE,Binaria,2,0.0,99.808,2,1,0,0.192,0.0
MJPLLMON,RECODED DRUG USE,Binaria,2,0.0,99.7,2,1,0,0.3,0.0
MJPLLYR,RECODED DRUG USE,Binaria,2,0.0,99.321,2,1,0,0.679,0.0
MJSKNMON,RECODED DRUG USE,Binaria,2,0.0,98.918,2,0,0,0.0,0.0
MJSKNYR,RECODED DRUG USE,Binaria,2,0.0,97.715,2,0,0,0.0,0.0
MJSMKMON,RECODED DRUG USE,Binaria,2,0.0,85.167,2,0,0,0.0,0.0
MJSMKYR,RECODED DRUG USE,Binaria,2,0.0,78.551,2,0,0,0.0,0.0
MJVAPFLAG,RECODED DRUG USE,Binaria,2,0.0,73.934,2,0,0,0.0,0.0
MJVAPMON,RECODED DRUG USE,Binaria,2,0.0,91.926,2,0,0,0.0,0.0
MJVAPYR,RECODED DRUG USE,Binaria,2,0.0,87.697,2,0,0,0.0,0.0
MOVSINPYR2,DEMOGRAPHICS,Categórica con pocas categorías,8,0.0,72.999,8,3,1,1.171,0.082
MRJFLAG,RECODED DRUG USE,Binaria,2,0.0,52.68,2,0,0,0.0,0.0
MRJMDAYS,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,80.537,5,0,0,0.0,0.0
MRJMLU,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,47.289,19,15,0,10.252,0.0
MRJMON,RECODED DRUG USE,Binaria,2,0.0,80.537,2,0,0,0.0,0.0
MRJMONVAP2,RECODED DRUG USE,Categórica con pocas categorías,3,0.0,80.537,3,0,0,0.0,0.0
MRJYDAYS,RECODED DRUG USE,Categórica con pocas categorías,6,0.0,71.921,6,0,0,0.0,0.0
MRJYR,RECODED DRUG USE,Binaria,2,0.0,71.921,2,0,0,0.0,0.0
MRJYRBFR,PRIOR SUBSTANCE USE,Categórica con pocas categorías,7,0.0,47.289,7,4,1,1.068,0.004
MTHNEDEVER,RECODED SPECIAL DRUGS,Binaria,2,0.042,98.683,3,1,1,0.042,0.042
MXMJPNLT,SPECIAL TOPICS,Categórica con pocas categorías,10,0.0,27.235,10,2,0,0.664,0.0
NDSSDEPND,NICOTINE DEPENDENCE,Categórica con pocas categorías,3,0.275,86.139,4,1,0,0.275,0.0
NEWRACE2,RECODED DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,58.058,7,1,0,0.501,0.0
NICVAPFLAG,RECODED DRUG USE,Binaria,2,0.0,65.64,2,0,0,0.0,0.0
NICVAPMON,RECODED DRUG USE,Binaria,2,0.0,85.687,2,0,0,0.0,0.0
NICVAPYR,RECODED DRUG USE,Binaria,2,0.0,80.355,2,0,0,0.0,0.0
NICVPMDAYS,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,85.687,5,0,0,0.0,0.0
NITOXIEVER2,RECODED DRUG USE,Binaria,2,0.023,94.717,3,1,1,0.023,0.023
NMVSOEST,HEALTH,Categórica con número moderado de categorías,13,0.0,96.6,13,11,4,1.628,0.283
NOBOOKY2,SPECIAL TOPICS,Categórica con pocas categorías,9,0.0,85.281,9,5,2,0.668,0.047
NOMARR2,DEMOGRAPHICS,Categórica con pocas categorías,5,0.0,47.269,5,2,1,0.19,0.055
NONABOVEV2,HEALTH,Categórica con pocas categorías,6,0.0,63.409,6,3,1,0.981,0.019
NOOPPRANYYR,RECODED DRUG USE,Binaria,2,0.0,97.898,2,0,0,0.0,0.0
NOOPPRNMYR,RECODED DRUG USE,Binaria,2,0.0,99.863,2,1,0,0.137,0.0
NPCOLDFLAG,RECODED SPECIAL DRUGS,Binaria,2,0.0,95.698,2,0,0,0.0,0.0
NPCOLDMON,RECODED SPECIAL DRUGS,Binaria,2,0.0,99.702,2,1,0,0.298,0.0
NPCOLDYR,RECODED SPECIAL DRUGS,Binaria,2,0.0,99.101,2,1,0,0.899,0.0
OPIANYYR2,RECODED DRUG USE,Binaria,2,0.0,79.987,2,0,0,0.0,0.0
OPIIMFNMMN2,RECODED EMERGING ISSUES,Binaria,2,0.0,99.057,2,1,0,0.943,0.0
OPIIMFNMYR2,RECODED EMERGING ISSUES,Binaria,2,0.0,96.863,2,0,0,0.0,0.0
OPINMMON2,RECODED DRUG USE,Binaria,2,0.0,99.133,2,1,0,0.867,0.0
OPINMYR2,RECODED DRUG USE,Binaria,2,0.0,96.953,2,0,0,0.0,0.0
OTHAEREVER2,RECODED DRUG USE,Binaria,2,0.013,99.342,3,2,1,0.658,0.013
OTHINS,RECODED HEALTH INSURANCE,Binaria,2,0.0,80.236,2,0,0,0.0,0.0
OTHRPNRANY2,RECODED DRUG USE,Binaria,2,1.0,95.285,3,0,0,0.0,0.0
OTHRPNRMIS,RECODED DRUG USE,Binaria,2,0.129,99.674,3,2,0,0.326,0.0
OTHRSEDANY,RECODED DRUG USE,Binaria,2,0.057,97.905,3,1,1,0.057,0.057
OTHRSEDMIS2,RECODED DRUG USE,Binaria,2,0.034,99.899,3,2,2,0.102,0.102
OTHRSTMANY,RECODED DRUG USE,Binaria,2,0.068,99.066,3,2,1,0.935,0.068
OTHRSTMMIS,RECODED DRUG USE,Binaria,2,0.025,99.962,3,2,2,0.038,0.038
OTHRTRQANY,RECODED DRUG USE,Binaria,2,0.104,98.404,3,1,0,0.104,0.0
OTHRTRQMIS,RECODED DRUG USE,Binaria,2,0.042,99.918,3,2,2,0.082,0.082
OXYCNANYYR2,RECODED DRUG USE,Binaria,2,0.0,97.345,2,0,0,0.0,0.0
OXYCNNMYR,RECODED DRUG USE,Binaria,2,0.0,99.615,2,1,0,0.385,0.0
PAROL,RECODED SPECIAL TOPICS,Binaria,2,1.355,97.918,3,1,0,0.727,0.0
PAROLREL,SPECIAL TOPICS,Categórica con pocas categorías,6,0.0,97.918,6,4,3,0.905,0.178
PCPFLAG,RECODED DRUG USE,Binaria,2,0.0,98.296,2,0,0,0.0,0.0
PCPMLU,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,18,0.0,98.26,18,16,15,0.397,0.122
PCPMON,RECODED DRUG USE,Binaria,2,0.0,99.983,2,1,1,0.017,0.017
PCPYR,RECODED DRUG USE,Binaria,2,0.0,99.932,2,1,1,0.068,0.068
PEYOTEEVER,RECODED DRUG USE,Binaria,2,0.027,98.577,3,1,1,0.027,0.027
PIPFLAG,RECODED DRUG USE,Binaria,2,0.0,91.583,2,0,0,0.0,0.0
PIPMON,RECODED DRUG USE,Binaria,2,0.0,99.23,2,1,0,0.77,0.0
PMNICDEP,NICOTINE DEPENDENCE,Categórica con pocas categorías,3,0.529,86.139,4,1,0,0.529,0.0
PNRANYFLAG2,RECODED DRUG USE,Binaria,2,0.0,51.494,2,0,0,0.0,0.0
PNRANYYR2,RECODED DRUG USE,Binaria,2,0.0,77.942,2,0,0,0.0,0.0
PNRMAINRSN,RECODED DRUG USE,Categórica con pocas categorías,10,0.488,96.594,11,9,3,1.503,0.138
PNRNDAYPM,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,99.186,5,4,0,0.814,0.0
PNRNMFLAG,RECODED DRUG USE,Binaria,2,0.0,91.129,2,0,0,0.0,0.0
PNRNMMON,RECODED DRUG USE,Binaria,2,0.0,99.186,2,1,0,0.814,0.0
PNRNMYR,RECODED DRUG USE,Binaria,2,0.0,96.941,2,0,0,0.0,0.0
POVERTY3,RECODED INCOME,Categórica con pocas categorías,3,0.288,60.684,4,1,0,0.288,0.0
PREGAGE2,RECODED DEMOGRAPHICS,Categórica con pocas categorías,3,0.0,39.466,3,0,0,0.0,0.0
PREGST,RECODED HEALTH,Categórica con pocas categorías,3,0.808,57.249,4,1,0,0.808,0.0
PREGSTAT,HEALTH,Categórica con pocas categorías,7,0.0,57.249,7,4,3,0.808,0.093
PROB,RECODED SPECIAL TOPICS,Binaria,2,1.349,97.137,3,0,0,0.0,0.0
PROBATON,SPECIAL TOPICS,Categórica con pocas categorías,6,0.0,97.137,6,3,2,0.178,0.077
PRVHLTIN,HEALTH INSURANCE,Categórica con pocas categorías,5,0.0,56.591,5,2,0,0.656,0.0
PSILCYFLAG,RECODED DRUG USE,Binaria,2,0.0,85.909,2,0,0,0.0,0.0
PSILCYMON,RECODED DRUG USE,Binaria,2,0.0,99.15,2,1,0,0.85,0.0
PSILCYYR,RECODED DRUG USE,Binaria,2,0.0,96.148,2,0,0,0.0,0.0
PSYANYFLAG2,RECODED DRUG USE,Binaria,2,0.0,57.775,2,0,0,0.0,0.0
PSYANYYR2,RECODED DRUG USE,Binaria,2,0.0,66.982,2,0,0,0.0,0.0
PSYCHFLAG,RECODED DRUG USE,Binaria,2,0.0,87.613,2,0,0,0.0,0.0
PSYCHMON,RECODED DRUG USE,Binaria,2,0.0,98.406,2,0,0,0.0,0.0
PSYCHYR,RECODED DRUG USE,Binaria,2,0.0,94.59,2,0,0,0.0,0.0
RCVYMHPRB,RECODED EMERGING ISSUES,Binaria,2,3.546,76.556,3,0,0,0.0,0.0
RCVYSUBPRB,RECODED EMERGING ISSUES,Binaria,2,3.376,88.057,3,0,0,0.0,0.0
RKFQDBLT,RISK/AVAILABILITY,Categórica con pocas categorías,9,0.0,81.759,9,4,3,0.798,0.121
RKFQPBLT,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,86.431,8,4,3,0.801,0.129
RSKBNGDLY,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,68.602,8,4,1,1.264,0.002
RSKBNGWK,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,44.771,8,4,1,1.298,0.002
RSKCIGPKD,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,65.412,8,4,1,1.173,0.002
RSKCOCMON,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,63.185,8,3,1,0.702,0.002
RSKCOCWK,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,81.439,8,4,1,1.683,0.002
RSKHERTRY,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,79.655,8,3,1,0.695,0.002
RSKHERWK,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,90.655,8,4,1,1.645,0.002
RSKLSDTRY,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,49.984,8,3,1,0.698,0.002
RSKLSDWK,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,67.158,8,3,1,0.716,0.002
RSKMRJMON,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,34.476,8,4,1,1.418,0.002
RSKMRJWK,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,32.075,8,4,1,1.467,0.002
RSKYFQDGR,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,50.221,8,4,1,1.165,0.002
RSKYFQTES,RISK/AVAILABILITY,Categórica con pocas categorías,8,0.0,51.98,8,4,1,0.996,0.002
RXALPRANY,RECODED DRUG USE,Binaria,2,0.072,95.545,3,1,1,0.072,0.072
RXALPRMIS,RECODED DRUG USE,Binaria,2,0.011,99.0,3,2,1,1.0,0.011
RXAMMEANY,RECODED DRUG USE,Binaria,2,0.036,92.746,3,1,1,0.036,0.036
RXAMMEMIS,RECODED DRUG USE,Binaria,2,0.006,98.287,3,1,1,0.006,0.006
RXAMPHANY,RECODED DRUG USE,Binaria,2,0.044,93.657,3,1,1,0.044,0.044
RXAMPHMIS,RECODED DRUG USE,Binaria,2,0.008,98.395,3,1,1,0.008,0.008
RXANORANY,RECODED DRUG USE,Binaria,2,0.053,98.841,3,1,1,0.053,0.053
RXANORMIS,RECODED DRUG USE,Binaria,2,0.002,99.92,3,2,2,0.08,0.08
RXBARBANY,RECODED DRUG USE,Binaria,2,0.051,99.763,3,2,1,0.237,0.051
RXBARBMIS,RECODED DRUG USE,Binaria,2,0.004,99.985,3,2,2,0.015,0.015
RXBUPRANY2,RECODED DRUG USE,Binaria,2,0.173,98.431,3,1,0,0.173,0.0
RXBUPRMIS,RECODED DRUG USE,Binaria,2,0.03,99.657,3,2,1,0.343,0.03
RXBZOSANY,RECODED DRUG USE,Binaria,2,0.036,99.448,3,2,1,0.552,0.036
RXBZOSMIS,RECODED DRUG USE,Binaria,2,0.002,99.962,3,2,2,0.038,0.038
RXBZOTANY,RECODED DRUG USE,Binaria,2,0.051,91.822,3,1,1,0.051,0.051
RXBZOTMIS,RECODED DRUG USE,Binaria,2,0.011,98.592,3,1,1,0.011,0.011
RXCLONANY,RECODED DRUG USE,Binaria,2,0.078,97.808,3,1,1,0.078,0.078
RXCLONMIS,RECODED DRUG USE,Binaria,2,0.013,99.603,3,2,1,0.398,0.013
RXCODEANY2,RECODED DRUG USE,Binaria,2,0.173,94.032,3,1,0,0.173,0.0
RXCODEMIS,RECODED DRUG USE,Binaria,2,0.04,99.23,3,2,1,0.769,0.04
RXCYCLANY,RECODED DRUG USE,Binaria,2,0.097,97.249,3,1,1,0.097,0.097
RXCYCLMIS,RECODED DRUG USE,Binaria,2,0.019,99.748,3,2,1,0.252,0.019
RXDEMEANY2,RECODED DRUG USE,Binaria,2,0.197,99.609,3,2,0,0.392,0.0
RXDEMEMIS,RECODED DRUG USE,Binaria,2,0.025,99.96,3,2,2,0.04,0.04
RXDIAZANY,RECODED DRUG USE,Binaria,2,0.082,98.298,3,1,1,0.082,0.082
RXDIAZMIS,RECODED DRUG USE,Binaria,2,0.013,99.742,3,2,1,0.258,0.013
RXESZOANY,RECODED DRUG USE,Binaria,2,0.049,99.567,3,2,1,0.434,0.049
RXESZOMIS,RECODED DRUG USE,Binaria,2,0.002,99.966,3,2,2,0.034,0.034
RXFLURANY,RECODED DRUG USE,Binaria,2,0.036,99.939,3,2,2,0.061,0.061
RXHYDCANY2,RECODED DRUG USE,Binaria,2,0.167,89.19,3,1,0,0.167,0.0
RXHYDCMIS,RECODED DRUG USE,Binaria,2,0.025,98.634,3,1,1,0.025,0.025
RXHYDMANY2,RECODED DRUG USE,Binaria,2,0.197,99.205,3,2,0,0.795,0.0
RXHYDMMIS,RECODED DRUG USE,Binaria,2,0.025,99.911,3,2,2,0.088,0.088
RXLORAANY,RECODED DRUG USE,Binaria,2,0.078,97.486,3,1,1,0.078,0.078
RXLORAMIS,RECODED DRUG USE,Binaria,2,0.013,99.734,3,2,1,0.267,0.013
RXMORPANY2,RECODED DRUG USE,Binaria,2,0.199,97.922,3,1,0,0.199,0.0
RXMORPMIS,RECODED DRUG USE,Binaria,2,0.027,99.81,3,2,1,0.19,0.027
RXMRLXANY,RECODED DRUG USE,Binaria,2,0.097,97.087,3,1,1,0.097,0.097
RXMRLXMIS,RECODED DRUG USE,Binaria,2,0.023,99.719,3,2,1,0.281,0.023
RXMTDNANY2,RECODED DRUG USE,Binaria,2,0.197,99.288,3,2,0,0.713,0.0
RXMTDNMIS,RECODED DRUG USE,Binaria,2,0.027,99.892,3,2,2,0.107,0.107
RXMTHPANY,RECODED DRUG USE,Binaria,2,0.049,98.063,3,1,1,0.049,0.049
RXMTHPMIS,RECODED DRUG USE,Binaria,2,0.004,99.729,3,2,1,0.27,0.004
RXOPPRNMMON,RECODED DRUG USE,Binaria,2,0.0,99.245,2,1,0,0.755,0.0
RXOXCOANY2,RECODED DRUG USE,Binaria,2,0.178,92.712,3,1,0,0.178,0.0
RXOXCOMIS,RECODED DRUG USE,Binaria,2,0.038,98.975,3,2,1,1.025,0.038
RXOXYMANY2,RECODED DRUG USE,Binaria,2,0.18,99.457,3,2,0,0.544,0.0
RXOXYMMIS,RECODED DRUG USE,Binaria,2,0.023,99.92,3,2,2,0.08,0.08
RXPROVANY,RECODED DRUG USE,Binaria,2,0.053,99.786,3,2,1,0.214,0.053
RXPROVMIS,RECODED DRUG USE,Binaria,2,0.002,99.973,3,2,2,0.027,0.027
RXSOMAANY,RECODED DRUG USE,Binaria,2,0.097,99.712,3,2,1,0.287,0.097
RXSOMAMIS,RECODED DRUG USE,Binaria,2,0.017,99.96,3,2,2,0.04,0.04
RXTEMAANY,RECODED DRUG USE,Binaria,2,0.036,99.71,3,2,1,0.29,0.036
RXTRAMANY2,RECODED DRUG USE,Binaria,2,0.201,95.218,3,1,0,0.201,0.0
RXTRAMMIS,RECODED DRUG USE,Binaria,2,0.047,99.537,3,2,1,0.463,0.047
RXTRIAANY,RECODED DRUG USE,Binaria,2,0.036,99.704,3,2,1,0.296,0.036
RXZALEANY,RECODED DRUG USE,Binaria,2,0.049,99.856,3,2,2,0.144,0.144
