variable,modulo,tipo_variable,n_unicos,pct_nan,pct_dominante,n_categorias_observadas,n_categorias_minoritarias_1,n_categorias_minoritarias_01,pct_acum_minoritarias_1,pct_acum_minoritarias_01
DRVINALCO,SPECIAL TOPICS,Categórica con pocas categorías,7,0.0,60.893,7,2,2,0.102,0.102
DRVINALCO2,RECODED SPECIAL TOPICS,Binaria,2,1.106,93.089,3,0,0,0.0,0.0
DRVINALDRG,RECODED SPECIAL TOPICS,Binaria,2,2.08,88.108,3,0,0,0.0,0.0
DRVINALON,SPECIAL TOPICS,Categórica con pocas categorías,6,0.0,65.221,6,2,0,0.855,0.0
DRVINCOCN,SPECIAL TOPICS,Categórica con pocas categorías,8,0.0,85.856,8,5,3,0.619,0.008
DRVINDETAG,RECODED DEMOGRAPHICS,Categórica con pocas categorías,3,0.0,70.114,3,0,0,0.0,0.0
DRVINDRG,RECODED SPECIAL TOPICS,Binaria,2,1.438,92.63,3,0,0,0.0,0.0
DRVINDROTMJ,RECODED SPECIAL TOPICS,Binaria,2,1.03,97.981,3,1,0,0.989,0.0
DRVINHALL,SPECIAL TOPICS,Categórica con pocas categorías,8,0.0,79.991,8,5,3,0.792,0.012
DRVINHERN,SPECIAL TOPICS,Categórica con pocas categorías,8,0.0,97.476,8,6,5,0.388,0.181
DRVININHL,SPECIAL TOPICS,Categórica con pocas categorías,6,0.0,88.742,6,3,2,0.305,0.036
DRVINMARJ,SPECIAL TOPICS,Categórica con pocas categorías,7,0.0,47.289,7,3,2,0.667,0.067
DRVINMARJ2,RECODED SPECIAL TOPICS,Binaria,2,0.668,93.827,3,1,0,0.668,0.0
DRVINMETH,SPECIAL TOPICS,Categórica con pocas categorías,7,0.0,94.433,7,5,2,1.257,0.008
ECSTMOFLAG,RECODED DRUG USE,Binaria,2,0.0,90.516,2,0,0,0.0,0.0
ECSTMOMLU,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,90.475,19,17,12,2.173,0.778
ECSTMOMON,RECODED DRUG USE,Binaria,2,0.0,99.759,2,1,0,0.241,0.0
ECSTMOYR,RECODED DRUG USE,Binaria,2,0.0,99.025,2,1,0,0.975,0.0
EDFAM18,HOUSEHOLD COMPOSITION (ROSTER),Categórica con pocas categorías,3,0.0,74.976,3,0,0,0.0,0.0
EDUFULPAR,EDUCATION,Categórica con pocas categorías,7,0.0,80.598,7,3,1,1.01,0.008
EDUHIGHCAT,RECODED DEMOGRAPHICS,Categórica con pocas categorías,4,0.0,33.745,4,0,0,0.0,0.0
EDUSCHGRD2,EDUCATION,Categórica con número moderado de categorías,13,0.0,80.598,13,7,6,0.461,0.252
EDUSCHLGO,EDUCATION,Categórica con pocas categorías,7,0.0,80.598,7,4,2,1.265,0.095
EDUSCKEST,EDUCATION,Categórica con pocas categorías,10,0.0,94.784,10,8,8,0.129,0.129
EDUSKPEST,EDUCATION,Categórica con pocas categorías,9,0.0,94.799,9,7,7,0.11,0.11
ENRLCOLLFT2,RECODED EDUCATION,Categórica con pocas categorías,3,0.0,82.695,3,0,0,0.0,0.0
ENRLCOLLST2,RECODED EDUCATION,Categórica con pocas categorías,5,0.0,82.695,5,0,0,0.0,0.0
ETHEREVER2,RECODED DRUG USE,Binaria,2,0.015,99.571,3,2,1,0.429,0.015
FLTMRKEVER2,RECODED DRUG USE,Binaria,2,0.015,96.406,3,1,1,0.015,0.015
FLVVAPEVR,EMERGING ISSUES,Categórica con pocas categorías,6,0.0,88.256,6,3,1,0.507,0.008
FLVVAPFLAG,RECODED EMERGING ISSUES,Binaria,2,0.0,91.182,2,0,0,0.0,0.0
FLVVAPMON,RECODED EMERGING ISSUES,Binaria,2,0.0,97.926,2,0,0,0.0,0.0
FLVVAPREC,EMERGING ISSUES,Categórica con pocas categorías,7,0.0,88.256,7,2,2,0.048,0.048
FLVVAPYR,RECODED EMERGING ISSUES,Binaria,2,0.0,96.516,2,0,0,0.0,0.0
FPIMFANYYR2,RECODED EMERGING ISSUES,Binaria,2,0.0,98.77,2,0,0,0.0,0.0
FPIMFNMYR,RECODED EMERGING ISSUES,Binaria,2,0.0,99.584,2,1,0,0.416,0.0
FTNDDEPND,NICOTINE DEPENDENCE,Categórica con pocas categorías,3,0.526,86.139,4,1,0,0.526,0.0
FUALC18,RECODED DRUG USE,Binaria,2,0.0,57.075,2,0,0,0.0,0.0
FUALC21,RECODED DRUG USE,Binaria,2,0.0,64.91,2,0,0,0.0,0.0
FUCD218,RECODED DRUG USE,Binaria,2,0.0,87.97,2,0,0,0.0,0.0
FUCD221,RECODED DRUG USE,Binaria,2,0.0,79.205,2,0,0,0.0,0.0
FUCGR18,RECODED DRUG USE,Binaria,2,0.0,91.987,2,0,0,0.0,0.0
FUCGR21,RECODED DRUG USE,Binaria,2,0.0,81.879,2,0,0,0.0,0.0
FUCIG18,RECODED DRUG USE,Binaria,2,0.0,67.843,2,0,0,0.0,0.0
FUCIG21,RECODED DRUG USE,Binaria,2,0.0,55.02,2,0,0,0.0,0.0
FUCOC18,RECODED DRUG USE,Binaria,2,0.0,97.015,2,0,0,0.0,0.0
FUCOC21,RECODED DRUG USE,Binaria,2,0.0,92.727,2,0,0,0.0,0.0
FUCRK18,RECODED DRUG USE,Binaria,2,0.0,99.376,2,1,0,0.624,0.0
FUCRK21,RECODED DRUG USE,Binaria,2,0.0,98.636,2,0,0,0.0,0.0
FUECSTMO18,RECODED DRUG USE,Binaria,2,0.0,98.116,2,0,0,0.0,0.0
FUECSTMO21,RECODED DRUG USE,Binaria,2,0.0,95.207,2,0,0,0.0,0.0
FUHALLUC18,RECODED DRUG USE,Binaria,2,0.0,93.712,2,0,0,0.0,0.0
FUHALLUC21,RECODED DRUG USE,Binaria,2,0.0,87.408,2,0,0,0.0,0.0
FUHER18,RECODED DRUG USE,Binaria,2,0.0,99.562,2,1,0,0.438,0.0
FUHER21,RECODED DRUG USE,Binaria,2,0.0,99.011,2,1,0,0.989,0.0
FUINHAL182,RECODED DRUG USE,Binaria,2,0.0,93.64,2,0,0,0.0,0.0
FUINHAL212,RECODED DRUG USE,Binaria,2,0.0,91.347,2,0,0,0.0,0.0
FULSD18,RECODED DRUG USE,Binaria,2,0.0,96.036,2,0,0,0.0,0.0
FULSD21,RECODED DRUG USE,Binaria,2,0.0,92.55,2,0,0,0.0,0.0
FUMETHAM18,RECODED DRUG USE,Binaria,2,0.0,98.605,2,0,0,0.0,0.0
FUMETHAM21,RECODED DRUG USE,Binaria,2,0.0,97.285,2,0,0,0.0,0.0
FUMJ18,RECODED DRUG USE,Binaria,2,0.0,72.173,2,0,0,0.0,0.0
FUMJ21,RECODED DRUG USE,Binaria,2,0.0,58.693,2,0,0,0.0,0.0
FUNICVAP18,RECODED DRUG USE,Binaria,2,0.0,91.059,2,0,0,0.0,0.0
FUNICVAP21,RECODED DRUG USE,Binaria,2,0.0,83.94,2,0,0,0.0,0.0
FUPCP18,RECODED DRUG USE,Binaria,2,0.0,99.345,2,1,0,0.655,0.0
FUPCP21,RECODED DRUG USE,Binaria,2,0.0,98.848,2,0,0,0.0,0.0
FUPNRNM18,RECODED DRUG USE,Binaria,2,0.0,99.987,2,1,1,0.013,0.013
FUPNRNM21,RECODED DRUG USE,Binaria,2,0.0,99.915,2,1,1,0.085,0.085
FUSEDNM21,RECODED DRUG USE,Binaria,2,0.0,99.996,2,1,1,0.004,0.004
FUSMKLSS18,RECODED DRUG USE,Binaria,2,0.0,93.575,2,0,0,0.0,0.0
FUSMKLSS21,RECODED DRUG USE,Binaria,2,0.0,89.653,2,0,0,0.0,0.0
FUSTMNM18,RECODED DRUG USE,Binaria,2,0.0,99.992,2,1,1,0.008,0.008
FUSTMNM21,RECODED DRUG USE,Binaria,2,0.0,99.93,2,1,1,0.07,0.07
FUTRQNM18,RECODED DRUG USE,Binaria,2,0.0,99.998,2,1,1,0.002,0.002
FUTRQNM21,RECODED DRUG USE,Binaria,2,0.0,99.968,2,1,1,0.032,0.032
GASEVER2,RECODED DRUG USE,Binaria,2,0.004,98.742,3,1,1,0.004,0.004
GHBFLAG,RECODED SPECIAL DRUGS,Binaria,2,0.0,99.436,2,1,0,0.564,0.0
GHBMON,RECODED SPECIAL DRUGS,Binaria,2,0.0,99.951,2,1,1,0.049,0.049
GHBYR,RECODED SPECIAL DRUGS,Binaria,2,0.0,99.915,2,1,1,0.085,0.085
GLUEEVER2,RECODED DRUG USE,Binaria,2,0.006,98.731,3,1,1,0.006,0.006
GOVTPROG,RECODED INCOME,Binaria,2,0.0,77.987,2,0,0,0.0,0.0
GRPHLTIN,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,48.229,6,2,1,0.268,0.095
GRSKBNGDLY,RECODED RISK/AVAILABILITY,Binaria,2,1.264,68.602,3,0,0,0.0,0.0
GRSKBNGWK,RECODED RISK/AVAILABILITY,Binaria,2,1.298,53.931,3,0,0,0.0,0.0
GRSKCIGPKD,RECODED RISK/AVAILABILITY,Binaria,2,1.173,65.412,3,0,0,0.0,0.0
GRSKCOCMON,RECODED RISK/AVAILABILITY,Binaria,2,1.725,63.185,3,0,0,0.0,0.0
GRSKCOCWK,RECODED RISK/AVAILABILITY,Binaria,2,1.683,81.439,3,0,0,0.0,0.0
GRSKHERTRY,RECODED RISK/AVAILABILITY,Binaria,2,1.727,79.655,3,0,0,0.0,0.0
GRSKHERWK,RECODED RISK/AVAILABILITY,Binaria,2,1.645,90.655,3,0,0,0.0,0.0
GRSKLSDTRY,RECODED RISK/AVAILABILITY,Binaria,2,2.169,49.984,3,0,0,0.0,0.0
GRSKLSDWK,RECODED RISK/AVAILABILITY,Binaria,2,2.23,67.158,3,0,0,0.0,0.0
GRSKMRJMON,RECODED RISK/AVAILABILITY,Binaria,2,1.419,81.613,3,0,0,0.0,0.0
GRSKMRJWK,RECODED RISK/AVAILABILITY,Binaria,2,1.467,77.928,3,0,0,0.0,0.0
HALLMOLST,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,79.991,19,16,0,4.9,0.0
HALLNDAYPM,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,98.643,5,4,1,1.357,0.04
HALLNDAYYR,RECODED DRUG USE,Categórica con pocas categorías,6,0.0,94.955,6,4,1,1.161,0.03
HALLUCFLAG,RECODED DRUG USE,Binaria,2,0.0,80.179,2,0,0,0.0,0.0
HALLUCMON,RECODED DRUG USE,Binaria,2,0.0,98.643,2,0,0,0.0,0.0
HALLUCYR,RECODED DRUG USE,Binaria,2,0.0,94.955,2,0,0,0.0,0.0
HEALTH,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,36.32,7,2,2,0.053,0.053
HEALTH2,RECODED DEMOGRAPHICS,Categórica con pocas categorías,4,0.053,36.32,5,1,1,0.053,0.053
HEPBCEVER2,HEALTH,Categórica con pocas categorías,6,0.0,96.201,6,4,1,1.96,0.023
HERFLAG,RECODED DRUG USE,Binaria,2,0.0,97.499,2,0,0,0.0,0.0
HERMDAYS,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,99.846,5,4,3,0.154,0.053
HERMLU,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,97.488,19,17,16,0.571,0.273
HERMON,RECODED DRUG USE,Binaria,2,0.0,99.846,2,1,0,0.154,0.0
HERNEDEVER,RECODED SPECIAL DRUGS,Binaria,2,0.021,98.717,3,1,1,0.021,0.021
