variable,tipo,n_presentes,n_unicos,n_nan,pct_nan
UADOTHM,float64,1284,2,46015,97.285
UADPUBL,float64,1284,2,46015,97.285
UADBAR,float64,1284,2,46015,97.285
UADEVNT,float64,1284,2,46015,97.285
UADSCHL,float64,1284,2,46015,97.285
UADROTH,float64,1268,2,46031,97.319
UADOTSP2,float64,47174,6,125,0.264
UADPAID,float64,47191,3,108,0.228
UADMONY,float64,47187,3,112,0.237
UADBWHO,float64,47187,3,112,0.237
UADPLACE,float64,47184,4,115,0.243
UADBUND,float64,47187,3,112,0.237
UADCAG,float64,47180,5,119,0.252
UADFWHO,float64,47148,8,151,0.319
UADFRD,float64,47148,3,151,0.319
CADRKMARJ2,float64,46943,2,356,0.753
CADRKCOCN2,float64,47252,2,47,0.099
CADRKHERN2,float64,47286,2,13,0.027
CADRKHALL2,float64,47164,2,135,0.285
CADRKINHL2,float64,47250,2,49,0.104
CADRKMETH2,float64,47273,2,26,0.055
CBDHMPEVR,int64,47299,4,0,0.0
CBDHMPREC,int64,47299,7,0,0.0
MJEVER,int64,47299,4,0,0.0
MJAGE,int64,47299,92,0,0.0
MJYFU,int64,47299,10,0,0.0
MJMFU,int64,47299,19,0,0.0
MJREC,int64,47299,9,0,0.0
MJYRTOT,int64,47299,206,0,0.0
MRTOTFG,int64,47299,3,0,0.0
MJFQFLG,int64,47299,2,0,0.0
MRBSTWAY,int64,47299,12,0,0.0
MRDAYPYR,int64,47299,132,0,0.0
MRDAYPMO,int64,47299,39,0,0.0
MRDAYPWK,int64,47299,14,0,0.0
MJDAY30A,int64,47299,35,0,0.0
MR30EST,int64,47299,12,0,0.0
MJYRSMOKE,int64,47299,9,0,0.0
MJYRVAPE,int64,47299,10,0,0.0
MJYRDAB,int64,47299,10,0,0.0
MJYREAT,int64,47299,10,0,0.0
MJYRMOUTH,int64,47299,10,0,0.0
MJYRSKIN,int64,47299,10,0,0.0
MJYRPILL,int64,47299,9,0,0.0
MJYROTHER,int64,47299,9,0,0.0
MJMONSMOKE,int64,47299,10,0,0.0
MJMONVAPE,int64,47299,10,0,0.0
MJMONDAB,int64,47299,10,0,0.0
MJMONEAT,int64,47299,10,0,0.0
MJMONMOUTH,int64,47299,8,0,0.0
MJMONSKIN,int64,47299,10,0,0.0
MJMONPILL,int64,47299,10,0,0.0
MJEVERVAPE,int64,47299,8,0,0.0
MJANYMEDYR,int64,47299,7,0,0.0
MJALLMEDYR,int64,47299,8,0,0.0
MEDMJPA2,int64,47299,2,0,0.0
MKMBGHTYR,int64,47299,9,0,0.0
MKMTRADEYR,int64,47299,9,0,0.0
MKMFREEYR,int64,47299,9,0,0.0
MKMGREWYR,int64,47299,9,0,0.0
MKMOTHWAYYR,int64,47299,9,0,0.0
MKMBGHTREC,int64,47299,9,0,0.0
MKMBGHT30N2,int64,47299,13,0,0.0
MKMAMTPDCOM2,int64,47299,15,0,0.0
MKMBGHTDISP,int64,47299,9,0,0.0
MKMBGHTKNW,int64,47299,9,0,0.0
