variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,valor_constante,motivo,modulo,notas,decision,motivo_decision
YO_MDEA1,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YO_MDEA2,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YO_MDEA3,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YO_MDEA4,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YO_MDEA5,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YO_MDEA6,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YO_MDEA7,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YO_MDEA8,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YODSMMDE,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPBINTF,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPBDLYA,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPBRMBR,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPBAGE,int64,47299,1,0,0.0,999,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPBNUM,int64,47299,1,0,0.0,9999,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPB2WK,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPSHMGT,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPSWORK,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPSRELS,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPSSOC,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPSDAYS,int64,47299,1,0,0.0,999,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOSEEDOC,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOFAMDOC,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOOTHDOC,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPSYCH,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOPSYMD,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOSOCWRK,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOCOUNS,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOOTHMHP,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YONURSE,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YORELIG,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOHERBAL,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOOTHHLP,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOTMTNOW,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YORX12MO,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YORXNOW,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YORXHLP,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOTMTHLP,int64,47299,1,0,0.0,99,Variable constante en población adulta,ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
