variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,pct_unicos_presentes
HLTINDRG,int64,58633,6,0,0.0,0.01
HLTINMNT,int64,58633,6,0,0.0,0.01
HLTINNOS,int64,58633,6,0,0.0,0.01
HLCNOTYR,int64,58633,7,0,0.0,0.012
HLCNOTMO,int64,58633,16,0,0.0,0.027
HLCLAST,int64,58633,9,0,0.0,0.015
HLLOSRSN,int64,58633,17,0,0.0,0.029
HLNVCOST,int64,58633,6,0,0.0,0.01
HLNVOFFR,int64,58633,6,0,0.0,0.01
HLNVREF,int64,58633,6,0,0.0,0.01
HLNVNEED,int64,58633,6,0,0.0,0.01
HLNVSOR,int64,58633,6,0,0.0,0.01
IRMEDICR,int64,58633,2,0,0.0,0.003
IIMEDICR,int64,58633,2,0,0.0,0.003
IRMCDCHP,int64,58633,2,0,0.0,0.003
IIMCDCHP,int64,58633,2,0,0.0,0.003
IRCHMPUS,int64,58633,2,0,0.0,0.003
IICHMPUS,int64,58633,2,0,0.0,0.003
IRPRVHLT,int64,58633,2,0,0.0,0.003
IIPRVHLT,int64,58633,2,0,0.0,0.003
IROTHHLT,int64,58633,3,0,0.0,0.005
IIOTHHLT,int64,58633,3,0,0.0,0.005
HLCALLFG,int64,58633,2,0,0.0,0.003
HLCALL99,int64,58633,2,0,0.0,0.003
ANYHLTI2,int64,58633,5,0,0.0,0.009
IRINSUR4,int64,58633,2,0,0.0,0.003
IIINSUR4,int64,58633,2,0,0.0,0.003
OTHINS,int64,58633,2,0,0.0,0.003
CELLWRKNG,int64,58633,6,0,0.0,0.01
CELLNOTCL,int64,58633,6,0,0.0,0.01
IRFAMSOC,int64,58633,2,0,0.0,0.003
IIFAMSOC,int64,58633,2,0,0.0,0.003
IRFAMSSI,int64,58633,2,0,0.0,0.003
IIFAMSSI,int64,58633,2,0,0.0,0.003
IRFSTAMP,int64,58633,2,0,0.0,0.003
IIFSTAMP,int64,58633,2,0,0.0,0.003
IRFAMPMT,int64,58633,2,0,0.0,0.003
IIFAMPMT,int64,58633,2,0,0.0,0.003
IRFAMSVC,int64,58633,2,0,0.0,0.003
IIFAMSVC,int64,58633,2,0,0.0,0.003
IRWELMOS,int64,58633,13,0,0.0,0.022
IIWELMOS,int64,58633,3,0,0.0,0.005
IRPINC3,int64,58633,7,0,0.0,0.012
IRFAMIN3,int64,58633,7,0,0.0,0.012
IIPINC3,int64,58633,2,0,0.0,0.003
IIFAMIN3,int64,58633,2,0,0.0,0.003
GOVTPROG,int64,58633,2,0,0.0,0.003
INCOME,int64,58633,4,0,0.0,0.007
POVERTY3,float64,58497,3,136,0.232,0.005
BOOKED,int64,58633,7,0,0.0,0.012
NOBOOKY2,int64,58633,9,0,0.0,0.015
BKMVTHFT,int64,58633,8,0,0.0,0.014
BKLARCNY,int64,58633,9,0,0.0,0.015
BKBURGL,int64,58633,8,0,0.0,0.014
BKSRVIOL,int64,58633,9,0,0.0,0.015
BKSMASLT,int64,58633,9,0,0.0,0.015
BKROB,int64,58633,7,0,0.0,0.012
BKARSON,int64,58633,7,0,0.0,0.012
BKDRVINF,int64,58633,8,0,0.0,0.014
BKDRUNK,int64,58633,8,0,0.0,0.014
BKPOSTOB,int64,58633,7,0,0.0,0.012
BKDRUG,int64,58633,8,0,0.0,0.014
BKSEXNR,int64,58633,7,0,0.0,0.012
BKFRAUD,int64,58633,9,0,0.0,0.015
BKOTH,int64,58633,9,0,0.0,0.015
BKOTHOF2,int64,58633,25,0,0.0,0.043
PROBATON,int64,58633,6,0,0.0,0.01
PAROLREL,int64,58633,6,0,0.0,0.01
DRVINALCO,int64,58633,7,0,0.0,0.012
DRVINMARJ,int64,58633,7,0,0.0,0.012
DRVINCOCN,int64,58633,8,0,0.0,0.014
DRVINHERN,int64,58633,8,0,0.0,0.014
DRVINHALL,int64,58633,8,0,0.0,0.014
DRVININHL,int64,58633,7,0,0.0,0.012
DRVINMETH,int64,58633,8,0,0.0,0.014
DRVINALON,int64,58633,6,0,0.0,0.01
MXMJPNLT,int64,58633,10,0,0.0,0.017
DRVINALCO2,float64,58007,2,626,1.068,0.003
DRVINMARJ2,float64,58235,2,398,0.679,0.003
DRVINDRG,float64,57391,2,1242,2.118,0.003
DRVINDROTMJ,float64,57643,2,990,1.688,0.003
DRVINALDRG,float64,56998,2,1635,2.789,0.004
PAROL,float64,57924,2,709,1.209,0.003
PROB,float64,57901,2,732,1.248,0.003
CIGEVER,int64,58633,2,0,0.0,0.003
CIGTRY,int64,58633,57,0,0.0,0.097
CIGYFU,int64,58633,10,0,0.0,0.017
CIGMFU,int64,58633,19,0,0.0,0.032
CIGREC,int64,58633,11,0,0.0,0.019
CIG30USE,int64,58633,35,0,0.0,0.06
CG30EST,int64,58633,11,0,0.0,0.019
CIG30AV,int64,58633,12,0,0.0,0.02
CIGMENTH30,int64,58633,7,0,0.0,0.012
CIGROLL30,int64,58633,7,0,0.0,0.012
CIGDLYMO,int64,58633,6,0,0.0,0.01
CIGAGE,int64,58633,63,0,0.0,0.107
CIGDLYFU,int64,58633,10,0,0.0,0.017
CIGDLMFU,int64,58633,19,0,0.0,0.032
CIG100LF,int64,58633,7,0,0.0,0.012
NICVAPEVER,int64,58633,4,0,0.0,0.007
NICVAPAGE,int64,58633,85,0,0.0,0.145
NICVAPYFU,int64,58633,10,0,0.0,0.017
NICVAPMFU,int64,58633,19,0,0.0,0.032
NICVAPREC,int64,58633,12,0,0.0,0.02
NICVAP30N,int64,58633,35,0,0.0,0.06
SMKLSSEVR,int64,58633,4,0,0.0,0.007
SMKLSSTRY,int64,58633,65,0,0.0,0.111
SMKLSSYFU,int64,58633,10,0,0.0,0.017
SMKLSSMFU,int64,58633,19,0,0.0,0.032
SMKLSSREC,int64,58633,14,0,0.0,0.024
SMKLSS30N,int64,58633,35,0,0.0,0.06
SMKLSS30E,int64,58633,10,0,0.0,0.017
CIGAREVR,int64,58633,4,0,0.0,0.007
CIGARTRY,int64,58633,77,0,0.0,0.131
CIGARYFU,int64,58633,10,0,0.0,0.017
CIGARMFU,int64,58633,19,0,0.0,0.032
CIGARREC,int64,58633,13,0,0.0,0.022
CGR30USE,int64,58633,34,0,0.0,0.058
CI30EST,int64,58633,10,0,0.0,0.017
PIPEVER,int64,58633,4,0,0.0,0.007
PIPE30DY,int64,58633,6,0,0.0,0.01
CIGIRTBL,int64,58633,10,0,0.0,0.017
CIGCRAVE,int64,58633,10,0,0.0,0.017
CIGCRAGP,int64,58633,10,0,0.0,0.017
CIGINCTL,int64,58633,10,0,0.0,0.017
CIGAVOID,int64,58633,10,0,0.0,0.017
CIGFNSMK,int64,58633,7,0,0.0,0.012
CIGFNLKE,int64,58633,11,0,0.0,0.019
CIGPLANE,int64,58633,10,0,0.0,0.017
CIGRNOUT,int64,58633,10,0,0.0,0.017
CIGREGDY,int64,58633,10,0,0.0,0.017
CIGREGWK,int64,58633,10,0,0.0,0.017
CIGREGNM,int64,58633,10,0,0.0,0.017
CIGNMCHG,int64,58633,10,0,0.0,0.017
CIGSVLHR,int64,58633,10,0,0.0,0.017
CIGINFLU,int64,58633,10,0,0.0,0.017
CIGNOINF,int64,58633,10,0,0.0,0.017
CIGINCRS,int64,58633,10,0,0.0,0.017
CIGSATIS,int64,58633,10,0,0.0,0.017
CIGLOTMR,int64,58633,10,0,0.0,0.017
CIGWAKE,int64,58633,9,0,0.0,0.015
NDSSDEPND,float64,58497,3,136,0.232,0.005
FTNDDEPND,float64,58364,3,269,0.459,0.005
PMNICDEP,float64,58363,3,270,0.46,0.005
IRPMNICDEP,int64,58633,2,0,0.0,0.003
IIPMNICDEP,int64,58633,3,0,0.0,0.005
ALCEVER,int64,58633,4,0,0.0,0.007
ALCTRY,int64,58633,64,0,0.0,0.109
ALCYFU,int64,58633,10,0,0.0,0.017
ALCMFU,int64,58633,19,0,0.0,0.032
ALCREC,int64,58633,9,0,0.0,0.015
ALCYRTOT,int64,58633,192,0,0.0,0.327
ALTOTFG,int64,58633,4,0,0.0,0.007
ALFQFLG,int64,58633,2,0,0.0,0.003
ALBSTWAY,int64,58633,12,0,0.0,0.02
ALDAYPYR,int64,58633,139,0,0.0,0.237
ALDAYPMO,int64,58633,39,0,0.0,0.067
ALDAYPWK,int64,58633,14,0,0.0,0.024
ALCDAYS,int64,58633,36,0,0.0,0.061
AL30EST,int64,58633,13,0,0.0,0.022
ALDYSFG,int64,58633,2,0,0.0,0.003
ALCUS30D,int64,58633,50,0,0.0,0.085
ALCBNG30D,int64,58633,38,0,0.0,0.065
CADRLAST,int64,58633,51,0,0.0,0.087
CADRPEOP,int64,58633,10,0,0.0,0.017
CADRCAR,int64,58633,9,0,0.0,0.015
CADRHOME,int64,58633,10,0,0.0,0.017
CADROTHM,int64,58633,9,0,0.0,0.015
CADRPUBL,int64,58633,9,0,0.0,0.015
CADRBAR,int64,58633,9,0,0.0,0.015
CADREVNT,int64,58633,8,0,0.0,0.014
CADRSCHL,int64,58633,9,0,0.0,0.015
CADROTH,int64,58633,8,0,0.0,0.014
CADROTS2,int64,58633,25,0,0.0,0.043
CABUYFRE,int64,58633,9,0,0.0,0.015
CAGVMONY,int64,58633,9,0,0.0,0.015
CABUYWHO,int64,58633,8,0,0.0,0.014
CABPLACE,int64,58633,10,0,0.0,0.017
CABUNDAG,int64,58633,7,0,0.0,0.012
CAGVWHO,int64,58633,10,0,0.0,0.017
CAFREWHO,int64,58633,18,0,0.0,0.031
CAFRESP2,int64,58633,24,0,0.0,0.041
CADRKDRUG,int64,58633,8,0,0.0,0.014
CADRKMARJ,int64,58633,8,0,0.0,0.014
CADRKCOCN,int64,58633,7,0,0.0,0.012
CADRKHERN,int64,58633,6,0,0.0,0.01
CADRKHALL,int64,58633,8,0,0.0,0.014
CADRKINHL,int64,58633,8,0,0.0,0.014
CADRKMETH,int64,58633,7,0,0.0,0.012
CABINGFLG,int64,58633,4,0,0.0,0.007
CABINGEVR,int64,58633,8,0,0.0,0.014
CABINGAGE,int64,58633,85,0,0.0,0.145
CABINGYFU,int64,58633,10,0,0.0,0.017
CABINGMFU,int64,58633,19,0,0.0,0.032
EIBINGAGE,int64,58633,2,0,0.0,0.003
EIBINGYFU,int64,58633,2,0,0.0,0.003
EIBINGMFU,int64,58633,2,0,0.0,0.003
UADPEOP,float64,58409,4,224,0.382,0.007
UADCAR,float64,2014,2,56619,96.565,0.099
UADHOME,float64,2014,2,56619,96.565,0.099
UADOTHM,float64,2014,2,56619,96.565,0.099
UADPUBL,float64,2014,2,56619,96.565,0.099
UADBAR,float64,2014,2,56619,96.565,0.099
UADEVNT,float64,2014,2,56619,96.565,0.099
UADSCHL,float64,2014,2,56619,96.565,0.099
UADROTH,float64,1977,2,56656,96.628,0.101
UADOTSP2,float64,58351,6,282,0.481,0.01
UADPAID,float64,58402,3,231,0.394,0.005
UADMONY,float64,58396,3,237,0.404,0.005
UADBWHO,float64,58396,3,237,0.404,0.005
UADPLACE,float64,58393,4,240,0.409,0.007
UADBUND,float64,58396,3,237,0.404,0.005
UADCAG,float64,58388,5,245,0.418,0.009
UADFWHO,float64,58302,8,331,0.565,0.014
UADFRD,float64,58302,3,331,0.565,0.005
CADRKMARJ2,float64,58237,2,396,0.675,0.003
CADRKCOCN2,float64,58583,2,50,0.085,0.003
CADRKHERN2,float64,58620,2,13,0.022,0.003
CADRKHALL2,float64,58474,2,159,0.271,0.003
CADRKINHL2,float64,58567,2,66,0.113,0.003
CADRKMETH2,float64,58605,2,28,0.048,0.003
CBDHMPEVR,int64,58633,4,0,0.0,0.007
CBDHMPREC,int64,58633,7,0,0.0,0.012
MJEVER,int64,58633,4,0,0.0,0.007
MJAGE,int64,58633,92,0,0.0,0.157
MJYFU,int64,58633,10,0,0.0,0.017
MJMFU,int64,58633,19,0,0.0,0.032
MJREC,int64,58633,9,0,0.0,0.015
MJYRTOT,int64,58633,229,0,0.0,0.391
MRTOTFG,int64,58633,3,0,0.0,0.005
MJFQFLG,int64,58633,2,0,0.0,0.003
MRBSTWAY,int64,58633,12,0,0.0,0.02
MRDAYPYR,int64,58633,142,0,0.0,0.242
MRDAYPMO,int64,58633,39,0,0.0,0.067
MRDAYPWK,int64,58633,14,0,0.0,0.024
MJDAY30A,int64,58633,35,0,0.0,0.06
MR30EST,int64,58633,12,0,0.0,0.02
MJYRSMOKE,int64,58633,9,0,0.0,0.015
MJYRVAPE,int64,58633,10,0,0.0,0.017
MJYRDAB,int64,58633,10,0,0.0,0.017
MJYREAT,int64,58633,10,0,0.0,0.017
MJYRMOUTH,int64,58633,10,0,0.0,0.017
MJYRSKIN,int64,58633,10,0,0.0,0.017
MJYRPILL,int64,58633,9,0,0.0,0.015
MJYROTHER,int64,58633,9,0,0.0,0.015
MJMONSMOKE,int64,58633,10,0,0.0,0.017
MJMONVAPE,int64,58633,10,0,0.0,0.017
MJMONDAB,int64,58633,10,0,0.0,0.017
MJMONEAT,int64,58633,10,0,0.0,0.017
MJMONMOUTH,int64,58633,9,0,0.0,0.015
MJMONSKIN,int64,58633,10,0,0.0,0.017
MJMONPILL,int64,58633,10,0,0.0,0.017
MJEVERVAPE,int64,58633,8,0,0.0,0.014
MJANYMEDYR,int64,58633,7,0,0.0,0.012
MJALLMEDYR,int64,58633,8,0,0.0,0.014
MEDMJPA2,int64,58633,2,0,0.0,0.003
MKMBGHTYR,int64,58633,9,0,0.0,0.015
MKMTRADEYR,int64,58633,9,0,0.0,0.015
MKMFREEYR,int64,58633,9,0,0.0,0.015
MKMGREWYR,int64,58633,9,0,0.0,0.015
MKMOTHWAYYR,int64,58633,9,0,0.0,0.015
MKMBGHTREC,int64,58633,9,0,0.0,0.015
MKMBGHT30N2,int64,58633,13,0,0.0,0.022
MKMAMTPDCOM2,int64,58633,15,0,0.0,0.026
MKMBGHTDISP,int64,58633,9,0,0.0,0.015
MKMBGHTKNW,int64,58633,9,0,0.0,0.015
MKMBGHTJNT,int64,58633,9,0,0.0,0.015
MKMBGHTLOO,int64,58633,9,0,0.0,0.015
MKMBGHTVAPE,int64,58633,9,0,0.0,0.015
MKMBGHTDAB,int64,58633,9,0,0.0,0.015
MKMBGHTEDBLE,int64,58633,9,0,0.0,0.015
MKMBGHTDRPS,int64,58633,9,0,0.0,0.015
MKMBGHTLTN,int64,58633,9,0,0.0,0.015
MKMBGHTPILL,int64,58633,9,0,0.0,0.015
MKMBGHTOTH,int64,58633,10,0,0.0,0.017
MKMLOOGMCOM2,int64,58633,12,0,0.0,0.02
MKMLOOOUNCE,int64,58633,14,0,0.0,0.024
MKMSELLMRJ,int64,58633,8,0,0.0,0.014
BLNTEVER,int64,58633,8,0,0.0,0.014
BLNTAGE,int64,58633,74,0,0.0,0.126
BLNTYFU,int64,58633,11,0,0.0,0.019
BLNTMFU,int64,58633,20,0,0.0,0.034
BLNTREC,int64,58633,11,0,0.0,0.019
BLRECFL2,int64,58633,2,0,0.0,0.003
BLNT30DY,int64,58633,35,0,0.0,0.06
BLNT30C1,int64,58633,5,0,0.0,0.009
BLNT30C2,int64,58633,5,0,0.0,0.009
RSNOMRJ,int64,58633,5,0,0.0,0.009
RSNMRJMO,int64,58633,6,0,0.0,0.01
BLNTNOMJ,int64,58633,8,0,0.0,0.014
COCEVER,int64,58633,5,0,0.0,0.009
COCAGE,int64,58633,61,0,0.0,0.104
COCYFU,int64,58633,10,0,0.0,0.017
COCMFU,int64,58633,19,0,0.0,0.032
COCREC,int64,58633,11,0,0.0,0.019
COCYRTOT,int64,58633,78,0,0.0,0.133
CCTOTFG,int64,58633,2,0,0.0,0.003
CCFQFLG,int64,58633,2,0,0.0,0.003
CCBSTWAY,int64,58633,14,0,0.0,0.024
CCDAYPYR,int64,58633,45,0,0.0,0.077
CCDAYPMO,int64,58633,27,0,0.0,0.046
CCDAYPWK,int64,58633,15,0,0.0,0.026
COCUS30A,int64,58633,31,0,0.0,0.053
CC30EST,int64,58633,6,0,0.0,0.01
CRKEVER,int64,58633,7,0,0.0,0.012
CRKAGE,int64,58633,54,0,0.0,0.092
CRKYFU,int64,58633,10,0,0.0,0.017
CRKMFU,int64,58633,19,0,0.0,0.032
CRAKREC,int64,58633,9,0,0.0,0.015
CRKYRTOT,int64,58633,55,0,0.0,0.094
CRTOTFG,int64,58633,2,0,0.0,0.003
CRFQFLG,int64,58633,2,0,0.0,0.003
CRBSTWAY,int64,58633,9,0,0.0,0.015
CRDAYPYR,int64,58633,30,0,0.0,0.051
CRDAYPMO,int64,58633,25,0,0.0,0.043
CRDAYPWK,int64,58633,14,0,0.0,0.024
CRKUS30A,int64,58633,23,0,0.0,0.039
CR30EST,int64,58633,5,0,0.0,0.009
HEREVER,int64,58633,5,0,0.0,0.009
HERAGE,int64,58633,53,0,0.0,0.09
HERYFU,int64,58633,10,0,0.0,0.017
HERMFU,int64,58633,15,0,0.0,0.026
HERREC,int64,58633,9,0,0.0,0.015
HERYRTOT,int64,58633,51,0,0.0,0.087
HRTOTFG,int64,58633,3,0,0.0,0.005
HRFQFLG,int64,58633,2,0,0.0,0.003
HRBSTWAY,int64,58633,8,0,0.0,0.014
HRDAYPYR,int64,58633,28,0,0.0,0.048
HRDAYPMO,int64,58633,22,0,0.0,0.038
HRDAYPWK,int64,58633,14,0,0.0,0.024
HER30USE,int64,58633,22,0,0.0,0.038
HR30EST,int64,58633,6,0,0.0,0.01
LSD,int64,58633,7,0,0.0,0.012
PCP,int64,58633,6,0,0.0,0.01
PEYOTE,int64,58633,6,0,0.0,0.01
MESC,int64,58633,7,0,0.0,0.012
PSILCY,int64,58633,7,0,0.0,0.012
ECSTMOLLY,int64,58633,7,0,0.0,0.012
KETMINESK,int64,58633,7,0,0.0,0.012
DMTAMTFXY,int64,58633,7,0,0.0,0.012
SALVIADIV,int64,58633,6,0,0.0,0.01
HALLUCOTH,int64,58633,7,0,0.0,0.012
HALLUCOT1,int64,58633,128,0,0.0,0.218
HALLUCOT2,int64,58633,66,0,0.0,0.113
HALLUCOT3,int64,58633,40,0,0.0,0.068
HALLUCOT4,int64,58633,22,0,0.0,0.038
HALLUCOT5,int64,58633,17,0,0.0,0.029
HALLUCEVR,int64,58633,3,0,0.0,0.005
HALLUCAGE,int64,58633,71,0,0.0,0.121
HALLUCYFU,int64,58633,10,0,0.0,0.017
HALLUCMFU,int64,58633,19,0,0.0,0.032
HALLUCREC,int64,58633,11,0,0.0,0.019
HALLUCYFQ,int64,58633,75,0,0.0,0.128
HALTOTFG,int64,58633,2,0,0.0,0.003
HALFQFLG,int64,58633,2,0,0.0,0.003
HALLEASWY,int64,58633,10,0,0.0,0.017
HALLDYSYR,int64,58633,41,0,0.0,0.07
HALLDYPMO,int64,58633,26,0,0.0,0.044
HALLDYPWK,int64,58633,14,0,0.0,0.024
HALLUC30N,int64,58633,24,0,0.0,0.041
HALLUC30E,int64,58633,6,0,0.0,0.01
LSDAGE,int64,58633,56,0,0.0,0.096
LSDYFU,int64,58633,10,0,0.0,0.017
LSDMFU,int64,58633,19,0,0.0,0.032
LSDREC,int64,58633,10,0,0.0,0.017
PCPAGE,int64,58633,43,0,0.0,0.073
PCPYFU,int64,58633,10,0,0.0,0.017
PCPMFU,int64,58633,13,0,0.0,0.022
PCPREC,int64,58633,10,0,0.0,0.017
PSILCYREC,int64,58633,10,0,0.0,0.017
ECSTMOAGE,int64,58633,58,0,0.0,0.099
ECSTMOYFU,int64,58633,10,0,0.0,0.017
ECSTMOMFU,int64,58633,19,0,0.0,0.032
ECSTMOREC,int64,58633,9,0,0.0,0.015
