variable,etiqueta_codebook,modulo,tipo_version,codigo_doc,etiqueta_codigo,tipo_codigo_doc,codigo_especial,frecuencia_codebook,pct_codebook
AALTMDE,RC-ADULT: SAW/TALK TO ALT SERV PROF ABT DEPRS FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable,True,49351,84.17
AALTMDE,RC-ADULT: SAW/TALK TO ALT SERV PROF ABT DEPRS FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,0,No (See comment above),Categoría analítica,False,8727,14.88
AALTMDE,RC-ADULT: SAW/TALK TO ALT SERV PROF ABT DEPRS FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,1,Yes (See comment above),Categoría analítica,False,555,0.95
ACOUNMDE,RC-ADULT: SAW/TALK TO COUNSELOR ABT DEPRESSVE FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable,True,49351,84.17
ACOUNMDE,RC-ADULT: SAW/TALK TO COUNSELOR ABT DEPRESSVE FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,0,No (ADSEEDOC=2 or ADCOUNS=6),Categoría analítica,False,7688,13.11
ACOUNMDE,RC-ADULT: SAW/TALK TO COUNSELOR ABT DEPRESSVE FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,1,"Yes (ADCOUNS=1,3)",Categoría analítica,False,1594,2.72
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,800,1.36
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,973,1.66
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,22,0.04
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,6,0.01
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92
