variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
SOLVENT3,"EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",INHALANTS,Original u otra,99.962,Excluir de variables de entrada
LGAS3,"EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",INHALANTS,Original u otra,99.968,Excluir de variables de entrada
NITOXID3,EVER INHALED NITROUS OXIDE OR 'WHIPPITS',INHALANTS,Original u otra,99.934,Excluir de variables de entrada
FELTMARKR3,EVER INHALED FELT-TIP PENS/MARKERS,INHALANTS,Original u otra,99.939,Excluir de variables de entrada
SPPAINT3,EVER INHALED SPRAY PAINTS,INHALANTS,Original u otra,99.966,Excluir de variables de entrada
AIRDUSTER3,EVER INHALED COMPUTER KEYBOARD CLEANER/AIR DUSTER,INHALANTS,Original u otra,99.97,Excluir de variables de entrada
OTHAEROS3,EVER INHALED OTHER AEROSOL SPRAYS,INHALANTS,Original u otra,99.956,Excluir de variables de entrada
INHALOTH2,EVER USED OTHER INHALANTS,INHALANTS,Original u otra,99.943,Excluir de variables de entrada
INHALEVER2,EVER USED INHALANTS,INHALANTS,Original u otra,99.856,Excluir de variables de entrada
INHALAGE2,AGE WHEN FIRST USED INHALANTS,INHALANTS,Original u otra,99.355,Excluir de variables de entrada
INHALYFU2,YEAR OF FIRST INHALANT USE - RECODE,INHALANTS,Original u otra,89.122,Excluir de variables de entrada
INHALMFU2,MONTH OF FIRST INHALANT USE - RECODE,INHALANTS,Original u otra,89.103,Excluir de variables de entrada
INHALREC2,TIME SINCE LAST USED INHALANTS,INHALANTS,Original u otra,99.856,Excluir de variables de entrada
INHALYFQ2,TOTAL # OF DAYS USED INHALANT PAST 12 MONTHS,INHALANTS,Original u otra,99.729,Excluir de variables de entrada
INHTOTFG2,TRIMMING INDICATOR FOR INHALYFQ,INHALANTS,Original u otra,0.004,Excluir de variables de entrada
INHFQFLG2,TRIMMED INHALYFQ IF R USED < 12 MOS,INHALANTS,Original u otra,0.049,Excluir de variables de entrada
INHEASWY2,EASIEST WAY TO TELL US # DAYS USED INHALANTS,INHALANTS,Original u otra,99.736,Excluir de variables de entrada
INHDYSYR2,# DAYS USED INHALANT PAST 12 MONTHS,INHALANTS,Original u otra,99.315,Excluir de variables de entrada
INHDYPMO2,# DAYS PER MONTH USED INHALANT PAST 12 MONTHS,INHALANTS,Original u otra,98.782,Excluir de variables de entrada
INHDYPWK2,# DAYS PER WEEK USED INHALANT PAST 12 MONTHS,INHALANTS,Original u otra,98.746,Excluir de variables de entrada
INHAL30N2,# DAYS USED INHALANT PAST 30 DAYS,INHALANTS,Original u otra,99.74,Excluir de variables de entrada
INHAL30ES2,BEST ESTIMATE # DAYS USED INHALANTS PAST 30 DAYS,INHALANTS,Original u otra,99.288,Excluir de variables de entrada
METHAMEVR,EVER USED METHAMPHETAMINE,METHAMPHETAMINE,Original u otra,99.928,Excluir de variables de entrada
METHAMAGE,AGE 1ST USED METHAMPHETAMINE,METHAMPHETAMINE,Original u otra,99.89,Excluir de variables de entrada
METHAMYFU,YEAR 1ST USED METHAMPHETAMINE,METHAMPHETAMINE,Original u otra,94.531,Excluir de variables de entrada
METHAMMFU,MONTH 1ST USED METHAMPHETAMINE,METHAMPHETAMINE,Original u otra,94.526,Excluir de variables de entrada
METHAMREC,TIME SINCE LAST USED METHAMPHETAMINE,METHAMPHETAMINE,Original u otra,99.928,Excluir de variables de entrada
METHAMYFQ,TOTAL # DAYS USED METHAMPHETAMINE PAST 12 MONTHS,METHAMPHETAMINE,Original u otra,99.86,Excluir de variables de entrada
METOTFG,TRIMMING INDICATOR FOR METHAMYFQ,METHAMPHETAMINE,Original u otra,0.042,Excluir de variables de entrada
MEFQFLG,TRIMMED METHAMYFQ IF R USED < 12 MOS,METHAMPHETAMINE,Original u otra,0.03,Excluir de variables de entrada
METHEASWY,EASIEST WAY TO TELL # DAYS USED METHAMPHETAMINE,METHAMPHETAMINE,Original u otra,99.865,Excluir de variables de entrada
METHDYSYR,# DAYS USED METHAMPHETAMINE PAST 12 MONTHS,METHAMPHETAMINE,Original u otra,99.14,Excluir de variables de entrada
METHDYPMO,# DAYS PER MO USED METHAMPHETAMINE PAST 12 MONTHS,METHAMPHETAMINE,Original u otra,99.049,Excluir de variables de entrada
METHDYPWK,# DAYS PER WK USED METHAMPHETAMINE PAST 12 MONTHS,METHAMPHETAMINE,Original u otra,99.256,Excluir de variables de entrada
METHAM30N,# DAYS USED METHAMPHETAMINE PAST 30 DAYS,METHAMPHETAMINE,Original u otra,99.869,Excluir de variables de entrada
METHAM30E,BEST ESTIMATE # DAYS USED METH PAST 30 DAYS,METHAMPHETAMINE,Original u otra,99.228,Excluir de variables de entrada
OXCNANYYR2,ANY OXYCONTIN USE PAST 12 MOS,PAIN RELIEVERS SCREENER,Original u otra,99.619,Excluir de variables de entrada
PNRANYLIF2,ANY PAIN RELIEVER USE IN LIFETIME,PAIN RELIEVERS SCREENER,Original u otra,76.097,Excluir de variables de entrada
PNRANYREC2,RC - MOST RECENT ANY PAIN RELIEVER USE (RECODE),PAIN RELIEVERS SCREENER,Original u otra,99.795,Excluir de variables de entrada
FENTANYYR2,RC-FENTANYL PRODUCTS - ANY PAST YEAR USE,PAIN RELIEVERS SCREENER,Original u otra,99.808,Excluir de variables de entrada
PNRNMLIF,EVER USED PAIN RELIEVER NOT DIRECTED BY DR,PAIN RELIEVERS,Original u otra,96.068,Excluir de variables de entrada
OXCNNMYR,USED OXYCONTIN NOT DIRECTED BY DR PAST 12 MOS,PAIN RELIEVERS,Original u otra,99.867,Excluir de variables de entrada
OXCNNMAGE,AGE 1ST USED OXYCONTIN NOT DIRECTED BY DR,PAIN RELIEVERS,Original u otra,99.86,Excluir de variables de entrada
OXCNNMYFU,YEAR 1ST USED OXYCONTIN NOT DIRECTED BY DR,PAIN RELIEVERS,Original u otra,99.537,Excluir de variables de entrada
OXCNNMMFU,MONTH 1ST USED OXYCONTIN NOT DIRECTED BY DR,PAIN RELIEVERS,Original u otra,99.537,Excluir de variables de entrada
PNRNMREC,RC - MOST RECENT PAIN RELIEVER MISUSE (RECODE),PAIN RELIEVERS,Original u otra,99.693,Excluir de variables de entrada
PNRNMINIT,PAST YEAR INITIATE FOR ANY PAIN RELIEVER MISUSE,PAIN RELIEVERS,Original u otra,99.011,Excluir de variables de entrada
PNRNMAGE,RC - AGE AT 1ST MISUSE FOR PAST YR PNRLV INITIATES,PAIN RELIEVERS,Original u otra,99.465,Excluir de variables de entrada
PNRNMYFU,RC - YR 1ST MISUSED FOR PAST YR PAIN RLVR INITIATES,PAIN RELIEVERS,Original u otra,98.858,Excluir de variables de entrada
PNRNMMFU,RC - MO 1ST MISUSED FOR PAST YR PAIN RLVR INITIATES,PAIN RELIEVERS,Original u otra,98.848,Excluir de variables de entrada
PNRNM30D,USED PAIN RLVR NOT DIRECTED BY DR PAST 30 DAYS,PAIN RELIEVERS,Original u otra,99.548,Excluir de variables de entrada
PNRNM30FQ,# DAYS USED PAIN RLVR NOT DIRECTD BY DR PST 30 DYS,PAIN RELIEVERS,Original u otra,99.586,Excluir de variables de entrada
PNRNM30ES,EST # DAYS USED PAIN RLVR NOT DIRECTED PST 30 DYS,PAIN RELIEVERS,Original u otra,98.797,Excluir de variables de entrada
PNRNM30AL,USED PAIN RLVR NOT DIRECTED BY DR W/ALC PST 30 DYS,PAIN RELIEVERS,Original u otra,99.249,Excluir de variables de entrada
PNRWYNORX,USED PAIN RLVR W/O OWN RX PAST 12 MONTHS,PAIN RELIEVERS,Original u otra,99.338,Excluir de variables de entrada
PNRWYGAMT,USED PAIN RLVR IN GREATER AMTS THAN RX PST 12 MOS,PAIN RELIEVERS,Original u otra,99.34,Excluir de variables de entrada
PNRWYOFTN,USED PAIN RLVR MORE OFTEN THAN RX PAST 12 MONTHS,PAIN RELIEVERS,Original u otra,99.304,Excluir de variables de entrada
PNRWYLNGR,USED PAIN RLVR LONGER THAN RX PAST 12 MONTHS,PAIN RELIEVERS,Original u otra,99.34,Excluir de variables de entrada
PNRWYOTWY,USED PAIN RLVR OTHER WAY NOT DIRECTED PST 12 MOS,PAIN RELIEVERS,Original u otra,99.338,Excluir de variables de entrada
PNRNMLAS1,LAST PAIN RLVR USED NOT DIRECTED BY DR PST 12 MOS,PAIN RELIEVERS,Original u otra,99.37,Excluir de variables de entrada
PNRRSPAIN,USED LAST PAIN RLVR (NOT DIRECTED) TO RLV PAIN,PAIN RELIEVERS,Original u otra,99.524,Excluir de variables de entrada
PNRRSRELX,USED LAST PAIN RLVR (NOT DIRECTED) TO RELAX,PAIN RELIEVERS,Original u otra,99.539,Excluir de variables de entrada
PNRRSEXPT,USED LAST PAIN RLVR (NOT DIRECTED) TO EXPERIMENT,PAIN RELIEVERS,Original u otra,99.541,Excluir de variables de entrada
PNRRSHIGH,USED LAST PAIN RLVR (NOT DIRECTED) TO GET HIGH,PAIN RELIEVERS,Original u otra,99.533,Excluir de variables de entrada
PNRRSSLEP,USED LAST PAIN RLVR (NOT DIRECTED) FOR SLEEP,PAIN RELIEVERS,Original u otra,99.541,Excluir de variables de entrada
PNRRSEMOT,USED LAST PAIN RLVR (NOT DIRECTED) FOR EMOTIONS,PAIN RELIEVERS,Original u otra,99.541,Excluir de variables de entrada
PNRRSDGFX,USED LAST PAIN RLVR (NOT DIRECTED) OTH DRUG EFFECT,PAIN RELIEVERS,Original u otra,99.539,Excluir de variables de entrada
PNRRSHOOK,USED LAST PAIN RLVR (NOT DIRECTED) BECAUSE HOOKED,PAIN RELIEVERS,Original u otra,99.541,Excluir de variables de entrada
PNRRSSOR,USED LAST PAIN RLVR (NOT DIRECTED) OTHER REASON,PAIN RELIEVERS,Original u otra,99.541,Excluir de variables de entrada
PNRRSOTRS2,REASON USED LAST PAIN RLVR (NOT DIRECTED),PAIN RELIEVERS,Original u otra,96.687,Excluir de variables de entrada
PNRRSMAIN,MAIN REASON USED LAST PAIN RLVR (NOT DIRECTED),PAIN RELIEVERS,Original u otra,97.548,Excluir de variables de entrada
PNRNORXFG,ONLY PST YR MISUSE W/O RX BUT RX FOR LAST PNR,PAIN RELIEVERS,Original u otra,0.211,Excluir de variables de entrada
FENTNMYR,RC-FENTANYL PRODUCTS - PAST YEAR MISUSE,PAIN RELIEVERS,Original u otra,99.96,Excluir de variables de entrada
TRQANYLIF,ANY TRANQUILIZER USE IN LIFETIME,TRANQUILIZERS SCREENER,Original u otra,88.602,Excluir de variables de entrada
TRQANYREC,RC - MOST RECENT ANY TRANQUILIZER USE (RECODE),TRANQUILIZERS SCREENER,Original u otra,99.712,Excluir de variables de entrada
TRBZOANYYR,RC - BENZODIAZEPINES TRANQUILIZERS - ANY PAST YEAR USE,TRANQUILIZERS SCREENER,Original u otra,99.712,Excluir de variables de entrada
TRQNMLIF,EVER USED TRANQUILIZER NOT DIRECTED BY DR,TRANQUILIZERS,Original u otra,97.822,Excluir de variables de entrada
TRQNMREC,RC - MOST RECENT TRANQUILIZER MISUSE (RECODE),TRANQUILIZERS,Original u otra,99.672,Excluir de variables de entrada
TRQNMINIT,PAST YEAR INITIATE FOR ANY TRANQUILIZER MISUSE,TRANQUILIZERS,Original u otra,99.414,Excluir de variables de entrada
TRQNMAGE,RC - AGE AT 1ST MISUSE FOR PAST YR TRANQ INITIATES,TRANQUILIZERS,Original u otra,99.624,Excluir de variables de entrada
TRQNMYFU,RC - YR 1ST MISUSED FOR PAST YR TRANQ INITIATES,TRANQUILIZERS,Original u otra,99.381,Excluir de variables de entrada
TRQNMMFU,RC - MO 1ST MISUSED FOR PAST YR TRANQ INITIATES,TRANQUILIZERS,Original u otra,99.376,Excluir de variables de entrada
TRQNM30D,USED TRANQ NOT DIRECTED BY DR PAST 30 DAYS,TRANQUILIZERS,Original u otra,99.634,Excluir de variables de entrada
TRQNM30FQ,# DAYS USED TRANQ NOT DIRECTD BY DR PST 30 DYS,TRANQUILIZERS,Original u otra,99.649,Excluir de variables de entrada
TRQNM30ES,EST # DAYS USED TRANQ NOT DIRECTED PST 30 DYS,TRANQUILIZERS,Original u otra,99.188,Excluir de variables de entrada
TRQNM30AL,USED TRANQ NOT DIRECTED BY DR W/ALC PST 30 DYS,TRANQUILIZERS,Original u otra,99.51,Excluir de variables de entrada
TRQWYNORX,USED TRANQ W/O OWN RX PAST 12 MONTHS,TRANQUILIZERS,Original u otra,99.577,Excluir de variables de entrada
TRQWYGAMT,USED TRANQ IN GREATER AMTS THAN RX PST 12 MOS,TRANQUILIZERS,Original u otra,99.577,Excluir de variables de entrada
TRQWYOFTN,USED TRANQ MORE OFTEN THAN RX PAST 12 MONTHS,TRANQUILIZERS,Original u otra,99.577,Excluir de variables de entrada
TRQWYLNGR,USED TRANQ LONGER THAN RX PAST 12 MONTHS,TRANQUILIZERS,Original u otra,99.577,Excluir de variables de entrada
TRQWYOTWY,USED TRANQ OTHER WAY NOT DIRECTED PST 12 MOS,TRANQUILIZERS,Original u otra,99.577,Excluir de variables de entrada
TRQNMLAS1,LAST TRANQ USED NOT DIRECTED BY DR PST 12 MOS,TRANQUILIZERS,Original u otra,99.653,Excluir de variables de entrada
TRQRSRELX,USED LAST TRANQ (NOT DIRECTED) TO RELAX,TRANQUILIZERS,Original u otra,99.624,Excluir de variables de entrada
TRQRSEXPT,USED LAST TRANQ (NOT DIRECTED) TO EXPERIMENT,TRANQUILIZERS,Original u otra,99.63,Excluir de variables de entrada
TRQRSHIGH,USED LAST TRANQ (NOT DIRECTED) TO GET HIGH,TRANQUILIZERS,Original u otra,99.63,Excluir de variables de entrada
TRQRSSLEP,USED LAST TRANQ (NOT DIRECTED) FOR SLEEP,TRANQUILIZERS,Original u otra,99.632,Excluir de variables de entrada
TRQRSEMOT,USED LAST TRANQ (NOT DIRECTED) FOR EMOTIONS,TRANQUILIZERS,Original u otra,99.634,Excluir de variables de entrada
TRQRSDGFX,USED LAST TRANQ (NOT DIRECTED) OTH DRUG EFFECT,TRANQUILIZERS,Original u otra,99.634,Excluir de variables de entrada
TRQRSHOOK,USED LAST TRANQ (NOT DIRECTED) BECAUSE HOOKED,TRANQUILIZERS,Original u otra,99.634,Excluir de variables de entrada
TRQRSSOR,USED LAST TRANQ (NOT DIRECTED) OTHER REASON,TRANQUILIZERS,Original u otra,99.634,Excluir de variables de entrada
TRQRSOTRS2,REASON USED LAST TRANQ (NOT DIRECTED),TRANQUILIZERS,Original u otra,98.161,Excluir de variables de entrada
TRQRSMAIN,MAIN REASON USED LAST TRANQ (NOT DIRECTED),TRANQUILIZERS,Original u otra,98.738,Excluir de variables de entrada
TRQNORXFG,ONLY PST YR MISUSE W/O RX BUT RX FOR LAST TRANQ,TRANQUILIZERS,Original u otra,0.057,Excluir de variables de entrada
TRBZONMYR,RC - BENZODIAZEPINES TRANQUILIZERS - PAST YEAR MISUSE,TRANQUILIZERS,Original u otra,99.71,Excluir de variables de entrada
STMANYLIF,ANY STIMULANT USE IN LIFETIME,STIMULANTS SCREENER,Original u otra,90.793,Excluir de variables de entrada
STMANYREC,RC - MOST RECENT ANY STIMULANT USE (RECODE),STIMULANTS SCREENER,Original u otra,99.594,Excluir de variables de entrada
STMNMLIF,EVER USED STIMULANT NOT DIRECTED BY DR,STIMULANTS,Original u otra,97.626,Excluir de variables de entrada
STMNMREC,RC - MOST RECENT STIMULANT MISUSE (RECODE),STIMULANTS,Original u otra,99.567,Excluir de variables de entrada
STMNMINIT,PAST YEAR INITIATE FOR ANY STIMULANT MISUSE,STIMULANTS,Original u otra,99.416,Excluir de variables de entrada
STMNMAGE,RC - AGE 1ST MISUSED FOR PAST YR STIM INITIATES,STIMULANTS,Original u otra,99.554,Excluir de variables de entrada
STMNMYFU,RC - YR 1ST MISUSED FOR PAST YR STIM INITIATES,STIMULANTS,Original u otra,99.402,Excluir de variables de entrada
STMNMMFU,RC - MONTH 1ST MISUSED FOR PAST YR STIM INITIATES,STIMULANTS,Original u otra,99.387,Excluir de variables de entrada
STMNM30D,USED STIMULANT NOT DIRECTED BY DR PAST 30 DAYS,STIMULANTS,Original u otra,99.535,Excluir de variables de entrada
STMNM30FQ,# DAYS USED STIMULANT NOT DIRECTD BY DR PST 30 DYS,STIMULANTS,Original u otra,99.554,Excluir de variables de entrada
STMNM30ES,EST # DAYS USED STIMULANT NOT DIRECTED PST 30 DYS,STIMULANTS,Original u otra,99.046,Excluir de variables de entrada
STMNM30AL,USED STIMULANT NOT DIRECTED BY DR W/ALC PST 30 DYS,STIMULANTS,Original u otra,99.429,Excluir de variables de entrada
STMWYNORX,USED STIMULANT W/O OWN RX PAST 12 MONTHS,STIMULANTS,Original u otra,99.522,Excluir de variables de entrada
STMWYGAMT,USED STIMULANT IN GREATER AMTS THAN RX PST 12 MOS,STIMULANTS,Original u otra,99.522,Excluir de variables de entrada
STMWYOFTN,USED STIMULANT MORE OFTEN THAN RX PAST 12 MONTHS,STIMULANTS,Original u otra,99.52,Excluir de variables de entrada
STMWYLNGR,USED STIMULANT LONGER THAN RX PAST 12 MONTHS,STIMULANTS,Original u otra,99.522,Excluir de variables de entrada
STMWYOTWY,USED STIMULANT OTHER WAY NOT DIRECTED PST 12 MOS,STIMULANTS,Original u otra,99.522,Excluir de variables de entrada
STMNDLYR,USED STIMULANT WITH A NEEDLE PAST 12 MONTHS,STIMULANTS,Original u otra,99.56,Excluir de variables de entrada
STMNDLREC,TIME SINCE LAST USED NEEDLE TO INJECT STIMULANT,STIMULANTS,Original u otra,97.801,Excluir de variables de entrada
STMNMLAS1,LAST STIMULANT USED NOT DIRECTED BY DR PST 12 MOS,STIMULANTS,Original u otra,99.552,Excluir de variables de entrada
STMRSWGHT,USED LAST STIMULANT (NOT DIRECTED) TO LOSE WEIGHT,STIMULANTS,Original u otra,99.554,Excluir de variables de entrada
STMRSCONC,USED LAST STIMULANT (NOT DIRECTED) TO CONCENTRATE,STIMULANTS,Original u otra,99.55,Excluir de variables de entrada
STMRSALRT,USED LAST STIMULANT (NOT DIRECTED) TO BE ALERT,STIMULANTS,Original u otra,99.554,Excluir de variables de entrada
STMRSSTDY,USED LAST STIMULANT (NOT DIRECTED) TO STUDY,STIMULANTS,Original u otra,99.554,Excluir de variables de entrada
STMRSEXPT,USED LAST STIMULANT (NOT DIRECTED) TO EXPERIMENT,STIMULANTS,Original u otra,99.552,Excluir de variables de entrada
STMRSHIGH,USED LAST STIMULANT (NOT DIRECTED) TO GET HIGH,STIMULANTS,Original u otra,99.552,Excluir de variables de entrada
STMRSDGFX,USED LAST STIMULANT (NOT DIRECTED) OTH DRUG EFFECT,STIMULANTS,Original u otra,99.55,Excluir de variables de entrada
STMRSHOOK,USED LAST STIMULANT (NOT DIRECTED) BECAUSE HOOKED,STIMULANTS,Original u otra,99.554,Excluir de variables de entrada
STMRSSOR,USED LAST STIMULANT (NOT DIRECTED) OTHER REASON,STIMULANTS,Original u otra,99.554,Excluir de variables de entrada
STMRSOTRS2,REASON USED LAST STIMULANT (NOT DIRECTED),STIMULANTS,Original u otra,97.86,Excluir de variables de entrada
STMRSMAIN,MAIN REASON USED LAST STIMULANT (NOT DIRECTED),STIMULANTS,Original u otra,98.677,Excluir de variables de entrada
STMNORXFG,ONLY PST YR MISUSE W/O RX BUT RX FOR LAST STIM,STIMULANTS,Original u otra,0.038,Excluir de variables de entrada
SEDANYLIF,ANY SEDATIVE USE IN LIFETIME,SEDATIVES SCREENER,Original u otra,95.127,Excluir de variables de entrada
SEDANYREC,RC - MOST RECENT ANY SEDATIVE USE (RECODE),SEDATIVES SCREENER,Original u otra,99.501,Excluir de variables de entrada
SVBZOANYYR,RC - BENZODIAZEPINES SEDATIVES - ANY PAST YEAR USE,SEDATIVES SCREENER,Original u otra,99.529,Excluir de variables de entrada
SEDNMLIF,EVER USED SEDATIVE NOT DIRECTED BY DR,SEDATIVES,Original u otra,98.93,Excluir de variables de entrada
SEDNMREC,RC - MOST RECENT SEDATIVE MISUSE (RECODE),SEDATIVES,Original u otra,99.484,Excluir de variables de entrada
SEDNMINIT,PAST YEAR INITIATE FOR ANY SEDATIVE MISUSE,SEDATIVES,Original u otra,99.239,Excluir de variables de entrada
SEDNMAGE,RC - AGE AT 1ST MISUSE FOR PAST YR SED INITIATES,SEDATIVES,Original u otra,99.469,Excluir de variables de entrada
SEDNMYFU,RC - YR 1ST MISUSED FOR PAST YR SED INITIATES,SEDATIVES,Original u otra,99.233,Excluir de variables de entrada
SEDNMMFU,RC - MO 1ST MISUSED FOR PAST YR SED INITIATES,SEDATIVES,Original u otra,99.23,Excluir de variables de entrada
SEDNM30D,USED SEDATIVE NOT DIRECTED BY DR PAST 30 DAYS,SEDATIVES,Original u otra,99.469,Excluir de variables de entrada
SEDNM30FQ,# DAYS USED SEDATIVE NOT DIRECTD BY DR PST 30 DYS,SEDATIVES,Original u otra,99.474,Excluir de variables de entrada
SEDNM30ES,EST # DAYS USED SEDATIVE NOT DIRECTED PST 30 DYS,SEDATIVES,Original u otra,99.37,Excluir de variables de entrada
SEDNM30AL,USED SEDATIVE NOT DIRECTED BY DR W/ALC PST 30 DYS,SEDATIVES,Original u otra,99.433,Excluir de variables de entrada
SEDWYNORX,USED SEDATIVE W/O OWN RX PAST 12 MONTHS,SEDATIVES,Original u otra,99.465,Excluir de variables de entrada
SEDWYGAMT,USED SEDATIVE IN GREATER AMTS THAN RX PST 12 MOS,SEDATIVES,Original u otra,99.465,Excluir de variables de entrada
SEDWYOFTN,USED SEDATIVE MORE OFTEN THAN RX PAST 12 MONTHS,SEDATIVES,Original u otra,99.457,Excluir de variables de entrada
SEDWYLNGR,USED SEDATIVE LONGER THAN RX PAST 12 MONTHS,SEDATIVES,Original u otra,99.465,Excluir de variables de entrada
SEDWYOTWY,USED SEDATIVE OTHER WAY NOT DIRECTED PST 12 MOS,SEDATIVES,Original u otra,99.465,Excluir de variables de entrada
SEDNMLAST,LAST SEDATIVE USED NOT DIRECTED BY DR PST 12 MOS,SEDATIVES,Original u otra,99.476,Excluir de variables de entrada
SEDRSRELX,USED LAST SEDATIVE (NOT DIRECTED) TO RELAX,SEDATIVES,Original u otra,99.474,Excluir de variables de entrada
SEDRSEXPT,USED LAST SEDATIVE (NOT DIRECTED) TO EXPERIMENT,SEDATIVES,Original u otra,99.474,Excluir de variables de entrada
SEDRSHIGH,USED LAST SEDATIVE (NOT DIRECTED) TO GET HIGH,SEDATIVES,Original u otra,99.474,Excluir de variables de entrada
SEDRSSLEP,USED LAST SEDATIVE (NOT DIRECTED) FOR SLEEP,SEDATIVES,Original u otra,99.471,Excluir de variables de entrada
SEDRSEMOT,USED LAST SEDATIVE (NOT DIRECTED) FOR EMOTIONS,SEDATIVES,Original u otra,99.474,Excluir de variables de entrada
SEDRSDGFX,USED LAST SEDATIVE (NOT DIRECTED) OTH DRUG EFFECT,SEDATIVES,Original u otra,99.474,Excluir de variables de entrada
SEDRSHOOK,USED LAST SEDATIVE (NOT DIRECTED) BECAUSE HOOKED,SEDATIVES,Original u otra,99.474,Excluir de variables de entrada
SEDRSSOR,USED LAST SEDATIVE (NOT DIRECTED) OTHER REASON,SEDATIVES,Original u otra,99.474,Excluir de variables de entrada
SEDRSOTRS2,REASON USED LAST SEDATIVE (NOT DIRECTED),SEDATIVES,Original u otra,99.163,Excluir de variables de entrada
SEDRSMAIN,MAIN REASON USED LAST SEDATIVE (NOT DIRECTED),SEDATIVES,Original u otra,99.252,Excluir de variables de entrada
SEDNORXFG,ONLY PST YR MISUSE W/O RX BUT RX FOR LAST SED,SEDATIVES,Original u otra,0.017,Excluir de variables de entrada
SVBZONMYR,RC - BENZODIAZEPINES SEDATIVES - PAST YEAR MISUSE,SEDATIVES,Original u otra,99.537,Excluir de variables de entrada
IRCIGRC,CIGARETTE RECENCY - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IICIGRC,CIGARETTE RECENCY - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,99.998,Excluir de variables de entrada
II2CIGRC,CIGARETTE RECENCY - DETAILED IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,99.998,Excluir de variables de entrada
IRCGRRC,CIGAR RECENCY - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IICGRRC,CIGAR RECENCY - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
II2CGRRC,CIGAR RECENCY - DETAILED IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IRPIPLF,LIFETIME PIPE USE - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IIPIPLF,LIFETIME PIPE USE - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IRPIPMN,PAST MONTH PIPE USE - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IIPIPMN,PAST MONTH PIPE USE - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,8.429,Excluir de variables de entrada
IRNICVAPREC,NICOTINE VAPING RECENCY - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IINICVAPREC,NICOTINE VAPING RECENCY - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,99.979,Excluir de variables de entrada
IRSMKLSSREC,SMOKELESS TOBACCO RECENCY - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IISMKLSSREC,SMOKELESS TOBACCO RECENCY - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,99.998,Excluir de variables de entrada
IRALCRC,ALCOHOL RECENCY - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IIALCRC,ALCOHOL RECENCY - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,99.992,Excluir de variables de entrada
II2ALCRC,ALCOHOL RECENCY - DETAILED IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,99.992,Excluir de variables de entrada
IRCBDHMPREC,CBD OR HEMP RECENCY - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IICBDHMPREC,CBD OR HEMP RECENCY - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IRMJRC,MARIJUANA RECENCY - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IIMJRC,MARIJUANA RECENCY - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,99.996,Excluir de variables de entrada
II2MJRC,MARIJUANA RECENCY - DETAILED IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,99.996,Excluir de variables de entrada
IRMJEVERVAPE,MARIJUANA VAPING LIFETIME - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IIMJEVERVAPE,MARIJUANA VAPING LIFETIME - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,40.563,Excluir de variables de entrada
IRMJYRSMOKE,MARIJUANA SMOKING PAST YEAR - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
IIMJYRSMOKE,MARIJUANA SMOKING PAST YEAR - IMPUTATION INDICATOR,RECENCY OF DRUG USE,Original u otra,27.92,Excluir de variables de entrada
IRMJYRVAPE,MARIJUANA VAPING PAST YEAR - IMPUTATION REVISED,RECENCY OF DRUG USE,Original u otra,100.0,Excluir de variables de entrada
