variable,modulo,tipo_version,tipo_variable,n_unicos,n_nan,pct_nan,pct_dominante,n_ausencia_documental,tipos_ausencia,pct_ausencia_documental
SEDNDAYPM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,5,0,0.0,99.894,0,Sin ausencia documental observada,0.0
SEDNMFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,97.932,0,Sin ausencia documental observada,0.0
SEDNMMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.894,0,Sin ausencia documental observada,0.0
SEDNMYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.683,0,Sin ausencia documental observada,0.0
SERVICE,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,5,0,0.0,94.972,4,No respuesta o ausencia,0.008
SEVYROPPRANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,98.421,0,Sin ausencia documental observada,0.0
SEVYRPNRANY2,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,98.342,0,Sin ausencia documental observada,0.0
SEVYRSEDANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.662,0,Sin ausencia documental observada,0.0
SEVYRSTMANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.055,0,Sin ausencia documental observada,0.0
SEVYRTRQANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.298,0,Sin ausencia documental observada,0.0
SEXAGE,RECODED DEMOGRAPHICS,Recodificada,Categórica con pocas categorías,3,0,0.0,70.114,0,Sin ausencia documental observada,0.0
SEXRACE,RECODED DEMOGRAPHICS,Recodificada,Categórica con pocas categorías,7,0,0.0,31.912,0,Sin ausencia documental observada,0.0
SMKAGLAST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,79,0,0.0,85.998,229,No respuesta o ausencia,0.484
SMKLSMDAYS,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,5,0,0.0,97.036,0,Sin ausencia documental observada,0.0
SMKLSSFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,86.029,0,Sin ausencia documental observada,0.0
SMKLSSMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,97.036,0,Sin ausencia documental observada,0.0
SMKLSSYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,95.799,0,Sin ausencia documental observada,0.0
SMKMOLAST,PRIOR SUBSTANCE USE,Original u otra,Categórica con número moderado de categorías,19,0,0.0,85.998,557,No respuesta o ausencia,1.178
SMKYRLAST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,85.998,530,No respuesta o ausencia,1.121
SNAFLMJTRY,SOCIAL ENVIRONMENT,Original u otra,Categórica con pocas categorías,9,0,0.0,42.804,1400,No respuesta o ausencia,2.96
SNRLDCSN,SOCIAL ENVIRONMENT,Original u otra,Categórica con pocas categorías,8,0,0.0,31.094,1596,No respuesta o ausencia,3.374
SNRLFRND,SOCIAL ENVIRONMENT,Original u otra,Categórica con pocas categorías,8,0,0.0,37.388,1608,No respuesta o ausencia,3.4
SNRLGIMP,SOCIAL ENVIRONMENT,Original u otra,Categórica con pocas categorías,8,0,0.0,30.407,1627,No respuesta o ausencia,3.44
SNYATTAK,SOCIAL ENVIRONMENT,Original u otra,Categórica con pocas categorías,9,0,0.0,96.613,1066,No respuesta o ausencia,2.254
SNYSELL,SOCIAL ENVIRONMENT,Original u otra,Categórica con pocas categorías,9,0,0.0,95.994,1069,No respuesta o ausencia,2.26
SNYSTOLE,SOCIAL ENVIRONMENT,Original u otra,Categórica con pocas categorías,9,0,0.0,96.336,1064,No respuesta o ausencia,2.25
SOLVENEVER2,RECODED DRUG USE,Recodificada,Binaria,2,6,0.013,99.404,0,Sin ausencia documental observada,0.0
SPAINTEVER2,RECODED DRUG USE,Recodificada,Binaria,2,4,0.008,99.159,0,Sin ausencia documental observada,0.0
SPEAKENGL,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,8,0,0.0,86.16,1490,No respuesta o ausencia,3.15
SRCCLFRPNR,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,3,46898,99.152,99.152,0,Sin ausencia documental observada,0.0
SRCCLFRSED,RECODED DRUG USE,Recodificada,Binaria,2,47244,99.884,99.884,0,Sin ausencia documental observada,0.0
SRCCLFRSTM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,3,46862,99.076,99.076,0,Sin ausencia documental observada,0.0
SRCCLFRTRQ,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,3,47002,99.372,99.372,0,Sin ausencia documental observada,0.0
SRCFRPNRNM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,8,46898,99.152,99.152,46898,Ausencia documental,99.152
SRCFRSEDNM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,3,47244,99.884,99.884,47244,Ausencia documental,99.884
SRCFRSTMNM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,6,46862,99.076,99.076,46862,Ausencia documental,99.076
SRCFRTRQNM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,8,47002,99.372,99.372,47002,Ausencia documental,99.372
SRCPNRNM2,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,8,45946,97.139,97.139,0,Sin ausencia documental observada,0.0
SRCSEDNM2,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,8,47156,99.698,99.698,0,Sin ausencia documental observada,0.0
SRCSTMNM2,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,8,46468,98.243,98.243,0,Sin ausencia documental observada,0.0
SRCTRQNM2,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,8,46565,98.448,98.448,0,Sin ausencia documental observada,0.0
STMANYFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,85.3,0,Sin ausencia documental observada,0.0
STMANYYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,91.262,0,Sin ausencia documental observada,0.0
STMMAINRSN,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,10,216,0.457,97.767,216,No respuesta o ausencia,0.457
STMNDAYPM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,5,0,0.0,99.48,0,Sin ausencia documental observada,0.0
STMNMFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,95.051,0,Sin ausencia documental observada,0.0
STMNMMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.48,0,Sin ausencia documental observada,0.0
STMNMYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,98.197,0,Sin ausencia documental observada,0.0
SVYRCNSANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,97.894,0,Sin ausencia documental observada,0.0
SVYRCNSMIS,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,98.425,0,Sin ausencia documental observada,0.0
SVYRCNSUNM,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.469,0,Sin ausencia documental observada,0.0
SVYRDUDANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,87.154,0,Sin ausencia documental observada,0.0
SVYROPIANY2,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,98.292,0,Sin ausencia documental observada,0.0
SVYROPIMIS,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.078,0,Sin ausencia documental observada,0.0
SVYROPIUNM,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.214,0,Sin ausencia documental observada,0.0
SVYRPSYANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,97.078,0,Sin ausencia documental observada,0.0
SVYRSUDANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,78.976,0,Sin ausencia documental observada,0.0
SVYRTQSDANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.072,0,Sin ausencia documental observada,0.0
SVYRTQSDMIS,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.607,0,Sin ausencia documental observada,0.0
SVYRTQSDUNM,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,99.465,0,Sin ausencia documental observada,0.0
SYNMRJEVR,EMERGING ISSUES,Original u otra,Categórica con pocas categorías,6,0,0.0,93.812,1500,No respuesta o ausencia,3.171
SYNMRJFLAG,RECODED EMERGING ISSUES,Recodificada,Binaria,2,0,0.0,96.871,0,Sin ausencia documental observada,0.0
SYNMRJMON,RECODED EMERGING ISSUES,Recodificada,Binaria,2,0,0.0,99.86,0,Sin ausencia documental observada,0.0
SYNMRJREC,EMERGING ISSUES,Original u otra,Categórica con pocas categorías,7,0,0.0,93.812,1500,No respuesta o ausencia,3.171
SYNMRJYR,RECODED EMERGING ISSUES,Recodificada,Binaria,2,0,0.0,99.66,0,Sin ausencia documental observada,0.0
SYNSTMEVR,EMERGING ISSUES,Original u otra,Categórica con pocas categorías,6,0,0.0,96.556,1469,No respuesta o ausencia,3.106
SYNSTMFLAG,RECODED EMERGING ISSUES,Recodificada,Binaria,2,0,0.0,99.655,0,Sin ausencia documental observada,0.0
SYNSTMMON,RECODED EMERGING ISSUES,Recodificada,Binaria,2,0,0.0,99.958,0,Sin ausencia documental observada,0.0
SYNSTMREC,EMERGING ISSUES,Original u otra,Categórica con pocas categorías,7,0,0.0,96.556,1469,No respuesta o ausencia,3.106
SYNSTMYR,RECODED EMERGING ISSUES,Recodificada,Binaria,2,0,0.0,99.918,0,Sin ausencia documental observada,0.0
TELEAPTYR,HEALTH,Original u otra,Categórica con pocas categorías,6,0,0.0,72.634,1017,No respuesta o ausencia,2.15
TELEAPTYR2,RECODED HEALTH,Recodificada,Binaria,2,1027,2.171,72.634,0,Sin ausencia documental observada,0.0
TOBALCFLG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,85.298,0,Sin ausencia documental observada,0.0
TOBALCMN,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,57.754,0,Sin ausencia documental observada,0.0
TOBALCYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,72.511,0,Sin ausencia documental observada,0.0
TOBCIGONL,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,4,0,0.0,82.027,0,Sin ausencia documental observada,0.0
TOBCIGVAP2,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,4,0,0.0,93.907,0,Sin ausencia documental observada,0.0
TOBFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,57.58,0,Sin ausencia documental observada,0.0
TOBMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,82.027,0,Sin ausencia documental observada,0.0
TOBVAPONL2,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,4,0,0.0,73.807,0,Sin ausencia documental observada,0.0
TOBVNICFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,63.431,0,Sin ausencia documental observada,0.0
TOBVNICMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,73.807,0,Sin ausencia documental observada,0.0
TOBVNICYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,67.5,0,Sin ausencia documental observada,0.0
TOBYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,75.887,0,Sin ausencia documental observada,0.0
TQSDANYFLG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,76.951,0,Sin ausencia documental observada,0.0
TQSDANYYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,86.672,0,Sin ausencia documental observada,0.0
TQSDNMFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,95.165,0,Sin ausencia documental observada,0.0
TQSDNMMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.44,0,Sin ausencia documental observada,0.0
TQSDNMYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,98.152,0,Sin ausencia documental observada,0.0
TRQANYFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,80.921,0,Sin ausencia documental observada,0.0
TRQANYYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,89.038,0,Sin ausencia documental observada,0.0
TRQMAINRSN,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,9,181,0.383,98.051,181,No respuesta o ausencia,0.383
TRQNDAYPM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,5,0,0.0,99.522,0,Sin ausencia documental observada,0.0
TRQNMFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,95.962,0,Sin ausencia documental observada,0.0
TRQNMMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.522,0,Sin ausencia documental observada,0.0
TRQNMYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,98.374,0,Sin ausencia documental observada,0.0
UADBAR,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Binaria,2,46015,97.285,97.285,0,Sin ausencia documental observada,0.0
UADBUND,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,3,112,0.237,99.721,0,Sin ausencia documental observada,0.0
UADBWHO,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,3,112,0.237,99.321,0,Sin ausencia documental observada,0.0
UADCAG,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,5,119,0.252,99.266,0,Sin ausencia documental observada,0.0
UADCAR,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Binaria,2,46015,97.285,97.285,0,Sin ausencia documental observada,0.0
UADEVNT,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Binaria,2,46015,97.285,97.285,0,Sin ausencia documental observada,0.0
UADFRD,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,3,151,0.319,98.002,151,No respuesta o ausencia,0.319
UADFWHO,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,8,151,0.319,98.002,151,No respuesta o ausencia,0.319
UADHOME,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Binaria,2,46015,97.285,97.285,0,Sin ausencia documental observada,0.0
UADMONY,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,3,112,0.237,98.824,0,Sin ausencia documental observada,0.0
UADOTHM,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Binaria,2,46015,97.285,97.285,0,Sin ausencia documental observada,0.0
UADOTSP2,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,6,125,0.264,99.651,125,No respuesta o ausencia,0.264
UADPAID,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,3,108,0.228,97.055,0,Sin ausencia documental observada,0.0
UADPEOP,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,4,100,0.211,97.055,0,Sin ausencia documental observada,0.0
UADPLACE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Categórica con pocas categorías,4,115,0.243,99.364,0,Sin ausencia documental observada,0.0
UADPUBL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Binaria,2,46015,97.285,97.285,0,Sin ausencia documental observada,0.0
UADROTH,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Binaria,2,46031,97.319,97.319,46031,No respuesta o ausencia,97.319
UADSCHL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,Binaria,2,46015,97.285,97.285,0,Sin ausencia documental observada,0.0
UD5ALNILANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,91.822,0,Sin ausencia documental observada,0.0
UD5CNSANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,97.894,0,Sin ausencia documental observada,0.0
UD5CNSGRP,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,3,0,0.0,97.894,0,Sin ausencia documental observada,0.0
UD5HROPANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,4,0,0.0,98.292,0,Sin ausencia documental observada,0.0
UD5IEMANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,95.924,0,Sin ausencia documental observada,0.0
UD5ILAALANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,96.087,0,Sin ausencia documental observada,0.0
UD5ILALANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,78.976,0,Sin ausencia documental observada,0.0
UD5ILLANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,87.154,0,Sin ausencia documental observada,0.0
UD5ILNALANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,91.067,0,Sin ausencia documental observada,0.0
UD5OPIANY2,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,98.292,0,Sin ausencia documental observada,0.0
UD5OPIGRP,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,3,0,0.0,98.292,0,Sin ausencia documental observada,0.0
UD5PSYANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,97.078,0,Sin ausencia documental observada,0.0
UD5TRQSDANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,99.072,0,Sin ausencia documental observada,0.0
UD5TRQSDGRP,RECODED SUBSTANCE USE DISORDER,Recodificada,Categórica con pocas categorías,3,0,0.0,99.072,0,Sin ausencia documental observada,0.0
UDYR5OPPRANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,98.421,0,Sin ausencia documental observada,0.0
UDYR5PNRANY2,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,98.342,0,Sin ausencia documental observada,0.0
UDYR5SEDANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,99.662,0,Sin ausencia documental observada,0.0
UDYR5STMANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,99.055,0,Sin ausencia documental observada,0.0
UDYR5TRQANY,RECODED SUBSTANCE USE DISORDER,Recodificada,Binaria,2,0,0.0,99.298,0,Sin ausencia documental observada,0.0
WRK35WKUS,EMPLOYMENT,Original u otra,Categórica con pocas categorías,7,0,0.0,46.728,1952,No respuesta o ausencia,4.127
WRKDHRSWK2,EMPLOYMENT,Original u otra,Numérica con rango documentado,66,0,0.0,40.147,1988,No respuesta o ausencia,4.203
WRKDPSTWK,EMPLOYMENT,Original u otra,Categórica con pocas categorías,7,0,0.0,55.995,1788,No respuesta o ausencia,3.78
WRKDPSTYR,EMPLOYMENT,Original u otra,Categórica con pocas categorías,7,0,0.0,61.462,1808,No respuesta o ausencia,3.822
WRKEFFORT,EMPLOYMENT,Original u otra,Categórica con pocas categorías,6,0,0.0,88.725,2104,No respuesta o ausencia,4.448
WRKHADJOB,EMPLOYMENT,Original u otra,Categórica con pocas categorías,8,0,0.0,55.995,1858,No respuesta o ausencia,3.928
WRKLASTYR2,EMPLOYMENT,Original u otra,Numérica con rango documentado,46,0,0.0,61.462,2551,No respuesta o ausencia,5.393
WRKNJBPYR,EMPLOYMENT,Original u otra,Categórica con pocas categorías,7,0,0.0,52.113,1974,No respuesta o ausencia,4.173
WRKNJBWKS,EMPLOYMENT,Original u otra,Numérica con rango documentado,57,0,0.0,86.674,2125,No respuesta o ausencia,4.493
WRKNUMJOB2,EMPLOYMENT,Original u otra,Categórica con pocas categorías,9,0,0.0,49.783,2201,No respuesta o ausencia,4.653
WRKRSNJOB,EMPLOYMENT,Original u otra,Categórica con número moderado de categorías,13,0,0.0,61.462,2057,No respuesta o ausencia,4.349
WRKRSNNOT,EMPLOYMENT,Original u otra,Categórica con número moderado de categorías,11,0,0.0,90.577,1914,No respuesta o ausencia,4.047
WRKSELFEM,EMPLOYMENT,Original u otra,Categórica con pocas categorías,8,0,0.0,59.365,1916,No respuesta o ausencia,4.051
WRKSICKMO,EMPLOYMENT,Original u otra,Numérica con rango documentado,36,0,0.0,43.542,2178,No respuesta o ausencia,4.605
WRKSKIPMO,EMPLOYMENT,Original u otra,Numérica con rango documentado,34,0,0.0,52.041,2192,No respuesta o ausencia,4.634
WRKSTATWK2,EMPLOYMENT,Original u otra,Categórica con pocas categorías,10,0,0.0,43.527,1871,No respuesta o ausencia,3.956
WTANSWER,HEALTH,Original u otra,Categórica con pocas categorías,6,0,0.0,93.541,1476,No respuesta o ausencia,3.121
WTPOUND2,HEALTH,Original u otra,Numérica con rango documentado,225,0,0.0,3.951,1712,No respuesta o ausencia,3.62
