variable,modulo,tipo_version,tipo_variable,n_unicos,n_nan,pct_nan,pct_dominante,n_ausencia_documental,tipos_ausencia,pct_ausencia_documental
MRJMDAYS,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,5,0,0.0,80.537,0,Sin ausencia documental observada,0.0
MRJMLU,PRIOR SUBSTANCE USE,Original u otra,Categórica con número moderado de categorías,19,0,0.0,47.289,1164,No respuesta o ausencia,2.461
MRJMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,80.537,0,Sin ausencia documental observada,0.0
MRJMONVAP2,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,3,0,0.0,80.537,0,Sin ausencia documental observada,0.0
MRJYDAYS,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,6,0,0.0,71.921,0,Sin ausencia documental observada,0.0
MRJYLU,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,47.289,954,No respuesta o ausencia,2.017
MRJYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,71.921,0,Sin ausencia documental observada,0.0
MRJYRBFR,PRIOR SUBSTANCE USE,Original u otra,Categórica con pocas categorías,7,0,0.0,47.289,503,No respuesta o ausencia,1.063
MTHNEDEVER,RECODED SPECIAL DRUGS,Recodificada,Binaria,2,20,0.042,98.683,0,Sin ausencia documental observada,0.0
MXMJPNLT,SPECIAL TOPICS,Original u otra,Categórica con pocas categorías,10,0,0.0,27.235,7427,No respuesta o ausencia,15.702
NDSSDEPND,NICOTINE DEPENDENCE,Original u otra,Categórica con pocas categorías,3,130,0.275,86.139,0,Sin ausencia documental observada,0.0
NEWRACE2,RECODED DEMOGRAPHICS,Recodificada,Categórica con pocas categorías,7,0,0.0,58.058,0,Sin ausencia documental observada,0.0
NICVAPFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,65.64,0,Sin ausencia documental observada,0.0
NICVAPMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,85.687,0,Sin ausencia documental observada,0.0
NICVAPYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,80.355,0,Sin ausencia documental observada,0.0
