comprobacion,resultado
La tool utiliza el nombre predictivo definido,True
El esquema de entrada contiene el registro,True
La ejecución devuelve estado OK,True
Se obtienen las cuatro variables objetivo,True
Las probabilidades coinciden con el bridge,True
Las salidas mantienen los contratos predictivos,True
