clave_modelo,candidato,target,descripcion,criterio,umbral,recall,precision,f1,f2,balanced_accuracy,accuracy,specificity,youden,true_negatives,false_positives,false_negatives,true_positives,average_precision,roc_auc,arquitectura,clave_configuracion
multisalida_focal_adam,Red multisalida — Focal + Adam,IRAMDEYR,Episodio depresivo mayor,"Umbral 0,5",0.5,0.8492822966507177,0.33825631252977606,0.4838160136286201,0.6522138526547859,0.8214771554554836,0.7998150105708245,0.7936720142602496,0.6429543109109672,5343,1389,126,710,0.4938410944906633,0.8916041750178396,Arquitectura anterior,focal_actual
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUICTHNK,Ideación suicida,Balanced Accuracy máxima,0.477,0.7779751332149201,0.19010416666666666,0.3055458667596791,0.480684811237928,0.7557969884490018,0.7369186046511628,0.7336188436830835,0.5115939768980036,5139,1866,125,438,0.2939410711232845,0.8203219471501579,Arquitectura anterior,focal_actual
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUIPLANYR,Planificación suicida,Balanced Accuracy máxima,0.49,0.896551724137931,0.07225567392311255,0.1337333904843549,0.2732049036777583,0.8128282018038857,0.7329545454545454,0.7291046794698404,0.6256564036077714,5391,2003,18,156,0.15257162349288464,0.8604953845771192,Arquitectura anterior,focal_actual
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUITRYYR,Intento suicida,Balanced Accuracy máxima,0.506,0.8452380952380952,0.040226628895184136,0.07679826933477554,0.16896715849595428,0.8094442747703037,0.7744450317124736,0.773650454302512,0.6188885495406073,5790,1694,13,71,0.09528993783931439,0.8713827594105521,Arquitectura anterior,focal_actual
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,"Umbral 0,5",0.5,0.9126794258373205,0.2916666666666667,0.4420625724217845,0.6401006711409396,0.8187134502923976,0.745507399577167,0.7247474747474747,0.6374269005847952,4879,1853,73,763,0.47994590426062134,0.8910091095304296,Ramas específicas de 32 neuronas,focal_ramas_32
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRSUICTHNK,Ideación suicida,"Umbral 0,5",0.5,0.7957371225577264,0.1701481200151918,0.28035043804755944,0.45854657113613106,0.7419085327278283,0.6960887949260042,0.6880799428979301,0.4838170654556566,4820,2185,115,448,0.2881288653382509,0.8146340535750282,Ramas específicas de 32 neuronas,focal_ramas_32
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRSUIPLANYR,Planificación suicida,"Umbral 0,5",0.5,0.8735632183908046,0.06637554585152838,0.12337662337662338,0.25452109845947757,0.7922049253977286,0.7145877378435518,0.7108466324046524,0.5844098507954572,5256,2138,22,152,0.1695055187347622,0.8565662901575989,Ramas específicas de 32 neuronas,focal_ramas_32
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRSUITRYYR,Intento suicida,Balanced Accuracy máxima,0.498,0.8690476190476191,0.040420819490586936,0.07724867724867726,0.17040149393090567,0.8187434781502125,0.7695560253699789,0.768439337252806,0.6374869563004251,5751,1733,11,73,0.09488647591711916,0.8762940304395408,Ramas específicas de 32 neuronas,focal_ramas_32
