estrategia_pesos,target,descripcion,epocas,mejor_epoca,loss_train_mejor,loss_validacion_mejor,pr_auc_train_mejor,pr_auc_validacion_mejor,gap_pr_auc_mejor,gap_pr_auc_final,gap_loss_mejor,gap_loss_final
bce_adam,IRAMDEYR,Episodio depresivo mayor,20,10,1.829687476158142,0.953991711139679,0.4306986033916473,0.4650067687034607,-0.03430816531181341,-0.014131098985671997,-0.8756957650184631,0.0665280818939209
bce_adam,IRSUICTHNK,Ideación suicida,20,10,1.829687476158142,0.953991711139679,0.3007101416587829,0.2814692854881286,0.019240856170654297,0.03571763634681702,-0.8756957650184631,0.0665280818939209
bce_adam,IRSUIPLANYR,Planificación suicida,20,10,1.829687476158142,0.953991711139679,0.1701416224241256,0.1574661433696746,0.012675479054450989,0.0649426877498627,-0.8756957650184631,0.0665280818939209
bce_adam,IRSUITRYYR,Intento suicida,20,10,1.829687476158142,0.953991711139679,0.1133470088243484,0.1095881313085556,0.003758877515792791,0.06498222053051002,-0.8756957650184631,0.0665280818939209
bce_adamw,IRAMDEYR,Episodio depresivo mayor,30,20,1.625630259513855,0.6553029417991638,0.463053286075592,0.4871041178703308,-0.024050831794738825,0.003443092107772827,-0.9703273177146912,0.052477121353149414
bce_adamw,IRSUICTHNK,Ideación suicida,30,20,1.625630259513855,0.6553029417991638,0.3308292031288147,0.2825628817081451,0.04826632142066961,0.057196468114852905,-0.9703273177146912,0.052477121353149414
bce_adamw,IRSUIPLANYR,Planificación suicida,30,20,1.625630259513855,0.6553029417991638,0.227006122469902,0.1414738148450851,0.08553230762481692,0.1102974712848663,-0.9703273177146912,0.052477121353149414
bce_adamw,IRSUITRYYR,Intento suicida,30,20,1.625630259513855,0.6553029417991638,0.1803574413061142,0.1073982268571853,0.0729592144489289,0.09317894279956809,-0.9703273177146912,0.052477121353149414
bce_tareas,IRAMDEYR,Episodio depresivo mayor,18,8,1.8957300186157229,1.2569959163665771,0.3642852902412414,0.4150179922580719,-0.0507327020168305,-0.02295470237731939,-0.6387341022491457,4.492444276809692
bce_tareas,IRSUICTHNK,Ideación suicida,18,8,1.8957300186157229,1.2569959163665771,0.2819628715515136,0.2725805044174194,0.009382367134094238,0.036633700132369995,-0.6387341022491457,4.492444276809692
bce_tareas,IRSUIPLANYR,Planificación suicida,18,8,1.8957300186157229,1.2569959163665771,0.1585699915885925,0.1514661610126495,0.007103830575942993,0.0895842760801315,-0.6387341022491457,4.492444276809692
bce_tareas,IRSUITRYYR,Intento suicida,18,8,1.8957300186157229,1.2569959163665771,0.1103804036974906,0.1039337590336799,0.006446644663810688,0.09472292661666872,-0.6387341022491457,4.492444276809692
focal_adam,IRAMDEYR,Episodio depresivo mayor,29,19,0.0484828576445579,0.0509055070579052,0.4945129454135895,0.4931958615779876,0.0013170838356018622,0.039302140474319514,0.0024226494133472998,0.007773689925670603
focal_adam,IRSUICTHNK,Ideación suicida,29,19,0.0484828576445579,0.0509055070579052,0.3029183745384216,0.2930675148963928,0.009850859642028753,0.0432165265083313,0.0024226494133472998,0.007773689925670603
focal_adam,IRSUIPLANYR,Planificación suicida,29,19,0.0484828576445579,0.0509055070579052,0.1682687401771545,0.1504260152578354,0.017842724919319125,0.047506719827652005,0.0024226494133472998,0.007773689925670603
focal_adam,IRSUITRYYR,Intento suicida,29,19,0.0484828576445579,0.0509055070579052,0.1169577240943908,0.090409405529499,0.0265483185648918,0.03627955168485639,0.0024226494133472998,0.007773689925670603
bce_adam_ema,IRAMDEYR,Episodio depresivo mayor,20,10,1.829687476158142,0.953991711139679,0.4306986033916473,0.4650067687034607,-0.03430816531181341,-0.014131098985671997,-0.8756957650184631,0.0665280818939209
bce_adam_ema,IRSUICTHNK,Ideación suicida,20,10,1.829687476158142,0.953991711139679,0.3007101416587829,0.2814692854881286,0.019240856170654297,0.03571763634681702,-0.8756957650184631,0.0665280818939209
bce_adam_ema,IRSUIPLANYR,Planificación suicida,20,10,1.829687476158142,0.953991711139679,0.1701416224241256,0.1574661433696746,0.012675479054450989,0.0649426877498627,-0.8756957650184631,0.0665280818939209
bce_adam_ema,IRSUITRYYR,Intento suicida,20,10,1.829687476158142,0.953991711139679,0.1133470088243484,0.1095881313085556,0.003758877515792791,0.06498222053051002,-0.8756957650184631,0.0665280818939209
