clave_modelo,candidato,average_precision_media,roc_auc_media,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total
multisalida_focal_adam,Red multisalida — Focal + Adam,0.25891093173653673,0.8609510665389172,0.8194315311809985,0.7211367673179396,0.16297977855139179,0.3916740727473169,0.7940438013615685,0.7686560715421387,320,6637
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,0.23827789886658002,0.8489999423053786,0.6619268855460199,0.5952380952380952,0.18768460755530908,0.41359574177058833,0.7599387450892001,0.8579506046323806,497,4019
residual_balanceada,MLP residual — Ponderación balanceada,0.09694589121811607,0.65487867168413,0.4139612107812586,0.3620689655172414,0.09361336680205182,0.22849732635128933,0.6007316837463907,0.787502156711523,900,6010
regularizada_balanceada,MLP regularizada — Ponderación balanceada,0.09207372720337001,0.6563362852156533,0.3686464894816092,0.29545454545454547,0.09398538032298144,0.19905604710190103,0.5938175157704995,0.8189885420593896,1102,5173
embeddings_mlp_balanceada,Embeddings + MLP — Ponderación balanceada,0.23108815606941707,0.805509360438982,0.3349143113550956,0.13095238095238096,0.23199361721592388,0.3066327044096972,0.6378325856247431,0.9407508598943906,845,1643
dos_ramas_balanceada,MLP de dos ramas — Ponderación balanceada,0.22011358071383882,0.7774645849200142,0.2780936769559103,0.09523809523809523,0.25504009759603563,0.2678787077317198,0.6169282309683284,0.9557627849807464,971,1222
multisalida_bce_adam,Red multisalida — BCE + Adam,0.25601089817926087,0.8526326676966576,0.27414525528563305,0.12799043062200957,0.3277469521608086,0.2350955778788792,0.6224885352914745,0.970831815297316,1327,849
multisalida_bce_adam_ema,Red multisalida — BCE + Adam + EMA,0.25601089817926087,0.8526326676966576,0.27414525528563305,0.12799043062200957,0.3277469521608086,0.2350955778788792,0.6224885352914745,0.970831815297316,1327,849
multisalida_bce_adamw,Red multisalida — BCE + AdamW,0.25694826384319114,0.8455833358775036,0.2682677574225881,0.16666666666666666,0.30298000146458504,0.27277157120573947,0.6190172526827589,0.9697667479429297,1113,848
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,0.2641656435450066,0.8387924595250734,0.21331409187595904,0.03571428571428571,0.36802442453797873,0.218925200798012,0.5923944234973222,0.9714747551186854,1110,790
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,0.2272189368476712,0.824997487011722,0.18120634397092025,0.011904761904761904,0.5268803316460048,0.18662276373218936,0.5772560311934622,0.9733057184160041,1139,728
referencia_b256_lr0005,MLP de referencia — b256_lr0005,0.10156739028119548,0.6228566394984343,0.06428742394050907,0.011904761904761904,0.16898143515368227,0.072483606284623,0.5225438374878774,0.9808002510352456,1486,530
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,0.1453166622652516,0.7260173049701547,0.06422848611643085,0.017761989342806393,0.21678593830187604,0.07244861991353219,0.52745275779282,0.9906770294692091,1563,265
