variable,descripcion,numero_indices,indice_inicio
IINPCOLDREC,NONPRESCRIPTION COUGH OR COLD MEDS RECENCY - IMPUTATION IND,4,2546
IRGHBREC,GHB RECENCY - IMPUTATION REVISED,5,2550
ANYNDLREC,RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE,8,2555
CHMNDLREC,RC-MOST RECENT USE OF COC/HER/METH WITH A NEEDLE,8,2563
HERNEDEVER,RC-EVER USED A NEEDLE TO INJECT HEROIN,4,2571
COCNEDEVER,RC-EVER USED A NEEDLE TO INJECT COCAINE,4,2575
MTHNEDEVER,RC-EVER USED NEEDLE TO INJECT METHAMPHETAMINE,4,2579
HERSMOEVER,RC-EVER SMOKED HEROIN,4,2583
HERSNIEVER,RC-EVER SNIFFED HEROIN,4,2587
NPCOLDFLAG,RC-NONPRESCRIPTION COUGH OR COLD MEDS - EVER USED,3,2591
NPCOLDYR,RC-NONPRESCRIPTION COUGH OR COLD MEDS - PAST YEAR USE,3,2594
NPCOLDMON,RC-NONPRESCRIPTION COUGH OR COLD MEDS - PAST MONTH USE,3,2597
GHBFLAG,RC-GHB - EVER USED,3,2600
GHBYR,RC-GHB - PAST YEAR USE,3,2603
GHBMON,RC-GHB - PAST MONTH USE,3,2606
IRPYUD5ALC,ALCOHOL USE DISORDER IN THE PAST YEAR - IMP REV,3,2609
IRPYUD5MRJ,MARIJUANA USE DISORDER IN THE PAST YEAR - IMP REV,3,2612
IRPYUD5COC,COCAINE USE DISORDER IN THE PAST YEAR - IMP REV,3,2615
IRPYUD5HER,HEROIN USE DISORDER IN THE PAST YEAR - IMP REV,3,2618
IRPYUD5HAL,HALLUCINOGEN USE DISORDER IN THE PAST YEAR - IMP REV,3,2621
IRPYUD5INH,INHALANT USE DISORDER IN THE PAST YEAR - IMP REV,3,2624
IRPYUD5MTH,METHAMPHETAMINE USE DISORDER IN THE PAST YEAR - IMP REV,3,2627
IRUD5PNRMIS,"PAIN RELIEVER USE DISORDER, PY MISUERS - IMP REV",3,2630
IRUD5PNRUNM2,"PAIN RELIEVER USE DISORD, PY USERS BUT NOT MISUSERS-IMP REV",3,2633
IRUD5TRQMIS,"TRANQUILIZER USE DISORDER, PY MISUSERS - IMP REV",3,2636
IRUD5TRQUNM,"TRANQUILIZER USE DISORDER, PY USERS BUT NOT MISUSERS-IMP REV",3,2639
IRUD5STMMIS,"STIMULANT USE DISORDER, PY MISUSERS - IMP REV",3,2642
IRUD5STMUNM,"STIMULANT USE DISORDER, PY USERS BUT NOT MISUSERS - IMP REV",3,2645
IRUD5SEDMIS,"SEDATIVE USE DISORDER, PY MISUSERS - IMP REV",3,2648
IRUD5SEDUNM,"SEDATIVE USE DISORDER, PY USERS BUT NOT MISUSERS - IMP REV",3,2651
IRPYSEV5ALC,ALCOHOL USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,5,2654
IRPYSEV5MRJ,MARIJUANA USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,5,2659
IRPYSEV5COC,COCAINE USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,5,2664
IRPYSEV5HER,HEROIN USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,5,2669
IRPYSEV5HAL,HALLUCINOGEN USE DISORDER SEVERITY IN THE PAST YR - IMP REV,5,2674
IRPYSEV5INH,INHALANT USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,5,2679
IRPYSEV5MTH,METHAMPHETAMINE USE DISORDER SEVERITY IN PAST YR - IMP REV,5,2684
IRSEVPNRMIS,"PAIN RELIEVER USE DISORDER SEVERITY, PY MISUSERS - IMP REV",5,2689
IRSEVPNRUNM2,"PAIN RELIEVER USE DIS SEV, PY USERS BUT NOT MISUSERS-IMP REV",5,2694
IRSEVTRQMIS,"TRANQUILIZER USE DISORDER SEVERITY, PY MISUSERS - IMP REV",5,2699
IRSEVTRQUNM,"TRANQUILIZER USE DIS SEV, PY USERS BUT NOT MISUSERS-IMP REV",5,2704
IRSEVSTMMIS,"STIMULANT USE DISORDER SEVERITY, PY MISUSERS - IMP REV",5,2709
IRSEVSTMUNM,"STIMULANT USE DIS SEV, PY USERS BUT NOT MISUSERS - IMP REV",5,2714
IRSEVSEDMIS,"SEDATIVE USE DISORDER SEVERITY, PY MISUSERS - IMP REV",5,2719
IRSEVSEDUNM,"SEDATIVE USE DIS SEV, PY USERS BUT NOT MISUSERS - IMP REV",5,2724
UD5TRQSDANY,RC-TRANQUILIZER OR SEDATIVE USE DISORDER - PAST YEAR USERS,3,2729
UD5PSYANY,RC-PSYCHOTHERAPEUTIC USE DISORDER - PAST YEAR USERS,3,2732
UD5OPIANY2,RC-OPIOID (RX OPI OR HEROIN) USE DISORDER - PAST YEAR USERS,3,2735
UD5HROPANY,RC-HEROIN/RX OPIOID USE DISORDER - PAST YEAR USERS,5,2738
UD5CNSANY,RC-CNS STIMULANT USE DISORDER - PAST YEAR USERS,3,2743
UD5ILLANY,RC-DRUG USE DISORDER - PAST YEAR USERS,3,2746
UD5IEMANY,RC-DRUG OTHER THAN MRJ USE DISORDER - PAST YEAR USERS,3,2749
UD5ILALANY,RC-DRUG OR ALCOHOL USE DISORDER - PAST YEAR USERS,3,2752
UD5ILAALANY,RC-DRUG AND ALCOHOL USE DISORDER - PAST YEAR USERS,3,2755
UD5ILNALANY,"RC-DRUG USE DISORDER, NO ALC USE DISORDER - PAST YEAR USERS",3,2758
UD5ALNILANY,"RC-ALC USE DISORDER, NO DRUG USE DISORDER - PAST YEAR USERS",3,2761
UDYR5OPPRANY,"RC-RX OPIOID USE DISORDER, PY USERS",3,2764
UDYR5PNRANY2,"RC-PAIN RELIEVER USE DISORDER, PY USERS",3,2767
UDYR5SEDANY,"RC-SEDATIVE USE DISORDER, PY USERS",3,2770
UDYR5STMANY,"RC-STIMULANT USE DISORDER, PY USERS",3,2773
UDYR5TRQANY,"RC-TRANQUILIZER USE DISORDER, PY USERS",3,2776
UD5CNSGRP,"RC-CNS STM USE DISORDER - PY USE, MISUSE, USE/NOT MISUSE",4,2779
UD5OPIGRP,"RC-OPIOID USE DISORDER - PY USE, MISUSE, USE/NOT MISUSE",4,2783
UD5TRQSDGRP,"RC-TRQ/STM USE DISORDER - PY USE, MISUSE, USE/NOT MISUSE",4,2787
SEVYRPNRANY2,"RC-PAIN RELIEVER USE DISORDER SEVERITY, PY USERS",5,2791
SEVYROPPRANY,"RC-RX OPIOID USE DISORDER SEVERITY, PY USERS",5,2796
SEVYRTRQANY,"RC-TRANQUILIZER USE DISORDER SEVERITY, PY USERS",5,2801
SEVYRSTMANY,"RC-STIMULANT USE DISORDER SEVERITY, PY USERS",5,2806
SEVYRSEDANY,"RC-SEDATIVE USE DISORDER SEVERITY, PY USERS",5,2811
SVYRTQSDANY,"RC-TRANQUILIZER OR SEDATIVE USE DISORDER SEVERITY, PY USERS",5,2816
SVYRPSYANY,"RC-PSYCHOTHERAPUETIC USE DISORDER SEVERITY, PY USERS",5,2821
SVYROPIANY2,"RC-OPIOID (RX OPIOIDS OR HEROIN) USE DISORDER SEV, PY USERS",5,2826
SVYRCNSANY,"RC-CNS STIMULANT USE DISORDER SEVERITY, PY USERS",5,2831
SVYRDUDANY,"RC-DRUG USE DISORDER SEVERITY, PY USERS",5,2836
SVYRSUDANY,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS",5,2841
SVYRTQSDMIS,"RC-TRANQUILIZER/SEDATIVE USE DISORDER SEVERITY, PY MISUSERS",5,2846
SVYROPIMIS,"RC-OPIOID USE DISORDER SEVERITY, PY MISUSERS",5,2851
SVYRCNSMIS,"RC-CNS STIMULANT USE DISORDER SEVERITY, PY MISUSERS",5,2856
SVYRTQSDUNM,"RC-TRANQ/SED USE DIS SEV, PY USERS/NOT MISUSERS ONLY",5,2861
SVYROPIUNM,"RC-OPIOID USE DIS SEV, PY RX OPIOID USERS/NOT MISUSERS ONLY",5,2866
SVYRCNSUNM,"RC-CNS STIM USE DIS SEV, PY STM USERS/ NOT MISUSERS ONLY",5,2871
MRJYRBFR,USE MJ/CANNABIS EVEN ONCE YR BEFORE LAST,8,2876
MRJMLU,MONTH OF LAST MARIJUANA/CANNABIS USE - RECODE,20,2884
CIGMLU,MONTH OF LAST CIGARETTE USE - RECODE,20,2904
CIGDLMLU,MONTH OF LAST CIGARETTE USE EVERY DAY - RECODE,20,2924
SMKMOLAST,MONTH OF LAST SMOKELESS TOBACCO USE - RECODE,20,2944
CIGARMLU,MONTH OF LAST CIGAR/CIGARILLO USE - RECODE,20,2964
ALCMLU,MONTH OF LAST ALCOHOL USE - RECODE,20,2984
COCMLU,MONTH OF LAST COCAINE USE - RECODE,20,3004
CRKMLU,MONTH OF LAST CRACK USE - RECODE,20,3024
HERMLU,MONTH OF LAST HEROIN USE - RECODE,20,3044
HALLMOLST,MONTH OF LAST HALLUCINOGEN USE - RECODE,20,3064
LSDMLU,MONTH OF LAST LSD USE - RECODE,20,3084
PCPMLU,MONTH OF LAST PCP USE - RECODE,17,3104
ECSTMOMLU,MONTH OF LAST ECSTASY OR MOLLY USE - RECODE,20,3121
INHLMOLST,MONTH OF LAST INHALANT USE - RECODE,20,3141
METHMOLST,MONTH OF LAST METH USE - RECODE,20,3161
CIGYRBFR,SMOKE ALL OR PART OF CIGARETTE IN YR BEFORE LAST,9,3181
ALCYRBFR,HAVE ALCOHOLIC BEVERAGE IN YEAR BEFORE LAST,8,3190
COCYRBFR,HAVE ANY FORM OF COCAINE IN YEAR BEFORE LAST,8,3198
RSKCIGPKD,RISK SMOKING 1 OR MORE PACKS CIGARETTES PER DAY,9,3206
RSKMRJMON,RISK SMOKING MARIJUANA ONCE A MONTH,9,3215
RSKMRJWK,RISK SMOKING MARIJUANA ONCE OR TWICE A WEEK,9,3224
RSKLSDTRY,RISK TRYING LSD ONCE OR TWICE,9,3233
RSKLSDWK,RISK USING LSD ONCE OR TWICE A WEEK,9,3242
RSKHERTRY,RISK TRYING HEROIN ONCE OR TWICE,9,3251
RSKHERWK,RISK USING HEROIN ONCE OR TWICE A WEEK,9,3260
RSKCOCMON,RISK USING COCAINE ONCE A MONTH,9,3269
RSKCOCWK,RISK USING COCAINE ONCE OR TWICE A WEEK,9,3278
RSKBNGDLY,RISK HAVING 4 OR 5 DRINKS NEARLY EVERY DAY,9,3287
RSKBNGWK,RISK HAVING 5 OR MORE DRINKS ONCE OR TWICE A WEEK,9,3296
DIFGETMRJ,HOW DIFFICULT TO GET MARIJUANA,10,3305
DIFGETLSD,HOW DIFFICULT TO GET LSD,10,3315
DIFGETCOC,HOW DIFFICULT TO GET COCAINE,10,3325
DIFGETCRK,"HOW DIFFICULT TO GET ""CRACK""",10,3335
DIFGETHER,HOW DIFFICULT TO GET HEROIN,10,3345
APPDRGMON,APPROACHED BY SOMEONE SELLING ILL DRUG PST 30 DYS,7,3355
RSKYFQDGR,GET A REAL KICK OUT OF DOING DANGEROUS THINGS,9,3362
RSKYFQTES,LIKE TO TEST YOURSELF BY DOING RISKY THINGS,9,3371
RKFQPBLT,WEAR A SEATBELT WHEN RIDE FRONT PASS SEAT OF CAR,9,3380
RKFQDBLT,WEAR A SEATBELT WHEN YOU DRIVE A CAR,10,3389
GRSKCIGPKD,RC-GREAT RISK:  SMOKE 1+ PACKS CIGARETTES PER DAY,4,3399
GRSKMRJMON,RC-GREAT RISK:  USE MARIJUANA ONCE A MONTH,4,3403
GRSKMRJWK,RC-GREAT RISK:  USE MARIJUANA 1-2 TIMES PER WEEK,4,3407
GRSKCOCMON,RC-GREAT RISK:  USE COCAINE ONCE A MONTH,4,3411
GRSKCOCWK,RC-GREAT RISK:  USE COCAINE 1-2 TIMES PER WEEK,4,3415
GRSKHERTRY,RC-GREAT RISK:  TRYING HEROIN ONCE OR TWICE,4,3419
GRSKHERWK,RC-GREAT RISK:  USE HEROIN 1-2 TIMES PER WEEK,4,3423
GRSKLSDTRY,RC-GREAT RISK:  TRYING LSD ONCE OR TWICE,4,3427
GRSKLSDWK,RC-GREAT RISK:  USE LSD 1-2 TIMES PER WEEK,4,3431
GRSKBNGDLY,RC-GREAT RISK:  HAVE 4-5 ALC DRINKS PER DAY,4,3435
GRSKBNGWK,RC-GREAT RISK:  HAVE 5+ ALC DRINKS 1-2 TIMES PER WEEK,4,3439
DIFOBTMRJ,RC-MARIJUANA FAIRLY OR VERY EASY TO OBTAIN,4,3443
DIFOBTCOC,RC-COCAINE FAIRLY OR VERY EASY TO OBTAIN,4,3447
DIFOBTCRK,RC-CRACK FAIRLY OR VERY EASY TO OBTAIN,4,3451
DIFOBTHER,RC-HEROIN FAIRLY OR VERY EASY TO OBTAIN,4,3455
DIFOBTLSD,RC-LSD FAIRLY OR VERY EASY TO OBTAIN,4,3459
APPDRGMON2,RC-APPROACHED BY SOMEONE SELLING DRUGS,4,3463
SNYSELL,SOLD ILLEGAL DRUGS,10,3467
SNYSTOLE,STOLEN/TRIED TO STEAL ANYTHING WORTH > $50,10,3477
SNYATTAK,ATTACKED SOMEONE W/INTENT TO SERIOUSLY HURT THEM,10,3487
SNAFLMJTRY,HOW YOU FEEL ABOUT ADULTS TRYING MJ/CANNABIS,10,3497
SNRLGIMP,MY RELIGIOUS BELIEFS ARE VERY IMPORTANT,9,3507
SNRLDCSN,MY RELIGIOUS BELIEFS INFLUENCE MY DECISIONS,9,3516
SNRLFRND,IT IS IMPORTANT THAT MY FRIENDS SHARE REL BELIEFS,9,3525
PREGSTAT,CURRENTLY PREGNANT (FEMALES AGED 12-50),8,3534
HTANSWER,PREFERRED WAY TO REPORT HEIGHT,7,3542
WTANSWER,PREFERRED WAY TO REPORT WEIGHT,7,3549
INHOSPYR,STAYED OVERNIGHT AS INPNT IN HOSP PAST 12 MOS,7,3556
NMVSOEST,# TIMES VISITED DR ABOUT OWN HEALTH PST YR,14,3563
TELEAPTYR,TALK TO DOC ABOUT HEALTH OVER PHONE/EMAIL/VIDEO PST 12 MOS,7,3577
HPUSETOB,HEALTH PROF ASKED PST 12 MOS: TOBACCO USE,8,3584
HPUSEALC,HEALTH PROF ASKED PST 12 MOS: ALCOHOL USE,8,3592
HPUSEDRG,HEALTH PROF ASKED PST 12 MOS: DRUG USE,8,3600
HPQTTOB,HEALTH PROF ADVISED YOU TO QUIT TOBACCO USE,10,3608
HPALCAMT2,DOCTOR ASKED HOW MUCH YOU DRINK,9,3618
HPALCFRQ2,DOCTOR ASKED HOW OFTEN YOU DRINK,10,3627
HPALCPRB2,DOCTOR ASKED IF ANY DRINKING PROBS,9,3637
HPALCCUT2,DOCTOR ADVISED YOU TO CUT DOWN ON DRINKING,9,3646
HPALCTX2,DOCTOR OFFERED INFO ABOUT ALCOHOL TREATMT,9,3655
HPALCNOT2,DOCTOR DIDNT DISCUSS MY ALCOHOL USE WITH ME,9,3664
HPDRGTALK,HEALTH PROF DISCUSSED MY DRUG USE WITH ME,10,3673
HRTCONDEV2,EVER TOLD HAD HEART CONDITION,7,3683
DIABETEVR2,EVER TOLD HAD DIABETES/SUGAR DIABETES,7,3690
COPDEVER2,EVER TOLD HAD CHRONIC BRONCHITIS OR COPD,7,3697
CIRROSEVR2,EVER TOLD HAD CIRRHOSIS OF THE LIVER,7,3704
HEPBCEVER2,EVER TOLD HAD HEPATITIS B OR C,7,3711
KIDNYDSEV2,EVER TOLD HAD KIDNEY DISEASE,7,3718
ASTHMAEVR2,EVER TOLD HAD ASTHMA,7,3725
HIVAIDSEV2,EVER TOLD HAD HIV OR AIDS,7,3732
CANCEREVR2,EVER TOLD HAD CANCER,7,3739
HIGHBPEVR2,EVER TOLD HAD HIGH BLOOD PRESSURE,7,3746
NONABOVEV2,NEVER HAD ANY OF THESE CONDITIONS,7,3753
CABLADDER,TYPE OF CANCER: BLADDER,8,3760
CABLOLEULYM,TYPE OF CANCER: BLOOD/LEUKEMIA/LYMPHOMA,8,3768
CAOTHER2,TYPE OF CANCER: OTHER,8,3776
CABREAST,TYPE OF CANCER: BREAST,8,3784
CACERVIX,TYPE OF CANCER: CERVIX (FEMALES ONLY),8,3792
CACOLNRECT,TYPE OF CANCER: COLON/RECTUM,8,3800
CAESOPSTOM,TYPE OF CANCER: ESOPHAGUS/STOMACH,8,3808
CAGALLIVPAN,TYPE OF CANCER: GALLBLADDER/LIVER/PANCREAS,8,3816
CAKIDNEY,TYPE OF CANCER: KIDNEY,8,3824
CALARYLUNG,TYPE OF CANCER: LARYNX/WINDPIPE/LUNG,8,3832
CAMELANOM,TYPE OF CANCER: MELANOMA,8,3840
CAMOUTTHRO,TYPE OF CANCER: MOUTH/TONGUE/LIP/THROAT/PHARYNX,8,3848
CAOVARY,TYPE OF CANCER: OVARY (FEMALES ONLY),8,3856
CAPROSTEST,TYPE OF CANCER: PROSTATE/TESTIS (MALES ONLY),7,3864
CASKINOTH,TYPE OF CANCER: SKIN (NOT MELANOMA),8,3871
CASKINDK,TYPE OF CANCER: SKIN DON'T KNOW WHICH KIND,8,3879
CATHYROID,TYPE OF CANCER: THYROID,8,3887
CAUTERUS,TYPE OF CANCER: UTERUS (FEMALES ONLY),8,3895
CANCERYR,HAD ANY CANCER PAST 12 MONTHS,10,3903
HRTCONDYR,HAD HEART CONDITION PAST 12 MONTHS,9,3913
ASTHMANOW,STILL HAVE ASTHMA,7,3922
HIGHBPMED,TAKING MEDS FOR HIGH BLOOD PRESSURE,8,3929
PREGST,RC-PREGNANCY STATUS OF FEMALES AGED 12-50,5,3937
TELEAPTYR2,RC-TALK TO DOC ABOUT VIRTUAL SERVICE TREATMENT-PAST YEAR,4,3942
CASUPROB,THINK EVER HAD PROBLEM WITH OWN DRUG OR ALCOHOL USE,7,3946
CASURCVR,THINK IN RECOVERY FROM DRUG OR ALCOHOL PROBLEM,8,3953
CAMHPROB,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,7,3961
CAMHRCVR,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,8,3968
KRATEVER,EVER USED KRATOM,7,3976
KRATREC,TIME SINCE LAST USED KRATOM,8,3983
FLVVAPEVR,EVER VAPED ONLY FLAVORING WITHOUT NICOTINE/SUBSTANCE,7,3991
FLVVAPREC,TIME SINCE LAST VAPED ONLY FLAVORING,8,3998
SYNMRJEVR,EVER USED SYNTHETIC MARIJUANA,7,4006
SYNMRJREC,TIME SINCE LAST USED SYNTHETIC MARIJUANA,8,4013
SYNSTMEVR,EVER USED SYNTHETIC STIMULANTS,7,4021
SYNSTMREC,TIME SINCE LAST USED SYNTHETIC STIMULANTS,7,4028
IMFEVER,EVER USED ILLEGALLY MADE FENTANYL,7,4035
IMFNDLEVER,EVER INJECTED ILLEGALLY MADE FENTANYL WITH NEEDLE,7,4042
IRKRATREC,KRATOM RECENCY - IMPUTATION REVISED,5,4049
IRFLVVAPREC,ONLY FLAVORING VAPING RECENCY - IMPUTATION REVISED,5,4054
IRSYNMRJREC,SYNTHETIC MARIJUANA RECENCY - IMPUTATION REVISED,5,4059
IRSYNSTMREC,SYNTHETIC STIMULANTS RECENCY - IMPUTATION REVISED,5,4064
IRIMFREC,ILLEGALLY MADE FENTANYL RECENCY - IMPUTATION REVISED,5,4069
CASUPROB2,RC-PERCEIVED EVER HAD DRUG OR ALCOHOL USE PROBLEM,4,4074
RCVYSUBPRB,RC-PERCEIVED RECOVERY FROM DRUG OR ALCOHOL USE PROBLEM,4,4078
CAMHPROB2,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,4,4082
RCVYMHPRB,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,4,4086
KRATOMFLAG,RC-KRATOM - EVER USED,3,4090
KRATOMYR,RC-KRATOM - PAST YEAR USE,3,4093
KRATOMMON,RC-KRATOM - PAST MONTH USE,3,4096
FLVVAPFLAG,RC-ONLY FLAVORING VAPING - EVER USED,3,4099
FLVVAPYR,RC-ONLY FLAVORING VAPING - PAST YEAR USE,3,4102
FLVVAPMON,RC-ONLY FLAVORING VAPING - PAST MONTH USE,3,4105
SYNMRJFLAG,RC-SYNTHETIC MARIJUANA - EVER USED,3,4108
SYNMRJYR,RC-SYNTHETIC MARIJUANA - PAST YEAR USE,3,4111
SYNMRJMON,RC-SYNTHETIC MARIJUANA - PAST MONTH USE,3,4114
SYNSTMFLAG,RC-SYNTHETIC STIMULANTS - EVER USED,3,4117
SYNSTMYR,RC-SYNTHETIC STIMULANTS - PAST YEAR USE,3,4120
SYNSTMMON,RC-SYNTHETIC STIMULANTS - PAST MONTH USE,3,4123
IMFFLAG,RC-ILLEGALLY MADE FENTANYL - EVER USED,3,4126
IMFYR,RC-ILLEGALLY MADE FENTANYL - PAST YEAR USE,3,4129
IMFMON,RC-ILLEGALLY MADE FENTANYL - PAST MONTH USE,3,4132
IMFNEDFLAG,RC-EVER USED A NEEDLE TO INJECT IMF,4,4135
ANYNEDFLAG,RC-EVER USED A NEEDLE TO INJECT DRUGS,4,4139
ANYNEDYR,RC- USED A NEEDLE TO INJECT DRUGS - PAST YEAR,4,4143
FPIMFANYYR2,RC-FENTANYL PRODUCTS INCLUDING IMF - ANY PAST YEAR USE,3,4147
FPIMFNMYR,RC-FENTANYL PRODUCTS INCLUDING IMF - PAST YEAR MISUSE,3,4150
OPIIMFNMYR2,RC-OPIOIDS (RX OPIOIDS OR HER) INCLUDING IMF - PST YR MISUSE,3,4153
OPIIMFNMMN2,RC-OPIOIDS (RX OPIOIDS OR HER) INCLUDING IMF - PST MO MISUSE,3,4156
ILIMFOTHFG,"RC-ILLICIT DRUG, IMF, OR OTHER SUB - EVER USED",3,4159
ILIMFOTHYR,"RC-ILLICIT DRUG, IMF, OR OTHER SUB - PAST YEAR USE",3,4162
ILIMFOTHMN,"RC-ILLICIT DRUG, IMF, OR OTHER SUB - PAST MONTH USE",3,4165
EDUSCKMON_estado,EDUSCKMON_estado,9,4168
EDUSCKCOM_estado,EDUSCKCOM_estado,7,4177
EDUSKPMON_estado,EDUSKPMON_estado,8,4184
EDUSKPCOM_estado,EDUSKPCOM_estado,6,4192
WRKDHRSWK2_estado,WRKDHRSWK2_estado,8,4198
WRKNJBWKS_estado,WRKNJBWKS_estado,7,4206
WRKLASTYR2_estado,WRKLASTYR2_estado,9,4213
WRKSICKMO_estado,WRKSICKMO_estado,8,4222
WRKSKIPMO_estado,WRKSKIPMO_estado,8,4230
NRCH17_2_estado,NRCH17_2_estado,4,4238
HLCNOTMO_estado,HLCNOTMO_estado,6,4242
IRWELMOS_estado,IRWELMOS_estado,3,4248
CIGAVGM_estado,CIGAVGM_estado,3,4251
ALCNUMDKPM_estado,ALCNUMDKPM_estado,3,4254
MRJAGLST_estado,MRJAGLST_estado,9,4257
MRJYLU_estado,MRJYLU_estado,9,4266
CIGAGLST_estado,CIGAGLST_estado,8,4275
CIGYLU_estado,CIGYLU_estado,9,4283
CIGDLLST_estado,CIGDLLST_estado,8,4292
CIGDLYLU_estado,CIGDLYLU_estado,9,4300
SMKAGLAST_estado,SMKAGLAST_estado,9,4309
SMKYRLAST_estado,SMKYRLAST_estado,9,4318
CGRAGLST_estado,CGRAGLST_estado,8,4327
CIGARYLU_estado,CIGARYLU_estado,9,4335
ALCAGLST_estado,ALCAGLST_estado,9,4344
ALCYLU_estado,ALCYLU_estado,9,4353
COCAGLST_estado,COCAGLST_estado,9,4362
COCYLU_estado,COCYLU_estado,9,4371
CRKAGLST_estado,CRKAGLST_estado,8,4380
CRKYLU_estado,CRKYLU_estado,9,4388
HERAGLST_estado,HERAGLST_estado,8,4397
HERYLU_estado,HERYLU_estado,9,4405
HALLAGLST_estado,HALLAGLST_estado,9,4414
HALLYRLST_estado,HALLYRLST_estado,9,4423
LSDAGLST_estado,LSDAGLST_estado,9,4432
LSDYLU_estado,LSDYLU_estado,9,4441
PCPAGLST_estado,PCPAGLST_estado,8,4450
PCPYLU_estado,PCPYLU_estado,8,4458
ECSTMOAGL_estado,ECSTMOAGL_estado,9,4466
ECSTMOYLU_estado,ECSTMOYLU_estado,9,4475
INHLAGLST_estado,INHLAGLST_estado,8,4484
INHLYRLST_estado,INHLYRLST_estado,9,4492
METHAGLST_estado,METHAGLST_estado,8,4501
METHYRLST_estado,METHYRLST_estado,9,4509
HTINCHE2_estado,HTINCHE2_estado,6,4518
WTPOUND2_estado,WTPOUND2_estado,6,4524
NMERTMT2_estado,NMERTMT2_estado,7,4530
NMNGTHS2_estado,NMNGTHS2_estado,8,4537
NMVSOPT2_estado,NMVSOPT2_estado,10,4545
HRTCONDAG_estado,HRTCONDAG_estado,7,4555
DIABETEAG_estado,DIABETEAG_estado,7,4562
COPDAGE_estado,COPDAGE_estado,6,4569
CIRROSAGE_estado,CIRROSAGE_estado,6,4575
HEPBCAGE_estado,HEPBCAGE_estado,6,4581
KIDNYDSAG_estado,KIDNYDSAG_estado,7,4587
ASTHMAAGE_estado,ASTHMAAGE_estado,7,4594
HIVAIDSAG_estado,HIVAIDSAG_estado,7,4601
HIGHBPAGE_estado,HIGHBPAGE_estado,6,4608
BMI2_estado,BMI2_estado,3,4614
