target,descripcion,positivos_train,positivos_validacion,prevalencia_train_pct,prevalencia_validacion_pct,diferencia_pp
IRAMDEYR,Episodio depresivo mayor,3363,836,11.109642892537412,11.046511627906977,0.06313126463043522
IRSUICTHNK,Ideación suicida,2255,563,7.44937398830564,7.4392177589852,0.01015622932043908
IRSUIPLANYR,Planificación suicida,769,174,2.54038518714281,2.299154334038055,0.2412308531047548
IRSUITRYYR,Intento suicida,336,84,1.1099732417164943,1.1099365750528543,3.6666663640050334e-05
