target,descripcion,registros,negativos,positivos,prevalencia_pct,ratio_negativos_positivos
IRAMDEYR,Episodio depresivo mayor,37839,33640,4199,11.097016305927747,8.011431293165039
IRSUICTHNK,Ideación suicida,37839,35021,2818,7.447342688760274,12.427608232789213
IRSUIPLANYR,Planificación suicida,37839,36896,943,2.4921377414836545,39.12619300106044
IRSUITRYYR,Intento suicida,37839,37419,420,1.1099659081899627,89.09285714285714
