target,descripcion,umbral_referencia,recall_referencia,precision_referencia,f2_referencia,balanced_accuracy_referencia,specificity_referencia,false_negatives_referencia,false_positives_referencia,criterio,umbral_propuesto,recall_propuesto,precision_propuesto,f2_propuesto,balanced_accuracy_propuesto,specificity_propuesto,false_negatives_propuesto,false_positives_propuesto,delta_umbral,delta_recall,delta_precision,delta_f2,delta_balanced_accuracy,delta_specificity,delta_false_negatives,delta_false_positives
IRAMDEYR,Episodio depresivo mayor,0.5,0.9126794258373205,0.2916666666666667,0.6401006711409396,0.8187134502923976,0.7247474747474747,73,1853,"Umbral 0,5",0.5,0.9126794258373205,0.2916666666666667,0.6401006711409396,0.8187134502923976,0.7247474747474747,73,1853,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IRSUICTHNK,Ideación suicida,0.5,0.7957371225577264,0.1701481200151918,0.45854657113613106,0.7419085327278283,0.6880799428979301,115,2185,"Umbral 0,5",0.5,0.7957371225577264,0.1701481200151918,0.45854657113613106,0.7419085327278283,0.6880799428979301,115,2185,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IRSUIPLANYR,Planificación suicida,0.5,0.8735632183908046,0.06637554585152838,0.25452109845947757,0.7922049253977286,0.7108466324046524,22,2138,"Umbral 0,5",0.5,0.8735632183908046,0.06637554585152838,0.25452109845947757,0.7922049253977286,0.7108466324046524,22,2138,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IRSUITRYYR,Intento suicida,0.5,0.8571428571428571,0.040654997176736304,0.170859041290935,0.8150626097579599,0.7729823623730625,12,1699,Balanced Accuracy máxima,0.498,0.8690476190476191,0.040420819490586936,0.17040149393090567,0.8187434781502125,0.768439337252806,11,1733,-0.0020000000000000018,0.011904761904761973,-0.00023417768614936857,-0.0004575473600293145,0.0036808683922526786,-0.004543025120256505,-1,34
