estrategia_pesos,descripcion,modelos_previstos,batch_size,learning_rate,epocas_maximas,monitor_early_stopping,paciencia,backup_entrenamiento,representacion_categorica,factor_dropout,neuronas_compartidas_1,neuronas_compartidas_2,neuronas_rama_especifica,bn_ramas_especificas,reutilizar,dropout_embeddings,dropout_atencion,dropout_ff,dropout_rama_categorica,dropout_rama_numerica,dropout_compartido,dropout_rama_especifica,perdida,optimizador,weight_decay,use_ema,pesos_tareas,usar_pesos_muestra,configuracion_origen
sens_vars_ramas_32,Ramas específicas de 32 neuronas — conjunto reducido,1,256,0.0005,100,val_loss,10,True,Atención global,1.0,64,32,32,True,False,0.15,0.1,0.1,0.15,0.1,0.2,0.1,focal,adam,0.0,False,iguales,False,focal_ramas_32
sens_vars_sin_bn_ramas,Sin BatchNormalization en ramas — conjunto reducido,1,256,0.0005,100,val_loss,10,True,Atención global,1.0,64,32,16,False,False,0.15,0.1,0.1,0.15,0.1,0.2,0.1,focal,adam,0.0,False,iguales,False,focal_sin_bn_ramas
