estrategia_pesos,target,descripcion,clase_real,registros,media,mediana,primer_cuartil,tercer_cuartil
balanceada,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.10586292,0.024305835,0.013709304,0.08671996
balanceada,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.44332385,0.47669774,0.18859814,0.6837715
balanceada,IRSUICTHNK,Ideación suicida,Negativo,7005,0.07929661,0.033073958,0.020776793,0.073260896
balanceada,IRSUICTHNK,Ideación suicida,Positivo,563,0.23927389,0.14174506,0.056063145,0.36726823
balanceada,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.035137314,0.02117132,0.013779056,0.038028397
balanceada,IRSUIPLANYR,Planificación suicida,Positivo,174,0.10985323,0.05999448,0.03275999,0.110503346
balanceada,IRSUITRYYR,Intento suicida,Negativo,7484,0.01061466,0.0053501558,0.0032038225,0.010010022
balanceada,IRSUITRYYR,Intento suicida,Positivo,84,0.05757306,0.029368103,0.011612392,0.066792786
