clave_configuracion,modelo,average_precision_media,roc_auc_media,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total,parametros
focal_sin_bn_ramas,Focal + Adam — Sin BatchNormalization en ramas específicas,0.2653963098548513,0.8620258776612193,0.8731796232090385,0.8145933014354066,0.1518435648717105,0.36776988332195454,0.7843778428281716,0.6955760624473049,265,8777,51076
focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,0.2581166910626884,0.8596258709256493,0.8597806559821772,0.7957371225577264,0.14221133242753078,0.3810068455068708,0.7919723795439786,0.7241641031057799,222,7875,53636
focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,0.25456857629809115,0.8552480662419213,0.8343016397000675,0.7264653641207816,0.1568331081648388,0.38342673184075593,0.7928137055357278,0.751325771371388,310,7139,65988
focal_drop_mayor,Focal + Adam — Dropout mayor,0.2492276617120837,0.8493276945478765,0.82018945023014,0.7531083481349912,0.14687916108474908,0.37674408801902437,0.779850483371082,0.739511516512024,283,7453,51268
focal_actual,Focal + Adam — Arquitectura actual,0.25891093173653673,0.8609510665389172,0.8194315311809985,0.7211367673179396,0.16297977855139179,0.3916740727473169,0.7940438013615685,0.7686560715421387,320,6637,51268
focal_drop_menor,Focal + Adam — Dropout menor,0.2546133244825306,0.8518870526931813,0.8002347505525564,0.7317939609236235,0.15285219930482047,0.3850733750758503,0.7804167473156125,0.7605987440786686,294,6840,51268
