clave_modelo,modelo,estrategia_pesos,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives
referencia,MLP de referencia,sin_ponderar,256,0.001,IRAMDEYR,Episodio depresivo mayor,76,66,0.34793537855148315,0.22343610227108002,0.7208792567253113,0.0933014377951622,0.3083004057407379,0.10842368006706238,0.876717746257782,758.0,175.0
referencia,MLP de referencia,sin_ponderar,256,0.001,IRSUICTHNK,Ideación suicida,66,56,0.28138917684555054,0.13129232823848724,0.6576946377754211,0.035523977130651474,0.25974026322364807,0.04293687641620636,0.920718789100647,543.0,57.0
referencia,MLP de referencia,sin_ponderar,256,0.001,IRSUIPLANYR,Planificación suicida,43,33,0.5050488114356995,0.04023151844739914,0.6262499094009399,0.017241379246115685,0.043478261679410934,0.01960783265531063,0.9686839580535889,171.0,66.0
referencia,MLP de referencia,sin_ponderar,256,0.001,IRSUITRYYR,Intento suicida,44,34,0.23894377052783966,0.02413681522011757,0.6483893990516663,0.02380952425301075,0.10526315867900848,0.02816900797188282,0.9869186282157898,82.0,17.0
