IRAMDEYR_accuracy,IRAMDEYR_bce,IRAMDEYR_f2,IRAMDEYR_false_negatives,IRAMDEYR_false_positives,IRAMDEYR_loss,IRAMDEYR_pr_auc,IRAMDEYR_precision,IRAMDEYR_recall,IRAMDEYR_roc_auc,IRSUICTHNK_accuracy,IRSUICTHNK_bce,IRSUICTHNK_f2,IRSUICTHNK_false_negatives,IRSUICTHNK_false_positives,IRSUICTHNK_loss,IRSUICTHNK_pr_auc,IRSUICTHNK_precision,IRSUICTHNK_recall,IRSUICTHNK_roc_auc,IRSUIPLANYR_accuracy,IRSUIPLANYR_bce,IRSUIPLANYR_f2,IRSUIPLANYR_false_negatives,IRSUIPLANYR_false_positives,IRSUIPLANYR_loss,IRSUIPLANYR_pr_auc,IRSUIPLANYR_precision,IRSUIPLANYR_recall,IRSUIPLANYR_roc_auc,IRSUITRYYR_accuracy,IRSUITRYYR_bce,IRSUITRYYR_f2,IRSUITRYYR_false_negatives,IRSUITRYYR_false_positives,IRSUITRYYR_loss,IRSUITRYYR_pr_auc,IRSUITRYYR_precision,IRSUITRYYR_recall,IRSUITRYYR_roc_auc,loss,val_IRAMDEYR_accuracy,val_IRAMDEYR_bce,val_IRAMDEYR_f2,val_IRAMDEYR_false_negatives,val_IRAMDEYR_false_positives,val_IRAMDEYR_loss,val_IRAMDEYR_pr_auc,val_IRAMDEYR_precision,val_IRAMDEYR_recall,val_IRAMDEYR_roc_auc,val_IRSUICTHNK_accuracy,val_IRSUICTHNK_bce,val_IRSUICTHNK_f2,val_IRSUICTHNK_false_negatives,val_IRSUICTHNK_false_positives,val_IRSUICTHNK_loss,val_IRSUICTHNK_pr_auc,val_IRSUICTHNK_precision,val_IRSUICTHNK_recall,val_IRSUICTHNK_roc_auc,val_IRSUIPLANYR_accuracy,val_IRSUIPLANYR_bce,val_IRSUIPLANYR_f2,val_IRSUIPLANYR_false_negatives,val_IRSUIPLANYR_false_positives,val_IRSUIPLANYR_loss,val_IRSUIPLANYR_pr_auc,val_IRSUIPLANYR_precision,val_IRSUIPLANYR_recall,val_IRSUIPLANYR_roc_auc,val_IRSUITRYYR_accuracy,val_IRSUITRYYR_bce,val_IRSUITRYYR_f2,val_IRSUITRYYR_false_negatives,val_IRSUITRYYR_false_positives,val_IRSUITRYYR_loss,val_IRSUITRYYR_pr_auc,val_IRSUITRYYR_precision,val_IRSUITRYYR_recall,val_IRSUITRYYR_roc_auc,val_loss,epoca
0.4591523110866546,0.7646641135215759,0.3355363607406616,1312.0,15060.0,0.0447686687111854,0.1251289546489715,0.1198644116520881,0.6098721623420715,0.5356479287147522,0.3485183715820312,0.7997207641601562,0.264969915151596,685.0,19036.0,0.0290734861046075,0.080220490694046,0.0761914029717445,0.6962305903434753,0.5199577808380127,0.7584817409515381,0.5625882148742676,0.114109918475151,539.0,6772.0,0.0150229409337043,0.0340524166822433,0.0328477583825588,0.2990897297859192,0.5366009473800659,0.6125994920730591,0.6714945435523987,0.0549112856388092,193.0,11534.0,0.0049856286495924,0.0150827523320913,0.0122462958097457,0.425595223903656,0.5298581123352051,0.0981514006853103,0.8324524164199829,0.694089412689209,0.1633663177490234,704.0,564.0,0.0362884141504764,0.1665543615818023,0.1896551698446273,0.1578947305679321,0.6413927674293518,0.8826638460159302,0.6578118801116943,0.1130048036575317,502.0,386.0,0.0238878726959228,0.1051856502890586,0.1364653259515762,0.1083481386303901,0.5802313089370728,0.8353593945503235,0.6715495586395264,0.1439231932163238,120.0,1126.0,0.007885206490755,0.0449208766222,0.0457627102732658,0.3103448152542114,0.6660161018371582,0.8209566473960876,0.6884128451347351,0.0986252054572105,51.0,1304.0,0.0036256657913327,0.0314354859292507,0.0246821250766515,0.3928571343421936,0.6383118033409119,0.0757956132292747,1
0.5901357531547546,0.6789358258247375,0.4075823724269867,1172.0,11235.0,0.0354867577552795,0.1857243627309799,0.1631908267736435,0.6515016555786133,0.6586136221885681,0.5536652207374573,0.6885833144187927,0.318659096956253,774.0,12737.0,0.023980401456356,0.1179689913988113,0.1041637361049652,0.6567627787590027,0.6356143951416016,0.6451058983802795,0.646492063999176,0.1501728296279907,352.0,10391.0,0.010104683227837,0.047748576849699,0.0385825298726558,0.5422626733779907,0.6388406753540039,0.6173895597457886,0.689357340335846,0.0676197707653045,161.0,11421.0,0.0043633584864437,0.0247735884040594,0.0150914108380675,0.5208333134651184,0.5879422426223755,0.0780641883611679,0.8427590131759644,0.6063554883003235,0.1665824949741363,704.0,486.0,0.0359555445611476,0.2141480296850204,0.2135922312736511,0.1578947305679321,0.7570110559463501,0.8789640665054321,0.5927335619926453,0.1100917235016822,503.0,413.0,0.0243777092546224,0.1501301229000091,0.126849889755249,0.1065719351172447,0.7280378341674805,0.9016913175582886,0.6051104664802551,0.1693666726350784,128.0,616.0,0.007902605459094,0.0609218627214431,0.0694864019751548,0.2643678188323974,0.7406281232833862,0.9418604373931884,0.5754292011260986,0.1104972064495086,68.0,372.0,0.0039036714006215,0.0347522608935833,0.041237112134695,0.190476194024086,0.7505313158035278,0.0760646760463714,2
0.694889485836029,0.603354275226593,0.5278197526931763,777.0,8459.0,0.028811139985919,0.3058441877365112,0.234133094549179,0.7689563035964966,0.794251024723053,0.6510191559791565,0.6439831852912903,0.3931818902492523,638.0,9926.0,0.0212095994502306,0.1854622960090637,0.1400848925113678,0.7170731425285339,0.740576982498169,0.6365828514099121,0.6473270654678345,0.1915070563554763,217.0,10784.0,0.0091461772099137,0.068188264966011,0.0486944243311882,0.7178153395652771,0.7304235100746155,0.6384328007698059,0.6856664419174194,0.082517571747303,132.0,10813.0,0.0039448216557502,0.0297324024140834,0.0185168366879224,0.6071428656578064,0.6600028872489929,0.0671285912394523,0.8033826351165771,0.6033279299736023,0.5840046405792236,227.0,1261.0,0.029206221923232,0.3290002346038818,0.325668454170227,0.7284688949584961,0.8471306562423706,0.8579545617103577,0.5691470503807068,0.3894318640232086,308.0,767.0,0.0215413179248571,0.2121906578540802,0.2495107650756836,0.4529307186603546,0.7819467186927795,0.8036469221115112,0.5611585378646851,0.2508960366249084,62.0,1424.0,0.0069308942183852,0.0833785682916641,0.0729166641831398,0.6436781883239746,0.8165038824081421,0.8968023061752319,0.6224340796470642,0.137236937880516,54.0,727.0,0.0035664986353367,0.0423312447965145,0.0396301187574863,0.3571428656578064,0.7666290998458862,0.0650744214653968,3
0.7467543482780457,0.5524619817733765,0.589956521987915,621.0,7045.0,0.0261350739747285,0.3750180304050445,0.2801675796508789,0.81534343957901,0.8430979251861572,0.7051963806152344,0.6107206344604492,0.4359837770462036,598.0,8326.0,0.0201851706951856,0.2205080091953277,0.1659821718931198,0.734811544418335,0.7768583297729492,0.6716989874839783,0.6165502071380615,0.2139496505260467,196.0,9742.0,0.008081279695034,0.0843432992696762,0.0555501691997051,0.745123565196991,0.7686184048652649,0.6801559329032898,0.6688038110733032,0.1018485128879547,109.0,9573.0,0.003599306102842,0.0384415574371814,0.0231632646173238,0.675595223903656,0.7358320951461792,0.0618721768260002,0.8082716464996338,0.5604121088981628,0.6385180354118347,157.0,1294.0,0.0244031455367803,0.4050007462501526,0.3441459834575653,0.8122009634971619,0.8736357092857361,0.7167019248008728,0.6195603609085083,0.4405759274959564,153.0,1991.0,0.0197320599108934,0.2670639455318451,0.1707621812820434,0.7282415628433228,0.7930479049682617,0.66741544008255,0.6464294195175171,0.2218890339136123,26.0,2491.0,0.0068405540660023,0.0964247062802314,0.0560818500816822,0.8505747318267822,0.8243057727813721,0.7559460997581482,0.6320610046386719,0.1521252691745758,16.0,1831.0,0.0030181680340319,0.0672113820910453,0.0358083210885524,0.8095238208770752,0.8312884569168091,0.057770550251007,4
0.7626441121101379,0.5264751315116882,0.6133682727813721,555.0,6630.0,0.0246345121413469,0.3955279886722564,0.2975206673145294,0.8349688053131104,0.858100414276123,0.7287502884864807,0.5959247946739197,0.4549923241138458,589.0,7622.0,0.0194815341383218,0.2490133643150329,0.1793712377548217,0.7388026714324951,0.7961319088935852,0.6843183040618896,0.5979620218276978,0.2341660857200622,156.0,9400.0,0.0074951224960386,0.1078772619366645,0.0612204149365425,0.7971391677856445,0.8007888793945312,0.7120676636695862,0.6447948813438416,0.1171338856220245,97.0,8619.0,0.0033861389383673,0.0524444840848445,0.0269812606275081,0.711309552192688,0.7697685956954956,0.0587259344756603,0.7304439544677734,0.5717571973800659,0.6287031173706055,72.0,1968.0,0.0227652769535779,0.4533727467060089,0.2796486020088196,0.9138755798339844,0.8847104907035828,0.6966173648834229,0.6187494397163391,0.4454526603221893,131.0,2165.0,0.0193919874727726,0.2682535946369171,0.166345790028572,0.7673179507255554,0.79828280210495,0.6649048328399658,0.6056805849075317,0.2219904214143753,25.0,2511.0,0.0063082263804972,0.1141722053289413,0.0560150370001792,0.8563218116760254,0.8273584246635437,0.7842230200767517,0.5885417461395264,0.1636093109846115,18.0,1615.0,0.0028563239611685,0.0730095505714416,0.0392623431980609,0.7857142686843872,0.8473029136657715,0.0550465658307075,5
0.7699118256568909,0.516639769077301,0.6267575025558472,510.0,6455.0,0.0233333129435777,0.4245790541172027,0.3065105378627777,0.8483496904373169,0.869377613067627,0.7356215715408325,0.5914625525474548,0.4617974460124969,582.0,7421.0,0.0190751012414693,0.2583663761615753,0.1839674562215805,0.7419068813323975,0.805486798286438,0.7071124315261841,0.57771235704422,0.2486498951911926,152.0,8714.0,0.0070755276829004,0.1085418239235878,0.0661236718297004,0.8023406863212585,0.8112567663192749,0.7503881454467773,0.6187683939933777,0.1337312012910843,94.0,7462.0,0.003179028397426,0.0589244067668914,0.0314122550189495,0.7202380895614624,0.7985138297080994,0.0564648807048797,0.792283296585083,0.4937047362327575,0.6461286544799805,125.0,1447.0,0.0220023933798074,0.4908126890659332,0.3294717371463775,0.85047847032547,0.8844419717788696,0.753435492515564,0.5630413889884949,0.4676422774791717,154.0,1712.0,0.0189286805689334,0.2818909287452698,0.1928335726261139,0.7264653444290161,0.8116449117660522,0.7083773612976074,0.4959898889064789,0.2520592808723449,21.0,2186.0,0.0058724819682538,0.1375685930252075,0.0654125660657882,0.8793103694915771,0.8518699407577515,0.7616279125213623,0.5869518518447876,0.1678765714168548,10.0,1794.0,0.0026100189425051,0.1010068282485008,0.0396145619451999,0.8809523582458496,0.8724509477615356,0.0530531145632267,6
0.7763535976409912,0.5040836930274963,0.6321737766265869,510.0,6260.0,0.0229720100760459,0.4437605738639831,0.3130692541599273,0.8483496904373169,0.8742483258247375,0.7398500442504883,0.5823168754577637,0.4729729294776916,547.0,7328.0,0.0186613071709871,0.2864758670330047,0.1890216916799545,0.7574279308319092,0.8152730464935303,0.7150408029556274,0.5608410239219666,0.2542929649353027,150.0,8476.0,0.0065925372764468,0.1239285171031951,0.0680593699216842,0.8049414753913879,0.8298966884613037,0.747481107711792,0.6039534211158752,0.1350317001342773,89.0,7555.0,0.0031878433655947,0.0648126006126403,0.031658548861742,0.7351190447807312,0.8053176403045654,0.0551329441368579,0.625,0.644900381565094,0.5675245523452759,51.0,2787.0,0.0253983382135629,0.4964961409568786,0.219764843583107,0.9389952421188354,0.883412778377533,0.5329017043113708,0.6950237154960632,0.4057087898254394,57.0,3478.0,0.0204853750765323,0.2840699553489685,0.1270080357789993,0.8987566828727722,0.8108411431312561,0.5191596150398254,0.644541323184967,0.1847317814826965,8.0,3631.0,0.006656096316874,0.1358285248279571,0.0437187254428863,0.954023003578186,0.8453367352485657,0.5749207139015198,0.6920689940452576,0.1075861901044845,6.0,3211.0,0.0030149586964398,0.1075149029493331,0.0237154141068458,0.9285714030265808,0.8676032423973083,0.0592356622219085,7
0.7767170071601868,0.4998127818107605,0.6399046182632446,465.0,6294.0,0.0224055275321006,0.4480924010276794,0.3152741491794586,0.8617305755615234,0.8784253597259521,0.7505863904953003,0.5756950378417969,0.4859586358070373,528.0,7022.0,0.018375651910901,0.2942466735839844,0.1973939836025238,0.7658536434173584,0.8228710889816284,0.7142810225486755,0.5534079074859619,0.2640816271305084,122.0,8527.0,0.0067063649185001,0.1246726810932159,0.0705254003405571,0.8413524031639099,0.83343106508255,0.7361170649528503,0.5892444849014282,0.1361151784658432,77.0,7911.0,0.0029850490391254,0.0715617388486862,0.0317013449966907,0.7708333134651184,0.8301171064376831,0.0541529133915901,0.7435253858566284,0.5247432589530945,0.634121835231781,80.0,1861.0,0.0216893907636404,0.4785604774951935,0.2888804078102112,0.9043062329292296,0.8890578150749207,0.7180232405662537,0.5753800868988037,0.4582354128360748,134.0,2000.0,0.019242525100708,0.2753658294677734,0.1766158938407898,0.7619893550872803,0.8084785342216492,0.7210623621940613,0.5275200009346008,0.248032808303833,29.0,2082.0,0.0060200998559594,0.1256921291351318,0.0651100128889083,0.8333333134651184,0.8464224934577942,0.7470930218696594,0.5705098509788513,0.1558441519737243,12.0,1902.0,0.0025986728724092,0.0929539278149604,0.0364741645753383,0.8571428656578064,0.8751376867294312,0.0531881265342235,8
0.7846453785896301,0.4898073971271515,0.6480820178985596,457.0,6062.0,0.0218552909791469,0.4715398550033569,0.3240410387516022,0.8641093969345093,0.8831599950790405,0.754550576210022,0.5684381127357483,0.491766095161438,517.0,6913.0,0.0181166902184486,0.2975601553916931,0.2009016275405883,0.7707316875457764,0.8287370204925537,0.732879638671875,0.5402886867523193,0.2710817456245422,137.0,7949.0,0.0066589144989848,0.1305061876773834,0.0736510902643203,0.8218465447425842,0.8385927081108093,0.7500908374786377,0.5802962779998779,0.1460735648870468,70.0,7495.0,0.0030411076731979,0.0634935349225997,0.0342739336192607,0.7916666865348816,0.8342157006263733,0.0534508861601352,0.6390063166618347,0.6190505623817444,0.5831138491630554,39.0,2693.0,0.0252485144883394,0.4896797239780426,0.2283667623996734,0.9533492922782898,0.8859558701515198,0.6485201120376587,0.5990836024284363,0.4466477334499359,90.0,2570.0,0.0193950962275266,0.2918302416801452,0.1554387062788009,0.8401420712471008,0.8119463920593262,0.5927590131759644,0.6421383619308472,0.2073791027069091,11.0,3071.0,0.0074521629139781,0.1586009263992309,0.0504019781947135,0.9367815852165222,0.8565744161605835,0.6828752756118774,0.6660863757133484,0.1355206668376922,8.0,2392.0,0.0035984814167022,0.09226955473423,0.0307941660284996,0.9047619104385376,0.866431713104248,0.0592989698052406,9
0.7899309396743774,0.4881263971328735,0.6489150524139404,480.0,5879.0,0.0218566637486219,0.473165214061737,0.3290344774723053,0.8572703003883362,0.8844910264015198,0.7475801706314087,0.5671079158782959,0.4882135689258575,507.0,7134.0,0.0179551932960748,0.2982253134250641,0.1968025267124176,0.7751662731170654,0.8315656781196594,0.734366238117218,0.5318505764007568,0.2763451337814331,126.0,7915.0,0.0063566700555384,0.1424457728862762,0.0751343742012977,0.8361508250236511,0.850767970085144,0.7383634448051453,0.5776788592338562,0.1395938992500305,72.0,7848.0,0.0028779478743672,0.0663853734731674,0.0325443781912326,0.7857142686843872,0.8422175645828247,0.052714716643095,0.8319239020347595,0.5324976444244385,0.6382978558540344,188.0,1084.0,0.0228791031986475,0.4853470921516418,0.3741339445114136,0.7751196026802063,0.8850482702255249,0.8387949466705322,0.4672483503818512,0.4462015926837921,247.0,973.0,0.0218485929071903,0.2818478047847748,0.2451512813568115,0.5612788796424866,0.8053433895111084,0.8923097252845764,0.3077755272388458,0.2995391488075256,83.0,732.0,0.0085144052281975,0.1518280804157257,0.1105710789561271,0.522988498210907,0.8535652160644531,0.9388213753700256,0.3337778747081756,0.2515722811222076,44.0,419.0,0.0037872530519962,0.1074816137552261,0.0871459692716598,0.4761904776096344,0.8572287559509277,0.0606543831527233,10
