clave_modelo,modelo,estrategia_pesos,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,20,10,0.2622407078742981,0.43559956550598145,0.8729338049888611,0.48086124658584595,0.4398249387741089,0.4720526337623596,0.875,434.0,512.0
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,15,5,0.239510640501976,0.24289123713970184,0.7796297073364258,0.19182948768138885,0.34951457381248474,0.2108551263809204,0.9133192300796509,455.0,201.0
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,20,10,0.1010238528251648,0.11593672633171082,0.8084571957588196,0.04022988677024841,0.3181818127632141,0.048746511340141296,0.9759513735771179,167.0,15.0
embeddings_gru_balanceada,Embeddings + GRU — Ponderación balanceada,balanceada,256,0.0005,IRSUITRYYR,Intento suicida,29,19,0.05503492429852486,0.10587134957313538,0.827387273311615,0.011904762126505375,1.0,0.014836795628070831,0.9890327453613281,83.0,0.0
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,17,7,0.23881350457668304,0.49797165393829346,0.891917884349823,0.380382776260376,0.5473321676254272,0.40509554743766785,0.8968023061752319,518.0,263.0
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,30,20,0.2700907289981842,0.27608978748321533,0.7978166937828064,0.38543516397476196,0.3013888895511627,0.3650739789009094,0.8878171443939209,346.0,503.0
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,17,7,0.09311214089393616,0.15738551318645477,0.8362846970558167,0.0517241396009922,0.40909090638160706,0.06267409026622772,0.9764798879623413,165.0,13.0
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,256,0.0005,IRSUITRYYR,Intento suicida,21,11,0.05750337243080139,0.11701639741659164,0.818074643611908,0.0357142873108387,0.2142857164144516,0.04285714030265808,0.9878435730934143,81.0,11.0
