clave_modelo,conjunto,average_precision_media,roc_auc_media,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total
sens_amplio,Ensemble — conjunto amplio,0.26486584930482426,0.8646469574318545,0.8716854178869391,0.7957371225577264,0.14710164495258135,0.3914558132480022,0.8026978514774065,0.7337102850678738,218,7603
sens_reducido,Ensemble — conjunto reducido ML,0.2546759682283501,0.8441985028733501,0.7968082088144351,0.7193605683836589,0.1473915728140942,0.38744434918226694,0.7794135796522738,0.7620189504901123,277,6760
