estrategia_pesos,batch_size,learning_rate,target,descripcion,estado,epocas,mejor_epoca,checkpoint,historial
balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,12,2,checkpoint_embeddings_lstm_lr0005_balanceada_iramdeyr_v1.keras,86_historial_embeddings_lstm_lr0005_balanceada_iramdeyr_v1.csv
balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,RECUPERADO,13,3,checkpoint_embeddings_lstm_lr0005_balanceada_irsuicthnk_v1.keras,86_historial_embeddings_lstm_lr0005_balanceada_irsuicthnk_v1.csv
balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,RECUPERADO,23,13,checkpoint_embeddings_lstm_lr0005_balanceada_irsuiplanyr_v1.keras,86_historial_embeddings_lstm_lr0005_balanceada_irsuiplanyr_v1.csv
balanceada,256,0.0005,IRSUITRYYR,Intento suicida,RECUPERADO,19,9,checkpoint_embeddings_lstm_lr0005_balanceada_irsuitryyr_v1.keras,86_historial_embeddings_lstm_lr0005_balanceada_irsuitryyr_v1.csv
