tipo_modelo,clave_modelo,candidato,n_modelos,average_precision_media,roc_auc_media,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total
Arquitectura individual,multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,1,0.2581166910626884,0.8596258709256493,0.8627568464583677,0.7957371225577264,0.14215278800599346,0.3808924586668635,0.7928925966420417,0.7230283468257158,221,7909
Ensemble,ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),2,0.2717908300351206,0.8625100747748112,0.8667219495170774,0.8010657193605684,0.1456989391498886,0.3858854877214616,0.7969794518420923,0.7272369541671071,213,7796
Ensemble,ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),2,0.2579850301991247,0.860047178659264,0.8632008961919378,0.7975133214920072,0.13500925100556377,0.37316819753613556,0.7871369819104816,0.7110730676290254,220,8236
Ensemble,ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),3,0.2726602259020657,0.8643796412153704,0.8641936280675631,0.7957371225577264,0.14252040956273704,0.3829806341213676,0.7948529413307295,0.7255122545938958,220,7835
Ensemble,ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),3,0.2707538044613319,0.8644581858932983,0.8642430320499099,0.7992895204262878,0.14283424204126027,0.38248784247446355,0.7941728050882778,0.7241025781266457,217,7878
Ensemble,ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),2,0.26486584930482426,0.8646469574318545,0.8716854178869391,0.7957371225577264,0.14710164495258135,0.39145581324800216,0.8026978514774065,0.7337102850678738,218,7603
Ensemble,ensemble_focal_70,Ensemble — ramas 32 + sin BatchNormalization (70/30),2,0.2634258428537462,0.863484560770144,0.8656304096767584,0.7957371225577264,0.14597329883583815,0.387498616299658,0.7984240080882765,0.7312176064997945,219,7677
